answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3439,absa_sentiment_3439,absa_scores_3439,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3471,absa_sentiment_3471,absa_scores_3471,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,86.0,0.7,neutral,RT @srfnews: Der #Nationalrat hat sich als Erstrat für deutlich höhere #Steuerabzüge für die familienexterne #Kinderbetreuung ausgesprochen…,nationalrat erstrat deutlich hoch steuerabzüge familienexterne kinderbetreuung aussprechen,"{'Der': 0.11, 'Nationalrat': 0.04, 'hat': 0, 'sich': 0, 'als': 0.03, 'Erstrat': 0.03, 'für': 0.31, 'deutlich': 0, 'höhere': 0.15, 'Steuerabzüge': 0.175, 'die': 0.11, 'familienexterne': 0.1, 'Kinderbetreuung': 1.0, 'ausgesprochen': 0, '…': 0}",neutral,"[0.7787991, 0.17131221, 0.049888648]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"Bei der #Liberalisierung des Arbeitsgesetzes und Arbeitszeiten helfen wir sicher nicht @Damian_Mueller_ @FDP_Liberalen - beim Ausbau der familienergänzende Kinderbetreuung für die Verbesserung der Vereinbarkeit Beruf-Familie sehr wohl, Kitas als Service public! https://t.co/ch8LsquumS",liberalisierung arbeitsgesetzes arbeitszeiten helfen sichern beim ausbau familienergänzende kinderbetreuung verbesserung vereinbarkeit beruf familie wohl kitas service public,"{'Bei': 0, 'der': 0.05, 'Liberalisierung': 0.14, 'des': 0, 'Arbeitsgesetzes': 0.065, 'und': 0.04, 'Arbeitszeiten': 0.065, 'helfen': 0.09, 'wir': 0, 'sicher': 0, 'nicht': 0.16, 'beim': 0.05, 'Ausbau': 1.0, 'familienergänzende': 0.06, 'Kinderbetreuung': 1.0, 'für': 0, 'die': 0.05, 'Verbesserung': 0, 'Vereinbarkeit': 0, 'Beruf-Familie': 0, 'sehr': 0, 'wohl': 0, 'Kitas': 0, 'als': 0.05, 'Service': 0.06, 'public': 0.05}",positive,"[0.04812148, 0.05850338, 0.89337516]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,Damit die familienergänzende Kinderbetreuung in der Schweiz weiter gefördert werden kann - erster verheissungsvoller Entscheid der ständerätlichen WBK! Vereinbarkeit von Familie  Beruf verbessern! Forderung von @TravailsuisseCH @syna_ch @transfairTweets @ociesseti @sciv_syndicat https://t.co/4mxZi5IF7a,familienergänzende kinderbetreuung schweiz weit fördern erst verheissungsvoller entscheid ständerätlichen wbk vereinbarkeit familie beruf verbessern forderung,"{'Damit': 0.07, 'die': 0.09, 'familienergänzende': 0.19, 'Kinderbetreuung': 0.38, 'in': 0.07, 'der': 0.09, 'Schweiz': 0.14, 'weiter': 0, 'gefördert': 0.64, 'werden': 0, 'kann': 0.09, 'erster': 0.09, 'verheissungsvoller': 0.24, 'Entscheid': 0.29, 'ständerätlichen': 0, 'WBK': 0.18, 'Vereinbarkeit': 0, 'von': 0, 'Familie': 0.19, 'Beruf': 0, 'verbessern': 0.3, 'Forderung': 0}",positive,"[0.33244053, 0.032206006, 0.63535345]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,25.0,28.0,-0.15,negative,"Mein Vorstoss im #Nationalrat wurde relativ knapp abgelehnt: Kein Rahmengesetz für die familienergänzende Kinderbetreuung. Dabei sind Kitas und Tagesschulen Service public, wichtig für #Vereinbarkeit! #parlch @chparlament @TravailsuisseCH @MathiasReynard  https://t.co/uOV96tcCgW",vorstoss nationalrat relativ knapp ablehnen rahmengesetz familienergänzende kinderbetreuung dabei kitas tagesschulen service public wichtig vereinbarkeit parlch,"{'Mein': 0.02, 'Vorstoss': 0, 'im': 0, 'Nationalrat': 0, 'wurde': 0, 'relativ': 0, 'knapp': 0, 'abgelehnt': 0, 'Kein': 0.03, 'Rahmengesetz': 0.035, 'für': 0.04, 'die': 0.04, 'familienergänzende': 0.06, 'Kinderbetreuung': 0.18, 'Dabei': 0, 'sind': 0.17, 'Kitas': 0, 'und': 0.33, 'Tagesschulen': 0.14500000000000002, 'Service': 0.06, 'public': 0.07, 'wichtig': 0.08, 'Vereinbarkeit': 0.04, 'parlch': 0.04}",positive,"[0.36272785, 0.14786257, 0.48940963]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"Der Nationalrat stimmt 100 Mio. Franken für die Unterstützung der Institutionen der familienergänzenden Kinderbetreuung zu! Kitas, deren Mitarbeitende und viele berufstätige Eltern sind froh! Ständerat ist gefordert... #Corona @ParlCH
 @TravailsuisseCH https://t.co/ifmGy8X5iS",nationalrat stimmen mio franken unterstützung institutionen familienergänzenden kinderbetreuung kitas mitarbeitend berufstätig eltern froh ständerat fordern corona,"{'Der': 0.07, 'Nationalrat': 0.1, 'stimmt': 0, '100': 0, 'Mio.': 0, 'Franken': 0, 'für': 0, 'die': 0.07, 'Unterstützung': 0.06, 'der': 0.07, 'Institutionen': 0.07, 'familienergänzenden': 0.05, 'Kinderbetreuung': 0.18, 'zu': 0.03, 'Kitas': 0, 'deren': 0, 'Mitarbeitende': 0.06, 'und': 0.04, 'viele': 0, 'berufstätige': 0.04, 'Eltern': 0.05, 'sind': 0.04, 'froh': 0, 'Ständerat': 0.13, 'ist': 0.06, 'gefordert': 0.21, '...': 0, 'Corona': 1.0}",positive,"[0.0104757715, 0.008070752, 0.9814534]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Breite Koalition für die #Kinderbetreuung! Der Vorstoss für ein Kita-Rahmengesetz ist im Nationalrat hängig... #Corona #Vereinbarkeit @TravailsuisseCH @GewerkschaftSGB @ProFamiliaCH @spschweiz  
https://t.co/kslOgviZpP",breit koalition kinderbetreuung vorstoss kita rahmengesetz nationalrat hängig corona vereinbarkeit,"{'Breite': 0.11, 'Koalition': 0.34, 'für': 0.03, 'die': 0.03, 'Kinderbetreuung': 1.0, 'Der': 0.03, 'Vorstoss': 0, 'ein': 0, 'Kita-Rahmengesetz': 0.0975, 'ist': 0.03, 'im': 0, 'Nationalrat': 0.055, 'hängig': 0, '...': 0, 'Corona': 0.04, 'Vereinbarkeit': 0.07}",positive,"[0.003718972, 0.003389298, 0.9928918]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
25.0,25.0,28.0,-0.3333333333333333,neutral,"Breite Koalition für Kinderbetreuung! Corona zeigt: Kitas sind systemrelevant. Müssen als Service public anerkannt werden. Zuerst Soforthilfe für Kosten während Corona nötig, auch für Eltern. Ohne Grosseltern benötigen 40% der Familien zusätzliche Kita-Plätze. @TravailsuisseCH",breit koalition kinderbetreuung corona zeigen kitas systemrelevant müssen service public anerkennen zuerst soforthilfe kosten corona nötigen eltern grosseltern benötigen familien zusätzliche kita plätze,"{'Breite': 0.07, 'Koalition': 0.1, 'für': 0.04, 'Kinderbetreuung': 0.06, 'Corona': 0.04, 'zeigt': 0, 'Kitas': 0, 'sind': 0.04, 'systemrelevant': 0.045, 'Müssen': 0, 'als': 0.06, 'Service': 0.05, 'public': 0.04, 'anerkannt': 0, 'werden': 0, 'Zuerst': 1.0, 'Soforthilfe': 0, 'Kosten': 0.05, 'während': 0, 'nötig': 0, 'auch': 0.21, 'Eltern': 0.02, 'Ohne': 0.05, 'Grosseltern': 0.03, 'benötigen': 0, '40': 0, 'der': 0, 'Familien': 0, 'zusätzliche': 0.05, 'Kita-Plätze': 0.03}",neutral,"[0.56215245, 0.14584354, 0.29200402]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"@nadineabruegger @papizeit @meyer_mattea @BaGysi @KPrelicz Es gibt da noch einiges zu tun! Es braucht am 27. September einmal ein Ja zum #Vaterschaftsurlaub. Dann Lohngleichheit, Verteilung Care-Arbeit und Massnahmen für Vereinbarkeit von Beruf und Privatleben. Nationales Rahmengesetz für familienergänzende Kinderbetreuung usw.",geben tun brauchen september ja vaterschaftsurlaub lohngleichheit verteilung care arbeit massnahmen vereinbarkeit beruf privatleben national rahmengesetz familienergänzende kinderbetreuung usw,"{'Es': 0.01, 'gibt': 0, 'da': 0, 'noch': 0.02, 'einiges': 0.01, 'zu': 0.01, 'tun': 0.01, 'braucht': 0, 'am': 0, '27.': 0, 'September': 0.04, 'einmal': 0, 'ein': 0, 'Ja': 0.03, 'zum': 0.015, 'Vaterschaftsurlaub': 0.02, 'Dann': 0.09, 'Lohngleichheit': 0.05, 'Verteilung': 0.03, 'Care-Arbeit': 0.025, 'und': 0.03, 'Massnahmen': 0.02, 'für': 0.23, 'Vereinbarkeit': 0, 'von': 0, 'Beruf': 0, 'Privatleben': 0.025, 'Nationales': 0.1, 'Rahmengesetz': 0.22, 'familienergänzende': 0, 'Kinderbetreuung': 0.87, 'usw.': 0}",positive,"[0.22822748, 0.007650133, 0.76412237]",,,,,,,"{'Es': 0.04, 'gibt': 0, 'da': 0, 'noch': 0.04, 'einiges': 0.13, 'zu': 0.56, 'tun': 0.56, 'braucht': 0, 'am': 0, '27.': 0, 'September': 0.12, 'einmal': 0, 'ein': 0, 'Ja': 0.07, 'zum': 0.30000000000000004, 'Vaterschaftsurlaub': 0.96, 'Dann': 0.2, 'Lohngleichheit': 0.07, 'Verteilung': 0.08, 'Care-Arbeit': 0.055, 'und': 0.07, 'Massnahmen': 0.06, 'für': 0.05, 'Vereinbarkeit': 0, 'von': 0, 'Beruf': 0, 'Privatleben': 0.06, 'Nationales': 0.08, 'Rahmengesetz': 0.125, 'familienergänzende': 0, 'Kinderbetreuung': 0.1, 'usw.': 0}",positive,"[0.003048886, 0.0016248734, 0.9953263]",,,,,,,"{'Es': 0.09, 'gibt': 0, 'da': 0, 'noch': 0.1, 'einiges': 0.04, 'zu': 0.07, 'tun': 0.07, 'braucht': 0, 'am': 0, '27.': 0, 'September': 0.12, 'einmal': 0, 'ein': 0, 'Ja': 0.05, 'zum': 0.060000000000000005, 'Vaterschaftsurlaub': 0.23, 'Dann': 1.0, 'Lohngleichheit': 0.89, 'Verteilung': 0.25, 'Care-Arbeit': 0.045, 'und': 0.05, 'Massnahmen': 0.37, 'für': 0.07, 'Vereinbarkeit': 0, 'von': 0, 'Beruf': 0, 'Privatleben': 0.060000000000000005, 'Nationales': 0.06, 'Rahmengesetz': 0.09, 'familienergänzende': 0, 'Kinderbetreuung': 0.05, 'usw.': 0}",positive,"[0.23712064, 0.0045310045, 0.75834835]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @bfh_sosec: Für #Gleichstellung auf dem Arbeitsmarkt braucht es #Kinderbetreuung &amp; #Vaterschaftsurlaub! Rückblick auf die Conference on…,gleichstellung arbeitsmarkt brauchen kinderbetreuung amp vaterschaftsurlaub rückblick conference on,"{'Für': 0, 'Gleichstellung': 0, 'auf': 0.04, 'dem': 0.03, 'Arbeitsmarkt': 0, 'braucht': 0, 'es': 0, 'Kinderbetreuung': 1.0, 'amp': 0.41, 'Vaterschaftsurlaub': 0.42, 'Rückblick': 0.05, 'die': 0.03, 'Conference': 0.05, 'on': 0.04, '…': 0}",neutral,"[0.7312566, 0.07518315, 0.19356026]",,,,,,,"{'Für': 0, 'Gleichstellung': 0, 'auf': 0.11, 'dem': 0.06, 'Arbeitsmarkt': 0, 'braucht': 0, 'es': 0, 'Kinderbetreuung': 0.17, 'amp': 0.11, 'Vaterschaftsurlaub': 0.89, 'Rückblick': 0.2, 'die': 0.06, 'Conference': 0.1, 'on': 0.11, '…': 0}",positive,"[0.17830642, 0.022692824, 0.79900074]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,#Kampagne https://t.co/BghgTPskX8 unterstütze ich 100%ig:  #Kinder brauchen #Familien+Unterstützung der #Gesellschaft! Hilft meiner Motion im Nationalrat für ein Rahmengesetz für eine schweizweite familienergänzende #Kinderbetreuung! #proenfance @netzwerk_kibe #kibesuisse,kampagne unterstützen ig kinder brauchen familien unterstützung gesellschaft helfen motion nationalrat rahmengesetz schweizweite familienergänzende kinderbetreuung proenfance kibesuisse,"{'Kampagne': 0.04, 'unterstütze': 0.04, 'ich': 0.02, '100%ig': 0, 'Kinder': 0.02, 'brauchen': 0.02, 'Familien+Unterstützung': 0.035, 'der': 0.07, 'Gesellschaft': 0.03, 'Hilft': 0.11, 'meiner': 0, 'Motion': 0.06, 'im': 0, 'Nationalrat': 0.055, 'für': 0.14, 'ein': 0, 'Rahmengesetz': 0.095, 'eine': 0, 'schweizweite': 0, 'familienergänzende': 0.09, 'Kinderbetreuung': 1.0, 'proenfance': 0.2, 'kibesuisse': 0.13}",positive,"[0.14996548, 0.04564621, 0.80438834]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
