answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"Die Sommersession hat begonnen. Heute debattieren wir die Gesetzesänderung für den Experimentierartikel für die längst fälligen Cannabis-Pilotversuche.

#nationalratmitpraxis #milizpolitiker #hausarzt #nationalrat #barrilehilft https://t.co/COuTUc9LjW",sommersession beginnen heute debattieren gesetzesänderung experimentierartikel längst fällig cannabis pilotversuche nationalratmitpraxis milizpolitiker hausarzt nationalrat barrilehilft,"{'Die': 0.15, 'Sommersession': 0.195, 'hat': 0, 'begonnen': 0.21, 'Heute': 0.47, 'debattieren': 0, 'wir': 0, 'die': 0.15, 'Gesetzesänderung': 0.595, 'für': 0.18, 'den': 0.15, 'Experimentierartikel': 0, 'längst': 0.08, 'fälligen': 0, 'Cannabis-Pilotversuche': 0.20500000000000002, 'nationalratmitpraxis': 0.29, 'milizpolitiker': 0, 'hausarzt': 0, 'nationalrat': 0, 'barrilehilft': 0.18}",neutral,"[0.9680467, 0.006987696, 0.024965538]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"Ein wichtiges und längst überfälliges Zeichen des Nationalrats an die Städte: mit 98 gegen 92 Stimmen unterstützt der Nationalrat unsere gemeinsame Motion zum Experimentierartikel, der die kontrollierte Abgabe von Cannabis im Rahmen von wissenschaftlichen Studien ermöglicht. https://t.co/UeN7F2fAVy",wichtig längst überfällig zeichen nationalrats städte stimmen unterstützen nationalrat gemeinsam motion experimentierartikel kontrollieren abgabe cannabis rahmen wissenschaftlich studien ermöglichen,"{'Ein': 0, 'wichtiges': 0.04, 'und': 0.05, 'längst': 0.02, 'überfälliges': 0.07, 'Zeichen': 0.08, 'des': 0.06, 'Nationalrats': 0.07, 'an': 0.04, 'die': 0.22, 'Städte': 0.12, 'mit': 0.04, '98': 0, 'gegen': 0, '92': 0, 'Stimmen': 0, 'unterstützt': 0.18, 'der': 0.22, 'Nationalrat': 0.07, 'unsere': 0.04, 'gemeinsame': 0, 'Motion': 0.07, 'zum': 0.14, 'Experimentierartikel': 0, 'kontrollierte': 0.39, 'Abgabe': 0, 'von': 0.06, 'Cannabis': 1.0, 'im': 0, 'Rahmen': 0, 'wissenschaftlichen': 0.31, 'Studien': 0.32, 'ermöglicht': 0.25}",positive,"[0.2419486, 0.008688793, 0.74936265]",,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @RegulaRytz: Erfolg! Überparteiliche Motion ""Experimentierartikel"" für wissenschaftliche Studie über #Cannabiskonsum mit 98 zu 92 angeno…",erfolg überparteilich motion experimentierartikel wissenschaftliche studie cannabiskonsum angeno,"{'Erfolg': 0.36, 'Überparteiliche': 0, 'Motion': 0.08, 'Experimentierartikel': 0, 'für': 0.07, 'wissenschaftliche': 0.07, 'Studie': 0.06, 'über': 0, 'Cannabiskonsum': 0.09, 'mit': 0.29, '98': 0, 'zu': 0.19, '92': 0, 'angeno': 0, '…': 0}",positive,"[0.22562976, 0.00541976, 0.7689505]",,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,14.0,-0.7,neutral,"RT @MBaerlocher: #Legales #Cannabis ist mit ihrer Motion nur noch ein #Stone-Wurf weit entfernt, glauben Regine Sauter (@FDP_Liberalen) @an…",legal cannabis motion stone wurf weit entfernen glauben regine sauter,"{'Legales': 0, 'Cannabis': 0.84, 'ist': 1.0, 'mit': 0.12, 'ihrer': 0, 'Motion': 0.27, 'nur': 1.0, 'noch': 0, 'ein': 0, 'Stone-Wurf': 0.07, 'weit': 0, 'entfernt': 0, 'glauben': 0.35, 'Regine': 0.1, 'Sauter': 0, '…': 0}",neutral,"[0.7321436, 0.04697673, 0.22087969]",,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"Vorwärts mit dem Cannabis-Versuch: 101 überparteiliche Unterschriften für Studie zum regulierten Verkauf eingereicht. Motion #Experimentierartikel im Betäubungsmittelgesetz, mit Regine Sauter (@FDP_Liberalen) @anbarrile @kathrinbertschy @RegulaRytz @ParlCH https://t.co/G8cFANX5gC",vorwärts cannabis versuch überparteilich unterschriften studie regulieren verkauf einreichen motion experimentierartikel betäubungsmittelgesetz regine sauter,"{'Vorwärts': 0.04, 'mit': 0.16, 'dem': 0.05, 'Cannabis-Versuch': 0.045, '101': 0, 'überparteiliche': 0, 'Unterschriften': 0.04, 'für': 0.02, 'Studie': 0.04, 'zum': 0.05, 'regulierten': 0.02, 'Verkauf': 0.02, 'eingereicht': 0.04, 'Motion': 0.04, 'Experimentierartikel': 0, 'im': 0, 'Betäubungsmittelgesetz': 0.05, 'Regine': 0.16, 'Sauter': 0}",neutral,"[0.8773765, 0.013377608, 0.109245926]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Rentenaltererhöhung für Frauen, kein Frauenbonus, keine Renterhöhung um 70.-. SVP und FDP machen im NR aus der Reform ein Rentenmassaker!",rentenaltererhöhung frauen frauenbonus renterhöhung svp fdp nr reform rentenmassaker,,,,"{'Rentenaltererhöhung': 0.685, 'für': 0.68, 'Frauen': 0.08, 'kein': 0.42, 'Frauenbonus': 0.23, 'keine': 0, 'Renterhöhung': 0.52, 'um': 0.08, '70.-': 0, 'SVP': 0, 'und': 0.07, 'FDP': 0.06, 'machen': 0, 'im': 0, 'NR': 0.42, 'aus': 0, 'der': 0.04, 'Reform': 0.14, 'ein': 0, 'Rentenmassaker': 0}",positive,"[0.15208481, 0.0765027, 0.7714125]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Mutlos: der Nationalrat spricht sich mit 120 zu 67 Stimmen bei 5 Enthaltungen gegen einen 4-wöchigen Vaterschaftsurlaub aus. Immerhin hat zumindest der Gegenvorschlag mit einer Vaterzeit von 2 Wochen eine Mehrheit gefunden.
Der Weg zu einer vernünftigen Elternzeit ist noch lang! https://t.co/3AFEKoJiPM",mutlos nationalrat sprechen stimmen enthaltungen wöchigen vaterschaftsurlaub immerhin zumindest gegenvorschlag vaterzeit wochen mehrheit finden vernünftig elternzeit langen,,,,,,,"{'Mutlos': 0, 'der': 0.04, 'Nationalrat': 0.05, 'spricht': 0, 'sich': 0, 'mit': 0.07, '120': 0, 'zu': 0.04, '67': 0, 'Stimmen': 0, 'bei': 0.02, '5': 0, 'Enthaltungen': 0.09, 'gegen': 0.63, 'einen': 0.06, '4-wöchigen': 0.47500000000000003, 'Vaterschaftsurlaub': 0.075, 'aus': 0, 'Immerhin': 0, 'hat': 0, 'zumindest': 0.08, 'Gegenvorschlag': 0.07, 'einer': 0, 'Vaterzeit': 0, 'von': 0, '2': 0, 'Wochen': 0.1, 'eine': 0, 'Mehrheit': 0.23, 'gefunden': 0.15, 'Der': 0.04, 'Weg': 0, 'vernünftigen': 0, 'Elternzeit': 0.13, 'ist': 0.09, 'noch': 0.07, 'lang': 0}",neutral,"[0.5065572, 0.43996423, 0.05347858]",,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"@Maho08781285 @Aziroshin @spschweiz Es geht darum, dass Schweizer_innen zu ihrem Recht kommen. Für den Familiennachzug muss man/frau selber finanziell für die Angehörigen sorgen. 
Das hat nichts damit zu tun, ib verheiratet oder nicht. Es geht hier nicht um die Einbürgerung.",gehen darum schweizer_innen recht kommen familiennachzug frau selber finanziell angehörig sorgen tun ib verheiraten gehen einbürgerung,,,,,,,,,,"{'Es': 0.36, 'geht': 0, 'darum': 0, 'dass': 0, 'Schweizer_innen': 0.03, 'zu': 0.04, 'ihrem': 0, 'Recht': 0, 'kommen': 0, 'Für': 0.03, 'den': 0.03, 'Familiennachzug': 0.02, 'muss': 0.04, 'man': 0, 'frau': 0, 'selber': 0, 'finanziell': 0.03, 'für': 0.03, 'die': 0.03, 'Angehörigen': 0.02, 'sorgen': 0.035, 'Das': 0.03, 'hat': 0, 'nichts': 0.1, 'damit': 0.04, 'tun': 0.08, 'ib': 0, 'verheiratet': 0.04, 'oder': 0.12, 'nicht': 1.0, 'hier': 0, 'um': 0, 'Einbürgerung': 1.0}",neutral,"[0.98279285, 0.009639227, 0.007567958]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @spschweiz: Weiter für zeitgemässe Einbürgerungen!

https://t.co/sLJVczHAax https://t.co/eTmDZDbZxc",weit zeitgemässe einbürgerungen,,,,,,,,,,"{'Weiter': 0.45, 'für': 0.3, 'zeitgemässe': 1.0, 'Einbürgerungen': 1.0}",positive,"[0.0005580155, 0.0011378533, 0.9983041]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @francoiseleste: ""Der runde Tisch zur Einbürgerungsvorlage"" @anbarrile @spzuerich https://t.co/uMec2NSGML",runden tisch einbürgerungsvorlage,,,,,,,,,,"{'Der': 0.23, 'runde': 0.16, 'Tisch': 0.22, 'zur': 0.23, 'Einbürgerungsvorlage': 1.0}",positive,"[0.40100282, 0.01590294, 0.58309424]",,,,,,,,,,neutral
