answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
25.0,25.0,28.0,-0.3333333333333333,neutral,Der Staat hat für eine geschlechtsneutrale Ausgestaltung der Pflichten und Rechte zu sorgen. Er soll weder positiv noch negativ diskriminieren. Gleiches Rentenalter ist eine Selbstverständlichkeit. Die Linke zementiert mit ihrer konservativen Politik althergebrachte Rollenbilder. https://t.co/7gUnayr8Hb,staat geschlechtsneutrale ausgestaltung pflichten rechte sorgen weder positiv negativ diskriminieren gleich rentenalter selbstverständlichkeit link zementieren konservativ politik althergebracht rollenbilder,"{'Der': 0.06, 'Staat': 0.05, 'hat': 0, 'für': 0, 'eine': 0, 'geschlechtsneutrale': 0.095, 'Ausgestaltung': 0, 'der': 0.06, 'Pflichten': 0.04, 'und': 0.04, 'Rechte': 0, 'zu': 0, 'sorgen': 0, 'Er': 0.15, 'soll': 0, 'weder': 0.16, 'positiv': 0, 'noch': 0, 'negativ': 0, 'diskriminieren': 0.23, 'Gleiches': 1.0, 'Rentenalter': 0.7949999999999999, 'ist': 0.15, 'Selbstverständlichkeit': 0.29625, 'Die': 0.06, 'Linke': 0.11, 'zementiert': 0, 'mit': 0.12, 'ihrer': 0.1, 'konservativen': 0.1, 'Politik': 0, 'althergebrachte': 0.1, 'Rollenbilder': 0.055}",neutral,"[0.930956, 0.06327041, 0.0057735885]",,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"Rapperswil-Jona @stadtrj folgt den Abstimmungsempfehlungen der GLP @grunliberale. 🎉🇨🇭

Ja zum Vaterschaftsurlaub
Ja zu Kampfflugzeugen
Nein zur Kündigungsinitiative
Nein zum Abschussgesetz
Nein zu Kinderabzügen",rapperswil jona folgen abstimmungsempfehlungen glp ja vaterschaftsurlaub ja kampfflugzeugen nein kündigungsinitiative nein abschussgesetz nein kinderabzügen,,,,"{'Rapperswil-Jona': 0, 'folgt': 0.12, 'den': 0.03, 'Abstimmungsempfehlungen': 0.11, 'der': 0.03, 'GLP': 0.22, '🇨': 0, '🇭': 0, 'Ja': 0, 'zum': 0, 'Vaterschaftsurlaub': 0, 'zu': 0, 'Kampfflugzeugen': 0, 'Nein': 0, 'zur': 0, 'Kündigungsinitiative': 0, 'Abschussgesetz': 0, 'Kinderabzügen': 0}",positive,"[0.003637328, 0.0020701238, 0.9942926]",,,,,,,,,,"{'Rapperswil-Jona': 0, 'folgt': 0.05, 'den': 0.05, 'Abstimmungsempfehlungen': 0.06, 'der': 0.05, 'GLP': 0.07, '🇨': 0, '🇭': 0, 'Ja': 0, 'zum': 0, 'Vaterschaftsurlaub': 0, 'zu': 0, 'Kampfflugzeugen': 0, 'Nein': 0, 'zur': 0, 'Kündigungsinitiative': 0, 'Abschussgesetz': 0, 'Kinderabzügen': 0}",neutral,"[0.53790915, 0.11423823, 0.34785265]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,RT @IKEA_CH: Wir haben gestern eine Kampagne in Aussicht gestellt. #Vaterschaftsurlaub https://t.co/GaUZ8vOcLZ,gestern kampagne aussicht stellen vaterschaftsurlaub,,,,"{'Wir': 0.08, 'haben': 0, 'gestern': 0.13, 'eine': 0, 'Kampagne': 0.14, 'in': 0, 'Aussicht': 0, 'gestellt': 0, 'Vaterschaftsurlaub': 0.51}",positive,"[0.20010115, 0.0060958136, 0.79380304]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @grunliberale: Nach über 6 Jahren hat sich der Nationalrat endlich für die #Ehefüralle samt Zugang zur Fortpflanzungsmedizin ausgesproch…,jahren nationalrat endlich ehefüralle samt zugang fortpflanzungsmedizin ausgesproch,,,,,,,"{'Nach': 0.83, 'über': 0, '6': 0, 'Jahren': 0.15, 'hat': 0, 'sich': 0, 'der': 0.1, 'Nationalrat': 0.17, 'endlich': 0, 'für': 0, 'die': 0.1, 'Ehefüralle': 0, 'samt': 0, 'Zugang': 1.0, 'zur': 0.46499999999999997, 'Fortpflanzungsmedizin': 0.69, 'ausgesproch': 0, '…': 0}",positive,"[0.32717037, 0.004712544, 0.66811705]",,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,"Diese Zeit wird erst kommen, wenn es selbstverständlich ist, dass alle Menschen denselben Zugang zur Fortpflanzungsmedizin haben. Die @CVP_PDC will lesbische Paar weiterhin diskriminieren. #Ehefüralle https://t.co/oyJRk9cUak",zeit erst kommen selbstverständlich all menschen zugang fortpflanzungsmedizin lesbische paar weiterhin diskriminieren ehefüralle,,,,,,,"{'Diese': 0, 'Zeit': 0.07, 'wird': 0.03, 'erst': 0, 'kommen': 0.06, 'wenn': 0, 'es': 0.03, 'selbstverständlich': 0, 'ist': 0.03, 'dass': 0.38, 'alle': 0, 'Menschen': 0, 'denselben': 0, 'Zugang': 1.0, 'zur': 0.06, 'Fortpflanzungsmedizin': 0.685, 'haben': 0.175, 'Die': 0, 'will': 0.03, 'lesbische': 0.15, 'Paar': 0, 'weiterhin': 0, 'diskriminieren': 0.21, 'Ehefüralle': 0.21000000000000002}",positive,"[0.06072963, 0.0031726887, 0.9360977]",,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,Die rechtsbürgerliche Mehrheit im St.Galler Kantonsrat beschliesst eine überdimensioniertes Sparprogramm und gleichzeitig fordert die SVP ernsthaft eine Steuersenkung.,rechtsbürgerliche mehrheit st galler kantonsrat beschliesst überdimensioniert sparprogramm gleichzeitig fordern svp ernsthaft steuersenkung,,,,,,,,,,"{'Die': 0.24, 'rechtsbürgerliche': 0, 'Mehrheit': 0.13, 'im': 0, 'St.': 0, 'Galler': 0, 'Kantonsrat': 0, 'beschliesst': 0, 'eine': 0, 'überdimensioniertes': 0, 'Sparprogramm': 0, 'und': 0, 'gleichzeitig': 0, 'fordert': 0, 'die': 0.24, 'SVP': 0, 'ernsthaft': 0, 'Steuersenkung': 0}",neutral,"[0.49571234, 0.36194694, 0.14234065]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @stadtrj: Die #BüV stimmt dem Antrag der #Klimaallianz (#GLP, #SP und #Grüne), als Sofortmassnahme den Fond für erneuerbare Energien ein…",büv stimmen antrag klimaallianz glp sp grüne sofortmassnahme fond erneuerbare energien,,,,,,,,,,,,,"{'Die': 0.51, 'BüV': 0, 'stimmt': 0, 'dem': 0.3, 'Antrag': 0, 'der': 0.51, 'Klimaallianz': 0, 'GLP': 0.15, 'SP': 0.07, 'und': 0.1, 'Grüne': 0, 'als': 0.17, 'Sofortmassnahme': 0.15, 'den': 0.51, 'Fond': 0, 'für': 1.0, 'erneuerbare': 0.66, 'Energien': 0.34, 'ein': 0, '…': 0}",positive,"[0.0046649002, 0.002823448, 0.99251163]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Rapperswil-Jona @stadtrj folgt den Abstimmungsempfehlungen der GLP @grunliberale. 🎉🇨🇭

Ja zum Vaterschaftsurlaub
Ja zu Kampfflugzeugen
Nein zur Kündigungsinitiative
Nein zum Abschussgesetz
Nein zu Kinderabzügen",rapperswil jona folgen abstimmungsempfehlungen glp ja vaterschaftsurlaub ja kampfflugzeugen nein kündigungsinitiative nein abschussgesetz nein kinderabzügen,,,,"{'Rapperswil-Jona': 0, 'folgt': 0.12, 'den': 0.03, 'Abstimmungsempfehlungen': 0.11, 'der': 0.03, 'GLP': 0.22, '🇨': 0, '🇭': 0, 'Ja': 0, 'zum': 0, 'Vaterschaftsurlaub': 0, 'zu': 0, 'Kampfflugzeugen': 0, 'Nein': 0, 'zur': 0, 'Kündigungsinitiative': 0, 'Abschussgesetz': 0, 'Kinderabzügen': 0}",positive,"[0.003637328, 0.0020701238, 0.9942926]",,,,,,,,,,"{'Rapperswil-Jona': 0, 'folgt': 0.05, 'den': 0.05, 'Abstimmungsempfehlungen': 0.06, 'der': 0.05, 'GLP': 0.07, '🇨': 0, '🇭': 0, 'Ja': 0, 'zum': 0, 'Vaterschaftsurlaub': 0, 'zu': 0, 'Kampfflugzeugen': 0, 'Nein': 0, 'zur': 0, 'Kündigungsinitiative': 0, 'Abschussgesetz': 0, 'Kinderabzügen': 0}",neutral,"[0.53790915, 0.11423823, 0.34785265]",,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,"Gestern blieben die Anträge der ⁦@glp_sg⁩ für eine etwas nachhaltigere Landwirtschaft chancenlos. Die Wahlversprechen von ⁦@fdpsanktgallen⁩ und ⁦@CVP_KtSG⁩ sich für Umweltschutz einzusetzen, sind bereits verpufft.  https://t.co/mbuXsnwK3T",gestern bleiben anträge nachhaltig landwirtschaft chancenlos wahlversprechen umweltschutz einsetzen bereits verpuffen,,,,,,,,,,,,,,,,,,,"{'Gestern': 0.28, 'blieben': 0, 'die': 0.3, 'Anträge': 0, 'der': 0.3, '\u2066\u2069': 0, 'für': 0, 'eine': 0, 'etwas': 0, 'nachhaltigere': 0, 'Landwirtschaft': 0, 'chancenlos': 0, 'Die': 0, 'Wahlversprechen': 0, 'von': 0, 'und': 0, 'sich': 0, 'Umweltschutz': 0, 'einzusetzen': 0, 'sind': 0, 'bereits': 0, 'verpufft': 0}",negative,"[0.1229115, 0.6719932, 0.20509523]",,,,"{'Gestern': 0.05, 'blieben': 0, 'die': 0.06, 'Anträge': 0, 'der': 0.06, '\u2066\u2069': 0, 'für': 0, 'eine': 0, 'etwas': 0, 'nachhaltigere': 0, 'Landwirtschaft': 0, 'chancenlos': 0, 'Die': 0, 'Wahlversprechen': 0, 'von': 0, 'und': 0, 'sich': 0, 'Umweltschutz': 0, 'einzusetzen': 0, 'sind': 0, 'bereits': 0, 'verpufft': 0}",positive,"[0.016148046, 0.03881899, 0.945033]",negative
50.0,75.0,57.0,0.0,neutral,"RT @tho__hug: Die @FDP_Liberalen hat herausgefunden, wann sie sich zuletzt für #Umweltschutz engagiert hat. Gründung des Schweizer #Nationa…",herausgefunden wann zuletzt umweltschutz engagieren gründung schweizer nationa,,,,,,,,,,,,,,,,,,,"{'Die': 0.19, 'hat': 0, 'herausgefunden': 0.16, 'wann': 0.22, 'sie': 0.12, 'sich': 0, 'zuletzt': 0.19, 'für': 0, 'Umweltschutz': 0.955, 'engagiert': 0, 'Gründung': 0, 'des': 0, 'Schweizer': 0.22, 'Nationa': 0.19, '…': 0}",neutral,"[0.7704972, 0.032390114, 0.19711268]",,,,,,,neutral
