answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,86.0,0.7,neutral,"@claudio_schmid #Cannabis kann man jetzt wirklich nicht als harte Droge bezeichnen, es befindet sich eher auf der Ebene von Alkohol und Tabak. Darum: #legalize!",cannabis wirklich hart droge bezeichnen befinden eher eben alkohol tabak darum legalize,"{'Cannabis': 0.63, 'kann': 0, 'man': 0, 'jetzt': 0, 'wirklich': 1.0, 'nicht': 0, 'als': 0, 'harte': 0, 'Droge': 0, 'bezeichnen': 0, 'es': 0.07, 'befindet': 0.07, 'sich': 0, 'eher': 0, 'auf': 0.03, 'der': 0.02, 'Ebene': 0.03, 'von': 0, 'Alkohol': 0.03, 'und': 0.03, 'Tabak': 0.04, 'Darum': 0.33, 'legalize': 0.18}",negative,"[0.36603794, 0.40871492, 0.2252472]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"@realaydemir @pSchotty Das Rentenalter gilt für ALLE. Ausser für jene Branchen, welche in GAVs tiefere Branchenlösungen vereinbart haben. Das sind übrigens Bauarbeiter, keine Manager.",rentenalter gelten all ausser jen branchen welch gavs tief branchenlösungen vereinbart übrigens bauarbeiter manager,,,,"{'Das': 0.02, 'Rentenalter': 0.6950000000000001, 'gilt': 0, 'für': 0.06, 'ALLE': 0.38, 'Ausser': 0, 'jene': 0.11, 'Branchen': 0.04, 'welche': 0, 'in': 0.03, 'GAVs': 0.04, 'tiefere': 0.04, 'Branchenlösungen': 0.05500000000000001, 'vereinbart': 0.07, 'haben': 0.1, 'sind': 0.09, 'übrigens': 0.0625, 'Bauarbeiter': 0.04, 'keine': 0, 'Manager': 0}",positive,"[0.22405685, 0.0051410897, 0.7708021]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@pSchotty @realaydemir Das ist ein Problem, was angegengen werden muss. Sich aber deswegen gegen ein gleiches Rentenalter zu stellen verschärft das Problem in der AHV nur noch.",problem angegengen deswegen gleich rentenalter stellen verschärfen problem ahv,,,,"{'Das': 0.07, 'ist': 0.06, 'ein': 0, 'Problem': 0.19, 'was': 0, 'angegengen': 0, 'werden': 0, 'muss': 0.05, 'Sich': 0, 'aber': 0, 'deswegen': 0.21, 'gegen': 0, 'gleiches': 1.0, 'Rentenalter': 0.53, 'zu': 0.05, 'stellen': 0, 'verschärft': 0, 'das': 0.07, 'in': 0.08, 'der': 0.07, 'AHV': 0.17, 'nur': 0.34, 'noch': 0}",positive,"[0.33300337, 0.10027709, 0.5667195]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"@pSchotty @realaydemir Sie leben ja auch länger, wären im Bezug auf Anzahl Jahre in der AHV sogar mit gleichem Rentenalter noch besser gestellt.",leben ja lang bezug anzahl jahre ahv sogar gleich rentenalter gut stellen,,,,"{'Sie': 0, 'leben': 0, 'ja': 0.07, 'auch': 0.13, 'länger': 0.09, 'wären': 0.07, 'im': 0, 'Bezug': 0, 'auf': 0, 'Anzahl': 0, 'Jahre': 0.28, 'in': 0.17, 'der': 0.42, 'AHV': 0.2, 'sogar': 0.2, 'mit': 0.78, 'gleichem': 1.0, 'Rentenalter': 0.98, 'noch': 0, 'besser': 0.14, 'gestellt': 0}",neutral,"[0.6364152, 0.018067345, 0.34551746]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,@goldmariex @Vivi_Kaegi Mehr die Auszahlungen an sich zu beschränken. Das effektivste Mittel dazu wäre eine Kopplung des Rentenalters an die Lebenserwartung.,mehr auszahlungen beschränken effektivste mittel kopplung rentenalters lebenserwartung,,,,"{'Mehr': 0.09, 'die': 0.38, 'Auszahlungen': 0.31, 'an': 0, 'sich': 0, 'zu': 1.0, 'beschränken': 0, 'Das': 0.38, 'effektivste': 0.245, 'Mittel': 0, 'dazu': 1.0, 'wäre': 0.17, 'eine': 0, 'Kopplung': 0, 'des': 0, 'Rentenalters': 0.8200000000000001, 'Lebenserwartung': 0.33999999999999997}",neutral,"[0.77193356, 0.0091161635, 0.21895038]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,@dani_graf Egal wer es bezahlt hat: Der Inhalt stimmt. Mit Pflästerli-Politik kommen wir in der AHV-Geschichte nicht weiter. Diese unsägliche Politisierung des Rentenalters und Umwandlungssatz gehört abgeschafft und der Mathematik übergeben.,egal wer bezahlen inhalt stimmen pflästerli politik kommen ahv geschichte weit unsägliche politisierung rentenalters umwandlungssatz hören abschaffen mathematik übergeben,,,,"{'Egal': 0.05, 'wer': 0.02, 'es': 0.04, 'bezahlt': 0.02, 'hat': 0, 'Der': 0.13, 'Inhalt': 0, 'stimmt': 0.03, 'Mit': 0.07, 'Pflästerli-Politik': 0, 'kommen': 0, 'wir': 0, 'in': 0.04, 'der': 0.13, 'AHV-Geschichte': 0.07, 'nicht': 0, 'weiter': 0.05, 'Diese': 1.0, 'unsägliche': 1.0, 'Politisierung': 0.45, 'des': 0, 'Rentenalters': 0.275, 'und': 0.03, 'Umwandlungssatz': 0.15000000000000002, 'gehört': 0, 'abgeschafft': 0.64, 'Mathematik': 0.09, 'übergeben': 0.08}",neutral,"[0.39838833, 0.2658481, 0.33576357]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,25.0,28.0,-0.15,negative,"RT @russo_lf: Man verzeihe es mir, wenn ich es heuchlerisch finde, wenn selbsternannte FeministInnen gegen ein gleiches Rentenalter von Man…",verzeihen heuchlerisch finden selbsternannte feministinnen gleich rentenalter,,,,"{'Man': 0.22, 'verzeihe': 0.06, 'es': 0, 'mir': 0.03, 'wenn': 0.04, 'ich': 0.04, 'heuchlerisch': 0.23, 'finde': 0.05, 'selbsternannte': 0, 'FeministInnen': 0.36, 'gegen': 0, 'ein': 0, 'gleiches': 0, 'Rentenalter': 0.7849999999999999, 'von': 0, '…': 0}",positive,"[0.044903535, 0.006855621, 0.9482409]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,@rolnam Mal abgesehen von den Zahlen: Der Jet ist bereits im Budget und leistet einen wesentlichen Beitrag an die Lufthoheit und Sicherheit des Landes. Das kann man vom Vaterschaftsurlaub nicht behaupten. Ausserdem: Ferienplanung kann man selber machen. Babys kommen selten unangekündigt.,mal absehen zahlen jet bereits budget leisten wesentlich beitrag lufthoheit sicherheit landes vaterschaftsurlaub behaupten ausserdem ferienplanung selber babys kommen selten unangekündigt,,,,,,,"{'Mal': 0, 'abgesehen': 0.07, 'von': 0.03, 'den': 0.05, 'Zahlen': 0.09, 'Der': 0.05, 'Jet': 0.03, 'ist': 0.03, 'bereits': 0.03, 'im': 0, 'Budget': 0.03, 'und': 0.05, 'leistet': 0, 'einen': 0.03, 'wesentlichen': 0, 'Beitrag': 0.05, 'an': 0, 'die': 0.05, 'Lufthoheit': 0.04, 'Sicherheit': 0, 'des': 0.03, 'Landes': 0.05, 'Das': 0.05, 'kann': 0.1, 'man': 0, 'vom': 0.04, 'Vaterschaftsurlaub': 0.455, 'nicht': 0, 'behaupten': 0, 'Ausserdem': 0, 'Ferienplanung': 0.03, 'selber': 0, 'machen': 0, 'Babys': 0, 'kommen': 0.06, 'selten': 0, 'unangekündigt': 0.13}",positive,"[0.0025518732, 0.001301402, 0.9961467]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,"Der diesjährige Vatertag scheint ja bestens für den Vaterschaftsurlaub ausgenutzt zu werden.

Ich kenne jedoch kein Land auf der Welt, in dem ich mein evtl.-Kind lieber aufziehen würde als in der 🇨🇭, da brauchts nicht auch noch die Vollkasko vom Staat. Darum @lohnabzuegeNein",diesjährig vatertag scheinen ja bestens vaterschaftsurlaub ausnutzen kennen jedoch land welt evtl kind lieb aufziehen brauchts vollkasko staat darum,,,,,,,"{'Der': 0.01, 'diesjährige': 0.12, 'Vatertag': 0.33, 'scheint': 0.26, 'ja': 0, 'bestens': 0.94, 'für': 0.05, 'den': 0.01, 'Vaterschaftsurlaub': 0.685, 'ausgenutzt': 0, 'zu': 0.08, 'werden': 0, 'Ich': 0.01, 'kenne': 0.02, 'jedoch': 0.11, 'kein': 0.03, 'Land': 0, 'auf': 0, 'der': 0.01, 'Welt': 0.02, 'in': 0.01, 'dem': 0.045, 'ich': 0.01, 'mein': 0.02, 'evtl.-Kind': 0, 'lieber': 0.03, 'aufziehen': 0, 'würde': 0.01, 'als': 0, '🇨': 0, '🇭': 0, 'da': 0, 'brauchts': 0, 'nicht': 0, 'auch': 0, 'noch': 0, 'die': 0, 'Vollkasko': 0, 'vom': 0, 'Staat': 0, 'Darum': 0}",positive,"[0.06497132, 0.0035816252, 0.931447]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"RT @rudolf_mohler: Der #Vaterschaftsurlaub ist erst der Anfang. Tritt er in Kraft, sind weitere Begehrlichkeiten zur Verstaatlichung der Fa…",vaterschaftsurlaub erst anfang tritt kraft weit begehrlichkeiten verstaatlichung fa,,,,,,,"{'Der': 0.06, 'Vaterschaftsurlaub': 0.8, 'ist': 0.33, 'erst': 0, 'der': 0.06, 'Anfang': 0.16, 'Tritt': 0, 'er': 0.33, 'in': 0, 'Kraft': 0, 'sind': 0, 'weitere': 0.07, 'Begehrlichkeiten': 0.08, 'zur': 0.05, 'Verstaatlichung': 0, 'Fa': 0.07, '…': 0}",positive,"[0.13645716, 0.021182628, 0.8423602]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
