answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3446,absa_sentiment_3446,absa_scores_3446,absa_token_weights_3455,absa_sentiment_3455,absa_scores_3455,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3469,absa_sentiment_3469,absa_scores_3469,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,Unser Entscheid in der #SGK-N; Ja zur Cannabislegalisierung 👍 https://t.co/uTJkIkbkHu,entscheid sgk n ja cannabislegalisierung,"{'Unser': 0.09, 'Entscheid': 0.15, 'in': 0.06, 'der': 0.12, 'SGK-N': 0, 'Ja': 0, 'zur': 0.2, 'Cannabislegalisierung': 0.725}",positive,"[0.04140664, 0.0030833636, 0.95551]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,Ein kleiner aber wichtiger Schritt in die richtige Richtung: Der Nationalrat stimmt für die Abgabe von Cannabis zu medizinischen Zwecken. Enttabuisierung von Cannabis auch im #parlCH. Nächster Schritt nach Bewilligung Pilotversuch - hoffentlich bald kontrollierte Legalisierung!,klein wichtig schritt richtige richtung nationalrat stimmen abgabe cannabis medizinisch zwecken enttabuisierung cannabis parlch nächst schritt bewilligung pilotversuch hoffentlich bald kontrollieren legalisierung,"{'Ein': 0.04, 'kleiner': 0, 'aber': 0.04, 'wichtiger': 0.06, 'Schritt': 0.05, 'in': 0.04, 'die': 0.14, 'richtige': 0.04, 'Richtung': 0.06, 'Der': 0.14, 'Nationalrat': 0.11, 'stimmt': 0.04, 'für': 0.76, 'Abgabe': 0, 'von': 0, 'Cannabis': 0.42, 'zu': 0, 'medizinischen': 0.32, 'Zwecken': 0.21, 'Enttabuisierung': 0.04, 'auch': 0.04, 'im': 0, 'parlCH': 0.11, 'Nächster': 0, 'nach': 0.01, 'Bewilligung': 0, 'Pilotversuch': 0.125, 'hoffentlich': 0.04, 'bald': 0, 'kontrollierte': 0.07, 'Legalisierung': 0.29}",positive,"[0.44747767, 0.016349548, 0.5361728]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Der Nationalrat gibt grünes Licht für Pilotversuche legaler Cannabisabgaben in Städten (113:81). Auch wenn nur eine kontrollierte, komplette Liberalisierung das Problem mit dem Schwarzmarkt und fehlender Prävention lösen kann, ist es ein Schritt in die richtige Richtung. #parlCH",nationalrat geben grün licht pilotversuche legal cannabisabgaben städten kontrollieren komplette liberalisierung problem schwarzmarkt fehlend prävention lösen schritt richtige richtung parlch,"{'Der': 0.02, 'Nationalrat': 0.05, 'gibt': 0, 'grünes': 0.06, 'Licht': 0.04, 'für': 0.04, 'Pilotversuche': 0.08, 'legaler': 1.0, 'Cannabisabgaben': 1.0, 'in': 0.01, 'Städten': 0.04, '113:81': 0, 'Auch': 0, 'wenn': 0.01, 'nur': 0.01, 'eine': 0, 'kontrollierte': 0.02, 'komplette': 0.01, 'Liberalisierung': 0.05, 'das': 0, 'Problem': 0.02, 'mit': 0.01, 'dem': 0.02, 'Schwarzmarkt': 0.05, 'und': 0.01, 'fehlender': 0, 'Prävention': 0.02, 'lösen': 0.01, 'kann': 0.01, 'ist': 0.01, 'es': 0.01, 'ein': 0, 'Schritt': 0.01, 'die': 0.02, 'richtige': 0.01, 'Richtung': 0.01, 'parlCH': 0.04}",positive,"[0.085705414, 0.015594743, 0.8986998]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"#Cannabis-Pilotversuch: Eine hohe Qualität kann sichergestellt werden und der Schwarzmarkt wird eliminiert. Die Prävention wird vereinfacht, indem der Konsum nicht versteckt erfolgt. Für die Landwirtschaft schafft es zudem einen neuen Markt.

https://t.co/55IvFvdbTQ",cannabis pilotversuch hoch qualität sicherstellen schwarzmarkt eliminieren prävention vereinfachen konsum verstecken erfolgen landwirtschaft schaffen zudem neu markt,"{'Cannabis-Pilotversuch': 0.76, 'Eine': 0, 'hohe': 0, 'Qualität': 0.4, 'kann': 0.08, 'sichergestellt': 0.14, 'werden': 0, 'und': 0.18, 'der': 0.2, 'Schwarzmarkt': 0.22, 'wird': 0, 'eliminiert': 0.19, 'Die': 0.2, 'Prävention': 0.11, 'vereinfacht': 0.07, 'indem': 0, 'Konsum': 0.19, 'nicht': 0.02, 'versteckt': 0.08, 'erfolgt': 0, 'Für': 0.06, 'die': 0.2, 'Landwirtschaft': 0.34, 'schafft': 0.06, 'es': 0.03, 'zudem': 0, 'einen': 0.05, 'neuen': 0.08, 'Markt': 0.22}",positive,"[0.33799785, 0.11040653, 0.5515956]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Cannabis-Pilotversuch': 0.135, 'Eine': 0, 'hohe': 0, 'Qualität': 0.14, 'kann': 0.09, 'sichergestellt': 0.12, 'werden': 0, 'und': 0.06, 'der': 0.08, 'Schwarzmarkt': 0.385, 'wird': 0, 'eliminiert': 0.22, 'Die': 0.08, 'Prävention': 0.18, 'vereinfacht': 0.29, 'indem': 0, 'Konsum': 0.79, 'nicht': 0.28, 'versteckt': 0.37, 'erfolgt': 0, 'Für': 0.58, 'die': 0.08, 'Landwirtschaft': 0.58, 'schafft': 1.0, 'es': 0.19, 'zudem': 0, 'einen': 0.4, 'neuen': 1.0, 'Markt': 0.68}",positive,"[0.081989355, 0.00936233, 0.90864825]",positive
100.0,100.0,100.0,0.85,neutral,Ein wichtiger Entscheid für eine vernünftige Drogenpolitik. Eine Mehrheit des Nationalrates will auf wissenschaftlich begleitete Pilotversuche für kontrollierte Cannabis-Abgaben in Städten eintreten. 👍,wichtig entscheid vernünftig drogenpolitik mehrheit nationalrates wissenschaftlich begleiten pilotversuche kontrollieren cannabis abgaben städten eintreten,"{'Ein': 0.03, 'wichtiger': 0.02, 'Entscheid': 0.02, 'für': 0.39, 'eine': 0, 'vernünftige': 0.06, 'Drogenpolitik': 0.1, 'Eine': 0, 'Mehrheit': 0.01, 'des': 0, 'Nationalrates': 0.04, 'will': 0, 'auf': 0, 'wissenschaftlich': 0, 'begleitete': 0, 'Pilotversuche': 0.17, 'kontrollierte': 1.0, 'Cannabis-Abgaben': 1.0, 'in': 0.11, 'Städten': 0.12, 'eintreten': 0}",positive,"[0.46972716, 0.02651267, 0.50376016]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @ChristianLuedi: Schon gewählt?
Ich wähle am 20. Oktober Andri Silberschmidt in den Nationalrat.
#zämemitDir legalisieren wir Cannabis.…",schon wählen wählen oktober andri silberschmidt nationalrat zämemitdir legalisieren cannabis,"{'Schon': 0, 'gewählt': 0, 'Ich': 0.02, 'wähle': 0, 'am': 0, '20.': 0, 'Oktober': 0.03, 'Andri': 0.03, 'Silberschmidt': 0.1, 'in': 0, 'den': 0.03, 'Nationalrat': 0.05500000000000001, 'zämemitDir': 0, 'legalisieren': 1.0, 'wir': 0, 'Cannabis': 0.53, '…': 0}",neutral,"[0.6704055, 0.0069775954, 0.32261688]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @strategiedialog: #Rentenalter erhöhen oder #AHV ausbauen? 

Die Debatte um die Zukunft der #Altersvorsorge ist in vollem Gange, der #Di…",rentenalter erhöhen ahv ausbauen debatte zukunft altersvorsorge voll gange di,,,,"{'Rentenalter': 0.445, 'erhöhen': 0, 'oder': 0.8, 'AHV': 0.2, 'ausbauen': 0, 'Die': 0.08, 'Debatte': 0.22, 'um': 0, 'die': 0.08, 'Zukunft': 0.13, 'der': 0.08, 'Altersvorsorge': 0.42000000000000004, 'ist': 0.08, 'in': 0.06, 'vollem': 0.05, 'Gange': 0, 'Di': 0.07, '…': 0}",positive,"[0.15112983, 0.05154118, 0.79732907]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,@mediabeobachter @RentenVI Es gibt sehr viele ökonomischen Argumente für die Erhöhung des Rentenalters https://t.co/3S2MoJ9RJK,geben ökonomisch argumente erhöhung rentenalters,,,,"{'Es': 0, 'gibt': 0.13, 'sehr': 0, 'viele': 0, 'ökonomischen': 0.25, 'Argumente': 0.88, 'für': 0, 'die': 0.48, 'Erhöhung': 0, 'des': 0, 'Rentenalters': 0.765}",positive,"[0.19307621, 0.09121298, 0.7157109]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,"In den kommenden 25 Jahren fehlen 190 Milliarden CHF in der #AHV - gemäss #BSV. Und da bekämpfen Grüne und Gewerkschaften die Angleichung des Rentenalters. Völlig unglaubwürdig, in anderen Bereichen noch von nachhaltiger Politik zu sprechen. Es braucht die @RentenVI.",kommend jahren fehlen milliarden chf ahv gemäss bsv bekämpfen grüne gewerkschaften angleichung rentenalters völlig unglaubwürdig bereichen nachhaltig politik sprechen brauchen,,,,"{'In': 0.06, 'den': 0.13, 'kommenden': 0, '25': 0, 'Jahren': 0.05, 'fehlen': 0, '190': 0, 'Milliarden': 0, 'CHF': 0.05, 'in': 0.06, 'der': 0.13, 'AHV': 0.05, 'gemäss': 0.06, 'BSV': 0.09, 'Und': 0.17, 'da': 0, 'bekämpfen': 0, 'Grüne': 0, 'und': 0.17, 'Gewerkschaften': 0.47, 'die': 0.13, 'Angleichung': 0, 'des': 0.05, 'Rentenalters': 0.6599999999999999, 'Völlig': 0, 'unglaubwürdig': 0, 'anderen': 0, 'Bereichen': 0.1, 'noch': 0, 'von': 0.05, 'nachhaltiger': 0.13, 'Politik': 0, 'zu': 0.06, 'sprechen': 0.065, 'Es': 0.04, 'braucht': 0}",positive,"[0.37648943, 0.07871276, 0.5447978]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
0.0,0.0,0.0,-1.0,neutral,"Die Angleichung des Rentenalters ergibt Sinn #AHV21. Die langfristigen Herausforderungen in der Finanzierung der AHV bleiben aber ungelöst, weshalb es zwingend die @RentenVI braucht. @FuW_News https://t.co/aQbUUgeL3M",angleichung rentenalters ergeben sinn ahv21 langfristig herausforderungen finanzierung ahv bleiben ungelöst weshalb zwingen brauchen,,,,"{'Die': 0.08, 'Angleichung': 0, 'des': 0, 'Rentenalters': 0.765, 'ergibt': 0, 'Sinn': 0, 'AHV21.': 0, 'langfristigen': 0, 'Herausforderungen': 0.35, 'in': 0.06, 'der': 0.08, 'Finanzierung': 0.55, 'AHV': 0.11, 'bleiben': 0.07, 'aber': 0, 'ungelöst': 0.17, 'weshalb': 0, 'es': 0.05, 'zwingend': 0, 'die': 0.08, 'braucht': 0}",positive,"[0.15035309, 0.031050865, 0.81859607]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
0.0,0.0,14.0,-0.7,neutral,"@retolipp Ein Kompromiss wäre, ausgehend vom kumulierten Defizit vor #STAF (190 Mrd. CHF bis 2045) Sanierungsmassnahmen je zur Hälfte einnahmen- und ausgabenseitig zu beschliessen. Also ein Mix aus Rentenalter (inkl. Anreize, länger zu arbeiten) und Steuern.",kompromiss ausgehen kumulieren defizit staf mrd chf sanierungsmassnahmen je hälfte einnahmen ausgabenseitig beschliessen mix rentenalter inkl anreize lang arbeiten steuern,,,,"{'Ein': 0.42, 'Kompromiss': 0.19, 'wäre': 0.05, 'ausgehend': 0, 'vom': 0.04, 'kumulierten': 0, 'Defizit': 0.06, 'vor': 0.04, 'STAF': 0, '190': 0, 'Mrd.': 0.06, 'CHF': 0.08, 'bis': 0, '2045': 0, 'Sanierungsmassnahmen': 0.1, 'je': 0, 'zur': 0.08, 'Hälfte': 0.09, 'einnahmen-': 0, 'und': 0.64, 'ausgabenseitig': 0.05, 'zu': 0.12, 'beschliessen': 0.04, 'Also': 0, 'ein': 0, 'Mix': 1.0, 'aus': 0, 'Rentenalter': 0.875, 'inkl.': 0, 'Anreize': 0.21, 'länger': 0.07, 'arbeiten': 0.07, 'Steuern': 0}",neutral,"[0.97733307, 0.0068627438, 0.015804222]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"RT @RentenVI: Wissenschaftler stellen fest: Schweiz ist bereit für ein höheres Rentenalter: https://t.co/dyiTl5EgBy

#Renteninitiative unte…",wissenschaftler stellen fest schweiz bereiten hoch rentenalter renteninitiative unte,,,,"{'Wissenschaftler': 0, 'stellen': 0, 'fest': 0, 'Schweiz': 0.15, 'ist': 0.09, 'bereit': 0.35, 'für': 0.49, 'ein': 0, 'höheres': 1.0, 'Rentenalter': 1.0, 'Renteninitiative': 0.135, 'unte': 0, '…': 0}",positive,"[0.18086688, 0.019494535, 0.7996385]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"Die Rezession trifft die Altersvorsorge besonders hart: Ihr entgehen Lohnbeiträge und Steuereinnahmen in Milliardenhöhe. Damit könnte auch das Tabu eines höheren Rentenalters fallen.

https://t.co/iw2Z7lB3e9 https://t.co/fHoaNbkWcQ",rezession treffen altersvorsorge besonders hart entgehen lohnbeiträge steuereinnahmen milliardenhöhe tabu hoch rentenalters fallen,,,,"{'Die': 0.25, 'Rezession': 0.14, 'trifft': 0, 'die': 0.25, 'Altersvorsorge': 0.48000000000000004, 'besonders': 0, 'hart': 0, 'Ihr': 0, 'entgehen': 0, 'Lohnbeiträge': 0.05, 'und': 0.04, 'Steuereinnahmen': 0.16, 'in': 0.04, 'Milliardenhöhe': 0.1, 'Damit': 0.04, 'könnte': 0.81, 'auch': 0.37, 'das': 0, 'Tabu': 0, 'eines': 0, 'höheren': 0.21, 'Rentenalters': 0.605, 'fallen': 0}",positive,"[0.10114403, 0.27297154, 0.6258844]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,neutral,"Ein Grund unter vielen ist die Rentenalterdiskriminierung; weil die Dauer der Arbeitstätigkeit bis zur Pensionierung immer kürzer wird, was mit einer leichten Anhebung des Rentenalters entschärft würde (+weil Arbeit &gt;65 in manchen Berufsgruppen massiv erschwert wird). https://t.co/8ZJugr2jUH",grund rentenalterdiskriminierung dauer arbeitstätigkeit pensionierung immer kurz leicht anhebung rentenalters entschärfen arbeit gt manch berufsgruppen massiv erschweren,,,,"{'Ein': 0.02, 'Grund': 0, 'unter': 0, 'vielen': 0.09, 'ist': 0.02, 'die': 0.03, 'Rentenalterdiskriminierung': 0.52, 'weil': 0.02, 'Dauer': 0.06, 'der': 0.03, 'Arbeitstätigkeit': 0.05, 'bis': 0, 'zur': 0.035, 'Pensionierung': 0.04, 'immer': 0, 'kürzer': 0.05, 'wird': 0, 'was': 0, 'mit': 0.03, 'einer': 0.08, 'leichten': 0, 'Anhebung': 0, 'des': 0, 'Rentenalters': 0.04, 'entschärft': 0, 'würde': 0.04, 'Arbeit': 0.05, 'gt;65': 0, 'in': 0.02, 'manchen': 0.02, 'Berufsgruppen': 0.04, 'massiv': 0, 'erschwert': 0.04}",negative,"[0.012098325, 0.9668775, 0.021024138]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
