answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3473,absa_sentiment_3473,absa_scores_3473,sentiment_tb
100.0,100.0,100.0,1.0,neutral,"RT @danica_dzl: Was wir brauchen? Eine Elternzeit, bezahlbare und gute Kinderbetreuung, Arbeitsplätze in denen es klar und ok ist, dass Arb…",brauchen elternzeit bezahlbare gut kinderbetreuung arbeitsplätze klaren ok arb,"{'Was': 0, 'wir': 0, 'brauchen': 0.34, 'Eine': 0, 'Elternzeit': 0.21999999999999997, 'bezahlbare': 0, 'und': 0.03, 'gute': 0, 'Kinderbetreuung': 1.0, 'Arbeitsplätze': 0.2, 'in': 0.05, 'denen': 0, 'es': 0.03, 'klar': 0.11, 'ok': 0.08, 'ist': 0.03, 'dass': 0.04, 'Arb': 0, '…': 0}",positive,"[0.0007701589, 0.0009777074, 0.9982521]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,14.0,-0.6666666666666666,negative,"Familien-EL der richtige Weg ist, weiss ich nicht. Es setzt schlussendlich nicht bei den Ursachen an: Löhne, die nicht zum Leben reichen; zu wenig Teilzeitmöglichkeiten; zu teure Kinderbetreuung; Väter, die nicht zur Rechenschaft gezwungen werden, wenn sie Alimente nicht bezahlen",familien el richtige weiss setzen schlussendlich ursachen löhnen leben reich wenig teilzeitmöglichkeiten teuer kinderbetreuung väter rechenschaft zwingen alimente bezahlen,"{'Familien-EL': 0, 'der': 0.04, 'richtige': 0.03, 'Weg': 0, 'ist': 0.01, 'weiss': 0, 'ich': 0.01, 'nicht': 0.03, 'Es': 0.01, 'setzt': 0, 'schlussendlich': 0, 'bei': 0, 'den': 0.04, 'Ursachen': 0.09, 'an': 0, 'Löhne': 0.08, 'die': 0.04, 'zum': 0.035, 'Leben': 0, 'reichen': 0, 'zu': 0.03, 'wenig': 0, 'Teilzeitmöglichkeiten': 0.10500000000000001, 'teure': 1.0, 'Kinderbetreuung': 0, 'Väter': 0.07, 'zur': 0.035, 'Rechenschaft': 0, 'gezwungen': 0, 'werden': 0, 'wenn': 0, 'sie': 0, 'Alimente': 0, 'bezahlen': 0}",negative,"[0.002526661, 0.9488476, 0.04862572]",,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,negative,"@raffi931 @WohlgensingerN Ja Cannabis isch es Ruuschmittel
https://t.co/M2tPHBO2GA",ja cannabis isch ruuschmittel,,,,"{'Ja': 0, 'Cannabis': 0.59, 'isch': 0, 'es': 1.0, 'Ruuschmittel': 0}",neutral,"[0.78358084, 0.2094615, 0.00695765]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@raffi931 @WohlgensingerN Textilien sind heute schon kein Problem, für Tee tuts CBD und Beruhigungsmittel fällt unter Medizin. Da ist man dran. Ebenso bei der Regulierung/Legalisierung von Cannabis",textilien heute schon problem tee tuts cbd beruhigungsmittel fällen medizin dran ebenso regulierung legalisierung cannabis,,,,"{'Textilien': 0.14, 'sind': 0.13, 'heute': 0.1, 'schon': 0, 'kein': 0, 'Problem': 0.08, 'für': 0.08, 'Tee': 0, 'tuts': 0, 'CBD': 0.15, 'und': 0.08, 'Beruhigungsmittel': 0, 'fällt': 0, 'unter': 0, 'Medizin': 0.36, 'Da': 0, 'ist': 0.06, 'man': 0, 'dran': 0.1, 'Ebenso': 0, 'bei': 0, 'der': 0.15, 'Regulierung': 0.48, 'Legalisierung': 0.78, 'von': 0, 'Cannabis': 1.0}",positive,"[0.36624393, 0.006189124, 0.62756693]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,@raffi931 @WohlgensingerN Fällt glaubs ins Betäubungsmittelgesetz. Cannabis. Nicht Asbest. 😜,fällen glaubs betäubungsmittelgesetz cannabis asbest,,,,"{'Fällt': 0.07, 'glaubs': 0.075, 'ins': 0, 'Betäubungsmittelgesetz': 0.065, 'Cannabis': 0.42, 'Nicht': 1.0, 'Asbest': 1.0}",neutral,"[0.893353, 0.008982841, 0.09766414]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,@wanner_fabio Die BDP fordert(e) zumind. die Kopplung des Rentenalters an die Lebenserwartung schon lange...,bdp fordern e zumind kopplung rentenalters lebenserwartung schon lang,,,,,,,"{'Die': 0.37, 'BDP': 0.16, 'fordert': 0, 'e': 0.15, 'zumind': 0.125, 'die': 0.37, 'Kopplung': 0, 'des': 0, 'Rentenalters': 0.135, 'an': 0, 'Lebenserwartung': 0.16499999999999998, 'schon': 0, 'lange': 0.45, '...': 0}",neutral,"[0.5439887, 0.014943933, 0.4410674]",,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,14.0,-0.6,neutral,"Es gibt bzgl. den ""alten weissen Männern"" übrigens noch eine andere Realität als die des linken Narratives:
Spediteure, Chauffeure, Täxeler etc, die über das Rentenalter hinaus chnüttläd und trotzdem nie wirklich auf einen grünen Zweig kommen.
#oldwhitemen",geben bzgl alt weissen männern übrigens realität link narrativ spediteure chauffeure täxeler etc rentenalter hinaus chnüttläd trotzdem nie wirklich grün zweig kommen oldwhitemen,,,,,,,"{'Es': 0.02, 'gibt': 0, 'bzgl.': 0, 'den': 0.03, 'alten': 0.02, 'weissen': 0.02, 'Männern': 0.03, 'übrigens': 0.03, 'noch': 0.18, 'eine': 0, 'andere': 0, 'Realität': 0.06, 'als': 0, 'die': 0.03, 'des': 0, 'linken': 0.04, 'Narratives': 0, 'Spediteure': 0, 'Chauffeure': 0.08, 'Täxeler': 0, 'etc': 0.04, 'über': 0, 'das': 0.02, 'Rentenalter': 0.6000000000000001, 'hinaus': 0, 'chnüttläd': 0, 'und': 0.12, 'trotzdem': 0, 'nie': 0, 'wirklich': 0.11, 'auf': 0, 'einen': 0, 'grünen': 0, 'Zweig': 0, 'kommen': 0.09, 'oldwhitemen': 0.1}",neutral,"[0.5365533, 0.2575195, 0.20592712]",,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,negative,"RT @DieJungeMitteCH: Auch mit dem gleichen Rentenalter ist die AHV noch nicht langfristig saniert. Umso mehr verstehen wir es nicht, warum…",gleich rentenalter ahv langfristig sanieren umso mehr verstehen warum,,,,,,,"{'Auch': 0, 'mit': 0.8, 'dem': 0.07, 'gleichen': 1.0, 'Rentenalter': 0.96, 'ist': 0, 'die': 0.07, 'AHV': 0.13, 'noch': 0, 'nicht': 0.15, 'langfristig': 0.060000000000000005, 'saniert': 0, 'Umso': 0.07, 'mehr': 0.08, 'verstehen': 0.05, 'wir': 0, 'es': 0, 'warum': 0.09, '…': 0}",neutral,"[0.85915387, 0.035798557, 0.10504756]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,RT @IZMartinez86: Meine Kolumne in der @Handelszeitung diese Woche dreht sich ums #Frauenrentenalter 65 - und warum ich dieses als Ökonomin…,kolumne woche drehen ums frauenrentenalter warum ökonomin,,,,,,,"{'Meine': 0.1, 'Kolumne': 0.24, 'in': 0, 'der': 0, 'diese': 0.14, 'Woche': 0.18, 'dreht': 0, 'sich': 0, 'ums': 0, 'Frauenrentenalter': 0.6275, '65': 0, 'und': 0.27, 'warum': 0.23, 'ich': 0.12, 'dieses': 0.14, 'als': 0.1, 'Ökonomin': 0.23, '…': 0}",positive,"[0.21901883, 0.023444252, 0.75753695]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Fakten zum #Frauenrentenalter im @walliserbote. Machen wir vorwärts - zuerst in der #AHV, dann beim #BVG
@Mitte_Centre @DieJungeMitteCH https://t.co/slzlk5t3RV",fakten frauenrentenalter vorwärts zuerst ahv beim bvg,,,,,,,"{'Fakten': 0.07, 'zum': 0.14, 'Frauenrentenalter': 0.09, 'im': 0, 'Machen': 0, 'wir': 0, 'vorwärts': 0.05, 'zuerst': 0.05, 'in': 0.08, 'der': 0.14, 'AHV': 0.25, 'dann': 0.06, 'beim': 0.14, 'BVG': 1.0}",positive,"[0.091029696, 0.013841482, 0.89512885]",,,,,,,,,,,,,,,,,,,,,,neutral
