answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
0.0,0.0,0.0,-1.0,neutral,"@narimoldi Glaub mir, wenn ich die Unternehmen zu etwas zwingen wollte, dann wäre es nicht der Vaterschaftsurlaub. Was denkst du, wie viele Väter z.B. tätig in den Pilatus Flugzeugwerken gerne Zeit mit ihren Kindern verbringen würden, dies aber von der Firmenleitung verunmöglicht will?",glaub unternehmen zwingen vaterschaftsurlaub denken väter z b tätigen pilatus flugzeugwerken gerne zeit kindern verbringen firmenleitung verunmöglicht,"{'Glaub': 0.06, 'mir': 0.03, 'wenn': 0.26, 'ich': 0.04, 'die': 0.01, 'Unternehmen': 0.01, 'zu': 0.01, 'etwas': 0.2, 'zwingen': 0.09000000000000001, 'wollte': 0.09, 'dann': 0, 'wäre': 0.03, 'es': 0, 'nicht': 0, 'der': 0.01, 'Vaterschaftsurlaub': 0.575, 'Was': 0, 'denkst': 0.04, 'du': 0, 'wie': 0.08, 'viele': 0, 'Väter': 0.02, 'z.B.': 0, 'tätig': 0, 'in': 0.01, 'den': 0.01, 'Pilatus': 0.03, 'Flugzeugwerken': 0.01, 'gerne': 0, 'Zeit': 0.03, 'mit': 0.02, 'ihren': 0, 'Kindern': 0.01, 'verbringen': 0.02, 'würden': 0.03, 'dies': 0, 'aber': 0.03, 'von': 0, 'Firmenleitung': 0.01, 'verunmöglicht': 0.03, 'will': 0}",neutral,"[0.51380086, 0.3088543, 0.17734484]",,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"Die ganze Zeit reden sie von ""unternehmerischer Freiheit"", aber sobald ein Unternehmen (von sich aus!) Schokolade einer Firma mit homophober Geschäftsleitung nicht mehr anbietet oder sich öffentlich für einen zweiwöchigen (!) Vaterschaftsurlaub einsetzt, ist hier der Teufel los.",ganze zeit reden unternehmerischer freiheit sobald unternehmen schokolade firma homophober geschäftsleitung mehr anbieten öffentlich zweiwöchigen vaterschaftsurlaub einsetzen teufel los,"{'Die': 0.05, 'ganze': 0, 'Zeit': 0.02, 'reden': 0, 'sie': 0, 'von': 0, 'unternehmerischer': 0.14, 'Freiheit': 0.07, 'aber': 0.04, 'sobald': 0.025, 'ein': 0, 'Unternehmen': 0.11, 'sich': 0, 'aus': 0, 'Schokolade': 0.06, 'einer': 0, 'Firma': 0.11, 'mit': 0.15, 'homophober': 0, 'Geschäftsleitung': 0.42, 'nicht': 0, 'mehr': 0, 'anbietet': 0.09, 'oder': 0.19, 'öffentlich': 0.14, 'für': 0, 'einen': 0.06, 'zweiwöchigen': 0, 'Vaterschaftsurlaub': 0.45999999999999996, 'einsetzt': 0, 'ist': 0.03, 'hier': 0.03, 'der': 0.05, 'Teufel': 0.07, 'los': 0.05}",negative,"[0.15887117, 0.786441, 0.05468781]",,,,,,,,,,,,,neutral
75.0,75.0,71.0,0.35,neutral,"@narimoldi Aber der Grundsatz ""Marktwirtschaftliche Gesellschaft"" wurde von der FDP doch gar nie aufgegeben.🤔",grundsatz marktwirtschaftliche gesellschaft fdp gar nie aufgeben,,,,"{'Aber': 0.14, 'der': 0.16, 'Grundsatz': 0.25, 'Marktwirtschaftliche': 0.8049999999999999, 'Gesellschaft': 1.0, 'wurde': 0, 'von': 0, 'FDP': 0.28, 'doch': 0, 'gar': 0, 'nie': 0, 'aufgegeben': 0.155, '🤔': 0}",positive,"[0.23941477, 0.16465566, 0.5959295]",,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"@basilanderau @NZZ Und dann kommt die @FDP_Liberalen daher und nennt sich ""liberal"", dabei sind ihre Werte nix weiter als ""marktwirtschaftlich"".🤷🏼‍♀️",kommen daher nennen liberal dabei werte nix weit marktwirtschaftlich,,,,"{'Und': 0.1, 'dann': 0.06, 'kommt': 0.09, 'die': 0, 'daher': 0, 'und': 0.1, 'nennt': 0, 'sich': 0, 'liberal': 0.12, 'dabei': 0, 'sind': 0.12, 'ihre': 0, 'Werte': 0.17, 'nix': 0, 'weiter': 0, 'als': 0, 'marktwirtschaftlich"".': 0.27, '🤷': 0, '\u200d️': 0}",neutral,"[0.7929431, 0.043069836, 0.16398701]",,,,,,,,,,positive
100.0,100.0,100.0,0.7999999999999999,positive,"@redder66 Es ist alles legitim, wenn es dafür bei uns genug Cash generiert. Dann ist es nämlich ""die freie Marktwirtschaft"" und ""es herrscht ja eine Nachfrage"".",legitim dafür genug cash generieren nämlich freie marktwirtschaft herrschen ja nachfragen,,,,"{'Es': 0.02, 'ist': 0.02, 'alles': 0.04, 'legitim': 0.04, 'wenn': 0.03, 'es': 0.02, 'dafür': 0, 'bei': 0, 'uns': 0.04, 'genug': 0.03, 'Cash': 0.1, 'generiert': 0, 'Dann': 0.03, 'nämlich': 0.08, 'die': 0.25, 'freie': 1.0, 'Marktwirtschaft': 0.685, 'und': 0.08, 'herrscht': 0, 'ja': 0.08, 'eine': 0, 'Nachfrage': 0.12}",positive,"[0.0074066394, 0.0042881896, 0.9883052]",,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"@narimoldi Ich bin auch der Meinung, dass unsere Demokratie ein Erfolgsrezept ist. Geschäfte und Verträge werden allerdings nur abgeschlossen, wenn beide Seiten davon profitieren. Die EU will von uns profitieren, genau wie wir von ihr. Kleines 1×1 der Marktwirtschaft.",meinung demokratie erfolgsrezept geschäfte verträge allerdings abschließen beid seiten davon profitieren eu profitieren genau klein marktwirtschaft,,,,"{'Ich': 0.03, 'bin': 0, 'auch': 0.06, 'der': 0.21, 'Meinung': 0, 'dass': 0.05, 'unsere': 0.03, 'Demokratie': 0.05, 'ein': 0, 'Erfolgsrezept': 0.035, 'ist': 0.03, 'Geschäfte': 0, 'und': 0.04, 'Verträge': 0.07, 'werden': 0, 'allerdings': 0, 'nur': 0.06, 'abgeschlossen': 0, 'wenn': 0.1, 'beide': 0.04, 'Seiten': 0, 'davon': 0.18, 'profitieren': 0.13, 'Die': 0.21, 'EU': 0.03, 'will': 0, 'von': 0.11, 'uns': 0.06, 'genau': 0.03, 'wie': 0, 'wir': 0, 'ihr': 0, 'Kleines': 0, '1×1': 0, 'Marktwirtschaft': 0.32}",negative,"[0.018920643, 0.9270347, 0.05404471]",,,,,,,,,,positive
100.0,100.0,100.0,0.7749999999999999,negative,"@ckping @ZeitRauber @MattpaMueller @NZZ Jetzt braucht es nur noch jemand, der diese eigenverantwortlichen Frauen auch für höhere Positionen einstellt... oh wait, das tut keiner? Was? Liberale Marktwirtschaft? Ah, dann ist es natürlich fair, dass schon wieder ein Günther befördert wurde.",brauchen jemand eigenverantwortlich frauen hoch positionen einstellen oh wait tun liberale marktwirtschaft ah natürlich fair schon günther befördern,,,,"{'Jetzt': 0.02, 'braucht': 0, 'es': 0.03, 'nur': 0, 'noch': 0, 'jemand': 0.06, 'der': 0, 'diese': 0, 'eigenverantwortlichen': 0, 'Frauen': 0.11, 'auch': 0, 'für': 0.02, 'höhere': 0.03, 'Positionen': 0.09, 'einstellt': 0, '...': 0, 'oh': 0.03, 'wait': 0.06, 'das': 0.05, 'tut': 0.06, 'keiner': 0, 'Was': 0, 'Liberale': 1.0, 'Marktwirtschaft': 0.89, 'Ah': 0.08, 'dann': 0.06, 'ist': 0.03, 'natürlich': 0, 'fair': 0.12, 'dass': 0.05, 'schon': 0, 'wieder': 0, 'ein': 0, 'Günther': 0, 'befördert': 0.1, 'wurde': 0}",positive,"[0.029669771, 0.0041157515, 0.9662144]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"RT @PGrasarevic: @Elisabeth_S_S ""Es geht nicht ums Klima"" rufen alle Politiker, die der Ansicht sind, dass man bei Umweltschutz nur diejeni…",gehen ums klima rufen all politiker ansicht umweltschutz diejeni,,,,,,,"{'Es': 0, 'geht': 0, 'nicht': 0.06, 'ums': 0, 'Klima': 0.04, 'rufen': 0, 'alle': 0, 'Politiker': 0, 'die': 0.18, 'der': 0.18, 'Ansicht': 0.06, 'sind': 0.04, 'dass': 0.49, 'man': 0, 'bei': 0, 'Umweltschutz': 0, 'nur': 1.0, 'diejeni': 0, '…': 0}",neutral,"[0.75102895, 0.045299493, 0.20367156]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Aber wehe, es geht um Umweltschutz oder Gleichstellung. Dann ist jedes klitzekleine Gesetz sofort ein Eingriff in die persönliche Freiheit, Verbotspolitik wie noch in der DDR und sowieso der Untergang des Abendlandes.",wehe gehen umweltschutz gleichstellung jed klitzekleine gesetz sofort eingreifen persönlich freiheit verbotspolitik ddr sowieso untergang abendlandes,,,,,,,"{'Aber': 0.08, 'wehe': 0.23, 'es': 0.06, 'geht': 0, 'um': 0, 'Umweltschutz': 0.8, 'oder': 0.95, 'Gleichstellung': 1.0, 'Dann': 0.1, 'ist': 0.06, 'jedes': 0, 'klitzekleine': 0.1, 'Gesetz': 0.22, 'sofort': 0.03, 'ein': 0, 'Eingriff': 0, 'in': 0.03, 'die': 0.04, 'persönliche': 0.07, 'Freiheit': 0.14, 'Verbotspolitik': 0.125, 'wie': 0, 'noch': 0, 'der': 0.04, 'DDR': 0, 'und': 0.02, 'sowieso': 0.02, 'Untergang': 0.06, 'des': 0, 'Abendlandes': 0}",positive,"[0.18620072, 0.17106211, 0.6427372]",,,,,,,neutral
100.0,100.0,86.0,0.7,negative,"Wenn die Politik gegen den #klimawandel so schnell Massnahmen ergreifen würde wie gegen das #coronavirus, dann wäre das Thema längst vom Tisch. Es soll mir keiner sagen, dass Umweltschutz finanziell, technisch und gesellschaftlich nicht möglich ist. Man will einfach nicht.",politik klimawandel schnellen massnahmen ergreifen coronavirus thema längst tisch sagen umweltschutz finanziell technisch gesellschaftlich möglich einfach,,,,,,,"{'Wenn': 0, 'die': 0.01, 'Politik': 0, 'gegen': 0.01, 'den': 0.01, 'klimawandel': 0.01, 'so': 0, 'schnell': 0, 'Massnahmen': 0, 'ergreifen': 0, 'würde': 0.01, 'wie': 0, 'das': 0.33, 'coronavirus': 0.02, 'dann': 0.02, 'wäre': 0.01, 'Thema': 0, 'längst': 0.02, 'vom': 0.01, 'Tisch': 0.01, 'Es': 0.21, 'soll': 0, 'mir': 0.06, 'keiner': 0, 'sagen': 0.04, 'dass': 0.33, 'Umweltschutz': 0.42, 'finanziell': 0.2, 'technisch': 0, 'und': 0, 'gesellschaftlich': 0.08, 'nicht': 1.0, 'möglich': 1.0, 'ist': 0.21, 'Man': 0, 'will': 0, 'einfach': 0}",negative,"[0.2868115, 0.66639143, 0.04679709]",,,,,,,positive
