answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @SchenkerSilvia: Solange der #Vaterschaftsurlaub als „Ferien“ für Väter bezeichnet wird, werden wir in diesem Thema nie weiterkommen. ht…",solange vaterschaftsurlaub ferien väter bezeichnen thema nie weiterkommen ht,"{'Solange': 0, 'der': 0.45, 'Vaterschaftsurlaub': 0.75, 'als': 0.19, '„': 0, 'Ferien': 0, '“': 0, 'für': 0, 'Väter': 0, 'bezeichnet': 0, 'wird': 0, 'werden': 0, 'wir': 0, 'in': 0, 'diesem': 0, 'Thema': 0, 'nie': 0, 'weiterkommen': 0, 'ht': 0, '…': 0}",positive,"[0.018819401, 0.005776581, 0.975404]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @natalieimboden: #Windelweich! Kommentar zum Vaterschaftsurlaub: Dieser Entscheid ist #windelweich  https://t.co/6BRKAICVUr,windelweich kommentar vaterschaftsurlaub entscheid windelweich,"{'Windelweich': 0, 'Kommentar': 0.92, 'zum': 0, 'Vaterschaftsurlaub': 0.45499999999999996, 'Dieser': 0.23, 'Entscheid': 0.45, 'ist': 0.18, 'windelweich': 0}",positive,"[0.036733326, 0.0060650287, 0.95720166]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @sniederhauserbl: #Vaterschaftsurlaub hilft der beruflichen #Gleichberechtigung! So besteht auch bei Männern das „Risiko“ schwanger zu w…,vaterschaftsurlaub helfen beruflich gleichberechtigung bestehen männern risiko schwanger w,"{'Vaterschaftsurlaub': 0.54, 'hilft': 0.98, 'der': 0.06, 'beruflichen': 0.16, 'Gleichberechtigung': 0, 'So': 0.13, 'besteht': 0, 'auch': 0.07, 'bei': 0, 'Männern': 0.04, 'das': 0, '„': 0, 'Risiko': 0, '“': 0, 'schwanger': 0, 'zu': 0, 'w': 0, '…': 0}",positive,"[0.00206852, 0.0017839062, 0.99614763]",,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @papizeit: Initiative für 4 Wochen #Vaterschaftsurlaub startet Ende Mai! Wer hilft mit? https://t.co/r6YHS93gsx https://t.co/oqFBsi2kpC,initiative wochen vaterschaftsurlaub starten ende mai wer helfen,"{'Initiative': 0.21, 'für': 0.19, '4': 0, 'Wochen': 0.17, 'Vaterschaftsurlaub': 1.0, 'startet': 0, 'Ende': 0.23, 'Mai': 0.46, 'Wer': 0.23, 'hilft': 0, 'mit': 0}",neutral,"[0.9083644, 0.050833248, 0.04080242]",,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @adrianwuethrich: Vaterschaftsurlaub: Travail.Suisse bereitet Volksinitiative vor. @papizeit @srfnews @BernerZeitung @tagesanzeiger @NZZ…,vaterschaftsurlaub travail suisse bereiten volksinitiative,"{'Vaterschaftsurlaub': 0.975, 'Travail': 0, 'Suisse': 0.3, 'bereitet': 0.24, 'Volksinitiative': 0.235, 'vor': 0, '…': 0}",positive,"[0.21144414, 0.009318217, 0.7792377]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @evppev: Wenn #postfaktisch das #wortdesjahres 2016 war, was sind dann Burka-Plakate gegen erleichterte Einbürgerung 2017? https://t.co/…",postfaktisch wortdesjahres burka plakate erleichtern einbürgerung,,,,"{'Wenn': 0, 'postfaktisch': 0.07500000000000001, 'das': 0, 'wortdesjahres': 0.05875, '2016': 0, 'war': 0, 'was': 0.04, 'sind': 0.16, 'dann': 0, 'Burka-Plakate': 0.24, 'gegen': 0.78, 'erleichterte': 0, 'Einbürgerung': 1.0, '2017': 0}",positive,"[0.20149755, 0.02316577, 0.7753367]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,RT @Life_Channel: EMK-Ausschuss für Einbürgerung | Jesuit äussert sich gegen Terrorismus | SG: Café International macht auf... https://t.co…,emk ausschuss einbürgerung jesuit äussert terrorismus sg café international,,,,"{'EMK-Ausschuss': 0.61, 'für': 0, 'Einbürgerung': 1.0, 'Jesuit': 0.1, 'äussert': 0, 'sich': 0, 'gegen': 0.13, 'Terrorismus': 0.13, 'SG': 0.06, 'Café': 0, 'International': 0.07, 'macht': 0, 'auf': 1.0, '...': 0}",positive,"[0.111792006, 0.004956628, 0.8832514]",,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @evppev: Ein klares Ja von @MarianneStreiff @evppev für die erleichterte Einbürgerung der dritten Ausländergeneration: https://t.co/oS0z…,klar ja erleichtern einbürgerung dritt ausländergeneration,,,,"{'Ein': 0.1, 'klares': 0, 'Ja': 0, 'von': 0.2, 'für': 0.63, 'die': 0.2, 'erleichterte': 0, 'Einbürgerung': 1.0, 'der': 0.2, 'dritten': 0.17, 'Ausländergeneration': 0.165}",positive,"[0.002294565, 0.001559939, 0.9961455]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @MarianneStreiff: Soeben haben wir die Unterschriften des Referendums gegen das Fortpflanzungsmedizingesetz eingereicht!,soeben unterschriften referendums fortpflanzungsmedizingesetz einreichen,,,,,,,"{'Soeben': 0.06, 'haben': 0.09, 'wir': 0, 'die': 0.28, 'Unterschriften': 0, 'des': 0, 'Referendums': 0, 'gegen': 1.0, 'das': 0, 'Fortpflanzungsmedizingesetz': 0.4325, 'eingereicht': 0}",positive,"[0.43295932, 0.035963234, 0.53107744]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,RT @evppev: EVP-Präsidentin @MarianneStreiff zum Referendum gegen Fortpflanzungsmedizingesetz: «PID nur in engen Grenzen» http://t.co/yY0dG…,evp präsidentin referendum fortpflanzungsmedizingesetz pid eng grenzen,,,,,,,"{'EVP-Präsidentin': 0.16999999999999998, 'zum': 0.27, 'Referendum': 0.37, 'gegen': 0.65, 'Fortpflanzungsmedizingesetz': 0.8475, '«': 0, 'PID': 0, 'nur': 0, 'in': 0, 'engen': 0, 'Grenzen': 0, '»': 0}",neutral,"[0.7438115, 0.0588519, 0.19733658]",,,,,,,,,,,,,,,,,,,positive
