answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3452,absa_sentiment_3452,absa_scores_3452,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,Heute im #SonnTalk (in Klammer meine Meinung nach Sichtung der Dossier): US-Kampfjets (=nicht sinnvoller Entscheid) / Impfskeptiker (= sind mit einer Info-Kampagne zu begegnen) / Cannabis (=regulieren statt kriminalisieren) https://t.co/vf0elwRALo,heute sonntalk klammern meinung sichtung dossier us kampfjets sinnvoll entscheid impfskeptiker info kampagne begegnen cannabis regulieren statt kriminalisieren,"{'Heute': 0.03, 'im': 0, 'SonnTalk': 0.02, 'in': 0.01, 'Klammer': 0, 'meine': 0.01, 'Meinung': 0.01, 'nach': 0.01, 'Sichtung': 0, 'der': 0.02, 'Dossier': 0.02, '):': 0, 'US-Kampfjets': 0.035, '(=': 0, 'nicht': 0, 'sinnvoller': 0.03, 'Entscheid': 0.06, 'Impfskeptiker': 0.095, 'sind': 0, 'mit': 0.05, 'einer': 0, 'Info-Kampagne': 0, 'zu': 0, 'begegnen': 0, 'Cannabis': 1.0, 'regulieren': 0.16, 'statt': 0.1, 'kriminalisieren': 0.12}",neutral,"[0.98012954, 0.015199338, 0.0046712006]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,Ist das eigentlich Fake-Account von Kollegin Herzog? Scheint auch einen fast-religiösen Kampf gegen Cannabis zu führen.. https://t.co/njz4O5nED4,eigentlich fake account kollegin herziehen scheinen fast religiös kampf cannabis fahren,"{'Ist': 0.02, 'das': 0.05, 'eigentlich': 0.02, 'Fake-Account': 0, 'von': 0.05, 'Kollegin': 0, 'Herzog': 0.06, 'Scheint': 0.05, 'auch': 0, 'einen': 0.03, 'fast-religiösen': 0.26, 'Kampf': 1.0, 'gegen': 1.0, 'Cannabis': 0.73, 'zu': 0.03, 'führen': 0.03, '..': 0}",neutral,"[0.8283551, 0.008604383, 0.16304047]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,RT @jGruene_jVertEs: Nach #srfarena ist es wohl der ganzen Schweiz klar: #Cannabis muss legalisiert werden! @bastiengirod https://t.co/ndTc…,srfarena wohl ganz schweiz klaren cannabis legalisieren,"{'Nach': 0.05, 'srfarena': 0.16, 'ist': 0.03, 'es': 0.03, 'wohl': 0, 'der': 0, 'ganzen': 0, 'Schweiz': 0.11, 'klar': 0.09, 'Cannabis': 0.5, 'muss': 0.05, 'legalisiert': 1.0, 'werden': 0}",positive,"[0.18841846, 0.010519429, 0.8010621]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @jonasprojer: Wir brauchen einen kontrollierten, entkriminalisierten Umgang mit Cannabis, findet @bastiengirod, Vizepräsident @GrueneCH.…",brauchen kontrollieren entkriminalisiere umgang cannabis finden vizepräsident,"{'Wir': 0.17, 'brauchen': 0.33, 'einen': 0.12, 'kontrollierten': 0.28, 'entkriminalisierten': 0.33, 'Umgang': 0, 'mit': 0, 'Cannabis': 1.0, 'findet': 0.27, 'Vizepräsident': 0.5, '…': 0}",positive,"[0.2874968, 0.016485943, 0.6960173]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,71.0,0.15,neutral,Zur #SRFArena Link und Grafik: http://t.co/LFUbLErSqJ Aber in Cannabis-Debatte haben es rationale Argumente schwer.. http://t.co/XDIMNs6U3o,srfarena link grafik cannabis debatte rational argumente schwer,"{'Zur': 0.095, 'SRFArena': 0.12, 'Link': 0.06, 'und': 0.09, 'Grafik': 0.07, 'Aber': 0.23, 'in': 0.13, 'Cannabis-Debatte': 0.11499999999999999, 'haben': 0.16, 'es': 0, 'rationale': 0, 'Argumente': 0.18, 'schwer': 0, '..': 0}",neutral,"[0.7934078, 0.1044683, 0.102123916]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @MarkusGilli: #SonnTalk: Themen: AHV: Rentenalter 65 für Frauen alternativlos? Hitzesommer im Wahljahr: Kühlen Kopf bewahren? EU-Ultimat…,sonntalk themen ahv rentenalter frauen alternativlos hitzesommer wahljahr kühlen kopf bewahren eu ultimat,,,,"{'SonnTalk': 0.2, 'Themen': 0, 'AHV': 1.0, 'Rentenalter': 0.675, '65': 0, 'für': 0.3, 'Frauen': 0.18, 'alternativlos': 0.13, 'Hitzesommer': 0.08, 'im': 0, 'Wahljahr': 0.05, 'Kühlen': 0.12, 'Kopf': 0.04, 'bewahren': 0, 'EU-Ultimat': 0, '…': 0}",positive,"[0.3204775, 0.03424512, 0.6452774]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,25.0,28.0,-0.15,neutral,"@retinhoo was Sanierung, wenn sie von Bevölkerung abgelehnt wird? Erhöhung Rentenalter und Kürzung 2te Säule müssen sozial abgefedert werden",sanierung bevölkerung ablehnen erhöhung rentenalter kürzung 2te säule müssen sozial abfedern,,,,"{'was': 0, 'Sanierung': 0, 'wenn': 0.07, 'sie': 0, 'von': 0, 'Bevölkerung': 0.47, 'abgelehnt': 0, 'wird': 0, 'Erhöhung': 0, 'Rentenalter': 0.72, 'und': 0.54, 'Kürzung': 0, '2te': 0, 'Säule': 0.14, 'müssen': 0, 'sozial': 0, 'abgefedert': 0.15, 'werden': 0}",negative,"[0.43379098, 0.4502313, 0.115977675]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @GrueneCH: Vergiss nicht, dieses Wochenende abstimmen zu gehen! 🗳 

✅ Ja zum Vaterschaftsurlaub
❌ Nein zu den Kampfjet-Milliarden
❌ Nein…",vergiss wochenende abstimmen gehen ja vaterschaftsurlaub nein kampfjet milliarden nein,,,,,,,"{'Vergiss': 0.17, 'nicht': 0, 'dieses': 0.15, 'Wochenende': 0.16, 'abstimmen': 0.63, 'zu': 0.36, 'gehen': 0, 'Ja': 0, 'zum': 0.245, 'Vaterschaftsurlaub': 0.5549999999999999, 'Nein': 0.35, 'den': 0.13, 'Kampfjet-Milliarden': 0.155, '…': 0}",positive,"[0.004508316, 0.0030782346, 0.99241346]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @papizeit: Geschafft 😘 120'000 Unterschriften für die #Vaterschaftsurlaub #Initiative gesammelt! 
https://t.co/b4BYAhVzCc https://t.co/m…",schaffen unterschriften vaterschaftsurlaub initiative sammeln,,,,,,,"{'Geschafft': 0, ""120'000"": 0, 'Unterschriften': 0.27, 'für': 0.14, 'die': 0.19, 'Vaterschaftsurlaub': 0.25, 'Initiative': 1.0, 'gesammelt': 0}",positive,"[0.009604613, 0.0027699799, 0.9876254]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"""Weil Bastien Girod sich für den #Vaterschaftsurlaub einsetzt."" Ornella Ferro, Sozialarbeiterin

#GirodFürZüri http://t.co/ZtmO99Snd9",bastien girod vaterschaftsurlaub einsetzen ornella ferro sozialarbeiterin girodfürzüri,,,,,,,"{'Weil': 0.25, 'Bastien': 0.23, 'Girod': 0.13, 'sich': 0, 'für': 0, 'den': 0, 'Vaterschaftsurlaub': 0.65, 'einsetzt': 0, 'Ornella': 0.16, 'Ferro': 0.08, 'Sozialarbeiterin': 0.09, 'GirodFürZüri': 0}",positive,"[0.2750462, 0.031556435, 0.69339734]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
