answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3435,absa_sentiment_3435,absa_scores_3435,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3473,absa_sentiment_3473,absa_scores_3473,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,sentiment_tb
0.0,0.0,0.0,-1.0,neutral,"@LandoltMartin
Zur Kiffer Lüge: Kiffen u. Besitz von Cannabis bis 10g --&gt; Übertretung --&gt;Busse von 100.- --&gt; KEINE Ausschaffung @Blickch",kiffer lügen kiffen u besitzen cannabis g gt übertretung gt busse gt ausschaffung,"{'Zur': 0.095, 'Kiffer': 0.13, 'Lüge': 0.16, 'Kiffen': 0.5449999999999999, 'u.': 0, 'Besitz': 1.0, 'von': 0, 'Cannabis': 0.33, 'bis': 0, '10': 0, 'g': 0, '--&gt': 0, 'Übertretung': 0, '--&gt;Busse': 0.025, '100.-': 0, 'KEINE': 0, 'Ausschaffung': 0}",neutral,"[0.97187245, 0.007108285, 0.021019308]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"@SatireLupe Rutz ist für die Legalisierung von #cannabis
Gemäss Smartvote ""eher ja"" weil konkrete Umsetzung entscheidend.",rutz legalisierung cannabis gemäss smartvote eher ja konkrete umsetzung entscheiden,"{'Rutz': 0.13, 'ist': 0.02, 'für': 0.08, 'die': 0.11, 'Legalisierung': 0.36, 'von': 0, 'cannabis': 1.0, 'Gemäss': 0.13, 'Smartvote': 0.28, 'eher': 0, 'ja': 0, 'weil': 0.03, 'konkrete': 0.06, 'Umsetzung': 0.07, 'entscheidend': 0}",neutral,"[0.80599815, 0.03718815, 0.15681368]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,RT @marguerite_jay: Ist ein staatl. Vaterschaftsurlaub «überfällig» oder «asozial»? @cedricwermuth und @BeniFischer über Pro &amp; Kontra.  htt…,staatl vaterschaftsurlaub überfällig asozial pro amp kontra htt,,,,"{'Ist': 0.9, 'ein': 0, 'staatl': 1.0, 'Vaterschaftsurlaub': 0.845, '«': 0, 'überfällig': 0, '»': 0, 'oder': 0, 'asozial': 0, 'und': 0, 'über': 0, 'Pro': 0, 'amp': 0, 'Kontra': 0, 'htt': 0, '…': 0}",neutral,"[0.8104848, 0.051762115, 0.13775301]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
0.0,0.0,14.0,-0.7,neutral,"RT @svpzh: So nicht! Nachdem die linke Justizdirektorin Jacqueline Fehr im vorletzten Jahr zur Masseneinbürgerung aufgerufen hatte, führte…",nachdem link justizdirektorin jacqueline fehr vorletzte jahr masseneinbürgerung aufrufen führen,,,,,,,"{'So': 0, 'nicht': 0.07, 'Nachdem': 0.45, 'die': 0.07, 'linke': 0.21, 'Justizdirektorin': 0.33499999999999996, 'Jacqueline': 0.21, 'Fehr': 0.37, 'im': 0, 'vorletzten': 0, 'Jahr': 0.15, 'zur': 0.07, 'Masseneinbürgerung': 0.67, 'aufgerufen': 1.0, 'hatte': 0, 'führte': 0, '…': 0}",neutral,"[0.98875195, 0.0053860527, 0.005862034]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,negative,"RT @WernerBechtel: Logisch, wenn das @SRF über #Lohngleichheit falsch informiert denkt Publikum es muss noch viel gemacht werden.
#srfarena…",logisch lohngleichheit falsch informieren denken publikum srfarena,,,,,,,,,,"{'Logisch': 0.06, 'wenn': 0.22, 'das': 0, 'über': 0, 'Lohngleichheit': 0.395, 'falsch': 0, 'informiert': 0, 'denkt': 0.47, 'Publikum': 0.15, 'es': 0.04, 'muss': 0.03, 'noch': 0.04, 'viel': 0.04, 'gemacht': 0, 'werden': 0, 'srfarena': 0.11, '…': 0}",negative,"[0.18725103, 0.76450056, 0.048248343]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Was ist genau die realpolitische Aktualität des Themas Sterbehilfe? 1000x diskutiert, nichts Neues. #srfarena @rolf_gatschet @marionair",genau realpolitische aktualität themas sterbehilfe 1000x diskutieren neu srfarena,,,,,,,,,,,,,"{'Was': 0, 'ist': 0.05, 'genau': 0, 'die': 0.05, 'realpolitische': 0, 'Aktualität': 0.1, 'des': 0, 'Themas': 0, 'Sterbehilfe': 0.39, '1000x': 0, 'diskutiert': 0.52, 'nichts': 1.0, 'Neues': 1.0, 'srfarena': 0.28}",neutral,"[0.9534965, 0.01217284, 0.034330644]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Anstatt dass endlich Junge über die Zukunft der CH in Europa sprechen, wird diese Woche in #srfarena über Sterbehilfe diskutiert 🤔😒
really?",anstatt endlich junge zukunft ch europa sprechen woche srfarena sterbehilfe diskutieren really,,,,,,,,,,,,,"{'Anstatt': 0.07500000000000001, 'dass': 0, 'endlich': 0, 'Junge': 0.12, 'über': 0, 'die': 0.06, 'Zukunft': 0.16, 'der': 0.06, 'CH': 0.04, 'in': 0.58, 'Europa': 0.1, 'sprechen': 0, 'wird': 0.36, 'diese': 0.14, 'Woche': 0.21, 'srfarena': 0.25, 'Sterbehilfe': 1.0, 'diskutiert': 1.0, '🤔': 0, 'really': 0}",neutral,"[0.98516774, 0.0029180439, 0.011914216]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Das #Budget18 und der #KEF des @kantonzuerich stehen. Leider waren wir wie erwartet alleine mit dem Antrag auf 2% Steuersenkung.
#krzh @svpzh https://t.co/aXkEpmdUWu",budget18 kef stehen leider erwarten alleine antrag steuersenkung krzh,,,,,,,,,,,,,,,,"{'Das': 0.2, 'Budget18': 0.07, 'und': 0.03, 'der': 0.2, 'KEF': 0.02, 'des': 0, 'stehen': 0.02, 'Leider': 0.09, 'waren': 0, 'wir': 0, 'wie': 0, 'erwartet': 0.07, 'alleine': 0.32, 'mit': 0.16, 'dem': 0.2, 'Antrag': 1.0, 'auf': 0, '2': 0, 'Steuersenkung': 0.49, 'krzh': 0.07}",neutral,"[0.9756217, 0.021060146, 0.0033181321]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @srfnews: #eVoting bleibt in der Schweiz vorerst Zukunftsmusik. Unter anderem wegen @SarahJamieLewis – sie hat unser E-Voting-System geh…,evoting bleiben schweiz vorerst zukunftsmusik wegen e voting system geh,,,,,,,,,,,,,,,,,,,"{'eVoting': 0.12, 'bleibt': 0.13, 'in': 0.06, 'der': 0.04, 'Schweiz': 0.08, 'vorerst': 0.04375, 'Zukunftsmusik': 0.05, 'Unter': 0, 'anderem': 0.09, 'wegen': 0.6, '–': 0, 'sie': 0, 'hat': 0, 'unser': 0, 'E-Voting-System': 0, 'geh': 0, '…': 0}",neutral,"[0.5862615, 0.33132356, 0.08241492]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Am Samstag nationaler Sammeltag gegen #EVoting Und heute wurde die Parlamentarische Initiative für ein E-Voting Moratorium im @kantonsrat_zh mit 83 Stimmen überwiesen. Unser Kampf trägt bereits Früchte @eVoteMoratorium 💪🏼

 #KRZH #Kantonsrat #Zürich #KantonsratZH https://t.co/VMEaOl0IAd",samstag national sammeltag evoting heute parlamentarische initiative e voting moratorium stimmen überweisen kampf tragen bereits früchte krzh kantonsrat zürich kantonsratzh,,,,,,,,,,,,,,,,,,,"{'Am': 0, 'Samstag': 0.02, 'nationaler': 0.04, 'Sammeltag': 0.02, 'gegen': 0.03, 'EVoting': 0.06, 'Und': 0.03, 'heute': 0.02, 'wurde': 0, 'die': 0.03, 'Parlamentarische': 0.04, 'Initiative': 0.03, 'für': 0.03, 'ein': 0, 'E-Voting': 0, 'Moratorium': 0.08, 'im': 0, 'mit': 0.02, '83': 0, 'Stimmen': 0, 'überwiesen': 0.04, 'Unser': 0.03, 'Kampf': 0, 'trägt': 0, 'bereits': 0.02, 'Früchte': 0.07, 'KRZH': 0.14, 'Kantonsrat': 0, 'Zürich': 0, 'KantonsratZH': 0}",neutral,"[0.72361016, 0.16351572, 0.112874046]",,,,,,,,,,,,,,,,,,,,,,neutral
