answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,100.0,1.0,neutral,"Ich darf klar feststellen, dass die bernische Kantonsverwaltung im Bereich Lohngleichheit im Gesamtvergleich relativ gut dasteht. Trotzdem gibt es noch Unterschiede.
Dies lässt mich einige Forderungen aufstellen, welche auf dieser Website zu finden sind: https://t.co/yv7s880Ozp https://t.co/OKelTFQFSF",dürfen klaren feststellen bernische kantonsverwaltung bereich lohngleichheit gesamtvergleich relativ gut dastehen trotzdem geben unterschiede lässt forderungen aufstellen welch website finden,"{'Ich': 0.07, 'darf': 0, 'klar': 0, 'feststellen': 0, 'dass': 0.06, 'die': 0.04, 'bernische': 0, 'Kantonsverwaltung': 0.06, 'im': 0, 'Bereich': 0.22, 'Lohngleichheit': 0.175, 'Gesamtvergleich': 0.095, 'relativ': 0, 'gut': 0, 'dasteht': 0.09, 'Trotzdem': 0.16, 'gibt': 0.13, 'es': 0.06, 'noch': 0.11, 'Unterschiede': 0.3, 'Dies': 0, 'lässt': 0, 'mich': 0.17, 'einige': 0.32, 'Forderungen': 0, 'aufstellen': 0, 'welche': 0.38, 'auf': 0.16, 'dieser': 0.31, 'Website': 0.62, 'zu': 0, 'finden': 0, 'sind': 0.13}",positive,"[0.1467092, 0.0068957848, 0.84639496]",,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"Klar und informativ 🤗 - Herzlichen Dank der @BernerZeitung für diesen Bericht.
Was Sie zur Steuersenkung wissen müssenBernerZeitung https://t.co/RdNcY34vBL",klaren informativ herzlich danken bericht steuersenkung wissen müssenbernerzeitung,,,,"{'Klar': 0.03, 'und': 0.03, 'informativ': 0.06, '🤗': 0, 'Herzlichen': 0, 'Dank': 0, 'der': 0, 'für': 0, 'diesen': 0, 'Bericht': 0, 'Was': 0, 'Sie': 0, 'zur': 0, 'Steuersenkung': 0, 'wissen': 0, 'müssenBernerZeitung': 0}",positive,"[0.28312248, 0.005145793, 0.71173173]",,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,negative,RT @derbund: Die Mehrheit des Grossen Rats spricht sich für eine Firmensteuersenkung aus - Kritik an den Plänen der Regierung kommt aber ni…,mehrheit grossen rats sprechen firmensteuersenkung kritik plänen regierung kommen ni,,,,"{'Die': 0.05, 'Mehrheit': 0.06, 'des': 0, 'Grossen': 0, 'Rats': 0, 'spricht': 0, 'sich': 0, 'für': 0, 'eine': 0, 'Firmensteuersenkung': 0.44, 'aus': 0, 'Kritik': 0.16, 'an': 0, 'den': 0.05, 'Plänen': 0.08, 'der': 0.05, 'Regierung': 0.1, 'kommt': 0, 'aber': 0.21, 'ni': 0, '…': 0}",negative,"[0.24150144, 0.44909656, 0.309402]",,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,Heute den Medien vorgestellt: Berner Regierung mildert ihre Steuersenkungspläne ab https://t.co/DFRFGYwSYE via @BernerZeitung,heute medien vorstellen berner regierung mildern steuersenkungspläne ab via,,,,"{'Heute': 0.1, 'den': 0.18, 'Medien': 0.19, 'vorgestellt': 0.12, 'Berner': 0, 'Regierung': 0.3, 'mildert': 0, 'ihre': 0, 'Steuersenkungspläne': 0.9325, 'ab': 0, 'via': 0.8}",neutral,"[0.8094835, 0.02122093, 0.1692955]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Es braucht den Dialog aller Beteiligter! - «Steuersenkungen werden wir noch einmal diskutieren» https://t.co/rJ0V6fc6d4 via @derbund,brauchen dialog all beteiligt steuersenkungen diskutieren via,,,,"{'Es': 0, 'braucht': 0, 'den': 0, 'Dialog': 0, 'aller': 0, 'Beteiligter': 0, '«': 0, 'Steuersenkungen': 0, 'werden': 0, 'wir': 0, 'noch': 0, 'einmal': 0, 'diskutieren': 0, '»': 0, 'via': 0}",neutral,"[0.96622676, 0.0047784224, 0.028994855]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @cellmob: Wie weiter mit der kantonalen Finanzpolitik nach USRIII-Nein? «Steuersenkungen werden wir noch einmal diskutieren» https://t.c…,weit kantonalen finanzpolitik usriii nein steuersenkungen diskutieren,,,,"{'Wie': 0, 'weiter': 0, 'mit': 0, 'der': 0.07, 'kantonalen': 0.1, 'Finanzpolitik': 0.12000000000000001, 'nach': 0.17, 'USRIII-Nein': 0, '«': 0, 'Steuersenkungen': 0, 'werden': 0, 'wir': 0, 'noch': 0, 'einmal': 0, 'diskutieren': 0, '»': 0}",neutral,"[0.98941386, 0.00290063, 0.0076854276]",,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,Heute durfte ich bei der Eröffnung des Zentrums für Innovation und Digitalisierung ZID im #bernapark  in Anwesenheit von BR @ParmelinG  dabei sein. Es ist schon erstaunlich wie motiviert die Start-Ups hier mit neuen Ideen aufwarten. Gratulation an alle 🥰🥰👏👏. https://t.co/kS1BJqY68u,heute dürfen eröffnung zentrums innovation digitalisierung zid bernapark anwesenheit br dabei schon erstaunlich motivieren start ups neu ideen aufwarten gratulation all,,,,,,,"{'Heute': 0.12, 'durfte': 0, 'ich': 0.04, 'bei': 0, 'der': 0.05, 'Eröffnung': 0.77, 'des': 0, 'Zentrums': 1.0, 'für': 0.54, 'Innovation': 0.66, 'und': 0.25, 'Digitalisierung': 0, 'ZID': 0, 'im': 0, 'bernapark': 0, 'in': 0.06, 'Anwesenheit': 0.11, 'von': 0, 'BR': 0.09, 'dabei': 0, 'sein': 0, 'Es': 0.04, 'ist': 0.04, 'schon': 0, 'erstaunlich': 0, 'wie': 0.05, 'motiviert': 0.08, 'die': 0.05, 'Start-Ups': 0, 'hier': 0, 'mit': 0.03, 'neuen': 0.04, 'Ideen': 0.14, 'aufwarten': 0.03, 'Gratulation': 0.15, 'an': 0, 'alle': 0.05, '🥰': 0}",positive,"[0.0031718153, 0.0016618879, 0.9951663]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Ausführlicher Bericht zum Thema ""Digitalisierung in der Verwaltung"" - Kaderkonferenz der Finanzdirektion des @kanton_bern https://t.co/T6BWt1lKv6",ausführlich bericht thema digitalisierung verwaltung kaderkonferenz finanzdirektion,,,,,,,"{'Ausführlicher': 0.47, 'Bericht': 0, 'zum': 0.05, 'Thema': 0, 'Digitalisierung': 0, 'in': 0.47, 'der': 0.05, 'Verwaltung': 0.15, 'Kaderkonferenz': 0.13, 'Finanzdirektion': 0.07500000000000001, 'des': 0}",positive,"[0.42202243, 0.031574104, 0.54640347]",,,,,,,,,,neutral
100.0,100.0,86.0,0.6666666666666666,neutral,Gestern und heute weilte ich am Politforum Thun - ein sehr interessanter Anlass. In diesem Jahr lautete das Thema: Gemeinde 4.0: Sind die Gemeinden bereit für die Digitalisierung? Am Samstagmorgen war ich gar als Referentin gefragt. Dank an @SonjaHasler für die tolle Moderation. https://t.co/bn5SIyKCyQ,gestern heute weilen politforum thun interessant anlass jahr lauten thema gemeinden gemeinden bereiten digitalisierung samstagmorgen gar referentin fragen danken toll moderation,,,,,,,"{'Gestern': 0.0, 'und': 0.0, 'heute': 0.0, 'weilte': 0.01, 'ich': 0.02, 'am': 0, 'Politforum': 0.03, 'Thun': 0.01, 'ein': 0, 'sehr': 0.0, 'interessanter': 0.01, 'Anlass': 0, 'In': 0, 'diesem': 0.01, 'Jahr': 0.01, 'lautete': 0, 'das': 0, 'Thema': 0, 'Gemeinde': 0.11, '4.0': 0, 'Sind': 0.12, 'die': 0.02, 'Gemeinden': 0, 'bereit': 0.5, 'für': 0.06, 'Digitalisierung': 0, 'Am': 0, 'Samstagmorgen': 0.025, 'war': 0, 'gar': 0.01, 'als': 0.02, 'Referentin': 0.05, 'gefragt': 0.18, 'Dank': 0.05, 'an': 0, 'tolle': 0.06, 'Moderation': 0.09}",neutral,"[0.539713, 0.03952215, 0.4207648]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Das kommende Politforum in Thun wird für mich eine spezielle Herausforderung, gilt es doch aufzuzeigen, wie auch der @kanton_bern die Digitalisierung vorantreibt.
Weiterer Rekord für Politforum in Sicht https://t.co/ecTVKdmEpp",kommend politforum thun spezielle herausforderung gelten aufzeigen digitalisierung vorantreibt weit rekord politforum sicht,,,,,,,"{'Das': 0.04, 'kommende': 0, 'Politforum': 0.15, 'in': 0.04, 'Thun': 0.05, 'wird': 0.02, 'für': 0.05, 'mich': 0.02, 'eine': 0, 'spezielle': 0, 'Herausforderung': 0.16, 'gilt': 0, 'es': 0.33, 'doch': 0, 'aufzuzeigen': 0.125, 'wie': 0.22, 'auch': 0, 'der': 0.04, 'die': 0.04, 'Digitalisierung': 1.0, 'vorantreibt': 0, 'Weiterer': 0.06, 'Rekord': 0.19, 'Sicht': 0}",positive,"[0.26206464, 0.015982457, 0.72195286]",,,,,,,,,,neutral
