answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,sentiment_tb
50.0,75.0,57.0,0.0,negative,@DanielWeissCVP @SergeWinkler1 Es gibt imfall viele Leute die gerne am Sonntag arbeiten. Zum Beispiel Studenten aber auch Mütter/Väter die sich so die Kinderbetreuung einfacher aufteilen können.,geben imfall leute gerne sonntag arbeiten beispiel studenten mütter väter kinderbetreuung einfach aufteilen,"{'Es': 0, 'gibt': 0.03, 'imfall': 0, 'viele': 0, 'Leute': 0.05, 'die': 0, 'gerne': 0, 'am': 0, 'Sonntag': 0, 'arbeiten': 0.09, 'Zum': 0.03, 'Beispiel': 0.1, 'Studenten': 0.17, 'aber': 0.09, 'auch': 0.09, 'Mütter': 0.14, 'Väter': 0.1, 'sich': 0, 'so': 0, 'Kinderbetreuung': 1.0, 'einfacher': 0, 'aufteilen': 0.9450000000000001, 'können': 0}",neutral,"[0.89567834, 0.011942223, 0.092379436]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @JfStadtZH: Happy 420 😁

#Cannabis #legalizeit 

@VereinLegalize @fdp_zh @mehblau https://t.co/Mt40StSKnW",happy cannabis legalizeit,,,,"{'Happy': 0.23, '420': 0, 'Cannabis': 0.34, 'legalizeit': 1.0}",positive,"[0.012266674, 0.003240835, 0.9844924]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @VereinLegalize: Die @JFZH zeigen, dass man einen Wahlkampf auch führen kann ohne mit Dreck zu werfen. @Jungfreisinnige #Hanf #Cannabis…",zeigen wahlkampf fahren dreck werfen hanf cannabis,,,,"{'Die': 0, 'zeigen': 0.08, 'dass': 0.05, 'man': 0, 'einen': 0, 'Wahlkampf': 0.095, 'auch': 0, 'führen': 0.06, 'kann': 0.05, 'ohne': 0.07, 'mit': 0, 'Dreck': 0.07, 'zu': 0, 'werfen': 0, 'Hanf': 0.53, 'Cannabis': 0.75, '…': 0}",positive,"[0.4689743, 0.010292726, 0.52073294]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"@ipinky77 @basilanderau @ChristaMarkwald @Jungfreisinnige @FDP_Liberalen @FDPFrauenCH Weil eine Erhöhung per sofort politisch schlichtweg leider nicht machbar ist. Wenn wir aber noch lange mit Reform warten wirds 2040y 
Plus: wenn wir Rentenalter 70 fordern würde, hätte das Anliegen an der Urne wohl kaum eine Chance.",erhöhung per sofort politisch schlichtweg leider machbar lang reform warten wirds 2040y plus rentenalter fordern anliegen urne wohl kaum chance,,,,,,,"{'Weil': 0.04, 'eine': 0, 'Erhöhung': 0.19, 'per': 0, 'sofort': 0, 'politisch': 0.13, 'schlichtweg': 0.04, 'leider': 0, 'nicht': 0.05, 'machbar': 0, 'ist': 0.05, 'Wenn': 0, 'wir': 0, 'aber': 0.07, 'noch': 0, 'lange': 0.05, 'mit': 0.05, 'Reform': 0.17, 'warten': 0.07, 'wirds': 0.07, '2040y': 0.23, 'Plus': 0.11, 'wenn': 0.55, 'Rentenalter': 0.835, '70': 0, 'fordern': 1.0, 'würde': 0.35, 'hätte': 0, 'das': 0, 'Anliegen': 0, 'an': 0.05, 'der': 0.07, 'Urne': 0.15, 'wohl': 0, 'kaum': 0, 'Chance': 0.1}",neutral,"[0.6133853, 0.29679185, 0.08982283]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @Jungfreisinnige: Im Jahr 2030 werden die meisten Länder ihr Rentenalter auf 66 oder noch höher erhöht haben. Die Schweiz bliebe die Aus…,jahr meist länder rentenalter hoch erhöhen schweiz bleiben,,,,,,,"{'Im': 0, 'Jahr': 0, '2030': 0, 'werden': 0.33, 'die': 0.08, 'meisten': 0.3, 'Länder': 0.48, 'ihr': 0, 'Rentenalter': 1.0, 'auf': 0, '66': 0, 'oder': 0.59, 'noch': 0, 'höher': 0.16, 'erhöht': 0, 'haben': 0.595, 'Die': 0.08, 'Schweiz': 0.2, 'bliebe': 0.14, 'Aus': 0, '…': 0}",neutral,"[0.64310473, 0.06641679, 0.29047847]",,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,25.0,57.0,-0.075,neutral,@wanner_fabio Wie bitte soll der Vaterschaftsurlaub der Wirtschaft helfen wenn alle mehr Steuern bezahlen müssen?,bitte vaterschaftsurlaub wirtschaft helfen all mehr steuern bezahlen müssen,,,,,,,,,,"{'Wie': 0, 'bitte': 0, 'soll': 0, 'der': 0.04, 'Vaterschaftsurlaub': 0.49, 'Wirtschaft': 0, 'helfen': 0.23, 'wenn': 0, 'alle': 0.09, 'mehr': 0.04, 'Steuern': 0, 'bezahlen': 0.04, 'müssen': 0.03}",negative,"[0.11112244, 0.8459121, 0.042965434]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,@fabiangrepper Gleichberechtigung wäre eine Elternzeit welche zwischen beiden Geschlechter nach Wunsch der Eltern aufgeteilt werden könnte. Vaterschaftsurlaub zementiert nur das aktuelle Rollenbild.,gleichberechtigung elternzeit welch beid geschlechter wunsch eltern aufteilen vaterschaftsurlaub zementieren aktuell rollenbild,,,,,,,,,,"{'Gleichberechtigung': 0.04, 'wäre': 0.04, 'eine': 0, 'Elternzeit': 0.195, 'welche': 0.04, 'zwischen': 0.03, 'beiden': 0, 'Geschlechter': 0, 'nach': 0, 'Wunsch': 0, 'der': 0.13, 'Eltern': 0.02, 'aufgeteilt': 0.05, 'werden': 0, 'könnte': 0.07, 'Vaterschaftsurlaub': 0.33999999999999997, 'zementiert': 0, 'nur': 1.0, 'das': 0, 'aktuelle': 0.07, 'Rollenbild': 0.055}",negative,"[0.045821548, 0.77906436, 0.1751142]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"@SpiegeleiVegan @Jungfreisinnige @wahlforschung0 @JfStadtZH @lohnabzuegeNein @JFZH Wo genau sage ich, dass Vaterschaftsurlaub rückständig ist?",genau sage vaterschaftsurlaub rückständig,,,,,,,,,,"{'Wo': 0.18, 'genau': 0.09, 'sage': 0, 'ich': 0.09, 'dass': 0.29, 'Vaterschaftsurlaub': 0.8200000000000001, 'rückständig': 1.0, 'ist': 0.8}",negative,"[0.0085241115, 0.9872557, 0.004220284]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @Jungfreisinnige: Auch @bettifahrni, Präsidentin der @JfStadtZH, sagt klar Nein zum Vaterschaftsurlaub! Diese Lösung zementiert das heut…",präsidentin sagen klaren nein vaterschaftsurlaub lösung zementieren heut,,,,,,,,,,"{'Auch': 0.14, 'Präsidentin': 0.18, 'der': 0.1, 'sagt': 1.0, 'klar': 0, 'Nein': 1.0, 'zum': 0.535, 'Vaterschaftsurlaub': 0.45999999999999996, 'Diese': 0.09, 'Lösung': 0.22, 'zementiert': 0.16, 'das': 0, 'heut': 0.06, '…': 0}",positive,"[0.40988758, 0.029158395, 0.560954]",,,,,,,,,,,,,,,,,,,,,,neutral
75.0,75.0,71.0,0.35,neutral,"@OhneNetzsperren @susanne_brunner Im übrigen geht es mir pers. nicht besonders um den Vaterschaftsurlaub; die Idee dass Männer mehr zu den Kindern schauen sollen ist durchaus lobenswert. 
Dieser gugus verzögert aber die richtige Gleichberechtigung - die Elternzeit - wieder um Jahre. #",übrig gehen pers besonders vaterschaftsurlaub idee männer mehr kindern schauen sollen durchaus lobenswert gugus verzögern richtige gleichberechtigung elternzeit jahre,,,,,,,,,,"{'Im': 0, 'übrigen': 0, 'geht': 0, 'es': 0.05, 'mir': 0, 'pers.': 0, 'nicht': 1.0, 'besonders': 0, 'um': 0, 'den': 0.03, 'Vaterschaftsurlaub': 0.195, 'die': 0.03, 'Idee': 0, 'dass': 0.04, 'Männer': 0.05, 'mehr': 0.08, 'zu': 0, 'Kindern': 0.02, 'schauen': 0, 'sollen': 0.06, 'ist': 0.05, 'durchaus': 0, 'lobenswert': 0, 'Dieser': 0.18, 'gugus': 0, 'verzögert': 0, 'aber': 0, 'richtige': 0.06, 'Gleichberechtigung': 0, 'Elternzeit': 0.035, 'wieder': 0, 'Jahre': 0.05}",negative,"[0.05759478, 0.92690027, 0.015504852]",,,,,,,,,,,,,,,,,,,,,,positive
