answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3427,absa_sentiment_3427,absa_scores_3427,absa_token_weights_3430,absa_sentiment_3430,absa_scores_3430,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3444,absa_sentiment_3444,absa_scores_3444,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3455,absa_sentiment_3455,absa_scores_3455,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,100.0,1.0,negative,"@hp_rubi @NZZaS @donzerene @KPrelicz Ja, die Idee eines ""Grundeinkommens"" sollte man nicht nur denken als Anspruch auf Geld. Sondern auch als Anspruch auf guten Service Public. Auch dass unsere obligatorische Schule gratis ist, ist eine Form von ""Grundeinkommen"" - das gleiche verlangt @KPrelicz für Kinderbetreuung.",ja idee grundeinkommens sollen denken anspruch geld anspruch gut service public obligatorische schule gratis form grundeinkommen gleich verlangen kinderbetreuung,"{'Ja': 0, 'die': 0.13, 'Idee': 0, 'eines': 0, 'Grundeinkommens': 0.125, 'sollte': 0.02, 'man': 0, 'nicht': 0.01, 'nur': 0.02, 'denken': 0.01, 'als': 0.03, 'Anspruch': 0, 'auf': 0, 'Geld': 0.03, 'Sondern': 0, 'auch': 0.05, 'guten': 0.04, 'Service': 0.04, 'Public': 0.02, 'Auch': 0.05, 'dass': 0.03, 'unsere': 0.03, 'obligatorische': 0, 'Schule': 0.08, 'gratis': 0.42000000000000004, 'ist': 0.35, 'eine': 0, 'Form': 0.06, 'von': 0, 'Grundeinkommen': 0.125, 'das': 0.03, 'gleiche': 0.66, 'verlangt': 1.0, 'für': 0.54, 'Kinderbetreuung': 1.0}",neutral,"[0.927523, 0.022827838, 0.049649153]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @GrueneCH: 📣 Gemeinsam mit 36 politischen Organisationen und Interessensvertretungen fordern wir: 
Die #Kinderbetreuung darf wegen Coron…",gemeinsam politisch organisationen interessensvertretungen fordern kinderbetreuung dürfen wegen coron,"{'Gemeinsam': 0.09, 'mit': 0.04, '36': 0, 'politischen': 0.09, 'Organisationen': 0.11, 'und': 0.04, 'Interessensvertretungen': 0.08, 'fordern': 0.2, 'wir': 0, 'Die': 0.47, 'Kinderbetreuung': 1.0, 'darf': 0.39, 'wegen': 0, 'Coron': 0.1, '…': 0}",neutral,"[0.8522615, 0.116224006, 0.03151454]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"@w6tribut @GrueneParlament @GrueneCH Ich habe mich innerhalb der Fraktion klar für die Ordnungsbussen eingesetzt. Die Ordnungsbussen sind einfach, unbürokratisch, wir fordern sie ja auch zB Cannabis... Und ich finde: es braucht sie hier. 

Das Abstimmungsverhalten (21:8 in meinem Sinne): https://t.co/SyUxVX76H5",innerhalb fraktion klaren ordnungsbussen einsetzen ordnungsbussen einfach unbürokratisch fordern ja zb cannabis finden brauchen abstimmungsverhalten sinne,,,,"{'Ich': 0.06, 'habe': 0, 'mich': 0, 'innerhalb': 0, 'der': 0.08, 'Fraktion': 0, 'klar': 0, 'für': 0.13, 'die': 0.08, 'Ordnungsbussen': 0.28, 'eingesetzt': 0, 'Die': 0.08, 'sind': 0.13, 'einfach': 0.17, 'unbürokratisch': 0.5, 'wir': 0, 'fordern': 1.0, 'sie': 0, 'ja': 0.24, 'auch': 0.57, 'zB': 0, 'Cannabis': 1.0, '...': 0, 'Und': 0.24, 'ich': 0.06, 'finde': 0, 'es': 0, 'braucht': 0, 'hier': 0.14, 'Das': 0.08, 'Abstimmungsverhalten': 0.14500000000000002, '21:8': 0, 'in': 0.07, 'meinem': 0.04, 'Sinne': 0, '):': 0}",neutral,"[0.96039045, 0.0037192716, 0.03589036]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,25.0,28.0,-0.15,negative,RT @GrueneParlament: Regulieren statt verbieten: Wir GRÜNE setzen uns für einen pragmatischen Umgang mit Cannabis ein und befürworten die P…,regulieren statt verbieten grüne setzen pragmatisch umgang cannabis befürworten p,,,,"{'Regulieren': 0.22, 'statt': 0.10500000000000001, 'verbieten': 0.26, 'Wir': 0.14, 'GRÜNE': 0.18, 'setzen': 0, 'uns': 0, 'für': 0, 'einen': 0.1, 'pragmatischen': 0.19, 'Umgang': 0, 'mit': 0, 'Cannabis': 0.31, 'ein': 0, 'und': 0.17, 'befürworten': 0.2, 'die': 0.33, 'P': 1.0, '…': 0}",positive,"[0.023371886, 0.0032026044, 0.9734255]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,negative,"Höheres Rentenalter?
Höhere Altersrenten!

#ahv21nein - so nicht! https://t.co/qgslo23XyZ",hoch rentenalter hoch altersrenten ahv21nein,,,,,,,"{'Höheres': 0.97, 'Rentenalter': 0.42, 'Höhere': 0.97, 'Altersrenten': 0.38, 'ahv21nein': 0.3, 'so': 0, 'nicht': 0.17}",neutral,"[0.7689545, 0.061139062, 0.16990642]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @GrueneCH: Auf diesen Tag haben wir lange genug gewartet! 😍 Der Vaterschaftsurlaub tritt am 1. Januar 2021 in der 🇨🇭 in Kraft! 🥳

https:…",tag lang genug warten vaterschaftsurlaub tritt januar kraft https,,,,,,,,,,"{'Auf': 0.2, 'diesen': 0.03, 'Tag': 0, 'haben': 0.04, 'wir': 0, 'lange': 0.02, 'genug': 0.02, 'gewartet': 0.08, 'Der': 0.03, 'Vaterschaftsurlaub': 0.395, 'tritt': 0, 'am': 0, '1.': 0, 'Januar': 0.07, '2021': 0, 'in': 0, 'der': 0.03, '🇨': 0, '🇭': 0, 'Kraft': 0, '🥳': 0, 'https': 0, '…': 0}",neutral,"[0.8681864, 0.064365596, 0.06744799]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,Auch wenn's erst ein erster Schritt ist zu einem egalitären Elternurlaub: ich sage überzeugt JA zu #VaterschaftsurlaubJetzt https://t.co/r5mxDqcfRJ,s erst erst schritt egalitären elternurlaub sage überzeugen ja vaterschaftsurlaubjetzt,,,,,,,,,,"{'Auch': 0, ""wenn's"": 0.07500000000000001, 'erst': 0.08, 'ein': 0, 'erster': 0.08, 'Schritt': 0.07, 'ist': 0, 'zu': 0.24, 'einem': 0, 'egalitären': 0.11, 'Elternurlaub': 0.54, 'ich': 0.14, 'sage': 0, 'überzeugt': 0, 'JA': 0, 'VaterschaftsurlaubJetzt': 1.0}",positive,"[0.07118838, 0.011709885, 0.9171017]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,Balthasars Grüne Links wurde soeben publiziert! https://t.co/AJo4ow3UFO Beiträge u.a. von @anlustenberger @fbenoy @dani_graf #covid__19 #vaterschaftsurlaub,balthasars grüne links soeben publizieren beiträge u a covid__19 vaterschaftsurlaub,,,,,,,,,,"{'Balthasars': 0, 'Grüne': 0.04, 'Links': 0.03, 'wurde': 0, 'soeben': 0.05, 'publiziert': 0.07, 'Beiträge': 0.45, 'u.a.': 0, 'von': 0.2, 'covid__19': 0, 'vaterschaftsurlaub': 0}",negative,"[0.28700182, 0.590176, 0.122822225]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @GrueneCH: 🎙️ Medienkonferenz mit @mayagraf_bl: Im September stimmen wir über einen zweiwöchigen Vaterschaftsurlaub ab. Dieser ist längs…,medienkonferenz september stimmen zweiwöchigen vaterschaftsurlaub ab längs,,,,,,,,,,"{'️': 0, 'Medienkonferenz': 0, 'mit': 0, 'Im': 0, 'September': 0, 'stimmen': 0, 'wir': 0, 'über': 0, 'einen': 0, 'zweiwöchigen': 0, 'Vaterschaftsurlaub': 0, 'ab': 0, 'Dieser': 0, 'ist': 0, 'längs': 0, '…': 0}",neutral,"[0.98706144, 0.0032612968, 0.009677225]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @GrueneCH: Heute ist Vätertag! Hilfst du mit, dass es der letzte ohne Vaterschaftsurlaub wird? Die Vorlage kommt im September zur Abstim…",heute vätertag helfen letzte vaterschaftsurlaub vorlage kommen september abstim,,,,,,,,,,"{'Heute': 0.05, 'ist': 0.04, 'Vätertag': 0, 'Hilfst': 0.62, 'du': 0, 'mit': 0, 'dass': 0, 'es': 0.04, 'der': 0.07, 'letzte': 0.65, 'ohne': 1.0, 'Vaterschaftsurlaub': 0.8300000000000001, 'wird': 0.06, 'Die': 0.07, 'Vorlage': 0, 'kommt': 0, 'im': 0, 'September': 0.05, 'zur': 0.07, 'Abstim': 0, '…': 0}",neutral,"[0.84475833, 0.10390995, 0.051331796]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
