answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3438,absa_sentiment_3438,absa_scores_3438,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3458,absa_sentiment_3458,absa_scores_3458,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3471,absa_sentiment_3471,absa_scores_3471,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,100.0,0.85,neutral,RT @CVP_PDC: Kinderbetreuungsstätten sind nicht nur in der ausserordentlichen Lage wichtig für das Funktionieren unserer Gesellschaft. Der…,kinderbetreuungsstätten ausserordentlichen lage wichtig funktionieren gesellschaft,"{'Kinderbetreuungsstätten': 0.31, 'sind': 0.23, 'nicht': 0.12, 'nur': 0.12, 'in': 0.07, 'der': 1.0, 'ausserordentlichen': 0.2, 'Lage': 0, 'wichtig': 0.27, 'für': 0.1, 'das': 0, 'Funktionieren': 0, 'unserer': 0.08, 'Gesellschaft': 0.08, 'Der': 1.0, '…': 0}",positive,"[0.003936876, 0.009370942, 0.98669213]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @CVP_PDC: Mit der Erhöhung der Steuerabzüge für die externe Kinderbetreuung kommt der BR einer wichtigen Grundsatz nach: Arbeit muss sic…,erhöhung steuerabzüge externe kinderbetreuung kommen br wichtig grundsatz arbeit sic,"{'Mit': 0.04, 'der': 0.11, 'Erhöhung': 0, 'Steuerabzüge': 0.22000000000000003, 'für': 0.37, 'die': 0.11, 'externe': 1.0, 'Kinderbetreuung': 1.0, 'kommt': 0, 'BR': 0.13, 'einer': 0, 'wichtigen': 0.05, 'Grundsatz': 0.11, 'nach': 0, 'Arbeit': 0.08, 'muss': 0, 'sic': 0, '…': 0}",neutral,"[0.79174477, 0.0408661, 0.16738908]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,negative,"RT @JayBadran: Nominiert als Quote des Tages: Rentenaltererhöhung ist vom Tisch, ""alles andere wäre respektlos gegenüber den Gewinnern"" @Gr…",nominieren quote tages rentenaltererhöhung tisch respektlos gegenüber gewinnern,,,,"{'Nominiert': 0.09, 'als': 0.13, 'Quote': 0, 'des': 0, 'Tages': 0.09, 'Rentenaltererhöhung': 0.9299999999999999, 'ist': 0.78, 'vom': 0.07, 'Tisch': 0.15, 'alles': 0, 'andere': 0, 'wäre': 0.06, 'respektlos': 0.25, 'gegenüber': 0.04, 'den': 0.07, 'Gewinnern': 0.14, '…': 0}",negative,"[0.08060048, 0.8757447, 0.04365483]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,25.0,28.0,-0.15,neutral,RT @StrebelLuca: Die FDP/JF brandmarkt die #AV2020 als ungerecht. Sie wollen höheres Rentenalter und Leistungsabbau. Das sei dann gerecht.…,fdp jf brandmarken av2020 ungerecht hoch rentenalter leistungsabbau gerecht,,,,"{'Die': 0.07, 'FDP': 0.08, 'JF': 0.06, 'brandmarkt': 0, 'die': 0.07, 'AV2020': 0.15, 'als': 0.09, 'ungerecht': 0, 'Sie': 0, 'wollen': 1.0, 'höheres': 1.0, 'Rentenalter': 0.71, 'und': 0.43, 'Leistungsabbau': 0, 'Das': 0.07, 'sei': 0, 'dann': 0.07, 'gerecht': 0, '…': 0}",positive,"[0.13876344, 0.20198327, 0.6592533]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,14.0,-0.7,neutral,"RT @CVP_PDC: Ständerat hält bei #AV2020 an Grundzügen des CVP-Konzepts fest: kein Rentenalter 67, Rentenerhöhung von 70 Fr., Erhöhung Ehepa…",ständerat halten av2020 grundzügen cvp konzepts fest rentenalter rentenerhöhung fr erhöhung ehepa,,,,"{'Ständerat': 0.065, 'hält': 0, 'bei': 0, 'AV2020': 0.23, 'an': 0, 'Grundzügen': 0.13, 'des': 0, 'CVP-Konzepts': 0.06, 'fest': 0, 'kein': 1.0, 'Rentenalter': 0.43, '67': 0, 'Rentenerhöhung': 0.22, 'von': 0, '70': 0, 'Fr.': 0, 'Erhöhung': 0.32, 'Ehepa': 0, '…': 0}",positive,"[0.25143474, 0.02586918, 0.72269607]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"RT @SchmidFederer: Rentenalter 67 oder wie man diese Reform scheitern lässt.... nicht zu fassen, was SVP, FDP und GLP hier tun. @CVP_PDC #A…",rentenalter reform scheitern lässt fassen svp fdp glp tun a,,,,"{'Rentenalter': 0.845, '67': 0, 'oder': 0.63, 'wie': 0.33, 'man': 0, 'diese': 0.1, 'Reform': 0.18, 'scheitern': 0.16, 'lässt': 0, '....': 0, 'nicht': 0, 'zu': 0.12, 'fassen': 0, 'was': 0, 'SVP': 0, 'FDP': 0.08, 'und': 0.1, 'GLP': 0.12, 'hier': 0.08, 'tun': 0.12, 'A': 0.08, '…': 0}",neutral,"[0.6303404, 0.02816346, 0.34149617]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @TimoSteinlin: Die Männer müssen auch 3 Wochen ins #Militär, dies soll gehen, aber 2 Wochen #Vaterschaftsurlaub nicht? Die Schweiz gehör…",männer müssen wochen militär gehen wochen vaterschaftsurlaub schweiz gehör,,,,,,,"{'Die': 0.04, 'Männer': 0.1, 'müssen': 0.13, 'auch': 0.05, '3': 0, 'Wochen': 0.31, 'ins': 0, 'Militär': 0.11, 'dies': 0, 'soll': 0, 'gehen': 0, 'aber': 0.09, '2': 0, 'Vaterschaftsurlaub': 0.48, 'nicht': 0.12, 'Schweiz': 0.16, 'gehör': 0, '…': 0}",neutral,"[0.86677027, 0.054714996, 0.078514755]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @guelshaaa: Es geht um zwei Wochen! ES GEHT UM ZWEI WOCHEN VATERSCHAFTSURLAUB! Wie kann nur ein einziger Mensch dagegen sein? 
Drei Woch…",gehen zwei wochen gehen zwei wochen vaterschaftsurlaub einzig mensch dagegen drei woch,,,,,,,"{'Es': 0, 'geht': 0, 'um': 1.0, 'zwei': 0.45, 'Wochen': 0.1, 'ES': 0, 'GEHT': 0, 'UM': 1.0, 'ZWEI': 0.45, 'WOCHEN': 0.1, 'VATERSCHAFTSURLAUB': 0.7, 'Wie': 0, 'kann': 0.36, 'nur': 0, 'ein': 0.11, 'einziger': 0.11, 'Mensch': 0, 'dagegen': 0, 'sein': 0, 'Drei': 0.06, 'Woch': 0, '…': 0}",neutral,"[0.7877242, 0.1001259, 0.11214986]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,positive,"https://t.co/Wa4JqelYTE
Immer gut, wenn sich ausgewiesene Experten wieder einmischen in die aktuelle Politik ...🙈@papizeit #Vaterschaftsurlaub #ElternurlaubJA https://t.co/YxklilUjT3",immer gut ausgewiesen experten einmischen aktuell politik vaterschaftsurlaub elternurlaubja,,,,,,,"{'Immer': 0.08, 'gut': 0, 'wenn': 0, 'sich': 0, 'ausgewiesene': 0, 'Experten': 0.1, 'wieder': 0, 'einmischen': 0, 'in': 0.07, 'die': 0, 'aktuelle': 0.07, 'Politik': 0, '...': 0, 'Vaterschaftsurlaub': 0.68, 'ElternurlaubJA': 0.455}",positive,"[0.011446017, 0.0067963772, 0.9817576]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"„Familie und Beruf - geht das?“
Spannende Diskussion zwischen Generationen und Parteien heute in Basel.
Antwort: es geht aber es braucht noch viel! Vaterschaftsurlaub, Lohngleichheit, Chancengerechtigkeit, Betreuung ... ➡️packen wir es an! #teamorange https://t.co/4bCod74umC",familie beruf gehen spannend diskussion generationen parteien heute basel antwort gehen brauchen vaterschaftsurlaub lohngleichheit chancengerechtigkeit betreuung packen teamorange,,,,,,,"{'„': 0, 'Familie': 0, 'und': 0, 'Beruf': 0, 'geht': 0, 'das': 0, '“': 0, 'Spannende': 0, 'Diskussion': 0, 'zwischen': 0, 'Generationen': 0, 'Parteien': 0, 'heute': 0, 'in': 0, 'Basel': 0, 'Antwort': 0, 'es': 0, 'aber': 0, 'braucht': 0, 'noch': 0, 'viel': 0, 'Vaterschaftsurlaub': 0, 'Lohngleichheit': 0, 'Chancengerechtigkeit': 0, 'Betreuung': 0, '...': 0, '️packen': 0, 'wir': 0, 'an': 0, 'teamorange': 0}",positive,"[0.0037802814, 0.0022294412, 0.9939903]",,,,,,,"{'„': 0, 'Familie': 0, 'und': 0, 'Beruf': 0, 'geht': 0, 'das': 0, '“': 0, 'Spannende': 0, 'Diskussion': 0, 'zwischen': 0, 'Generationen': 0, 'Parteien': 0, 'heute': 0, 'in': 0, 'Basel': 0, 'Antwort': 0, 'es': 0, 'aber': 0, 'braucht': 0, 'noch': 0, 'viel': 0, 'Vaterschaftsurlaub': 0, 'Lohngleichheit': 0, 'Chancengerechtigkeit': 0, 'Betreuung': 0, '...': 0, '️packen': 0, 'wir': 0, 'an': 0, 'teamorange': 0}",positive,"[0.0023191683, 0.0013127098, 0.99636817]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
