answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3458,absa_sentiment_3458,absa_scores_3458,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"1/ Das Rentenalter den demografischen Realitäten anzupassen, wird früher oder später auch in der Stadt Bern unumgänglich.

https://t.co/ERZE8eozIl",rentenalter demografischen realitäten anpassen früh spät stadt bern unumgänglich,"{'1': 0, 'Das': 0.06, 'Rentenalter': 0.46, 'den': 0.06, 'demografischen': 0.22, 'Realitäten': 0.15, 'anzupassen': 0, 'wird': 0.26, 'früher': 0, 'oder': 0.04, 'später': 0.04, 'auch': 0, 'in': 0.08, 'der': 0.06, 'Stadt': 0.08, 'Bern': 0.09, 'unumgänglich': 0.22}",neutral,"[0.66342247, 0.07486189, 0.2617157]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-0.85,negative,"Kommt nur mir der Verdacht, dass die FDP die #EheFürAlle hier einzig deswegen erwähnt, weil sie bemüht ist, nach ihrer Ablehnung des Vaterschaftsurlaubs noch etwas progressiv wirken? Unter dem Link steht jedenfalls nichts weiter zur #EheFürAlle. https://t.co/ujTo4w0Ysu",kommen verdenken fdp ehefüralle einzig deswegen erwähnen bemühen ablehnung vaterschaftsurlaubs progressiv wirken link stehen jedenfalls weit ehefüralle,,,,"{'Kommt': 0, 'nur': 0.05, 'mir': 0, 'der': 0.04, 'Verdacht': 0, 'dass': 0.05, 'die': 0.04, 'FDP': 0.07, 'EheFürAlle': 0, 'hier': 0.09, 'einzig': 0.05, 'deswegen': 0.2, 'erwähnt': 0, 'weil': 0.16, 'sie': 0, 'bemüht': 0, 'ist': 0.09, 'nach': 0.28, 'ihrer': 0.24, 'Ablehnung': 0.2, 'des': 0, 'Vaterschaftsurlaubs': 0.7849999999999999, 'noch': 0, 'etwas': 0, 'progressiv': 0.14, 'wirken': 0, 'Unter': 0.06, 'dem': 0.045, 'Link': 0.07, 'steht': 0, 'jedenfalls': 0.2175, 'nichts': 0.13, 'weiter': 0, 'zur': 0.045}",neutral,"[0.88111585, 0.06756265, 0.05132144]",,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
75.0,75.0,71.0,0.2333333333333333,neutral,"""Erhöht man die Steuern, wird gleichzeitig ein Jahr angegeben, in dem sie wieder gesenkt werden müssen. Setzt das Parlament im Jahr X die anvisierte Steuersenkung dann nicht von selber um, kommt es automatisch zur Volksabstimmung.""

https://t.co/eFkW4WtQTz",erhöhen steuern gleichzeitig jahr angeben senken müssen setzen parlament jahr x anvisierte steuersenkung selber kommen automatisch volksabstimmung,,,,,,,"{'Erhöht': 0, 'man': 0, 'die': 0.03, 'Steuern': 0, 'wird': 0.04, 'gleichzeitig': 0, 'ein': 0, 'Jahr': 0.02, 'angegeben': 0.12, 'in': 0.02, 'dem': 0.03, 'sie': 0, 'wieder': 0.05, 'gesenkt': 0, 'werden': 0.04, 'müssen': 0.08, 'Setzt': 0, 'das': 0, 'Parlament': 0.08, 'im': 0, 'X': 0.04, 'anvisierte': 0.04, 'Steuersenkung': 0.05, 'dann': 0, 'nicht': 0.01, 'von': 0, 'selber': 0, 'um': 0.02, 'kommt': 0, 'es': 0.08, 'automatisch': 0.12, 'zur': 0.03, 'Volksabstimmung': 0.06}",negative,"[0.28189176, 0.6632728, 0.054835416]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @grunliberale: Die Roadmap Grossen zeigt den Weg in die komplett erneuerbare, CO2-neutrale und eigenversorgte Energiezukunft der Schweiz…",roadmap grossen zeigen komplett erneuerbare co2 neutral eigenversorgte energiezukunft schweiz,,,,,,,,,,"{'Die': 0.07, 'Roadmap': 0.12, 'Grossen': 0, 'zeigt': 0, 'den': 0.07, 'Weg': 0, 'in': 0.07, 'die': 0.07, 'komplett': 1.0, 'erneuerbare': 1.0, 'CO2-neutrale': 0, 'und': 0.09, 'eigenversorgte': 0, 'Energiezukunft': 0.19, 'der': 0.07, 'Schweiz': 0.06, '…': 0}",positive,"[0.00088480505, 0.0010582305, 0.99805695]",,,,,,,,,,,,,,,,,,,,,,positive
75.0,100.0,86.0,0.5,neutral,"RT @glp_bern: Mehr Transparenz bei der Finanzierung von Parteien und Kampagnen - wir freuen uns über die Annahme unseres Antrags, dass auch…",mehr transparenz finanzierung parteien kampagnen freuen annahme antrags,,,,,,,,,,,,,"{'Mehr': 1.0, 'Transparenz': 1.0, 'bei': 0, 'der': 0.2, 'Finanzierung': 0.77, 'von': 0, 'Parteien': 0.21, 'und': 0.16, 'Kampagnen': 0.26, 'wir': 0, 'freuen': 0, 'uns': 0, 'über': 0, 'die': 0.2, 'Annahme': 0, 'unseres': 0, 'Antrags': 0.18, 'dass': 0.08, 'auch': 0.08, '…': 0}",positive,"[0.016779328, 0.006536351, 0.97668433]",,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Halbe Sachen bei der Offenlegung des E-Voting-Quellcodes werden nicht zum Ziel führen. Das ist eine verpasste Chance.

Aber: auch Open-Source-Code ist nicht gratis und muss von der Allgemeinheit, die ein Interesse an der vollständigen Offenlegung hat, abgegolten werden. https://t.co/yyELyCCAPR",halbe sachen offenlegung e voting quellcodes ziel fahren verpasste chance open source code gratis allgemeinheit interesse vollständig offenlegung abgelten,,,,,,,,,,,,,,,,"{'Halbe': 0.08, 'Sachen': 0, 'bei': 0, 'der': 0.02, 'Offenlegung': 0.09, 'des': 0, 'E-Voting-Quellcodes': 0.11, 'werden': 0.05, 'nicht': 0.22, 'zum': 0.02, 'Ziel': 0, 'führen': 0.02, 'Das': 0.02, 'ist': 0.14, 'eine': 0, 'verpasste': 0.18, 'Chance': 0, 'Aber': 1.0, 'auch': 0, 'Open-Source-Code': 0, 'gratis': 0.055, 'und': 0.05, 'muss': 0.02, 'von': 0, 'Allgemeinheit': 0, 'die': 0.02, 'ein': 0, 'Interesse': 0.04, 'an': 0.01, 'vollständigen': 0, 'hat': 0, 'abgegolten': 0}",negative,"[0.17234996, 0.78055835, 0.047091737]",,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.6666666666666666,neutral,Mehr Spielraum für die Digitalisierung der amtlichen Bekanntmachungen würde auch dem Kanton Bern gut tun. @eviallemann: Ein guter Vorsatz für das neue Jahr? @Michael_Koepfli @doppel_m https://t.co/Xmwf3ANxHy,mehr spielraum digitalisierung amtlich bekanntmachungen kanton bern gut tun gut vorsatz neue jahr,,,,,,,,,,,,,,,,,,,"{'Mehr': 0.11, 'Spielraum': 0.14, 'für': 0.09, 'die': 0.06, 'Digitalisierung': 0, 'der': 0.06, 'amtlichen': 0.08, 'Bekanntmachungen': 0.08, 'würde': 0.14, 'auch': 0.12, 'dem': 0.06, 'Kanton': 0.06, 'Bern': 0.05, 'gut': 0, 'tun': 0.12, 'Ein': 0.46, 'guter': 0, 'Vorsatz': 0, 'das': 0, 'neue': 0.09, 'Jahr': 0.13}",neutral,"[0.56683743, 0.04255112, 0.39061138]",,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"@eviallemann @bernerfinanzen Merci für diese Vereinfachung. Bei der Gelegenheit: Wo s
teht eigentlich die Digitalisierung des amtlichen Anzeigers?",merci vereinfachung gelegenheit s teht eigentlich digitalisierung amtlich anzeigers,,,,,,,,,,,,,,,,,,,"{'Merci': 0, 'für': 0.06, 'diese': 0.06, 'Vereinfachung': 0.1, 'Bei': 0, 'der': 0.08, 'Gelegenheit': 0, 'Wo': 1.0, 's': 0.31, 'teht': 0, 'eigentlich': 0.27, 'die': 0.08, 'Digitalisierung': 0, 'des': 0, 'amtlichen': 0.14, 'Anzeigers': 0.16}",neutral,"[0.65455806, 0.22811706, 0.11732488]",,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @AndreasHauser16: Liebe @FDPKoeniz
Hattet Ihr nicht noch eben den Umweltschutz in Eurer DNA? 
Das Klimarating spricht aber eine andere S…",lieb eben umweltschutz dna klimarating sprechen s,,,,,,,,,,,,,,,,,,,,,,"{'Liebe': 0.49, 'Hattet': 0, 'Ihr': 0, 'nicht': 0, 'noch': 0, 'eben': 0, 'den': 0.05, 'Umweltschutz': 0.65, 'in': 0.21, 'Eurer': 0, 'DNA': 0.26, 'Das': 0.05, 'Klimarating': 0.055, 'spricht': 0.06, 'aber': 0, 'eine': 0, 'andere': 0, 'S': 0, '…': 0}",positive,"[0.20983583, 0.030058738, 0.76010543]",,,,,,,,,,positive
75.0,100.0,86.0,0.5,negative,"Gratis-ÖV = mehr Umweltschutz? Ich finde diese Zuteilung problematisch. Gerade in der Stadt ist die Alternative zum ÖV sowieso nicht das Auto, sondern Fuss- und Veloverkehr. Diese Alternativen sind umweltfreundlicher als der ÖV und werden durch Gratis-ÖV geschwächt. @smartvoteCH",gratis öv mehr umweltschutz finden zuteilung problematisch gerade stadt alternative öv sowieso auto fuss veloverkehr alternativ umweltfreundlich öv gratis öv schwächen,,,,,,,,,,,,,,,,,,,,,,"{'Gratis-ÖV': 0.06, 'mehr': 0.04, 'Umweltschutz': 0.51, 'Ich': 0.2, 'finde': 1.0, 'diese': 0.46, 'Zuteilung': 0.54, 'problematisch': 1.0, 'Gerade': 0, 'in': 0.05, 'der': 0.03, 'Stadt': 0.09, 'ist': 0.04, 'die': 0.03, 'Alternative': 0.08, 'zum': 0.03, 'ÖV': 0, 'sowieso': 0.06, 'nicht': 0.03, 'das': 0, 'Auto': 0, 'sondern': 0.06, 'Fuss-': 0, 'und': 0.03, 'Veloverkehr': 0, 'Diese': 0.46, 'Alternativen': 0.06, 'sind': 0.05, 'umweltfreundlicher': 0.060000000000000005, 'als': 0, 'werden': 0, 'durch': 0, 'geschwächt': 0.08}",negative,"[0.052487884, 0.72805387, 0.21945831]",,,,,,,,,,positive
