answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3430,absa_sentiment_3430,absa_scores_3430,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,RT @mtoengi: Wird jetzt Altbundesrat Blocher den Vaterschaftsurlaub rückwirkend einfordern?,altbundesrat blocher vaterschaftsurlaub rückwirkend einfordern,"{'Wird': 0.47, 'jetzt': 0.35, 'Altbundesrat': 0.16, 'Blocher': 0.45, 'den': 0, 'Vaterschaftsurlaub': 0.8200000000000001, 'rückwirkend': 0.61, 'einfordern': 0}",neutral,"[0.93770087, 0.05135034, 0.010948796]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
75.0,75.0,71.0,0.3333333333333333,neutral,"@MathysRoland Wenn der Vaterschaftsurlaub die Wettbewerbsfähigkeit einschränkt, sollte man ihn schleunigst abschaffen. Dieser unterschätzte freie Tag kostet die Schweizer Wirtschaft jährlich über 200 Mannjahre.

Logisch, dass Sie sich dafür aussprechen, diesen Tag endlich abzuschaffen, oder?",vaterschaftsurlaub wettbewerbsfähigkeit einschränken sollen schleunigst abschaffen unterschätzen freie tag kosten schweizer wirtschaft jährlich mannjahre logisch dafür aussprechen tag endlich abschaffen,"{'Wenn': 0, 'der': 0.04, 'Vaterschaftsurlaub': 0.78, 'die': 0.04, 'Wettbewerbsfähigkeit': 0.37, 'einschränkt': 0.29, 'sollte': 0.12, 'man': 0.04, 'ihn': 0, 'schleunigst': 0.02, 'abschaffen': 0, 'Dieser': 0.02, 'unterschätzte': 0, 'freie': 0, 'Tag': 0, 'kostet': 0.05, 'Schweizer': 0.08, 'Wirtschaft': 0, 'jährlich': 0, 'über': 0.02, '200': 0, 'Mannjahre': 0.035, 'Logisch': 0, 'dass': 0.01, 'Sie': 0, 'sich': 0, 'dafür': 0, 'aussprechen': 0, 'diesen': 0.02, 'endlich': 0, 'abzuschaffen': 0, 'oder': 0}",negative,"[0.047638934, 0.7947034, 0.15765767]",,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @JorgoA: @kuenzler @narimoldi @StettlerRoger @minlimarti @init7 @watson_news Wieso nennt man das eigentlich #Vaterschaftsurlaub oder #Pa…,wieso nennen eigentlich vaterschaftsurlaub pa,"{'Wieso': 0, 'nennt': 0, 'man': 0, 'das': 0, 'eigentlich': 0.74, 'Vaterschaftsurlaub': 0.33, 'oder': 0.23, 'Pa': 0, '…': 0}",neutral,"[0.6674548, 0.28930783, 0.043237414]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,71.0,0.15,negative,"@BoderMuller @Die_Kehrseite @sarah_gabi_ @benjaminbluelle Der verschwenderische Staat gewährt 1 ganzen Tag #Vaterschaftsurlaub! Sorry, aber in der Wirtschaft ist man effizienter, 1 Stunde reicht völlig. Selfie mit Kind, Namen definieren, zackzack. Ab dann kann die Frau den Rest selber.

Wofür hat ihr Mann denn 2.5 Wochen gebraucht?",verschwenderische staat währen ganz tag vaterschaftsurlaub sorry wirtschaft effizient stunden reichen völlig selfie kind namen definieren zackzack ab frau rest selber wofür mann wochen gebrauchen,"{'Der': 0.02, 'verschwenderische': 0, 'Staat': 0.13, 'gewährt': 0, '1': 0, 'ganzen': 0, 'Tag': 0, 'Vaterschaftsurlaub': 0.54, 'Sorry': 0.1, 'aber': 0.05, 'in': 0.02, 'der': 0.02, 'Wirtschaft': 0.05, 'ist': 0.02, 'man': 0, 'effizienter': 0.045, 'Stunde': 0, 'reicht': 0, 'völlig': 0, 'Selfie': 0.05, 'mit': 0.02, 'Kind': 0, 'Namen': 0, 'definieren': 0.04, 'zackzack': 0, 'Ab': 0, 'dann': 0.01, 'kann': 0.02, 'die': 0.02, 'Frau': 0, 'den': 0.02, 'Rest': 0.01, 'selber': 0, 'Wofür': 0.035, 'hat': 0, 'ihr': 0, 'Mann': 0, 'denn': 0.01, '2.5': 0, 'Wochen': 0.04, 'gebraucht': 0}",positive,"[0.073396534, 0.042622976, 0.8839805]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @cedricwermuth: Lustig, wenns um Flüchtlinge und Asylrecht geht gibt's den #Klimawandel also doch. Ja, was denn jetzt liebe @SVPch? @Koe…",lustig wenns flüchtlinge asylrecht gehen geben s klimawandel ja lieb,,,,"{'Lustig': 0, 'wenns': 0, 'um': 0, 'Flüchtlinge': 0.94, 'und': 1.0, 'Asylrecht': 0.9199999999999999, 'geht': 0, ""gibt's"": 0, 'den': 0, 'Klimawandel': 0.085, 'also': 0, 'doch': 0, 'Ja': 1.0, 'was': 0, 'denn': 0, 'jetzt': 0.07, 'liebe': 0.17, '…': 0}",positive,"[0.025788425, 0.001613501, 0.9725981]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @retolipp: Die Welt subventioniert fossile Energieträger immer noch mit 500 Mrd jährlich. Und nur 1.5 Mrd gehen in Erneuerbare. Da muss…,welt subventioniert fossile energieträger immer mrd jährlich mrd gehen erneuerbare,,,,,,,"{'Die': 0.08, 'Welt': 0.16, 'subventioniert': 0, 'fossile': 0.24, 'Energieträger': 0, 'immer': 0, 'noch': 0.08, 'mit': 0.06, '500': 0, 'Mrd': 0.27, 'jährlich': 0, 'Und': 0.13, 'nur': 0.19, '1.5': 0, 'gehen': 0, 'in': 0, 'Erneuerbare': 0, 'Da': 0, 'muss': 0, '…': 0}",neutral,"[0.7434888, 0.20507894, 0.05143223]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"@alex_baur @romanf_ch In der Schweiz wird der Strom für die Eisenbahn hauptsächlich durch Wasserkraft produziert, also erneuerbar.

Da Sie sich mit erneuerbarer Energie nicht so gut auskennen, wollte ich das noch in die Diskussion miteinbringen. #servicetweet",schweiz strom eisenbahn hauptsächlich wasserkraft produzieren erneuerbar erneuerbarer energie gut auskennen diskussion miteinbringen servicetweet,,,,,,,"{'In': 0.04, 'der': 0.03, 'Schweiz': 0.05, 'wird': 0, 'Strom': 0, 'für': 0.03, 'die': 0.03, 'Eisenbahn': 0, 'hauptsächlich': 0.05, 'durch': 0, 'Wasserkraft': 0.03, 'produziert': 0.02, 'also': 0, 'erneuerbar': 0.18, 'Da': 0, 'Sie': 0, 'sich': 0, 'mit': 0, 'erneuerbarer': 0.18, 'Energie': 0.04, 'nicht': 1.0, 'so': 0, 'gut': 0, 'auskennen': 0.11, 'wollte': 0.33, 'ich': 0.2, 'das': 0.06, 'noch': 0, 'in': 0.04, 'Diskussion': 0.09, 'miteinbringen': 0.08, 'servicetweet': 0.09}",neutral,"[0.8783985, 0.05835809, 0.063243486]",,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"@WohlgensingerN @AlainS1991 Aber erneuerbare Energie findet die #CVP trotzdem scheisse :D 
Oder wie ...?",erneuerbare energie finden cvp trotzdem scheisse,,,,,,,"{'Aber': 0.17, 'erneuerbare': 0.7, 'Energie': 0.75, 'findet': 0, 'die': 0.19, 'CVP': 0.33, 'trotzdem': 0, 'scheisse': 0, 'Oder': 1.0, 'wie': 0, '...': 0}",negative,"[0.023114072, 0.960899, 0.01598689]",,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,14.0,-0.7,negative,RT @hoffmannkathrin: .@IEA ignoriert seit Jahren Potenzial der Erneuerbaren &amp; überschätzt fossile Energien in ihrem World Energy Outlook. L…,ignorieren seit jahren potenzial erneuerbaren amp überschätzen fossile energien world energy outlook l,,,,,,,"{'ignoriert': 1.0, 'seit': 0, 'Jahren': 0, 'Potenzial': 0.8, 'der': 0, 'Erneuerbaren': 0.46, 'amp': 0.05, 'überschätzt': 0, 'fossile': 0.03, 'Energien': 0, 'in': 0.08, 'ihrem': 0, 'World': 0.03, 'Energy': 0.05, 'Outlook': 0.09, 'L': 0.09, '…': 0}",negative,"[0.004626382, 0.9567953, 0.038578324]",,,,,,,,,,,,,,,,,,,negative
0.0,0.0,14.0,-0.7,neutral,"Die Erdrotation ist keine erneuerbare Energie. Doch die heutige Menschheit würde sie sehenden Auges abbauen, bis die Erde stillstünde.",erdrotation erneuerbare energie heutige menschheit sehend auges abbauen erde stillstünde,,,,,,,"{'Die': 0.03, 'Erdrotation': 0, 'ist': 0.53, 'keine': 0, 'erneuerbare': 1.0, 'Energie': 0.56, 'Doch': 0.87, 'die': 0.03, 'heutige': 0, 'Menschheit': 0.13, 'würde': 0.14, 'sie': 0, 'sehenden': 0, 'Auges': 0, 'abbauen': 0, 'bis': 0.09, 'Erde': 0.05, 'stillstünde': 0.14}",negative,"[0.18736017, 0.8022777, 0.010362149]",,,,,,,,,,,,,,,,,,,negative
