answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,sentiment_tb
100.0,100.0,86.0,0.7,neutral,RT @ParlCH: WBK-N: Bund soll familienergänzende Kinderbetreuung stärker unterstützen https://t.co/Z9DtukEhv6,wbk n bund familienergänzende kinderbetreuung stark unterstützen,"{'WBK-N': 0, 'Bund': 0, 'soll': 0, 'familienergänzende': 0.19, 'Kinderbetreuung': 1.0, 'stärker': 0, 'unterstützen': 0.2}",positive,"[0.26057422, 0.11206091, 0.62736493]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,neutral,"RT @EKFF_COFF: #CoronaInfo #Vereinbarkeit #Kinderbetreuung

Mütter werden stärker belastet als Väter - Auswertung zu Schweizer Familien in…",coronainfo vereinbarkeit kinderbetreuung mütter stark belasten väter auswertung schweizer familien,"{'CoronaInfo': 0.1, 'Vereinbarkeit': 0.12, 'Kinderbetreuung': 0.57, 'Mütter': 1.0, 'werden': 0, 'stärker': 0, 'belastet': 0, 'als': 0, 'Väter': 0.07, 'Auswertung': 0.12, 'zu': 0, 'Schweizer': 0.06, 'Familien': 0, 'in': 0.17, '…': 0}",negative,"[0.07526085, 0.8887027, 0.036036506]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,25.0,28.0,-0.15,neutral,"RT @EBG_BFEG_UFU: 🗞️Familien während Corona: Arbeit und Kinderbetreuung belastet Frauen stärker als Männer
🗞️Impact du coronavirus sur le t…",familien corona arbeit kinderbetreuung belasten frauen stark männer impact coronavirus sur le t,"{'️Familien': 0, 'während': 0, 'Corona': 0.06, 'Arbeit': 0.49, 'und': 1.0, 'Kinderbetreuung': 1.0, 'belastet': 0, 'Frauen': 0.05, 'stärker': 0, 'als': 0, 'Männer': 0.03, '️Impact': 0, 'du': 0, 'coronavirus': 0.05, 'sur': 0.07, 'le': 0, 't': 0.02, '…': 0}",negative,"[0.038071387, 0.9051876, 0.056741077]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @BPWSwitzerland: Die Kinderbetreuung muss ein zentrales Element der
Ausstiegsstrategie sein. Die Wirtschaft braucht das ganze
Potenzial…",kinderbetreuung zentral element ausstiegsstrategie wirtschaft brauchen ganze potenzial,"{'Die': 0.05, 'Kinderbetreuung': 0, 'muss': 0, 'ein': 0, 'zentrales': 0, 'Element': 0.16, 'der': 0.05, 'Ausstiegsstrategie': 0.235, 'sein': 0, 'Wirtschaft': 0, 'braucht': 0.05, 'das': 0, 'ganze': 0.04, 'Potenzial': 0.08, '…': 0}",positive,"[0.11485641, 0.03403546, 0.85110813]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @EKFF_COFF: Die #Kinderbetreuung muss ein zentrales Element der #Ausstiegsstrategie sein! 

Sie darf nicht geschwächt, sondern muss gest…",kinderbetreuung zentral element ausstiegsstrategie dürfen schwächen gest,"{'Die': 0.13, 'Kinderbetreuung': 1.0, 'muss': 0, 'ein': 0, 'zentrales': 0.26, 'Element': 0.22, 'der': 0.13, 'Ausstiegsstrategie': 0.16999999999999998, 'sein': 0, 'Sie': 0, 'darf': 0, 'nicht': 0.07, 'geschwächt': 0.09, 'sondern': 0.06, 'gest': 0, '…': 0}",positive,"[0.119909205, 0.03075764, 0.84933317]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @TomCBerger: Jedes Mal, wenn 30 Millionen staatliche Subventionen für die familienexterne Kinderbetreuung als neoliberales Projekt bezei…",jed mal millionen staatliche subventionen familienexterne kinderbetreuung neoliberales projekt bezei,"{'Jedes': 0, 'Mal': 0, 'wenn': 0, '30': 0, 'Millionen': 0, 'staatliche': 0.14, 'Subventionen': 0.15, 'für': 0.2, 'die': 0.38, 'familienexterne': 0.5900000000000001, 'Kinderbetreuung': 1.0, 'als': 0.09, 'neoliberales': 0, 'Projekt': 0.12, 'bezei': 0, '…': 0}",neutral,"[0.80627, 0.09153408, 0.10219596]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,"RT @derbund: Wer bei Kinderbetreuung von Ferien spricht, hat keine Ahnung - oder er hat als Vater versagt. Ein Kommentar zum Referendum geg…",wer kinderbetreuung ferien sprechen ahnung vater versagen kommentar referendum geg,"{'Wer': 0.03, 'bei': 0, 'Kinderbetreuung': 0.11, 'von': 0, 'Ferien': 0.07, 'spricht': 0, 'hat': 0, 'keine': 0, 'Ahnung': 0.03, 'oder': 0.04, 'er': 0, 'als': 0.02, 'Vater': 0.04, 'versagt': 0, 'Ein': 0.19, 'Kommentar': 0.35, 'zum': 0.065, 'Referendum': 0.24, 'geg': 0, '…': 0}",neutral,"[0.7688111, 0.11478733, 0.116401576]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,RT @bfh_sosec: Für #Gleichstellung auf dem Arbeitsmarkt braucht es #Kinderbetreuung &amp; #Vaterschaftsurlaub! Rückblick auf die Conference on…,gleichstellung arbeitsmarkt brauchen kinderbetreuung amp vaterschaftsurlaub rückblick conference on,"{'Für': 0, 'Gleichstellung': 0, 'auf': 0.04, 'dem': 0.03, 'Arbeitsmarkt': 0, 'braucht': 0, 'es': 0, 'Kinderbetreuung': 1.0, 'amp': 0.41, 'Vaterschaftsurlaub': 0.42, 'Rückblick': 0.05, 'die': 0.03, 'Conference': 0.05, 'on': 0.04, '…': 0}",neutral,"[0.7312566, 0.07518315, 0.19356026]",,,,,,,"{'Für': 0, 'Gleichstellung': 0, 'auf': 0.11, 'dem': 0.06, 'Arbeitsmarkt': 0, 'braucht': 0, 'es': 0, 'Kinderbetreuung': 0.17, 'amp': 0.11, 'Vaterschaftsurlaub': 0.89, 'Rückblick': 0.2, 'die': 0.06, 'Conference': 0.1, 'on': 0.11, '…': 0}",positive,"[0.17830642, 0.022692824, 0.79900074]",,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @staedteverband: „Im Waadtland besteht bei der Kinderbetreuung eine partnerschaftliche Finanzierung von Wirtschaft, Kanton, Städten und…",waadtland bestehen kinderbetreuung partnerschaftliche finanzierung wirtschaft kanton städten,"{'„': 0, 'Im': 0, 'Waadtland': 0, 'besteht': 0, 'bei': 0, 'der': 0, 'Kinderbetreuung': 0, 'eine': 0, 'partnerschaftliche': 0, 'Finanzierung': 0, 'von': 0, 'Wirtschaft': 0, 'Kanton': 0, 'Städten': 0, 'und': 0, '…': 0}",neutral,"[0.6763868, 0.023196246, 0.300417]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"@TomCBerger @retolipp heisst das, dass von den Männern also Bildung höher gewichtet wird als Familie und Kinderbetreuung?",heisst männern bildung hoch gewichten familie kinderbetreuung,"{'heisst': 0.12, 'das': 0.18, 'dass': 0.18, 'von': 0, 'den': 0, 'Männern': 0.12, 'also': 0, 'Bildung': 0.16, 'höher': 0, 'gewichtet': 0, 'wird': 0, 'als': 0, 'Familie': 0.12, 'und': 0.23, 'Kinderbetreuung': 0.31}",neutral,"[0.89823073, 0.09717871, 0.0045906063]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
