answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3391,absa_sentiment_3391,absa_scores_3391,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3435,absa_sentiment_3435,absa_scores_3435,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"@CtfCrea Aktuelles Bsp. dazu, #Elternzeit, #Vaterschaftsurlaub, #Kinderbetreuung, etc...
Die Liste kann beliebig verlängert werden.",aktuell bsp elternzeit vaterschaftsurlaub kinderbetreuung etc liste beliebig verlängern,"{'Aktuelles': 0.05, 'Bsp.': 0, 'dazu': 0, 'Elternzeit': 0.125, 'Vaterschaftsurlaub': 0.19, 'Kinderbetreuung': 1.0, 'etc': 0.23, '...': 0, 'Die': 0.07, 'Liste': 0, 'kann': 0.05, 'beliebig': 0, 'verlängert': 0.04, 'werden': 0}",neutral,"[0.5566957, 0.01803891, 0.42526537]",,,,,,,,,,"{'Aktuelles': 0.13, 'Bsp.': 0, 'dazu': 0, 'Elternzeit': 0.505, 'Vaterschaftsurlaub': 0.8, 'Kinderbetreuung': 0.29, 'etc': 0.26, '...': 0, 'Die': 0.11, 'Liste': 0, 'kann': 0.12, 'beliebig': 0, 'verlängert': 0.07, 'werden': 0}",positive,"[0.31840515, 0.015467659, 0.6661271]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,@gregorischmid @ptR1985 @dtruessel @vbs_ddps @grunliberale Wenn Mann oder Frau während des WK‘s der Partner*in die #Kinderbetreuung übernimmt wird dann der #Lohnausfall von beiden über die EO finanziert? Oder werden Olivgrüne Kindertagesstätten und Ganztagsbetreuung von der Armee zur Verfügung gestellt?,mann frau wk s partner kinderbetreuung übernehmen lohnausfall beid eo finanzieren olivgrüne kindertagesstätten ganztagsbetreuung armee verfügung stellen,"{'Wenn': 0, 'Mann': 0, 'oder': 0.43, 'Frau': 0, 'während': 0, 'des': 0, 'WK': 0.07, '‘': 0, 's': 0, 'der': 0, 'Partner*in': 0, 'die': 0, 'Kinderbetreuung': 0, 'übernimmt': 0, 'wird': 0, 'dann': 0, 'Lohnausfall': 0, 'von': 0, 'beiden': 0, 'über': 0, 'EO': 0, 'finanziert': 0, 'Oder': 0, 'werden': 0, 'Olivgrüne': 0, 'Kindertagesstätten': 0, 'und': 0, 'Ganztagsbetreuung': 0, 'Armee': 0, 'zur': 0, 'Verfügung': 0, 'gestellt': 0}",neutral,"[0.91652614, 0.06442911, 0.019044701]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,negative,"@TobiasInfortuna Da hätten wir ihn wieder, „Schrödinger‘s Ausländer“
1. Ausländer integrieren sich nicht!
2. Integration von Ausländer ist scheisse!
🙄🙈
Satirepartei SVP...🤪",schrödinger s ausländer ausländer integrieren integration ausländer scheisse satirepartei svp,,,,"{'Da': 0, 'hätten': 0.05, 'wir': 0, 'ihn': 0.05, 'wieder': 0.05, '„': 0, 'Schrödinger': 0, '‘': 0, 's': 0, 'Ausländer': 0, '“': 0, '1.': 0, 'integrieren': 0, 'sich': 0, 'nicht': 0, '2.': 0, 'Integration': 0, 'von': 0, 'ist': 0, 'scheisse': 0, 'Satirepartei': 0, 'SVP': 0, '...': 0, '🤪': 0}",negative,"[0.20123479, 0.5325025, 0.26626283]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,Polizeiverbandschef will Legalisierung nach Cannabis-Urteil https://t.co/6VCZdTvxJB,polizeiverbandschef legalisierung cannabis urteil,,,,,,,"{'Polizeiverbandschef': 0.5650000000000001, 'will': 0, 'Legalisierung': 1.0, 'nach': 0.28, 'Cannabis-Urteil': 0.18}",neutral,"[0.935119, 0.01995682, 0.04492424]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"@StenEgilDahl @MarcBuergi Also was das Thema Cannabis angeht würde ich jetzt nicht gerade den Zweihänder „ihr“ auspacken.
Ein Großteil der BDP befürwortet die Legalisierung...🤘
Als Bsp. #Motion von @h_siegenthaler 
https://t.co/vNOh6Fda2k",thema cannabis angehen gerade zweihänder auspacken großteil bdp befürworten legalisierung bsp motion,,,,,,,"{'Also': 0, 'was': 0, 'das': 0, 'Thema': 0, 'Cannabis': 0.71, 'angeht': 0, 'würde': 0, 'ich': 0.06, 'jetzt': 0, 'nicht': 0, 'gerade': 0.04, 'den': 0.04, 'Zweihänder': 0.025, '„': 0, 'ihr': 0, '“': 0, 'auspacken': 0, 'Ein': 0, 'Großteil': 0, 'der': 0, 'BDP': 0, 'befürwortet': 0, 'die': 0, 'Legalisierung': 0, '...': 0, '🤘': 0, 'Als': 0, 'Bsp.': 0, 'Motion': 0, 'von': 0}",neutral,"[0.8347021, 0.0037842959, 0.16151361]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
75.0,100.0,86.0,0.5,neutral,@moninielsen @MarcBuergi @Paescu12 @StenEgilDahl Bei Alkohol und Tabak hat die #Prävention Wirkung gezeigt. Die Zahl der Süchtigen geht laufend zurück. Vorraussetzung für griffige Prävention und deren Finanzierung ist Legalisierung/Regulierung #Cannabis ist deutlich weniger schädlich und suchterregend als #Tabak und #Alkohol.,alkohol tabak prävention wirkung zeigen zahl süchtig gehen laufen zurück vorraussetzung griffig prävention finanzierung legalisierung regulierung cannabis deutlich wenig schädlich suchterregend tabak alkohol,,,,,,,"{'Bei': 0, 'Alkohol': 0.07, 'und': 0.08, 'Tabak': 0.06, 'hat': 0, 'die': 0.05, 'Prävention': 0.07, 'Wirkung': 0, 'gezeigt': 0.06, 'Die': 0.05, 'Zahl': 0.04, 'der': 0.05, 'Süchtigen': 0, 'geht': 0, 'laufend': 0, 'zurück': 0, 'Vorraussetzung': 0, 'für': 0.04, 'griffige': 0, 'deren': 0, 'Finanzierung': 0.11, 'ist': 1.0, 'Legalisierung': 0.23, 'Regulierung': 0.27, 'Cannabis': 1.0, 'deutlich': 0, 'weniger': 0, 'schädlich': 0.82, 'suchterregend': 0, 'als': 0}",negative,"[0.30075407, 0.47626913, 0.22297682]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,negative,"#Cannabis für militärische Zwecke herstellen könnte zumindest für den #Export funktionieren. Ich hab gehört in diesem Zweig soll es in Zukunft einfacher werden...🤦‍♂️
#Gesundheit #Behördenwahnsinn
https://t.co/VNfYx2SP10",cannabis militärisch zwecke herstellen zumindest export funktionieren hören zweig zukunft einfach gesundheit behördenwahnsinn,,,,,,,"{'Cannabis': 1.0, 'für': 0.12, 'militärische': 0.22, 'Zwecke': 0.27, 'herstellen': 0, 'könnte': 0.99, 'zumindest': 0.075, 'den': 0.03, 'Export': 0.1, 'funktionieren': 0, 'Ich': 0.04, 'hab': 0, 'gehört': 0.07, 'in': 0.02, 'diesem': 0.05, 'Zweig': 0, 'soll': 0, 'es': 0, 'Zukunft': 0.05, 'einfacher': 0.21, 'werden': 0, '...': 0, '🤦': 0, '\u200d️': 0, 'Gesundheit': 0, 'Behördenwahnsinn': 0}",neutral,"[0.8337214, 0.12594233, 0.040336225]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,positive,"@Dede71Mueller @muellerkaderli @gerhardpfister @Telebasel @ClaudeBuehler @bwertli Ich gehe davon aus, dass die #Cannabis Liberalisierung etwas zu fortschrittlich ist für @gerhardpfister...🤷‍♂️
Aber da wir eine gute Partnerschaft zwischen @BdpBaselland und @CVP_BL  besteht, herzlich Willkommen in der Region.
Ich werde dem Talk gespannt folgen.",gehen davon cannabis liberalisierung fortschrittlich gut partnerschaft bestehen herzlich willkommen region talk spannen folgen,,,,,,,"{'Ich': 0, 'gehe': 0, 'davon': 0.11, 'aus': 0, 'dass': 0.11, 'die': 0.05, 'Cannabis': 1.0, 'Liberalisierung': 1.0, 'etwas': 0, 'zu': 0.03, 'fortschrittlich': 0.22, 'ist': 0.17, 'für': 0.11, '...': 0, '🤷': 0, '\u200d️': 0, 'Aber': 0, 'da': 0, 'wir': 0, 'eine': 0, 'gute': 0, 'Partnerschaft': 0, 'zwischen': 0, 'und': 0, 'besteht': 0, 'herzlich': 0, 'Willkommen': 0, 'in': 0, 'der': 0, 'Region': 0, 'werde': 0, 'dem': 0, 'Talk': 0, 'gespannt': 0, 'folgen': 0}",positive,"[0.29282877, 0.2315332, 0.47563803]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,neutral,Auch Al Capone hätte sich gegen die Cannabis #Legalisierung gewehrt...😜,al capone cannabis legalisierung wehren,,,,,,,"{'Auch': 0.42, 'Al': 0.11, 'Capone': 0.25, 'hätte': 0, 'sich': 0, 'gegen': 0, 'die': 0, 'Cannabis': 0.42, 'Legalisierung': 1.0, 'gewehrt': 0, '...': 0}",neutral,"[0.5733918, 0.3511851, 0.07542318]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,"@Branko0805 @operationlibero Ob #Rentenalter angehoben werden soll oder nicht, lässt sich nicht so einfach beantworten. Wir werden immer älter = ja, Fachkräftemangel = ja, spielt die Wirtschaft mit = weiß nicht...
Es braucht wohl langfristig ein neues Konzept.",rentenalter anheben lässt einfach beantworten immer alt ja fachkräftemangel ja spielen wirtschaft weiß brauchen wohl langfristig neu konzept,,,,,,,,,,"{'Ob': 0, 'Rentenalter': 0.32499999999999996, 'angehoben': 0.21, 'werden': 0, 'soll': 0, 'oder': 0.14, 'nicht': 1.0, 'lässt': 0, 'sich': 0, 'so': 0, 'einfach': 0, 'beantworten': 0, 'Wir': 0.02, 'immer': 0, 'älter': 0.01, 'ja': 0.02, 'Fachkräftemangel': 0.0125, 'spielt': 0.01, 'die': 0.01, 'Wirtschaft': 0, 'mit': 0, 'weiß': 0, '...': 0, 'Es': 0.01, 'braucht': 0, 'wohl': 0, 'langfristig': 0.01, 'ein': 0, 'neues': 0.02, 'Konzept': 0.01}",negative,"[0.31376612, 0.66476995, 0.021463927]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
