answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,100.0,1.0,neutral,"RT @grunliberale: #Kinderbetreuung für erwerbstätige Eltern ist zentral für die Vereinbarkeit von Familie und Beruf. Es ist richtig, dass e…",kinderbetreuung erwerbstätige eltern zentral vereinbarkeit familie beruf richtig e,"{'Kinderbetreuung': 1.0, 'für': 0.28, 'erwerbstätige': 0, 'Eltern': 0.1, 'ist': 0.05, 'zentral': 0.17, 'die': 0.05, 'Vereinbarkeit': 0.06, 'von': 0, 'Familie': 0.06, 'und': 0.05, 'Beruf': 0, 'Es': 0.05, 'richtig': 0.12, 'dass': 0.08, 'e': 0.13, '…': 0}",positive,"[0.034637228, 0.0047497135, 0.960613]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @grunliberale: «Die Grünliberalen beurteilen die #Kinderbetreuung für erwerbstätige Eltern als systemrelevant. Gerade jetzt, wo es alle…",grünliberalen beurteilen kinderbetreuung erwerbstätige eltern systemrelevant gerade all,"{'«': 0, 'Die': 0, 'Grünliberalen': 0, 'beurteilen': 0, 'die': 0, 'Kinderbetreuung': 0, 'für': 0, 'erwerbstätige': 0, 'Eltern': 0, 'als': 0, 'systemrelevant': 0, 'Gerade': 0, 'jetzt': 0, 'wo': 0, 'es': 0, 'alle': 0, '…': 0}",positive,"[0.023237213, 0.015220625, 0.9615421]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@minlimarti @bartolomeuw7 @minlimarti, du weisst, wir haben auch da gemeinsame Positionen. Bspw. sind wir beide gegen die Kürzung der Kinderrente, für eine Elternzeit o. Stärkung ausserfam. Kinderbetreuung. Aber ihr seid ja momentan eher darauf aus, über uns zu richten als mit uns zu reden 🤷",weisst gemeinsam positionen bspw beid kürzung kinderrente elternzeit o stärkung ausserfam kinderbetreuung ja momentan eher darauf richten reden,"{'du': 0, 'weisst': 0.01, 'wir': 0, 'haben': 0.02, 'auch': 0, 'da': 0, 'gemeinsame': 0.03, 'Positionen': 0, 'Bspw': 0, 'sind': 0.03, 'beide': 0.03, 'gegen': 0.08, 'die': 0.04, 'Kürzung': 0.07, 'der': 0.04, 'Kinderrente': 0.21, 'für': 0.29, 'eine': 0, 'Elternzeit': 0.105, 'o.': 0, 'Stärkung': 0.16, 'ausserfam': 0, 'Kinderbetreuung': 1.0, 'Aber': 0.29, 'ihr': 0, 'seid': 0.03, 'ja': 0, 'momentan': 0.0325, 'eher': 0, 'darauf': 0, 'aus': 0, 'über': 0, 'uns': 0.04, 'zu': 0.02, 'richten': 0, 'als': 0, 'mit': 0, 'reden': 0, '🤷': 0}",neutral,"[0.64303833, 0.08217893, 0.27478275]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @TA_Politik: Die Hürden für die Cannabisabgabe fallen http://t.co/eoR2cTIb0t,hürden cannabisabgabe fallen,,,,"{'Die': 0.14, 'Hürden': 0, 'für': 0, 'die': 0.14, 'Cannabisabgabe': 0, 'fallen': 0}",neutral,"[0.812725, 0.15875375, 0.028521175]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @kathrinbertschy: Die #SVP: Gestern gegen Cannabis für Schwerkranke http://t.co/kKTgzlNnLF heute #EinHerzfürSchnaps. #BertschymitKöpfli …,svp gestern cannabis schwerkranke heute einherzfürschnaps bertschymitköpfli,,,,"{'Die': 0.12, 'SVP': 0, 'Gestern': 0.85, 'gegen': 1.0, 'Cannabis': 0.89, 'für': 0.4, 'Schwerkranke': 0.16, 'heute': 0.11, 'EinHerzfürSchnaps': 0.4, 'BertschymitKöpfli': 0, '…': 0}",neutral,"[0.7030542, 0.18463425, 0.11231156]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,RT @joergmaeder: Wahrnehmungsstörung beim SBG. #Rentenalter Vorschläge der Parteien völlig überzeichnet. http://t.co/uaUz9aGqea http://t.co…,wahrnehmungsstörung beim sbg rentenalter vorschläge parteien völlig überzeichnet,,,,,,,"{'Wahrnehmungsstörung': 0.3, 'beim': 0.17, 'SBG': 0.34, 'Rentenalter': 0.485, 'Vorschläge': 0.46, 'der': 0.17, 'Parteien': 0.28, 'völlig': 0, 'überzeichnet': 0.72}",negative,"[0.37389573, 0.5369285, 0.08917584]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Ich sehe nicht ein, wieso wir Frauen weniger lang arbeiten können - darum gleiches Rentenalter für alle. #Gleichberechtigung",sehen wieso frauen wenig langen arbeiten darum gleich rentenalter all gleichberechtigung,,,,,,,"{'Ich': 0.06, 'sehe': 0.07, 'nicht': 0, 'ein': 0, 'wieso': 0, 'wir': 0, 'Frauen': 0.15, 'weniger': 0, 'lang': 0, 'arbeiten': 0.16, 'können': 0, 'darum': 1.0, 'gleiches': 1.0, 'Rentenalter': 0.645, 'für': 0.87, 'alle': 0.59, 'Gleichberechtigung': 0.11}",positive,"[0.3124301, 0.025769608, 0.6618003]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @KatrinCometta: Der #Vaterschaftsurlaub ist ein erster Schritt in Richtung einer längst fälligen #Elternzeit. Die Eltern sollen sich die…,vaterschaftsurlaub erst schritt richtung längst fällig elternzeit eltern sollen,,,,,,,,,,"{'Der': 0.37, 'Vaterschaftsurlaub': 0.08, 'ist': 0.21, 'ein': 0, 'erster': 0.05, 'Schritt': 0.09, 'in': 0, 'Richtung': 0, 'einer': 0, 'längst': 0.055, 'fälligen': 0, 'Elternzeit': 0.08499999999999999, 'Die': 0.37, 'Eltern': 0.07, 'sollen': 0.07, 'sich': 0, 'die': 0.37, '…': 0}",positive,"[0.41923767, 0.049003053, 0.5317592]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Wir wollen Gleichstellung! Heute sind wir das einzige Land in Europa, das weder Vaterschaftsurlaub noch Elternzeit kennt 🙈#EsistElternzeit #Hallo21Jahrhundert  
https://t.co/JBxWbMI5Ah @glpzh @grunliberale",gleichstellung heute einzig land europa weder vaterschaftsurlaub elternzeit kennen esistelternzeit hallo21jahrhundert,,,,,,,,,,"{'Wir': 0.03, 'wollen': 0.04, 'Gleichstellung': 0.06, 'Heute': 0.04, 'sind': 0.04, 'wir': 0, 'das': 0.11, 'einzige': 0.13, 'Land': 0, 'in': 0.03, 'Europa': 0.06, 'weder': 1.0, 'Vaterschaftsurlaub': 0.495, 'noch': 0, 'Elternzeit': 0.38, 'kennt': 0.75, 'EsistElternzeit': 0, 'Hallo21Jahrhundert': 0}",neutral,"[0.5438404, 0.01877001, 0.43738955]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,RT @wurstundbrot: Auf Tuchfühlung mit @glpzh und gemeinnützigem Wohnungsbau: 4.10. um 10 beim Aufgang der Genossenschaft #Kalkbreite: https…,tuchfühlung gemeinnützig wohnungsbau beim aufgang genossenschaft kalkbreite https,,,,,,,,,,,,,"{'Auf': 0, 'Tuchfühlung': 0.33999999999999997, 'mit': 1.0, 'und': 1.0, 'gemeinnützigem': 0, 'Wohnungsbau': 0.82, '4.10.': 0, 'um': 0, '10': 0, 'beim': 0.055, 'Aufgang': 0, 'der': 0.05, 'Genossenschaft': 0.08, 'Kalkbreite': 0, 'https': 0.14, '…': 0}",neutral,"[0.64401865, 0.013238717, 0.34274265]",,,,,,,,,,,,,,,,positive
