answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"@narimoldi @Jungfreisinnige Mit dem, das bspw. im übergrossen Militärbudget drin steckt und mit einem Bürgerdienst geschmälert werden könnte 😉 Oder mit einer Besteuerung von Cannabis.",bspw übergrossen militärbudget drin stecken bürgerdienst schmälern besteuerung cannabis,"{'Mit': 0.53, 'dem': 0.08, 'das': 0.11, 'bspw.': 0, 'im': 0, 'übergrossen': 0.17, 'Militärbudget': 0.235, 'drin': 0, 'steckt': 0, 'und': 0.09, 'mit': 0.53, 'einem': 0, 'Bürgerdienst': 0.29, 'geschmälert': 0, 'werden': 0, 'könnte': 0.09, 'Oder': 0.22, 'einer': 0, 'Besteuerung': 0.54, 'von': 0, 'Cannabis': 1.0}",neutral,"[0.97098327, 0.006588313, 0.022428405]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @jglpCH: Kein Geld für die #AHV, unnötige Gesundheitsrisiken bleiben. NR-Kommission ist gegen Regulierung von #Cannabis 
Lichtblick: Der…",geld ahv unnötig gesundheitsrisiken bleiben nr kommission regulierung cannabis lichtblick,"{'Kein': 0.12, 'Geld': 0.08, 'für': 0.05, 'die': 1.0, 'AHV': 0.08, 'unnötige': 0.1, 'Gesundheitsrisiken': 0.10500000000000001, 'bleiben': 0.08, 'NR-Kommission': 0.19, 'ist': 0.21, 'gegen': 0.67, 'Regulierung': 0.8, 'von': 0, 'Cannabis': 0.31, 'Lichtblick': 0.725, 'Der': 1.0, '…': 0}",positive,"[0.18735081, 0.066386394, 0.7462628]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.85,neutral,"@ironiemus Ich setzte mich konsequent für einen Bürgerdienst ein. Hier mein letztes Interview dazu: https://t.co/8SOi2yddDm. Chancengleichheit brauchts überall, nicht nur dort wo, wo es gerade angenehm ist. Übrigens setze ich mich auch für eine Angleichung des Rentenalters ein 😉",setzen konsequent bürgerdienst letzt interview chancengleichheit brauchts überall gerade angenehm übrigens setzen angleichung rentenalters,,,,"{'Ich': 0.2, 'setzte': 0, 'mich': 0, 'konsequent': 0, 'für': 0, 'einen': 0, 'Bürgerdienst': 0.06, 'ein': 0, 'Hier': 0.04, 'mein': 0.02, 'letztes': 0.04, 'Interview': 0.16, 'dazu': 0.62, 'Chancengleichheit': 0.08, 'brauchts': 0.03, 'überall': 0, 'nicht': 0.07, 'nur': 0, 'dort': 0, 'wo': 0.07, 'es': 0.03, 'gerade': 0.04, 'angenehm': 0, 'ist': 0.03, 'Übrigens': 0.44, 'setze': 0, 'ich': 0.2, 'auch': 0.25, 'eine': 0, 'Angleichung': 0, 'des': 0, 'Rentenalters': 0.95}",positive,"[0.13240115, 0.0073617594, 0.86023706]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"RT @grunliberale: Statt mit Verknüpfungen wieder neue Ungerechtigkeiten zu schaffen, sei es sinnvoller, die Erhöhung des Rentenalters mit e…",statt verknüpfungen neue ungerechtigkeiten schaffen sinnvoll erhöhung rentenalters e,,,,"{'Statt': 0.155, 'mit': 0.48, 'Verknüpfungen': 0, 'wieder': 0, 'neue': 0.16, 'Ungerechtigkeiten': 0.33, 'zu': 0.5, 'schaffen': 0, 'sei': 0, 'es': 0, 'sinnvoller': 0.64, 'die': 0.56, 'Erhöhung': 1.0, 'des': 0, 'Rentenalters': 0.75, 'e': 0.24, '…': 0}",positive,"[0.03823117, 0.007823488, 0.95394534]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,@TheDudeLebovski @papizeit Sie wollen damit Platz für die Elternzeit machen. Viel sinnvoller als der Vaterschaftsurlaub! 😊,platz elternzeit sinnvoll vaterschaftsurlaub,,,,,,,"{'Sie': 0, 'wollen': 0.22, 'damit': 0.08, 'Platz': 0, 'für': 0.11, 'die': 0, 'Elternzeit': 0.395, 'machen': 0, 'Viel': 0, 'sinnvoller': 0.59, 'als': 0, 'der': 0, 'Vaterschaftsurlaub': 0.675}",positive,"[0.023949772, 0.0048895003, 0.97116077]",,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.9,negative,"@Marcel_Klima Nein, 2 Wochen reichen nicht. 4 Wochen #Vaterschaftsurlaub sind das Mindeste, das wir bieten können, um alte Rollenbilder aufzubrechen und auch Vätern zu ermöglichen, eine gesunde Bindung zu ihrem Kind aufzubauen. Noch besser wäre eine #Elternzeit. #MVjglpCH",nein wochen reich wochen vaterschaftsurlaub mindeste bieten alt rollenbilder aufbrechen vätern ermöglichen gesunden bindung kind aufbauen gut elternzeit mvjglpch,,,,,,,"{'Nein': 0.05, '2': 0, 'Wochen': 0.25, 'reichen': 0, 'nicht': 0.1, '4': 0, 'Vaterschaftsurlaub': 0.07, 'sind': 0.18, 'das': 0, 'Mindeste': 0.22, 'wir': 0, 'bieten': 0.08, 'können': 0.04, 'um': 0.08, 'alte': 0, 'Rollenbilder': 0.07500000000000001, 'aufzubrechen': 0.025, 'und': 0.03, 'auch': 0.03, 'Vätern': 0.04, 'zu': 0.02, 'ermöglichen': 0.06, 'eine': 0, 'gesunde': 0.05, 'Bindung': 0, 'ihrem': 0, 'Kind': 0, 'aufzubauen': 0.035, 'Noch': 0, 'besser': 0.14, 'wäre': 0.04, 'Elternzeit': 0.07500000000000001, 'MVjglpCH': 0.2}",positive,"[0.094721176, 0.08236102, 0.82291776]",,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"Es wird endlich Zeit, dass es auch in der Schweiz einen #Vaterschaftsurlaub von mind. 4 Wochen gibt! Er bricht nicht nur alte Rollenbilder auf, sondern ermöglicht auch eine bessere Vereinbarkeit von Arbeit und Familie 💚 #MVjglpCH @jglpCH",endlich zeit schweiz vaterschaftsurlaub mind wochen geben brechen alt rollenbilder ermöglichen gut vereinbarkeit arbeit familie mvjglpch,,,,,,,"{'Es': 0.27, 'wird': 0, 'endlich': 0.03, 'Zeit': 0.56, 'dass': 0.16, 'es': 0.27, 'auch': 0.04, 'in': 0.09, 'der': 0, 'Schweiz': 0.05, 'einen': 0.02, 'Vaterschaftsurlaub': 1.0, 'von': 0, 'mind.': 0, '4': 0, 'Wochen': 0.16, 'gibt': 0, 'Er': 0.27, 'bricht': 0.12, 'nicht': 0.05, 'nur': 0.03, 'alte': 0, 'Rollenbilder': 0.02, 'auf': 0, 'sondern': 0.02, 'ermöglicht': 0.2, 'eine': 0, 'bessere': 0.04, 'Vereinbarkeit': 0, 'Arbeit': 0.02, 'und': 0, 'Familie': 0, 'MVjglpCH': 0.07}",negative,"[0.09502068, 0.86723506, 0.03774423]",,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,14.0,-0.7,negative,"RT @jglp_be: Ein Vater hat Anspruch auf einen einzige Tag Vaterschaftsurlaub.
Familie und Beruf sollen sich nicht ausschliessen. Deshalb wo…",vater anspruch einzig tag vaterschaftsurlaub familie beruf sollen ausschliessen deshalb,,,,,,,"{'Ein': 0.16, 'Vater': 0.76, 'hat': 0, 'Anspruch': 0, 'auf': 0, 'einen': 0.16, 'einzige': 0, 'Tag': 0, 'Vaterschaftsurlaub': 0.665, 'Familie': 0.13, 'und': 0.11, 'Beruf': 0, 'sollen': 0.12, 'sich': 0, 'nicht': 0.07, 'ausschliessen': 0, 'Deshalb': 0, 'wo': 0.1, '…': 0}",neutral,"[0.8099834, 0.013007994, 0.17700861]",,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,1.0,neutral,"Es wird Zeit, dass für ALLE die gleichen Rechte gelten. Heiraten, Kinder adoptieren, Fortpflanzungsmedizin nutzen und eine Witwenrente erhalten. Das alles muss 2019 möglich sein - weil Liebe Liebe ist! 🌈 #SameLoveSameRights #DieSchweizWartet #LiebeIstLiebe @jglp_be @jglpCH https://t.co/aYOsVdh90q",zeit all gleich rechte gelten heiraten kinder adoptieren fortpflanzungsmedizin nutzen witwenrente erhalten möglich lieb lieb samelovesamerights dieschweizwartet liebeistliebe,,,,,,,,,,"{'Es': 0.04, 'wird': 0, 'Zeit': 0.05, 'dass': 0, 'für': 0.06, 'ALLE': 0.06, 'die': 0.03, 'gleichen': 0.04, 'Rechte': 0, 'gelten': 0.03, 'Heiraten': 0, 'Kinder': 0.21, 'adoptieren': 0.28, 'Fortpflanzungsmedizin': 0.79, 'nutzen': 0.535, 'und': 0.24, 'eine': 0, 'Witwenrente': 0.11, 'erhalten': 0.22, 'Das': 0.03, 'alles': 0, 'muss': 0.07, '2019': 0, 'möglich': 0.06, 'sein': 0, 'weil': 0.03, 'Liebe': 0.05, 'ist': 0.04, 'SameLoveSameRights': 0.12, 'DieSchweizWartet': 0.035, 'LiebeIstLiebe': 0.0475}",neutral,"[0.9494575, 0.0034830594, 0.047059536]",,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,neutral,"Dringend nötig, dass endlich eine rechtliche Gleichstellung für die gesamte LGBTIQ+ Community erfolgt, inklusive Adoptionsrecht und Zugang zur Fortpflanzungsmedizin. 💜💙💚❤️🧡💛 https://t.co/mpIUBoawfp",dringen nötigen endlich rechtliche gleichstellung gesamt lgbtiq community erfolgen inklusive adoptionsrecht zugang fortpflanzungsmedizin,,,,,,,,,,"{'Dringend': 0, 'nötig': 0, 'dass': 0.07, 'endlich': 0, 'eine': 0, 'rechtliche': 0.08, 'Gleichstellung': 0.09, 'für': 0.03, 'die': 0.07, 'gesamte': 0.07, 'LGBTIQ+': 0.195, 'Community': 0.08, 'erfolgt': 0, 'inklusive': 0, 'Adoptionsrecht': 0, 'und': 0.11, 'Zugang': 0.13, 'zur': 0.08, 'Fortpflanzungsmedizin': 0.26, '️': 0, '🧡': 0}",positive,"[0.11623013, 0.0034845802, 0.88028526]",,,,,,,,,,,,,,,,,,,,,,negative
