answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3437,absa_sentiment_3437,absa_scores_3437,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3446,absa_sentiment_3446,absa_scores_3446,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3451,absa_sentiment_3451,absa_scores_3451,absa_token_weights_3452,absa_sentiment_3452,absa_scores_3452,absa_token_weights_3455,absa_sentiment_3455,absa_scores_3455,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3469,absa_sentiment_3469,absa_scores_3469,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,RT @FDP_Liberalen: Ausgerechnet @spschweiz und @GrueneCH stellen sich gegen die Erhöhung der Steuerabzüge für die Kinderbetreuung. Unverstä…,ausrechnen stellen erhöhung steuerabzüge kinderbetreuung unverstä,"{'Ausgerechnet': 0.0325, 'und': 0.05, 'stellen': 0, 'sich': 0, 'gegen': 0, 'die': 0.07, 'Erhöhung': 0.08, 'der': 0.07, 'Steuerabzüge': 0.08, 'für': 0.04, 'Kinderbetreuung': 0.17, 'Unverstä': 1.0, '…': 0}",negative,"[0.03576483, 0.801048, 0.16318718]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @Jungfreisinnige: «Mehr Zuspruch erhielt auch eine Anpassung des Rentenalters: Mittlerweile stehe eine Mehrheit von über 76% einer solch…,mehr zuspruch erhalten anpassung rentenalters mittlerweile stehen mehrheit solch,,,,"{'«': 0, 'Mehr': 0, 'Zuspruch': 0, 'erhielt': 0, 'auch': 0, 'eine': 0, 'Anpassung': 0, 'des': 0, 'Rentenalters': 0, 'Mittlerweile': 0, 'stehe': 0, 'Mehrheit': 0, 'von': 0, 'über': 0, '76': 0, 'einer': 0, 'solch': 0, '…': 0}",positive,"[0.021442136, 0.0049738754, 0.973584]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @themattmueller_: UBS-Vorsorgeexpertin Jackie Bauer hat Recht: „Wir brauchen einen Befreiungsschlag beim Rentenalter.“ Genau das will di…,ubs vorsorgeexpertin jackie bauer recht brauchen befreiungsschlag beim rentenalter genau di,,,,"{'UBS-Vorsorgeexpertin': 0.03, 'Jackie': 0.02, 'Bauer': 0.02, 'hat': 0, 'Recht': 0, '„': 0, 'Wir': 0, 'brauchen': 0, 'einen': 0, 'Befreiungsschlag': 0, 'beim': 0, 'Rentenalter': 0, '“': 0, 'Genau': 0, 'das': 0, 'will': 0, 'di': 0, '…': 0}",positive,"[0.036850322, 0.0036611536, 0.9594886]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"AUFSTAND der Jungen! 💪
Die #Renteninitiative der #Jungfreisinnigen schafft endlich eine solide Finanzierung der #AHV:
🌿Gleichstellung: gleiches Rentenalter von Mann &amp; Frau
🌿Anpassung des Rentenalters an die Lebenserwartung 
https://t.co/DmD7myeThl
@RentenVI @Jungfreisinnige",aufstehen jung renteninitiative jungfreisinnigen schaffen endlich solide finanzierung ahv gleichstellung gleich rentenalter mann amp frau anpassung rentenalters lebenserwartung,,,,"{'AUFSTAND': 0, 'der': 0.18, 'Jungen': 0.04, 'Die': 0.18, 'Renteninitiative': 0, 'Jungfreisinnigen': 0, 'schafft': 0.16, 'endlich': 0, 'eine': 0, 'solide': 0.11, 'Finanzierung': 0, 'AHV': 0.1, 'Gleichstellung': 0.63, 'gleiches': 1.0, 'Rentenalter': 0.075, 'von': 0, 'Mann': 0.08, 'amp': 0.05, 'Frau': 0.1, 'Anpassung': 0.15, 'des': 0, 'Rentenalters': 0.075, 'an': 0, 'die': 0.18, 'Lebenserwartung': 0.14}",positive,"[0.12660713, 0.007784986, 0.8656079]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"Nationalrat versucht die #AHV zu retten. Endlich Gleichstellung bei AHV mit gleichem Rentenalter für beide Geschlechter 👏
Echt nachhaltige Finanzierung der AHV geht dennoch nur über #Renteninitiative!
Jetzt unterschreiben 👉🏻https://t.co/TW54kJvR6F
@RentenVI
#AHV21",nationalrat versuchen ahv retten endlich gleichstellung ahv gleich rentenalter beid geschlechter echt nachhaltig finanzierung ahv gehen dennoch renteninitiative unterschreiben ahv21,,,,"{'Nationalrat': 0.065, 'versucht': 0.08, 'die': 0.07, 'AHV': 0.04, 'zu': 0.06, 'retten': 0.07, 'Endlich': 0.42, 'Gleichstellung': 0.42, 'bei': 0, 'mit': 0.64, 'gleichem': 1.0, 'Rentenalter': 0.635, 'für': 0.49, 'beide': 0.27, 'Geschlechter': 0.25, 'Echt': 0, 'nachhaltige': 0.32, 'Finanzierung': 0, 'der': 0.07, 'geht': 0, 'dennoch': 0, 'nur': 0.1, 'über': 0, 'Renteninitiative': 0, 'Jetzt': 0.08, 'unterschreiben': 0.09, 'AHV21': 0.1}",positive,"[0.15429384, 0.0062424825, 0.8394637]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"Die #Gleichstellungsstrategie listet lauter Massnahmen auf, die bereits umgesetzt oder beschlossen sind. Das ist gut so und ein Zeichen dafür, dass die Gleichstellung in der Schweiz sehr weit ist. 
Was fehlt: gleiches #Rentenalter &amp; #Individualbesteuerung.
https://t.co/Zmy3BAaNa6",gleichstellungsstrategie listen laut massnahmen bereits umsetzen beschließen gut zeichen dafür gleichstellung schweiz weit fehlen gleich rentenalter amp individualbesteuerung,,,,"{'Die': 0.03, 'Gleichstellungsstrategie': 0.09, 'listet': 0, 'lauter': 0, 'Massnahmen': 0.07, 'auf': 0, 'die': 0.03, 'bereits': 0.02, 'umgesetzt': 0.02, 'oder': 0.02, 'beschlossen': 0.03, 'sind': 0, 'Das': 0.03, 'ist': 0.11, 'gut': 0, 'so': 0, 'und': 0.03, 'ein': 0, 'Zeichen': 0.06, 'dafür': 0, 'dass': 0.05, 'Gleichstellung': 0.12, 'in': 0.03, 'der': 0.03, 'Schweiz': 0.05, 'sehr': 0.03, 'weit': 0.03, 'Was': 0, 'fehlt': 0.21, 'gleiches': 1.0, 'Rentenalter': 0.31, 'amp': 0.07, 'Individualbesteuerung': 0.10500000000000001}",neutral,"[0.8757354, 0.03598001, 0.08828455]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"50 Jahre nach dem #Frauenstimmrecht ist ein gleiches Rentenalter für Frau &amp; Mann eigentlich selbstverständlich. Darum jetzt #Renteninitiative unterzeichnen. DANKE!

📝HIER Unterschriftenbogen downloaden &amp; ausfüllen:
https://t.co/TW54kJvR6F
-
#Gleichberechtigung @RentenVI https://t.co/TfYCfGHSJA",jahre frauenstimmrecht gleich rentenalter frau amp mann eigentlich selbstverständlich darum renteninitiative unterzeichnen danke unterschriftenbogen downloaden amp ausfüllen gleichberechtigung,,,,"{'50': 0, 'Jahre': 0.09, 'nach': 0.08, 'dem': 0.03, 'Frauenstimmrecht': 0, 'ist': 0.24, 'ein': 0, 'gleiches': 0, 'Rentenalter': 0.865, 'für': 0.29, 'Frau': 0, 'amp': 0.04, 'Mann': 0, 'eigentlich': 0.09, 'selbstverständlich': 0.06, 'Darum': 0, 'jetzt': 0.03, 'Renteninitiative': 0, 'unterzeichnen': 0.08, 'DANKE': 0.05, 'HIER': 0.02, 'Unterschriftenbogen': 0.05, 'downloaden': 0.03, 'ausfüllen': 0.035, 'Gleichberechtigung': 0.12000000000000001}",positive,"[0.016182613, 0.0021667525, 0.9816506]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.85,neutral,"RT @RentenVI: Eine #Rentenaltererhöhung sichert nicht nur die Renten der 1. Säule, sondern wirkt sich auch positiv auf die 2. Säule aus: Di…",rentenaltererhöhung sichern renten säule wirken positiv säule di,,,,"{'Eine': 0, 'Rentenaltererhöhung': 0.4625, 'sichert': 1.0, 'nicht': 0.26, 'nur': 0.48, 'die': 0.03, 'Renten': 0.56, 'der': 0.03, '1.': 0, 'Säule': 0.09, 'sondern': 0.07, 'wirkt': 0, 'sich': 0, 'auch': 0.08, 'positiv': 0.24, 'auf': 0.06, '2.': 0, 'aus': 0, 'Di': 0.13, '…': 0}",positive,"[0.007883018, 0.010143608, 0.9819734]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,RT @RentenVI: Die aktuelle #AHV-Situation geht nicht mehr auf. Deshalb jetzt die #Renteninitiative unterschreiben und das #Rentenalter entp…,aktuell ahv situation gehen mehr deshalb renteninitiative unterschreiben rentenalter entp,,,,"{'Die': 0.42, 'aktuelle': 0.15, 'AHV-Situation': 0, 'geht': 0, 'nicht': 0, 'mehr': 0, 'auf': 0, 'Deshalb': 0, 'jetzt': 0.29, 'die': 0.42, 'Renteninitiative': 0, 'unterschreiben': 0.44, 'und': 0.49, 'das': 0, 'Rentenalter': 0.71, 'entp': 0, '…': 0}",neutral,"[0.9602147, 0.0030489536, 0.036736414]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
75.0,100.0,86.0,0.5,neutral,"Das Ja zur Steuervorlage #STAF  finanziert unsere Sozialwerke nicht nachhaltig. Jetzt braucht es endlich echte Reformen statt #Kuhhandel:
✅ gleiches Rentenalter 65 für Mann &amp; Frau
✅ mehr Flexibilität &amp; Anreize für längeres Arbeiten
✅ tieferer Umwandlungssatz
#abst19 #CHVote https://t.co/VzFKcnlZdw",ja steuervorlage staf finanzieren sozialwerke nachhaltig brauchen endlich echte reformen statt kuhhandel gleich rentenalter mann amp frau mehr flexibilität amp anreize lang arbeiten tief umwandlungssatz abst19 chvote,,,,"{'Das': 0.05, 'Ja': 0, 'zur': 0.08, 'Steuervorlage': 0.045, 'STAF': 0, 'finanziert': 0, 'unsere': 0.03, 'Sozialwerke': 0.02, 'nicht': 0.14, 'nachhaltig': 0, 'Jetzt': 0.08, 'braucht': 0, 'es': 0, 'endlich': 0, 'echte': 0.08, 'Reformen': 0.19, 'statt': 0.175, 'Kuhhandel': 0.09, 'gleiches': 1.0, 'Rentenalter': 0.675, '65': 0, 'für': 0.39, 'Mann': 0, 'amp': 0.07, 'Frau': 0.11, 'mehr': 0.25, 'Flexibilität': 0.09, 'Anreize': 0.82, 'längeres': 0.09, 'Arbeiten': 0.09, 'tieferer': 0, 'Umwandlungssatz': 0.045, 'abst19': 0.1, 'CHVote': 0.15}",positive,"[0.36268672, 0.030303974, 0.60700935]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
