answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3421,absa_sentiment_3421,absa_scores_3421,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,sentiment_tb
50.0,75.0,57.0,0.0,neutral,RT @ChristianLevrat: Und diese Partei will progressiv und modern sein? @FDP_Liberalen sagt Nein zum Vaterschaftsurlaub (heute in der WBK-S)…,partei progressiv modern sagen nein vaterschaftsurlaub heute wbk s,"{'Und': 0.07, 'diese': 0.04, 'Partei': 0.09, 'will': 0, 'progressiv': 0.07, 'und': 0.07, 'modern': 0.09, 'sein': 0, 'sagt': 1.0, 'Nein': 1.0, 'zum': 0.41000000000000003, 'Vaterschaftsurlaub': 0.43000000000000005, 'heute': 0.12, 'in': 0.03, 'der': 0.05, 'WBK-S': 0, '…': 0}",neutral,"[0.6010743, 0.07545202, 0.32347378]",,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,Förderung von gemeinnützigem Wohnungsbau muss endlich Tatsache werden. Die @SPKantonLuzern lanciert eine Initiative http://t.co/XFu1b5ogW8,förderung gemeinnützig wohnungsbau endlich tatsache lanciert initiative,,,,"{'Förderung': 0, 'von': 0, 'gemeinnützigem': 0, 'Wohnungsbau': 0.23, 'muss': 0, 'endlich': 0, 'Tatsache': 0.21, 'werden': 0, 'Die': 1.0, 'lanciert': 0, 'eine': 0, 'Initiative': 0.89}",neutral,"[0.5255406, 0.03134231, 0.44311708]",,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,Juso verlangen mehr Geld für Wohnungsbau - Neue Luzerner Zeitung Online http://t.co/fU66InG9 via @Neue_LZ,juso verlangen mehr geld wohnungsbau neue luzerner zeitung online via,,,,"{'Juso': 0.84, 'verlangen': 1.0, 'mehr': 0.9, 'Geld': 0.9, 'für': 0.67, 'Wohnungsbau': 0.48, 'Neue': 0, 'Luzerner': 0, 'Zeitung': 0, 'Online': 0.41, 'via': 0.32}",neutral,"[0.5590079, 0.06790411, 0.37308788]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.85,neutral,Das Engagement der @sp_luzern für bessere #Prämienverbilligung für #Krankenkassenprämien hat 50'000 Menschen geholfen. Es werden 500 Mio. Franken mehr ausgegeben für Familien mit tiefen und mittleren Einkommen. Das reicht aber nicht. KK-Prämien sind Kaufkraftfresser für alle.,engagement gut prämienverbilligung krankenkassenprämien menschen helfen mio franken mehr ausgeben familien tief mittler einkommen reichen kk prämien kaufkraftfresser all,,,,,,,"{'Das': 0.15, 'Engagement': 0, 'der': 0.15, 'für': 0.02, 'bessere': 1.0, 'Prämienverbilligung': 0.19, 'Krankenkassenprämien': 0.0475, 'hat': 0, ""50'000"": 0, 'Menschen': 0.04, 'geholfen': 0.17, 'Es': 0, 'werden': 0.05, '500': 0, 'Mio.': 0, 'Franken': 0, 'mehr': 0.03, 'ausgegeben': 0, 'Familien': 0, 'mit': 0.02, 'tiefen': 0, 'und': 0.02, 'mittleren': 0.02, 'Einkommen': 0, 'reicht': 0, 'aber': 0.03, 'nicht': 0.03, 'KK-Prämien': 0.03, 'sind': 0, 'Kaufkraftfresser': 0.035, 'alle': 0.02}",positive,"[0.10564585, 0.115807615, 0.7785465]",,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,Der Swingstate Luzern wird erleichterte #Einbürgerung annehmen. Das dürfte auch national locker reichen. #Abst17 https://t.co/DNFhxyYeWR,swingstate luzern erleichtern einbürgerung annehmen dürfen national lockern reich abst17,,,,,,,,,,"{'Der': 0.16, 'Swingstate': 0.3, 'Luzern': 0, 'wird': 0.21, 'erleichterte': 0, 'Einbürgerung': 1.0, 'annehmen': 0.93, 'Das': 0.16, 'dürfte': 0.11, 'auch': 0.14, 'national': 0, 'locker': 0, 'reichen': 0, 'Abst17': 0.28}",positive,"[0.027906787, 0.0029744406, 0.9691188]",,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,negative,"Die LU-Regierung schlug nach langer Uneinsicht eine kleine Steuererhöhung für die Profiteure der letzten Jahre vor. Aber selbst das ist CVP, SVP, FDP zu viel. Aus der geplanten Steuererhöhung wird eine mittelfristige Steuersenkung. Schlicht skandalös.
https://t.co/bL7AKX1chV",lu regierung schlagen lang uneinsicht kleine steuererhöhung profiteure letzt jahre cvp svp fdp geplant steuererhöhung mittelfristig steuersenkung schleichen skandalös,,,,,,,,,,,,,"{'Die': 0.07, 'LU-Regierung': 0.08499999999999999, 'schlug': 0, 'nach': 0.07, 'langer': 0, 'Uneinsicht': 0.0975, 'eine': 0, 'kleine': 1.0, 'Steuererhöhung': 0.08, 'für': 0.03, 'die': 0.07, 'Profiteure': 0, 'der': 0.07, 'letzten': 0, 'Jahre': 0.04, 'vor': 0, 'Aber': 0.21, 'selbst': 0, 'das': 0.04, 'ist': 0.03, 'CVP': 0.04, 'SVP': 0, 'FDP': 0.06, 'zu': 0, 'viel': 0.1, 'Aus': 0, 'geplanten': 0.13, 'wird': 0.13, 'mittelfristige': 0.05, 'Steuersenkung': 0.065, 'Schlicht': 0, 'skandalös': 0.16}",negative,"[0.003700556, 0.96786577, 0.028433634]",,,,,,,,,,negative
0.0,0.0,0.0,-1.0,neutral,@hanspetermark @KantonLuzern Im Gegenteil. Aber es ist dumm mit unplanbaren Einnahmen Steuersenkungen für Reiche zu finanzieren.,gegenteil dumm unplanbaren einnahmen steuersenkungen reichen finanzieren,,,,,,,,,,,,,"{'Im': 0, 'Gegenteil': 0, 'Aber': 0.39, 'es': 0, 'ist': 0, 'dumm': 1.0, 'mit': 0.09, 'unplanbaren': 0, 'Einnahmen': 0, 'Steuersenkungen': 0.6900000000000001, 'für': 0.19, 'Reiche': 0.16, 'zu': 0.97, 'finanzieren': 1.0}",negative,"[0.015608139, 0.9656244, 0.01876737]",,,,,,,,,,negative
50.0,25.0,28.0,-0.15,neutral,"#Nationalbank schreibt 9 Mia Verlust. Doof für Kantone, die mit dem Geld normales Budget und Steuersenkungen finanzieren. @KantonLuzern",nationalbank schreiben mia verlust doof kantone geld normal budget steuersenkungen finanzieren,,,,,,,,,,,,,"{'Nationalbank': 0, 'schreibt': 0.31, '9': 0, 'Mia': 0, 'Verlust': 0.18, 'Doof': 1.0, 'für': 0.7, 'Kantone': 0.31, 'die': 0.1, 'mit': 0, 'dem': 0.10500000000000001, 'Geld': 0.16, 'normales': 0.09, 'Budget': 0, 'und': 0.09, 'Steuersenkungen': 0.295, 'finanzieren': 0.13}",neutral,"[0.92809933, 0.030786952, 0.041113812]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,#Vasella kämpft für seinen Mindestlohn von 250'000 Franken. Oder ist das ein bedienungsloses Grundeinkommen? Abzocker stoppen. @1zu12 JA.,vasella kämpfen mindestlohn franken bedienungsloses grundeinkommen abzocker stoppen ja,,,,,,,,,,,,,,,,"{'Vasella': 0.1, 'kämpft': 0, 'für': 0.13, 'seinen': 0.07, 'Mindestlohn': 0.08, 'von': 0, ""250'000"": 0, 'Franken': 0, 'Oder': 0.32, 'ist': 0.31, 'das': 0.15, 'ein': 0, 'bedienungsloses': 0.18, 'Grundeinkommen': 0.10500000000000001, 'Abzocker': 0, 'stoppen': 0.67, 'JA': 0}",neutral,"[0.8047385, 0.16611898, 0.029142473]",,,,,,,neutral
100.0,100.0,100.0,0.85,neutral,"@economiesuisse Digitalisierung scheint männlich, nahe an der Pensionierung, steinreich und Arbeitgeber zu sein. Echt jetzt?",digitalisierung scheinen männlich nahe pensionierung steinreich arbeitgeber echt,,,,,,,,,,,,,,,,,,,"{'Digitalisierung': 0, 'scheint': 0.55, 'männlich': 0, 'nahe': 0, 'an': 0.06, 'der': 0, 'Pensionierung': 0.16, 'steinreich': 0.16, 'und': 0.09, 'Arbeitgeber': 0.14, 'zu': 0.06, 'sein': 0, 'Echt': 0, 'jetzt': 0.06}",positive,"[0.038839478, 0.19378135, 0.7673792]",,,,positive
