answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3391,absa_sentiment_3391,absa_scores_3391,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3476,absa_sentiment_3476,absa_scores_3476,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,86.0,0.7,positive,"Gebührenfreie Kinderbetreuung für ALLE Familien. 
https://t.co/WRLYRhPAM1",gebührenfrei kinderbetreuung all familien,"{'Gebührenfreie': 1.0, 'Kinderbetreuung': 0, 'für': 0.19, 'ALLE': 0, 'Familien': 0}",positive,"[0.00078905997, 0.0008200287, 0.9983909]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @sp_bl: Die bisherige Laufbahn unserer Initiative für eine gebührenfreie Kinderbetreuung:

- Dienstag, 25. Mai: Initiative lanciert ▶️
-…",bisherig laufbahn initiative gebührenfrei kinderbetreuung dienstag mai initiative lanciert,"{'Die': 0.05, 'bisherige': 0, 'Laufbahn': 0, 'unserer': 0.07, 'Initiative': 0.06, 'für': 0.42, 'eine': 0, 'gebührenfreie': 0, 'Kinderbetreuung': 1.0, 'Dienstag': 0.05, '25.': 0, 'Mai': 0.02, 'lanciert': 0.07, '▶': 0, '️': 0, '…': 0}",positive,"[0.004343276, 0.0015022563, 0.9941545]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @jeggmann: So geht Fortschritt fürs Baselbiet: 3'402 Unterschriften für gebührenfreie Kinderbetreuung🤩✅,gehen fortschritt fürs baselbiet unterschriften gebührenfrei kinderbetreuung,"{'So': 0, 'geht': 0, 'Fortschritt': 0.18, 'fürs': 0.32, 'Baselbiet': 0.14, ""3'402"": 0, 'Unterschriften': 0.21, 'für': 0.32, 'gebührenfreie': 0, 'Kinderbetreuung': 0, '🤩': 0}",positive,"[0.20013316, 0.0682699, 0.731597]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @sp_bl: Heute haben wir an unserer MK in Liestal unsere Initiative 'Gebührenfreie Kinderbetreuung für alle Familien' lanciert! Die famil…,heute mk liestal initiative gebührenfrei kinderbetreuung all familien lanciert famil,"{'Heute': 0.06, 'haben': 0, 'wir': 0, 'an': 0, 'unserer': 0.03, 'MK': 0.07, 'in': 0.04, 'Liestal': 0.07, 'unsere': 0.03, 'Initiative': 0.23, 'Gebührenfreie': 1.0, 'Kinderbetreuung': 1.0, 'für': 0.16, 'alle': 0, 'Familien': 0, 'lanciert': 0.17, 'Die': 0.06, 'famil': 0.07, '…': 0}",positive,"[0.0012315203, 0.0010319032, 0.9977366]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
25.0,25.0,28.0,-0.3333333333333333,neutral,Das stimmt doch nicht. Genau keine 'Integrationsverweigerung' wird belohnt. Diese Kampagne hat zum Ziel Ausländer:innen schlecht zu machen und ein bewährtes Programm aus ideologischen Überlegungen anzugreifen. https://t.co/LDKmKtgyhF,stimmen genau integrationsverweigerung belohnen kampagne ziel ausländer innen schlecht bewährt programm ideologisch überlegungen angreifen,,,,"{'Das': 0.03, 'stimmt': 0, 'doch': 0, 'nicht': 0.03, 'Genau': 0, 'keine': 0, 'Integrationsverweigerung': 0.08750000000000001, 'wird': 0, 'belohnt': 0.06, 'Diese': 0.03, 'Kampagne': 0.11, 'hat': 0, 'zum': 0.095, 'Ziel': 0.19, 'Ausländer': 1.0, 'innen': 0, 'schlecht': 1.0, 'zu': 0.16, 'machen': 0, 'und': 0.05, 'ein': 0, 'bewährtes': 0, 'Programm': 0.12, 'aus': 0.06, 'ideologischen': 0.08, 'Überlegungen': 0.11, 'anzugreifen': 0.19}",negative,"[0.07358364, 0.8192042, 0.107212074]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,1.0,neutral,RT @miriam_locher: Der Ausländerdienst BL leistet enorm wertvolle Arbeit. Mit dem Referendum gegen das Integrationsprogramm greifen die Rec…,ausländerdienst bl leisten enorm wertvolle arbeit referendum integrationsprogramm greifen rec,,,,"{'Der': 0.07, 'Ausländerdienst': 0.32, 'BL': 0.14, 'leistet': 0, 'enorm': 0, 'wertvolle': 0.44, 'Arbeit': 0, 'Mit': 0.11, 'dem': 0.07, 'Referendum': 0.13, 'gegen': 0.1, 'das': 0, 'Integrationsprogramm': 0, 'greifen': 0, 'die': 0.07, 'Rec': 0.1, '…': 0}",positive,"[0.0015105336, 0.0017671797, 0.9967223]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,positive,"@KrebsYves einfach den Cannabislegalisierer @JoelLiamBuehler fragen, der kennt sich vielleicht aus.. Oder @RaphaelBuchbaue ?",einfach cannabislegalisierer fragen kennen vielleicht,,,,,,,"{'einfach': 0, 'den': 0.28, 'Cannabislegalisierer': 0, 'fragen': 0, 'der': 0.28, 'kennt': 0, 'sich': 0, 'vielleicht': 0, 'aus': 0, '..': 0, 'Oder': 0}",neutral,"[0.9882131, 0.0019226221, 0.0098643815]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"@jan_krattiger @PolizeiBL zeigt doch, dass Cannabiskonsum mindestens genau so zu unserer Gesellschaft gehört, wie Alkoholkonsum ;)",zeigen cannabiskonsum mindestens genau gesellschaft hören alkoholkonsum,,,,,,,"{'zeigt': 0, 'doch': 0, 'dass': 0.38, 'Cannabiskonsum': 0.195, 'mindestens': 0.135, 'genau': 0, 'so': 0, 'zu': 0, 'unserer': 0.09, 'Gesellschaft': 0.1, 'gehört': 0, 'wie': 0, 'Alkoholkonsum': 0.085}",neutral,"[0.62887573, 0.3573935, 0.013730754]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@th_jl_bu @LisaMathys @jonasluethy Dienstpflicht aufheben und Rentenalter senken, deal ;)",dienstpflicht aufheben rentenalter senken deal,,,,,,,,,,"{'Dienstpflicht': 0.38, 'aufheben': 0, 'und': 0.57, 'Rentenalter': 0.645, 'senken': 0, 'deal': 0.32}",negative,"[0.22823884, 0.43015596, 0.34160522]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,negative,".@JauslinMatthias will höheres Rentenalter; die ältere Dame neben mir findet ""soviel Mischd han ich scho lang nüm ghört"" Genau.#AHV #AV2020",hoch rentenalter alt dame neben finden soviel mischd han scho langen nüm ghört genau ahv av2020,,,,,,,,,,"{'will': 0, 'höheres': 1.0, 'Rentenalter': 0.6000000000000001, 'die': 0.15, 'ältere': 0, 'Dame': 0, 'neben': 0.1, 'mir': 0.08, 'findet': 0, 'soviel': 0.05, 'Mischd': 0, 'han': 0, 'ich': 0.03, 'scho': 0, 'lang': 0, 'nüm': 0, 'ghört': 0, 'Genau.#AHV': 0.035, 'AV2020': 0.07}",positive,"[0.118945345, 0.026857855, 0.8541968]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,@timonzingg @anna_c_holm @QuotenTweet Art. 108 und entsprechende Präzisierung von gemeinnützigem Wohnungsbau --&gt; https://t.co/lXjZCq4eOF,art entsprechend präzisierung gemeinnützig wohnungsbau gt,,,,,,,,,,,,,"{'Art': 0.25, '108': 0, 'und': 1.0, 'entsprechende': 0, 'Präzisierung': 0, 'von': 0, 'gemeinnützigem': 0, 'Wohnungsbau': 0.21, '--&gt': 0}",neutral,"[0.8687585, 0.0048740786, 0.12636742]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"@MarcBuergi Übernimmst du die Kosten der Einbürgerung für die, die es sich nicht leisten können? @bzBaselland",übernehmen kosten einbürgerung leisten,,,,,,,,,,,,,,,,"{'Übernimmst': 0, 'du': 0, 'die': 0.13, 'Kosten': 0, 'der': 0.13, 'Einbürgerung': 0.37, 'für': 0.14, 'es': 0, 'sich': 0, 'nicht': 0, 'leisten': 0.13, 'können': 0}",neutral,"[0.90018874, 0.067359164, 0.032452114]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-0.85,negative,"SVP Nationarat erkennt, wie doof das jetzige Einbürgerungsverfahren ist! Verliert @LuziStamm jetzt den roten Pass? http://t.co/6wpVq4zfvX",svp nationarat erkennen doof jetzige einbürgerungsverfahren verlieren rot pass,,,,,,,,,,,,,,,,"{'SVP': 0, 'Nationarat': 0.18, 'erkennt': 0.36, 'wie': 0.41, 'doof': 1.0, 'das': 0, 'jetzige': 0.23, 'Einbürgerungsverfahren': 0.85, 'ist': 0.46, 'Verliert': 0, 'jetzt': 0.04, 'den': 0.46, 'roten': 0, 'Pass': 0.05}",negative,"[0.0050012185, 0.9828258, 0.012173035]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,negative,"Egal wie früh, egal wie nass --&gt; raus aus den Federn und heraus zum 1. Mai! #1mai #Lohngleichheit",egal früh egal nass gt raus federn heraus mai 1mai lohngleichheit,,,,,,,,,,,,,,,,,,,"{'Egal': 0.04, 'wie': 0.04, 'früh': 0.04, 'egal': 0.04, 'nass': 0.05, '--&gt': 0, 'raus': 0.03, 'aus': 0.03, 'den': 0, 'Federn': 0, 'und': 0.05, 'heraus': 0.03, 'zum': 0, '1.': 0, 'Mai': 0.05, '1mai': 0.92, 'Lohngleichheit': 0.695}",positive,"[0.0036048414, 0.001090671, 0.99530447]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @jusobl: Eine alte Untersuchung muss genügen, neue Bestrebungen seien unnötig. Lohngleichheit wird nicht angemessen angegangen: Welcome…",alt untersuchung genügen neue bestrebungen unnötig lohngleichheit anmessen angehen welcome,,,,,,,,,,,,,,,,,,,"{'Eine': 0, 'alte': 0, 'Untersuchung': 0, 'muss': 0, 'genügen': 0.13, 'neue': 0.04, 'Bestrebungen': 0, 'seien': 0, 'unnötig': 0.16, 'Lohngleichheit': 0.28500000000000003, 'wird': 0, 'nicht': 0.29, 'angemessen': 0, 'angegangen': 0, 'Welcome': 1.0, '…': 0}",negative,"[0.029155161, 0.75821686, 0.212628]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @jusobl: Die Transpis für die Lohngleichheits-Demo werden gemalt. Danke @JknBaumgartner, @dasNils und @mybadphilosophy. http://t.co/7xrl…",transpis lohngleichheits demo malen danke,,,,,,,,,,,,,,,,,,,"{'Die': 0.34, 'Transpis': 0.38, 'für': 0.24, 'die': 0.34, 'Lohngleichheits-Demo': 0, 'werden': 0, 'gemalt': 0.69, 'Danke': 0.19, 'und': 0.15}",positive,"[0.020340227, 0.004542257, 0.9751175]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
75.0,100.0,86.0,0.5,neutral,"Die Reinacher:innen wirds kaum freuen, dass Abbau-Toni (Finanzchef @Kanton_BL) mit Steuersenkungen für die Reichsten dem Kanton und den Gemeinden weitere 42 Millionen jährlich wegnehmen will! https://t.co/IVuIc5Z1O2",reinacher innen wirds kaum freuen abbau toni finanzchef steuersenkungen reich kanton gemeinden weit millionen jährlich wegnehmen,,,,,,,,,,,,,,,,,,,,,,"{'Die': 0.07, 'Reinacher': 0, 'innen': 0, 'wirds': 0.04, 'kaum': 0, 'freuen': 0.04, 'dass': 0.07, 'Abbau-Toni': 0.02, 'Finanzchef': 0, 'mit': 1.0, 'Steuersenkungen': 0.63, 'für': 0.47, 'die': 0.07, 'Reichsten': 0.09, 'dem': 0.11, 'Kanton': 0.05, 'und': 0.19, 'den': 0.07, 'Gemeinden': 0.29, 'weitere': 0, '42': 0, 'Millionen': 0, 'jährlich': 0, 'wegnehmen': 0.415, 'will': 0.04}",positive,"[0.011064573, 0.009042746, 0.9798926]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
