answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3435,absa_sentiment_3435,absa_scores_3435,absa_token_weights_3455,absa_sentiment_3455,absa_scores_3455,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,negative,RT @erzaehlmirnix: Weil bei der Diskussion um die #Legalisierung von #Cannabis noch immer dieses stumpfe Argument kommt. 🙄 https://t.co/xYn…,diskussion legalisierung cannabis immer stumpfen argument kommen,"{'Weil': 0.14, 'bei': 0, 'der': 0.15, 'Diskussion': 0.2, 'um': 0, 'die': 0.15, 'Legalisierung': 1.0, 'von': 0, 'Cannabis': 1.0, 'noch': 0.15, 'immer': 0, 'dieses': 0.54, 'stumpfe': 0, 'Argument': 0.29, 'kommt': 0.11}",neutral,"[0.92603964, 0.057055943, 0.016904384]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"@LuFiLaCH @postcovid_CH Schnelle Einbürgerungen werden wegen der Mehrheitsverhältnisse auf Bundesebene noch sehr lange nicht kommen. Wenn man Mitbestimmung will, muss man pragmatisch sein und die zweitbeste Variante wählen.",schnellen einbürgerungen wegen mehrheitsverhältnisse bundesebene lang kommen mitbestimmung pragmatisch zweitbeste variante wählen,,,,"{'Schnelle': 0, 'Einbürgerungen': 1.0, 'werden': 0.33, 'wegen': 0.09, 'der': 0.02, 'Mehrheitsverhältnisse': 0.05, 'auf': 0, 'Bundesebene': 0.03, 'noch': 0, 'sehr': 0.03, 'lange': 0.04, 'nicht': 0.58, 'kommen': 0.21, 'Wenn': 0, 'man': 0, 'Mitbestimmung': 0, 'will': 0.33, 'muss': 0.03, 'pragmatisch': 0.08, 'sein': 0, 'und': 0.02, 'die': 0.02, 'zweitbeste': 0.03, 'Variante': 0, 'wählen': 0}",negative,"[0.07179886, 0.74522233, 0.18297876]",,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @S_Manser_Egli: 59% sind für eine automatische Einbürgerung der zweiten Generation. Höchste Zeit für eine #Bürgerrecht-Offensive.

https…",automatische einbürgerung zweit generation hoch zeit bürgerrecht offensiv https,,,,"{'59': 0, 'sind': 0.15, 'für': 0.1, 'eine': 0, 'automatische': 1.0, 'Einbürgerung': 1.0, 'der': 0, 'zweiten': 0.25, 'Generation': 0.29, 'Höchste': 0, 'Zeit': 0.1, 'Bürgerrecht-Offensive': 0.24500000000000002, 'https': 0.13, '…': 0}",positive,"[0.4652448, 0.06823277, 0.46652243]",,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @josef_lang: 1994 scheitert die erleichterte #Einbürgerung mit 53%, 2013 der #Familienartikel mit 54% am #Ständemehr. Dieses desavouiert…",scheitern erleichtern einbürgerung familienartikel ständemehr desavouiert,,,,"{'1994': 0, 'scheitert': 0, 'die': 0.04, 'erleichterte': 0, 'Einbürgerung': 1.0, 'mit': 0.03, '53': 0, '2013': 0, 'der': 0.04, 'Familienartikel': 0.1, '54': 0, 'am': 0, 'Ständemehr': 0.065, 'Dieses': 0.08, 'desavouiert': 0, '…': 0}",negative,"[0.020287132, 0.9292216, 0.050491337]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @NatalieGrams: Zum Thema #Sterbehilfe macht der @hpdticker auch großartige Arbeit! Hier zum Beispiel im neuen Artikel: Irreführender Pro…,thema sterbehilfe großartige arbeit beispiel neu artikel irreführend pro,,,,,,,"{'Zum': 0.2, 'Thema': 0, 'Sterbehilfe': 0, 'macht': 0, 'der': 0.2, 'auch': 0.08, 'großartige': 0.15, 'Arbeit': 0, 'Hier': 0.2, 'zum': 0.2, 'Beispiel': 0.21, 'im': 0, 'neuen': 0.18, 'Artikel': 0.46, 'Irreführender': 1.0, 'Pro': 1.0, '…': 0}",negative,"[0.023486357, 0.9564297, 0.020083899]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @retolipp: Der Landwirtschafts-Grenzschutz kostet die Schweizer Konsumenten 3.8 Mrd Fr pro Jahr. Dazu kommen Direktzahlungen von 4.2 Mrd…,landwirtschafts grenzschutz kosten schweizer konsumenten mrd fr pro jahr kommen direktzahlungen mrd,,,,,,,,,,"{'Der': 0, 'Landwirtschafts-Grenzschutz': 0.0325, 'kostet': 0.16, 'die': 0, 'Schweizer': 0.05, 'Konsumenten': 0.06, '3.8': 0, 'Mrd': 0.28, 'Fr': 0, 'pro': 0, 'Jahr': 0.05, 'Dazu': 0.195, 'kommen': 0, 'Direktzahlungen': 0.705, 'von': 0, '4.2': 0, '…': 0}",negative,"[0.08147757, 0.8793562, 0.039166242]",,,,,,,"{'Der': 0, 'Landwirtschafts-Grenzschutz': 0.935, 'kostet': 0.65, 'die': 0, 'Schweizer': 0.09, 'Konsumenten': 0.2, '3.8': 0, 'Mrd': 0.07, 'Fr': 0, 'pro': 0, 'Jahr': 0.13, 'Dazu': 0.025, 'kommen': 0, 'Direktzahlungen': 0.075, 'von': 0, '4.2': 0, '…': 0}",neutral,"[0.47841904, 0.080569, 0.44101197]",neutral
0.0,0.0,0.0,-1.0,neutral,"RT @LewinLempert: SwissMem hat im @kriegsgeschaeft-Abstimmungskampf die Lüge verbreitet, dass es in 🇨🇭 3000 Kriegsmaterialproduzenten gebe.…",swissmem abstimmungskampf lügen verbreiten kriegsmaterialproduzenten geben,,,,,,,,,,,,,"{'SwissMem': 0.27, 'hat': 0, 'im': 0, '-Abstimmungskampf': 0, 'die': 0.13, 'Lüge': 0.23, 'verbreitet': 0.14, 'dass': 0.17, 'es': 0, 'in': 0.68, '🇨': 0, '🇭': 0, '3000': 0, 'Kriegsmaterialproduzenten': 0, 'gebe': 0, '…': 0}",neutral,"[0.92900944, 0.05137751, 0.019612951]",,,,,,,negative
0.0,0.0,14.0,-0.7,negative,"RT @fabiocanetg: #Kriegsmaterial-Initiative: «Die #SNB will trotz mehrmaliger Nachfrage keine Details zu ihrer Berechnung verraten, geschwe…",kriegsmaterial initiative snb trotzen mehrmalig nachfragen details berechnung verraten geschwe,,,,,,,,,,,,,"{'Kriegsmaterial-Initiative': 0.895, '«': 0, 'Die': 0, 'SNB': 0, 'will': 0, 'trotz': 0, 'mehrmaliger': 0, 'Nachfrage': 0, 'keine': 0, 'Details': 0, 'zu': 0, 'ihrer': 0, 'Berechnung': 0, 'verraten': 0, 'geschwe': 0, '…': 0}",neutral,"[0.82419425, 0.04752076, 0.12828493]",,,,,,,negative
100.0,100.0,100.0,1.0,neutral,"RT @EMdeBoer: Digitalisierung braucht Standards, damit sie funktioniert. Die Kantone kochen lieber ihre eigenen Süppchen. Wer etwas davon v…",digitalisierung brauchen standards funktionieren kantone kochen lieb eigen süppchen wer davon v,,,,,,,,,,,,,,,,"{'Digitalisierung': 0, 'braucht': 1.0, 'Standards': 1.0, 'damit': 0.205, 'sie': 0, 'funktioniert': 0, 'Die': 0.06, 'Kantone': 0.06, 'kochen': 0.06, 'lieber': 0, 'ihre': 0.04, 'eigenen': 0.03, 'Süppchen': 0.05, 'Wer': 0, 'etwas': 0, 'davon': 0, 'v': 0.06, '…': 0}",positive,"[0.25808406, 0.11025217, 0.6316638]",,,,positive
100.0,100.0,86.0,0.7,neutral,RT @chplusplus: Der #EMBaG Gesetzentwurf des Bundes will technische Standards festlegen - ein wichtiger Meilenstein für die Digitalisierung…,embag gesetzentwurf bundes technische standards festlegen wichtig meilenstein digitalisierung,,,,,,,,,,,,,,,,"{'Der': 0.04, 'EMBaG': 0.03, 'Gesetzentwurf': 0.03, 'des': 0, 'Bundes': 0.04, 'will': 0, 'technische': 0.08, 'Standards': 0.09, 'festlegen': 0, 'ein': 0, 'wichtiger': 0.31, 'Meilenstein': 0.6, 'für': 1.0, 'die': 0.04, 'Digitalisierung': 0, '…': 0}",positive,"[0.0017143828, 0.0011745918, 0.99711096]",,,,positive
