answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"Meine Gedanken am 1. Mai 2016: Ich frage mich, ob zwei Wochen Vaterschaftsurlaub tatsächlich zu viel verlangt... https://t.co/EjQYL4FBGK",gedanken mai fragen zwei wochen vaterschaftsurlaub tatsächlich verlangen,"{'Meine': 0.09, 'Gedanken': 0.26, 'am': 0, '1.': 0, 'Mai': 0.12, '2016': 0, 'Ich': 1.0, 'frage': 0, 'mich': 0, 'ob': 0, 'zwei': 0.2, 'Wochen': 0.27, 'Vaterschaftsurlaub': 0.485, 'tatsächlich': 0, 'zu': 0, 'viel': 0, 'verlangt': 0, '...': 0}",negative,"[0.041188005, 0.9517922, 0.0070198425]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,Es ist wichtig die Anzahl Organspenden zu erhöhen: Das Problem In der Schweiz herrscht eine akute Knappheit an S... http://t.co/m189vYcH,wichtig anzahl organspenden erhöhen problem schweiz herrschen akut knappheit s,,,,"{'Es': 0.86, 'ist': 0.86, 'wichtig': 1.0, 'die': 0.79, 'Anzahl': 0, 'Organspenden': 0.27, 'zu': 0.26, 'erhöhen': 0, 'Das': 0.79, 'Problem': 1.0, 'In': 0.18, 'der': 0.79, 'Schweiz': 0.34, 'herrscht': 0, 'eine': 0, 'akute': 0.6, 'Knappheit': 0, 'an': 0.46, 'S': 0, '...': 0}",negative,"[0.00916357, 0.89380354, 0.09703288]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,Wir können die Anzahl Organspenden verdoppeln!: Das Problem  In der Schweiz herrscht eine akute Knappheit an Spe... http://t.co/twSqUEd,anzahl organspenden verdoppeln problem schweiz herrschen akut knappheit spe,,,,"{'Wir': 0.1, 'können': 0, 'die': 0.74, 'Anzahl': 0, 'Organspenden': 0.29, 'verdoppeln': 0.24, 'Das': 0.74, 'Problem': 1.0, 'In': 0.84, 'der': 0.74, 'Schweiz': 0.82, 'herrscht': 0, 'eine': 0, 'akute': 0.65, 'Knappheit': 0, 'an': 0.34, 'Spe': 0, '...': 0}",negative,"[0.18526968, 0.6356036, 0.17912668]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Wir können die Anzahl Organspenden verdoppeln! http://t.co/uPdxnlE,anzahl organspenden verdoppeln,,,,"{'Wir': 0.15, 'können': 0, 'die': 0.36, 'Anzahl': 0, 'Organspenden': 0.25, 'verdoppeln': 1.0}",positive,"[0.32059368, 0.04848082, 0.6309255]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,@MartinKalus die jungen glp Kandidaten im Aargau übrigens auch #organspenden,jung glp kandidaten aargau übrigens organspenden,,,,"{'die': 0.1, 'jungen': 0, 'glp': 0.11, 'Kandidaten': 0.13, 'im': 0, 'Aargau': 0.24, 'übrigens': 0.1, 'auch': 0.14, 'organspenden': 0}",neutral,"[0.8714518, 0.019835021, 0.10871317]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Jeder soll sich bei der Anmeldung an die Grundversicherung für oder gegen eine Organspende entscheiden! http://bit.ly/jIOgSX,jed anmeldung grundversicherung organspende entscheiden,,,,"{'Jeder': 0.42, 'soll': 0, 'sich': 0, 'bei': 0, 'der': 0.12, 'Anmeldung': 0, 'an': 1.0, 'die': 0.12, 'Grundversicherung': 0.08499999999999999, 'für': 0.07, 'oder': 0.13, 'gegen': 0.67, 'eine': 0, 'Organspende': 0.725, 'entscheiden': 0.34}",neutral,"[0.7757868, 0.011442288, 0.21277079]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Organspenden - Alle sollen sich entscheiden! http://bit.ly/mx4BOO,organspenden all sollen entscheiden,,,,"{'Organspenden': 0.44999999999999996, 'Alle': 0, 'sollen': 0.93, 'sich': 0, 'entscheiden': 1.0}",positive,"[0.11069664, 0.0029446457, 0.88635874]",,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-0.85,negative,"RT @CVPAargau: @SVP verhindert verschärftes Einbürgerungsgesetz. Dass es keine zweite Lesung gibt, hat SVP nicht bemerkt. #GRAG https://t.c…",verhindern verschärft einbürgerungsgesetz zweite lesung geben svp bemerken grag,,,,,,,"{'verhindert': 0, 'verschärftes': 0.25, 'Einbürgerungsgesetz': 1.0, 'Dass': 0.05, 'es': 0, 'keine': 0, 'zweite': 0.06, 'Lesung': 0.33, 'gibt': 0, 'hat': 0, 'SVP': 0, 'nicht': 0.05, 'bemerkt': 0, 'GRAG': 0.1}",neutral,"[0.611017, 0.08896157, 0.30002144]",,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,RT @glp_ag: #GRAG @AdrianBircher2 zum Eintreten beim Kantons- und Gemeindebürgerrecht #Einbürgerung #Aargau https://t.co/0aRrdDgvbg,grag eintreten beim kantons gemeindebürgerrecht einbürgerung aargau,,,,,,,"{'GRAG': 0.1, 'zum': 0.16, 'Eintreten': 0, 'beim': 0, 'Kantons-': 0, 'und': 0.14, 'Gemeindebürgerrecht': 0.12, 'Einbürgerung': 1.0, 'Aargau': 0.24}",neutral,"[0.76647836, 0.021305466, 0.21221621]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @beatflach: #ErleichtereEinbürgerung Sieben Jungparteien im #Aargau sagen JA! #Abst17 https://t.co/JAUCb1k2JS,erleichtereeinbürgerung sieben jungparteien aargau sagen ja abst17,,,,,,,"{'ErleichtereEinbürgerung': 1.0, 'Sieben': 0.3, 'Jungparteien': 0.1, 'im': 0, 'Aargau': 0.16, 'sagen': 0.09, 'JA': 0, 'Abst17': 0.17}",positive,"[0.0017895594, 0.0017910175, 0.9964194]",,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,"RT @MikeMuellerLate: Die SVP fürchtet die Einbürgerung von Afrikanern in 20 Jahren? Solange wir nicht Rassisten ausbürgern, muss hier niema…",svp fürchten einbürgerung afrikanern jahren solange rassisten ausbürgern niema,,,,,,,"{'Die': 0.42, 'SVP': 0, 'fürchtet': 1.0, 'die': 0.42, 'Einbürgerung': 1.0, 'von': 0, 'Afrikanern': 0.1, 'in': 0.22, '20': 0, 'Jahren': 0.14, 'Solange': 0, 'wir': 0, 'nicht': 0, 'Rassisten': 0.24, 'ausbürgern': 0.18, 'muss': 0.06, 'hier': 0, 'niema': 0, '…': 0}",neutral,"[0.7928347, 0.111488596, 0.0956767]",,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"Endlich! Zur Energiezukunft gehören nicht nur Energieeffizienz und erneuerbare Energien, sondern auch... http://t.co/n1ifAgvm",endlich energiezukunft gehören energieeffizienz erneuerbare energien,,,,,,,,,,"{'Endlich': 0.12, 'Zur': 0.13, 'Energiezukunft': 0.125, 'gehören': 0, 'nicht': 0.1, 'nur': 0.13, 'Energieeffizienz': 0.135, 'und': 0.17, 'erneuerbare': 0.21, 'Energien': 0.18, 'sondern': 0.21, 'auch': 0.84, '...': 0}",positive,"[0.00076022465, 0.0009049079, 0.99833494]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Endlich! Zur Energiezukunft gehören nicht nur Energieeffizienz und erneuerbare Energien, sondern auch... http://t.co/Y7tQetHB",endlich energiezukunft gehören energieeffizienz erneuerbare energien,,,,,,,,,,"{'Endlich': 0.12, 'Zur': 0.13, 'Energiezukunft': 0.125, 'gehören': 0, 'nicht': 0.1, 'nur': 0.13, 'Energieeffizienz': 0.135, 'und': 0.17, 'erneuerbare': 0.21, 'Energien': 0.18, 'sondern': 0.21, 'auch': 0.84, '...': 0}",positive,"[0.00076022465, 0.0009049079, 0.99833494]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,positive,"Super, hier geht der Weg ohne AKW dafür mit den Erneuerbaren Energien weiter... http://t.co/Kcqakrt",super gehen akw dafür erneuerbaren energien weit,,,,,,,,,,"{'Super': 0, 'hier': 0.1, 'geht': 0, 'der': 0.12, 'Weg': 0.14, 'ohne': 0.81, 'AKW': 0.08499999999999999, 'dafür': 0, 'mit': 1.0, 'den': 0.12, 'Erneuerbaren': 0, 'Energien': 0.6, 'weiter': 0, '...': 0}",positive,"[0.06722932, 0.016380576, 0.91639006]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,„Energie- statt Mehrwertsteuer“: Mit der Einführung einer Energiesteuer auf nicht erneuerbarer Energie werden En... http://bit.ly/iDdY9x,energie statt mehrwertsteuer einführung energiesteuer erneuerbarer energie en,,,,,,,,,,"{'„': 0, 'Energie-': 0, 'statt': 0, 'Mehrwertsteuer': 0, '“': 0, 'Mit': 0, 'der': 0, 'Einführung': 0, 'einer': 0, 'Energiesteuer': 0, 'auf': 0, 'nicht': 0, 'erneuerbarer': 0, 'Energie': 0, 'werden': 0, 'En': 0, '...': 0}",negative,"[0.39133975, 0.5804918, 0.028168421]",,,,,,,,,,neutral
100.0,100.0,86.0,0.7,negative,@DailyTalk hier siehst du ja das es machbar ist ohne neue #AKW und mit praktisch nur erneuerbarer #Energie...,sehen ja machbar neue akw praktisch erneuerbarer energie,,,,,,,,,,"{'hier': 0.03, 'siehst': 0.05, 'du': 0, 'ja': 0.1, 'das': 0.07, 'es': 0.09, 'machbar': 0, 'ist': 0.09, 'ohne': 0.24, 'neue': 0.08, 'AKW': 0, 'und': 0.1, 'mit': 0.35, 'praktisch': 0, 'nur': 1.0, 'erneuerbarer': 1.0, 'Energie': 0.4, '...': 0}",positive,"[0.11397135, 0.036288746, 0.84973985]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Unterschied glp FDP, die glp stimmte heute zu 100% gegen Kriegsmaterial Exporte, die FDP zu 100% dafür. http://t.co/V4XyB6J8Eq",unterscheiden glp fdp glp stimmen heute kriegsmaterial exporte fdp dafür,,,,,,,,,,,,,"{'Unterschied': 0.1, 'glp': 0.14, 'FDP': 0.07, 'die': 0.07, 'stimmte': 0, 'heute': 0.11, 'zu': 0, '100': 0, 'gegen': 1.0, 'Kriegsmaterial': 0.325, 'Exporte': 0.39, 'dafür': 0}",positive,"[0.24077122, 0.021508645, 0.73772013]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @beatflach: Umweltschutz und wirtsch. Weiterentwicklung? #EsGeht  Ohne Massnahmen würden wir immer noch mit Bleibenzin rumkurven https:/…,umweltschutz wirtsch weiterentwicklung esgeht massnahmen immer bleibenzin rumkurven https,,,,,,,,,,,,,,,,"{'Umweltschutz': 0.505, 'und': 0.49, 'wirtsch': 0, 'Weiterentwicklung': 0.54, 'EsGeht': 0, 'Ohne': 0.27, 'Massnahmen': 0.29, 'würden': 0.17, 'wir': 0, 'immer': 0, 'noch': 0.07, 'mit': 0.05, 'Bleibenzin': 0.05, 'rumkurven': 0.05, 'https': 0.17, ':/': 0, '…': 0}",neutral,"[0.91237664, 0.032098733, 0.055524662]",,,,neutral
