answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3435,absa_sentiment_3435,absa_scores_3435,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @jevp_ch: Anpassung des Rentenalters an Lebenserwartung ist notwendig, aber auch eine Flexibilisierung muss her. Dafür braucht es eine b…",anpassung rentenalters lebenserwartung notwendig flexibilisierung her dafür brauchen b,"{'Anpassung': 1.0, 'des': 0, 'Rentenalters': 0.8, 'an': 0, 'Lebenserwartung': 0.375, 'ist': 0.11, 'notwendig': 0.67, 'aber': 0.15, 'auch': 0.1, 'eine': 0, 'Flexibilisierung': 0.52, 'muss': 0.75, 'her': 0, 'Dafür': 0, 'braucht': 0, 'es': 0.11, 'b': 0.08, '…': 0}",neutral,"[0.4901376, 0.066528454, 0.44333395]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"Auch hier wieder! 😠
@watson_news  Warum wird die @BDPSchweiz erwähnt und die @evppev nicht? Nach welchen Kriterien wird hier ausgewählt? 
Schon letzte Woche musste @DominicTaeubert dem @srfnews die gleiche Frage beim Vaterschaftsurlaub stellen. 
https://t.co/nqiXErjcgM https://t.co/HDJXbne6P9",warum erwähnen welch kriterien auswählen schon letzte woche gleich fragen beim vaterschaftsurlaub stellen,,,,"{'Auch': 0, 'hier': 0.03, 'wieder': 0.04, 'Warum': 0.03, 'wird': 0, 'die': 0.07, 'erwähnt': 0.04, 'und': 0.03, 'nicht': 0.02, 'Nach': 0.05, 'welchen': 0, 'Kriterien': 0.12, 'ausgewählt': 0, 'Schon': 0, 'letzte': 0.27, 'Woche': 0.11, 'musste': 0.065, 'dem': 0.060000000000000005, 'gleiche': 0.11, 'Frage': 0.12, 'beim': 0.07, 'Vaterschaftsurlaub': 0.88, 'stellen': 0}",neutral,"[0.9761185, 0.022801163, 0.0010802972]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,RT @DominicTaeubert: Die @Jungfreisinnige|n argumentieren mit der Elternzeit gegen den #Vaterschaftsurlaub. Lasst euch nicht verarschen: de…,n argumentieren elternzeit vaterschaftsurlaub lasst verarschen de,,,,"{'Die': 0.13, '|n': 0, 'argumentieren': 0.31, 'mit': 0.55, 'der': 0.13, 'Elternzeit': 0.66, 'gegen': 0.19, 'den': 0.13, 'Vaterschaftsurlaub': 0.32, 'Lasst': 0, 'euch': 0, 'nicht': 0, 'verarschen': 0, 'de': 0, '…': 0}",neutral,"[0.8629402, 0.07610433, 0.060955513]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @EVP_SO: EVP Kanton Solothurn ist für die Familie und schiesst das Jagdgesetz ab.

🇨🇭
✅ Vaterschaftsurlaub
✅ Bundessteuerabzüge für Fami…",evp kanton solothurn familie schiesst jagdgesetz ab vaterschaftsurlaub bundessteuerabzüge fami,,,,"{'EVP': 0, 'Kanton': 0.05, 'Solothurn': 0.09, 'ist': 0.03, 'für': 0, 'die': 0.02, 'Familie': 0.03, 'und': 0.03, 'schiesst': 0, 'das': 0, 'Jagdgesetz': 0.065, 'ab': 0, '🇨': 0, '🇭': 0, 'Vaterschaftsurlaub': 0, 'Bundessteuerabzüge': 0, 'Fami': 0, '…': 0}",negative,"[0.09267816, 0.75966847, 0.14765333]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
75.0,75.0,71.0,0.2333333333333333,negative,"Etwas zum Schmunzeln... http://bit.ly/kaco7c
""Ich ärgere mich schwarz über die vielen Einbürgerungen mit unaussprechlichen Namen...""",schmunzeln ärgern schwarz einbürgerungen unaussprechlichen namen,,,,,,,"{'Etwas': 0.12, 'zum': 0.155, 'Schmunzeln': 0.22, '...': 0, 'Ich': 0.2, 'ärgere': 0, 'mich': 0, 'schwarz': 0, 'über': 0, 'die': 0.23, 'vielen': 0.32, 'Einbürgerungen': 1.0, 'mit': 0.15, 'unaussprechlichen': 0, 'Namen': 0.22}",negative,"[0.013177506, 0.9411254, 0.045697186]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @soaktuell: Mit dem Argument gesellschaftlicher Wandel will der Regierungsrat die Regelungen für Sterbehilfeorganisationen lockern. Die…,argument gesellschaftlich wandel regierungsrat regelungen sterbehilfeorganisationen lockern,,,,,,,,,,"{'Mit': 0.11, 'dem': 0.56, 'Argument': 0.3, 'gesellschaftlicher': 0.11, 'Wandel': 0.08, 'will': 0, 'der': 1.0, 'Regierungsrat': 0.18, 'die': 1.0, 'Regelungen': 0.19, 'für': 0.1, 'Sterbehilfeorganisationen': 0.18, 'lockern': 0.26, 'Die': 1.0, '…': 0}",positive,"[0.39527792, 0.029475173, 0.5752469]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,@srfaarau Es geht um den Zugang von Sterbehilfeorganisationen in Alters- und Pflegeheime. Passive Sterbehilfe (Verzicht von lebenserhaltene Massnahmen) steht nicht zur Diskussion.,gehen zugang sterbehilfeorganisationen alters pflegeheime passive sterbehilfe verzicht lebenserhaltene massnahmen stehen diskussion,,,,,,,,,,"{'Es': 0.26, 'geht': 0, 'um': 0, 'den': 0.04, 'Zugang': 0.06, 'von': 0, 'Sterbehilfeorganisationen': 0.08, 'in': 0.04, 'Alters-': 0, 'und': 0.06, 'Pflegeheime': 0.08499999999999999, 'Passive': 1.0, 'Sterbehilfe': 1.0, 'Verzicht': 0, 'lebenserhaltene': 0, 'Massnahmen': 0.13, 'steht': 0, 'nicht': 0.24, 'zur': 0.04, 'Diskussion': 0.15}",positive,"[0.33008882, 0.23839821, 0.43151292]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"Mit dem Argument «gesellschaftlicher Wandel» wird der Druck auf die Menschen erhöht! Für die EVP unverständlich!
#Solothurn #Politik #Ethik #Gesellschaft #Sterbehilfe #EVPPEV @azSolothurn @srfaarau  https://t.co/dTwfiQ8pLu",argument gesellschaftlich wandel druck menschen erhöhen evp unverständlich solothurn politik ethik gesellschaft sterbehilfe evppev,,,,,,,,,,"{'Mit': 0.07, 'dem': 0.64, 'Argument': 0.19, '«': 0, 'gesellschaftlicher': 0, 'Wandel': 0, '»': 0, 'wird': 0, 'der': 0, 'Druck': 0, 'auf': 0, 'die': 0, 'Menschen': 0, 'erhöht': 0, 'Für': 0, 'EVP': 0, 'unverständlich': 0, 'Solothurn': 0, 'Politik': 0, 'Ethik': 0, 'Gesellschaft': 0, 'Sterbehilfe': 0, 'EVPPEV': 0}",negative,"[0.33074948, 0.63453263, 0.034717828]",,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"«Wir sagen Ja zur eine Initiative, mit der wir aber nicht einverstanden sind.» Wo ist hier die Logik?
Wenn es wirklich um die Steuersenkung für tiefe und mittlere Einkommen geht, kann das der Rat auch ohne Initiative machen. #Solothurn #Politik #armselig https://t.co/je6cBtkDrP",sagen ja initiative einverstanden logik wirklich steuersenkung tiefe mittler einkommen gehen rat initiative solothurn politik armselig,,,,,,,,,,,,,"{'«': 0, 'Wir': 0, 'sagen': 0, 'Ja': 0, 'zur': 0, 'eine': 0, 'Initiative': 0, 'mit': 0, 'der': 0, 'wir': 0, 'aber': 0, 'nicht': 0, 'einverstanden': 0, 'sind': 0, '»': 0, 'Wo': 0, 'ist': 0, 'hier': 0, 'die': 0, 'Logik': 0, 'Wenn': 0, 'es': 0, 'wirklich': 0, 'um': 0, 'Steuersenkung': 0, 'für': 0, 'tiefe': 0, 'und': 0, 'mittlere': 0, 'Einkommen': 0, 'geht': 0, 'kann': 0, 'das': 0, 'Rat': 0, 'auch': 0, 'ohne': 0, 'machen': 0, 'Solothurn': 0, 'Politik': 0, 'armselig': 0}",negative,"[0.023854053, 0.88216543, 0.09398047]",,,,,,,,,,,,,,,,neutral
0.0,0.0,14.0,-0.7,neutral,RT @srfaarau: In der Stadt #Solothurn sinken aufs neue Jahr die Steuern. Gemeindeversammlung beschliesst Steuersenkung um 3% auf neu 112% h…,stadt solothurn sinken aufs neue jahr steuern gemeindeversammlung beschliesst steuersenkung neu h,,,,,,,,,,,,,"{'In': 0.07, 'der': 0.05, 'Stadt': 0.05, 'Solothurn': 0.21, 'sinken': 0, 'aufs': 0, 'neue': 0.05, 'Jahr': 0.17, 'die': 0.05, 'Steuern': 0, 'Gemeindeversammlung': 0, 'beschliesst': 0.1, 'Steuersenkung': 0.14, 'um': 0.03, '3': 0, 'auf': 0, 'neu': 0.05, '112': 0, 'h': 0.03, '…': 0}",negative,"[0.24374785, 0.6701483, 0.08610391]",,,,,,,,,,,,,,,,negative
