answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3437,absa_sentiment_3437,absa_scores_3437,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3473,absa_sentiment_3473,absa_scores_3473,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,86.0,0.7,neutral,RT @sp_bl: 3285 Unterschriften an einem Tag: Die SP Initiative «Gebührenfreie Kinderbetreuung für alle Familien» findet grossen Anklang bei…,unterschriften tag sp initiative gebührenfrei kinderbetreuung all familien finden grossen anklingen,"{'3285': 0, 'Unterschriften': 0.07, 'an': 0, 'einem': 0.02, 'Tag': 0, 'Die': 0.1, 'SP': 0.05, 'Initiative': 0.14, '«': 0, 'Gebührenfreie': 0, 'Kinderbetreuung': 0, 'für': 0, 'alle': 0, 'Familien': 0, '»': 0, 'findet': 0, 'grossen': 0, 'Anklang': 0, 'bei': 0, '…': 0}",positive,"[0.0013603858, 0.0010866357, 0.99755305]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,neutral,"RT @beatflach: Die #FDP hat heut die Vorlage für einen #Vaterschaftsurlaub auch mit der Begründung abgelehnt, es brauche eine Elternzeit. A…",fdp heut vorlage vaterschaftsurlaub begründung ablehnen brauche elternzeit a,,,,"{'Die': 0.05, 'FDP': 0.27, 'hat': 0, 'heut': 0.1, 'die': 0.05, 'Vorlage': 0, 'für': 0.32, 'einen': 0.06, 'Vaterschaftsurlaub': 0.09, 'auch': 0, 'mit': 0, 'der': 0.05, 'Begründung': 0, 'abgelehnt': 0, 'es': 0, 'brauche': 0, 'eine': 0, 'Elternzeit': 0.095, 'A': 0.06, '…': 0}",neutral,"[0.46110746, 0.45131367, 0.08757889]",,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,"@miperrico @feusl @MartinSchulz Vielleicht hilft die Botschaft zum NFA, wo von einem ""solidarischen Finanzausgleichsystem"" gesprochen wird: ""Damit die Kantone ihre Aufgaben wahrnehmen und verstärkt zusammenarbeiten
können, muss die NFA auch ein gerechtes Ausgleichssystem
zwischen ressourcenstarken und",vielleicht helfen botschaft nfa solidarisch finanzausgleichsystem sprechen kantone aufgaben wahrnehmen verstärken zusammenarbeiten nfa gerecht ausgleichssystem ressourcenstarken,,,,,,,"{'Vielleicht': 0.08, 'hilft': 0, 'die': 0.11, 'Botschaft': 0, 'zum': 0.095, 'NFA': 0.2, 'wo': 0.04, 'von': 0, 'einem': 0, 'solidarischen': 0, 'Finanzausgleichsystem': 0.5525, 'gesprochen': 0, 'wird': 0.06, 'Damit': 0.08, 'Kantone': 0.23, 'ihre': 0.08, 'Aufgaben': 0.11, 'wahrnehmen': 0, 'und': 0.07, 'verstärkt': 0, 'zusammenarbeiten': 0.08, 'können': 0, 'muss': 0.08, 'auch': 0.06, 'ein': 0, 'gerechtes': 0.13, 'Ausgleichssystem': 0.13, 'zwischen': 0.06, 'ressourcenstarken': 0}",positive,"[0.004084059, 0.003758275, 0.9921577]",,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @Sarah_Wyss: #GLP lehnt Mindestlohn ab! Nicht überraschend aber klärend. #Mindestlohn 
Markanter Eingriff? Wenn 21 CHF eine markanter Ei…",glp lehnen mindestlohn ab überraschen klären mindestlohn markant eingreifen chf markant ei,,,,,,,,,,"{'GLP': 1.0, 'lehnt': 1.0, 'Mindestlohn': 0.07, 'ab': 0, 'Nicht': 0.15, 'überraschend': 0, 'aber': 0.1, 'klärend': 0.25, 'Markanter': 0, 'Eingriff': 0.11, 'Wenn': 0.06, '21': 0, 'CHF': 0.09, 'eine': 0, 'markanter': 0, 'Ei': 0, '…': 0}",neutral,"[0.47103873, 0.122749954, 0.40621132]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @aee_suisse: Unser Vorstandsmitglied @enussbi heute in der Arena. #Klimaschutz #ErneuerbareEnergien #Energiewende,vorstandsmitglied heute arena klimaschutz erneuerbareenergien energiewende,,,,,,,,,,,,,"{'Unser': 0.57, 'Vorstandsmitglied': 0.375, 'heute': 0.58, 'in': 0.3, 'der': 0.14, 'Arena': 0.22, 'Klimaschutz': 0.075, 'ErneuerbareEnergien': 0.06, 'Energiewende': 0.04}",positive,"[0.079895526, 0.008808092, 0.91129637]",,,,,,,,,,,,,,,,,,,neutral
75.0,75.0,86.0,0.425,neutral,@rainmeie @energiestiftung @nmasshardt Scheinheilig passt sicher besser: Auf beiden Seiten. Wie viele Jahre hat die „Energiewirtschaft“ die besten Rahmenbedingungen für die Erneuerbaren bekämpft. Waren es Jahre oder Jahrzehnte?,scheinheilig passt sichern gut beid seiten jahre energiewirtschaft gut rahmenbedingungen erneuerbaren bekämpfen jahre jahrzehnte,,,,,,,,,,,,,"{'Scheinheilig': 0.13, 'passt': 0.04, 'sicher': 0, 'besser': 0.04, 'Auf': 0.02, 'beiden': 0.02, 'Seiten': 0, 'Wie': 0, 'viele': 0, 'Jahre': 0, 'hat': 0, 'die': 0, '„': 0, 'Energiewirtschaft': 0, '“': 0, 'besten': 0, 'Rahmenbedingungen': 0, 'für': 0, 'Erneuerbaren': 0, 'bekämpft': 0, 'Waren': 0, 'es': 0, 'oder': 0, 'Jahrzehnte': 0}",neutral,"[0.45852226, 0.11111659, 0.43036118]",,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,neutral,"RT @EWS_Schoenau: Anders als #fossile Energien sind #Erneuerbare nicht zwingend im Konflikt mit #Naturschutz. #Solarparks, sofern sie natur…",fossile energien erneuerbare zwingen konflikt naturschutz solarparks sofern natur,,,,,,,,,,,,,"{'Anders': 0, 'als': 0, 'fossile': 0.06, 'Energien': 0, 'sind': 0.04, 'Erneuerbare': 0, 'nicht': 1.0, 'zwingend': 0, 'im': 0, 'Konflikt': 0.77, 'mit': 0.09, 'Naturschutz': 0.03, 'Solarparks': 0.045, 'sofern': 0.05, 'sie': 0, 'natur': 0.05, '…': 0}",neutral,"[0.5170772, 0.04098171, 0.44194108]",,,,,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,1.0,neutral,Klimaschutz erreichen wir mit den richtigen Investitionen - vor der Pandemie und nach der Pandemie. #Jetzt InvestitionenErmöglichen mit dem CO2-Gesetz und mit besseren Finanzierungsrahmen für Erneuerbare Energien. https://t.co/rBlWbUC6zo,klimaschutz erreichen richtig investitionen pandemie pandemie investitionenermöglichen co2 gesetz gut finanzierungsrahmen erneuerbare energien,,,,,,,,,,,,,"{'Klimaschutz': 0.045, 'erreichen': 0, 'wir': 0, 'mit': 0.2, 'den': 0.09, 'richtigen': 0.1, 'Investitionen': 0.33, 'vor': 0.04, 'der': 0.09, 'Pandemie': 0.18, 'und': 0.19, 'nach': 0.05, 'Jetzt': 0.41, 'InvestitionenErmöglichen': 0, 'dem': 0.09, 'CO2-Gesetz': 0.16, 'besseren': 0.19, 'Finanzierungsrahmen': 0, 'für': 0.07, 'Erneuerbare': 0.12, 'Energien': 0.08}",positive,"[0.113110684, 0.04060856, 0.84628075]",,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.85,neutral,"Noch schnell eine #energieauftankende Baselbieter Wanderung gemacht. Schöne Dach-Photovoltaikanlagen, saisonale Energieballenanlagen (eine Art Freiflächenanlagen) und Windturbinen - letztere natürlich im Ausland😪. #ES2050 #MehrErneuerbare https://t.co/JK6xnXBEw7",schnellen energieauftankende baselbieter wanderung schöne dach photovoltaikanlagen saisonale energieballenanlagen art freiflächenanlagen windturbinen letzter natürlich ausland es2050 mehrerneuerbare,,,,,,,,,,,,,"{'Noch': 0, 'schnell': 0, 'eine': 0, 'energieauftankende': 0.035, 'Baselbieter': 0.03, 'Wanderung': 0.04, 'gemacht': 0, 'Schöne': 0, 'Dach-Photovoltaikanlagen': 0.052500000000000005, 'saisonale': 0.04, 'Energieballenanlagen': 0.035, 'Art': 0, 'Freiflächenanlagen': 0.027500000000000004, 'und': 0.04, 'Windturbinen': 0.04, 'letztere': 0.03, 'natürlich': 0, 'im': 0, 'Ausland': 0.03, 'ES2050': 0.17, 'MehrErneuerbare': 0}",positive,"[0.0064468514, 0.015240143, 0.97831297]",,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"Der politische Wille wird nächstes Jahr mit der Botschaft des Bundesrates zur sicheren und erneuerbaren Energieversorgung sichtbar. Darum ist es Zeit, noch einmal über die EE-Finanzierungsmechanismen der Zukunft zu schreiben 2/",politische wille nächst jahr botschaft bundesrates sicher erneuerbaren energieversorgung sichtbar darum zeit ee finanzierungsmechanismen zukunft schreiben,,,,,,,,,,,,,"{'Der': 0.04, 'politische': 0.08, 'Wille': 0.03, 'wird': 0.03, 'nächstes': 0.03, 'Jahr': 0.05, 'mit': 0.05, 'der': 0.04, 'Botschaft': 0, 'des': 0, 'Bundesrates': 0.07, 'zur': 0.03, 'sicheren': 0, 'und': 0.45, 'erneuerbaren': 0.09, 'Energieversorgung': 0.38, 'sichtbar': 0.06, 'Darum': 0, 'ist': 0.01, 'es': 0.01, 'Zeit': 0.02, 'noch': 0, 'einmal': 0, 'über': 0, 'die': 0.04, 'EE-Finanzierungsmechanismen': 0.04, 'Zukunft': 0.04, 'zu': 0.02, 'schreiben': 0.03, '2': 0}",positive,"[0.0025105255, 0.0014797128, 0.9960097]",,,,,,,,,,,,,,,,,,,positive
