answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
0.0,0.0,0.0,-1.0,neutral,"@studioandydna @Nutzername_neu @DianaGutjahr1 @lohnabzuegeNein @NZZaS @SVPch @svptg @gewerbeverband Habe kein Problem damit, wenn die SVP konservative Familienpolitik betreibt. Dafür steht sie ja. Nicht i.O. ist aber, die Elternzeit im Parlament abzulehnen und im Abstimmungskampf um den Vaterschaftsurlaub wieder eben eine solche zu fordern. Aber auch das ist wohl typisch SVP😏.",problem svp konservative familienpolitik betreiben dafür stehen ja i o elternzeit parlament ablehnen abstimmungskampf vaterschaftsurlaub eben fordern wohl typisch svp,"{'Habe': 0.03, 'kein': 0.07, 'Problem': 0.07, 'damit': 0.105, 'wenn': 0.03, 'die': 0.07, 'SVP': 0, 'konservative': 0.07, 'Familienpolitik': 0.07500000000000001, 'betreibt': 0, 'Dafür': 0, 'steht': 0.05, 'sie': 0, 'ja': 0.27, 'Nicht': 0.15, 'i.O.': 0, 'ist': 0.05, 'aber': 0.06, 'Elternzeit': 0.3, 'im': 0, 'Parlament': 0.13, 'abzulehnen': 0.15, 'und': 0.27, 'Abstimmungskampf': 0.13, 'um': 0, 'den': 0.07, 'Vaterschaftsurlaub': 0.195, 'wieder': 0.09, 'eben': 0, 'eine': 0, 'solche': 0, 'zu': 0.15, 'fordern': 0.25, 'Aber': 0.06, 'auch': 0, 'das': 0.05, 'wohl': 0, 'typisch': 0}",neutral,"[0.62913585, 0.038609367, 0.33225474]",,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,negative,@rudolf_mohler @kuendigung_nein @JagdgesetzNein @_Mogelpackung @lohnabzuegeNein @sicherheit_ja Wieso bist du gegen den Vaterschaftsurlaub?,wieso vaterschaftsurlaub,"{'Wieso': 0, 'bist': 0.395, 'du': 0, 'gegen': 1.0, 'den': 0, 'Vaterschaftsurlaub': 0.69}",negative,"[0.34365562, 0.48957893, 0.16676542]",,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,"RT @beatflach: Die #FDP hat heut die Vorlage für einen #Vaterschaftsurlaub auch mit der Begründung abgelehnt, es brauche eine Elternzeit. A…",fdp heut vorlage vaterschaftsurlaub begründung ablehnen brauche elternzeit a,"{'Die': 0.05, 'FDP': 0.27, 'hat': 0, 'heut': 0.1, 'die': 0.05, 'Vorlage': 0, 'für': 0.32, 'einen': 0.06, 'Vaterschaftsurlaub': 0.09, 'auch': 0, 'mit': 0, 'der': 0.05, 'Begründung': 0, 'abgelehnt': 0, 'es': 0, 'brauche': 0, 'eine': 0, 'Elternzeit': 0.095, 'A': 0.06, '…': 0}",neutral,"[0.46110746, 0.45131367, 0.08757889]",,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"Die @jglp_sg hat die Parolen für die Abstimmungen vom 27.09.2020 gefasst.

❌Nein zur #Kündigungsinitiative
❌Nein zum #Abschussgesetz
❌Nein zur #Mogelpackung
✅JA zum #Vaterschaftsurlaub
✅JA zur #Kampfflugzeugbeschaffung

Zur Medienmitteilung: https://t.co/lo3obqB6xz",parolen abstimmungen gefasst nein kündigungsinitiative nein abschussgesetz nein mogelpackung ja vaterschaftsurlaub ja kampfflugzeugbeschaffung medienmitteilung,"{'Die': 0.05, 'hat': 0, 'die': 0.05, 'Parolen': 0.12, 'für': 0.02, 'Abstimmungen': 0, 'vom': 0.05, '27.09.2020': 0, 'gefasst': 0, 'Nein': 0.06, 'zur': 0.05, 'Kündigungsinitiative': 0.045, 'zum': 0.05, 'Abschussgesetz': 0, 'Mogelpackung': 0, 'JA': 0, 'Vaterschaftsurlaub': 0.61, 'Kampfflugzeugbeschaffung': 0.08249999999999999, 'Zur': 0.05, 'Medienmitteilung': 0.065}",positive,"[0.045674916, 0.013496376, 0.94082874]",,,,,,,"{'Die': 0.26, 'hat': 0, 'die': 0.26, 'Parolen': 0.12, 'für': 0.03, 'Abstimmungen': 0, 'vom': 0.26, '27.09.2020': 0, 'gefasst': 0, 'Nein': 0.14, 'zur': 0.315, 'Kündigungsinitiative': 0.09000000000000001, 'zum': 0.315, 'Abschussgesetz': 0, 'Mogelpackung': 0, 'JA': 0, 'Vaterschaftsurlaub': 0.18, 'Kampfflugzeugbeschaffung': 0.2425, 'Zur': 0.315, 'Medienmitteilung': 0.5650000000000001}",neutral,"[0.4878639, 0.027644537, 0.48449153]",,,,,,,,,,neutral
100.0,100.0,100.0,1.0,positive,#Vaterschaftsurlaub: Die Pro-Argumente überwiegen für mich klar. Wir brauchen endlich eine progressive Familienpolitik losgelöst von alten Rollenbildern. Noch besser wäre also eine #Elternzeit. Zeit für ein Gegenvorschlag? #MVjglpCH https://t.co/V0jq8gj2zX,vaterschaftsurlaub pro argumente überwiegen klaren brauchen endlich progressive familienpolitik loslösen alt rollenbildern gut elternzeit zeit gegenvorschlag mvjglpch,"{'Vaterschaftsurlaub': 0.03, 'Die': 0.12, 'Pro-Argumente': 0.11, 'überwiegen': 0.17, 'für': 0.01, 'mich': 0.17, 'klar': 0, 'Wir': 0.05, 'brauchen': 0.04, 'endlich': 0, 'eine': 0, 'progressive': 0.03, 'Familienpolitik': 0.035, 'losgelöst': 0.02, 'von': 0.01, 'alten': 0.01, 'Rollenbildern': 0.02, 'Noch': 0, 'besser': 0.05, 'wäre': 0.02, 'also': 0, 'Elternzeit': 0.03, 'Zeit': 0.03, 'ein': 0, 'Gegenvorschlag': 0.025, 'MVjglpCH': 0.13}",neutral,"[0.76505065, 0.07450532, 0.16044407]",,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,neutral,RT @GrassSelina: Innovativer Vorstoss aus der JGLP-Denkfabrik: Strom-Bojen im Rhein. Nur mit verschiedenen erneuerbaren Energiequellen kann…,innovativ vorstoss jglp denkfabrik strom bojen rhein verschieden erneuerbaren energiequellen,,,,"{'Innovativer': 0.1, 'Vorstoss': 0, 'aus': 0, 'der': 0.03, 'JGLP-Denkfabrik': 0.03, 'Strom-Bojen': 0.04, 'im': 0, 'Rhein': 0, 'Nur': 0, 'mit': 0.38, 'verschiedenen': 1.0, 'erneuerbaren': 1.0, 'Energiequellen': 0.335, 'kann': 0.23, '…': 0}",neutral,"[0.83975095, 0.025012061, 0.1352371]",,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"RT @jglp_sg: Die Welt entwickelt sich weiter, ob mit oder ohne uns. Innovation ist gefordert! 

Unser Vorstoss zu erneuerbaren Energiequell…",welt entwickeln weit innovation fordern vorstoss erneuerbaren energiequell,,,,"{'Die': 0.05, 'Welt': 0.06, 'entwickelt': 0, 'sich': 0, 'weiter': 0, 'ob': 0, 'mit': 0.05, 'oder': 0.07, 'ohne': 0.04, 'uns': 0.03, 'Innovation': 0.11, 'ist': 0.09, 'gefordert': 0.11, 'Unser': 1.0, 'Vorstoss': 0, 'zu': 0, 'erneuerbaren': 0.3, 'Energiequell': 0.11, '…': 0}",positive,"[0.025283875, 0.00560738, 0.9691087]",,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,@beatflach Weshalb waren wir schon wieder besorgt? Kriegsmaterialexporte? Schleppender Fortschritt im Klimaschutz? Angriff auf unsere Vernetzung in Europa durch eine populistische Initiative? Ja dann schon 😉.,weshalb schon besorgen kriegsmaterialexporte schleppend fortschritt klimaschutz angreifen vernetzung europa populistische initiative ja schon,,,,,,,"{'Weshalb': 0, 'waren': 0, 'wir': 0, 'schon': 0, 'wieder': 0.13, 'besorgt': 0, 'Kriegsmaterialexporte': 0.8825000000000001, 'Schleppender': 0, 'Fortschritt': 0.17, 'im': 0, 'Klimaschutz': 0.13, 'Angriff': 0.15, 'auf': 0.04, 'unsere': 0.07, 'Vernetzung': 0.11, 'in': 0.05, 'Europa': 0.07, 'durch': 0, 'eine': 0, 'populistische': 0.14, 'Initiative': 0.11, 'Ja': 0, 'dann': 0.03}",negative,"[0.37874418, 0.5835798, 0.03767604]",,,,,,,,,,,,,negative
75.0,75.0,71.0,0.3333333333333333,neutral,"Ich persönlich stelle mich klar gegen Kriegsmaterial-Exporte ins Ausland.

Die #Korrekturinitiative  ist daher ein erster wichtiger Schritt in die richtige Richtung und setzt ein klares Zeichen gegen den äusserst fragwürdigen Entscheid des Bundesrates.",persönlich stelle klaren kriegsmaterial exporte ausland korrekturinitiative daher erst wichtig schritt richtige richtung setzen klar zeichen äusserst fragwürdig entscheid bundesrates,,,,,,,"{'Ich': 0.14, 'persönlich': 0.08, 'stelle': 0, 'mich': 0, 'klar': 0.02, 'gegen': 0.1, 'Kriegsmaterial-Exporte': 0.24, 'ins': 0, 'Ausland': 0.21, 'Die': 0.03, 'Korrekturinitiative': 0.08, 'ist': 0.04, 'daher': 0, 'ein': 0, 'erster': 0.02, 'wichtiger': 0.03, 'Schritt': 0.03, 'in': 0.02, 'die': 0.03, 'richtige': 0.03, 'Richtung': 0.03, 'und': 0.02, 'setzt': 0, 'klares': 0.02, 'Zeichen': 0, 'den': 0.03, 'äusserst': 0.02, 'fragwürdigen': 0, 'Entscheid': 0.13, 'des': 0, 'Bundesrates': 0.025}",positive,"[0.42413163, 0.05454687, 0.5213215]",,,,,,,,,,,,,positive
100.0,100.0,100.0,0.85,negative,Exporte von Kriegsmaterial ins Ausland: Für mich generell mit einer neutralen - und vor allem humanitären Schweiz - absolut unvereinbar. Ganz egal in welches Land. Das wär doch mal ein Thema für eine Initiative @jglpCH @grunliberale? https://t.co/okRFswblVO,exporte kriegsmaterial ausland generell neutral humanitär schweiz absolut unvereinbar ganz egal welch land wär mal thema initiative,,,,,,,"{'Exporte': 0.3, 'von': 0, 'Kriegsmaterial': 0.5599999999999999, 'ins': 0, 'Ausland': 0.33, 'Für': 0.13, 'mich': 0.25, 'generell': 0.315, 'mit': 0.65, 'einer': 0, 'neutralen': 0.43, 'und': 0.24, 'vor': 0, 'allem': 0, 'humanitären': 0.4, 'Schweiz': 0.36, 'absolut': 0.97, 'unvereinbar': 1.0, 'Ganz': 0.1, 'egal': 0.10500000000000001, 'in': 0.17, 'welches': 0.06, 'Land': 0, 'Das': 0, 'wär': 0.09, 'doch': 0, 'mal': 0, 'ein': 0, 'Thema': 0, 'für': 0.13, 'eine': 0, 'Initiative': 0.29}",negative,"[0.09945638, 0.5502757, 0.350268]",,,,,,,,,,,,,positive
