answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3430,absa_sentiment_3430,absa_scores_3430,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3444,absa_sentiment_3444,absa_scores_3444,absa_token_weights_3458,absa_sentiment_3458,absa_scores_3458,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
75.0,75.0,71.0,0.3333333333333333,neutral,"Es geht der #SVP nicht um Stadt oder Land. Es geht um die mutige Politik der @spschweiz. Weil guter öffentlicher Verkehr, tiefere Prämien, gratis Kinderbetreuung, bezahlbare Wohnungen und gleiche Rechte für alle die Privilegien und den Reichtum der oberen Zehntausend gefährden.",gehen svp stadt land gehen mutig politik gut öffentlich verkehr tief prämien gratis kinderbetreuung bezahlbare wohnungen gleich rechte all privilegien reichtum ober zehntausend gefährden,"{'Es': 0.01, 'geht': 0, 'der': 0.02, 'SVP': 0, 'nicht': 0.04, 'um': 0, 'Stadt': 0, 'oder': 0.01, 'Land': 0, 'die': 0.02, 'mutige': 0, 'Politik': 0, 'Weil': 0.1, 'guter': 0, 'öffentlicher': 0.04, 'Verkehr': 0, 'tiefere': 0, 'Prämien': 0, 'gratis': 0.52, 'Kinderbetreuung': 1.0, 'bezahlbare': 0, 'Wohnungen': 0, 'und': 0.02, 'gleiche': 0, 'Rechte': 0, 'für': 0.04, 'alle': 0, 'Privilegien': 0.04, 'den': 0.02, 'Reichtum': 0.04, 'oberen': 0, 'Zehntausend': 0.025, 'gefährden': 0}",positive,"[0.0017891119, 0.001267044, 0.9969439]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'Es': 0.55, 'geht': 0, 'der': 0.02, 'SVP': 0, 'nicht': 1.0, 'um': 0, 'Stadt': 0, 'oder': 0.29, 'Land': 0, 'die': 0.02, 'mutige': 0, 'Politik': 0, 'Weil': 0.24, 'guter': 0, 'öffentlicher': 0.03, 'Verkehr': 0, 'tiefere': 0, 'Prämien': 0, 'gratis': 0.045, 'Kinderbetreuung': 0.04, 'bezahlbare': 0, 'Wohnungen': 0, 'und': 0.03, 'gleiche': 0, 'Rechte': 0, 'für': 0.03, 'alle': 0, 'Privilegien': 0.03, 'den': 0.02, 'Reichtum': 0.05, 'oberen': 0, 'Zehntausend': 0.045, 'gefährden': 0}",neutral,"[0.4255587, 0.23003754, 0.34440377]",,,,positive
100.0,100.0,100.0,1.0,neutral,"RT @spschweiz: Es ist erfreulich, dass die WBK-N vorschlägt, die Anstossfinanzierung des Bundes zur familienergänzenden Kinderbetreuung in…",erfreulich wbk n vorschlagen anstossfinanzierung bundes familienergänzenden kinderbetreuung,"{'Es': 0.03, 'ist': 0.03, 'erfreulich': 0, 'dass': 0.24, 'die': 0.09, 'WBK-N': 0, 'vorschlägt': 0, 'Anstossfinanzierung': 0, 'des': 0, 'Bundes': 0.12, 'zur': 0.09, 'familienergänzenden': 0.68, 'Kinderbetreuung': 1.0, 'in': 0.3, '…': 0}",neutral,"[0.9120102, 0.020489909, 0.067499794]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @Tamarafuniciell: Die familienergänzende Kinderbetreuung muss ein Service public werden wie die Volksschule. Unterschreibe jetzt unsere…,familienergänzende kinderbetreuung service public volksschule unterschreiben,"{'Die': 0, 'familienergänzende': 0.1, 'Kinderbetreuung': 0.35, 'muss': 0, 'ein': 0, 'Service': 0.16, 'public': 0.17, 'werden': 0, 'wie': 0, 'die': 0, 'Volksschule': 0.145, 'Unterschreibe': 1.0, 'jetzt': 0.99, 'unsere': 1.0, '…': 0}",positive,"[0.42636546, 0.030932289, 0.5427022]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @EDI_DFI: Fahrdienste, Kinderbetreuung, Einkäufe: #Nachbarschaftshilfe ist wichtig und mit @fiveup oder @hilfjetzt einfach. Damit Gefähr…",fahrdienste kinderbetreuung einkäufe nachbarschaftshilfe wichtig einfach gefähr,"{'Fahrdienste': 0.25, 'Kinderbetreuung': 0, 'Einkäufe': 0, 'Nachbarschaftshilfe': 0.21, 'ist': 0.17, 'wichtig': 0.19, 'und': 0.16, 'mit': 0.16, 'oder': 0.16, 'einfach': 0, 'Damit': 0, 'Gefähr': 1.0, '…': 0}",positive,"[0.07885942, 0.457202, 0.4639386]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @FWasserfallen: Breaking! Nach SGK-N spricht sich auch Gesundheitskommission des Ständerats klar für eine Aufhebung des Cannabis-Verbots…,breaking sgk n sprechen gesundheitskommission ständerats klaren aufhebung cannabis verbots,,,,"{'Breaking': 0.1, 'Nach': 0.05, 'SGK-N': 0, 'spricht': 0, 'sich': 0, 'auch': 0.12, 'Gesundheitskommission': 0.175, 'des': 0, 'Ständerats': 0.1675, 'klar': 0, 'für': 0, 'eine': 0, 'Aufhebung': 0, 'Cannabis-Verbots': 0.7849999999999999, '…': 0}",neutral,"[0.8613828, 0.04351259, 0.095104635]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,"RT @JayBadran: Wer hat gegen das Konkubinatsverbot, das de facto Homo-Verbot,  Abtreibungsverbot, Cannabis verbot, die ""Rasenbetretenverbot…",wer konkubinatsverbot de facto homo verbieten abtreibungsverbot cannabis verbieten rasenbetretenverbot,,,,"{'Wer': 0.02, 'hat': 0, 'gegen': 0.03, 'das': 0, 'Konkubinatsverbot': 0, 'de': 0, 'facto': 0.02, 'Homo-Verbot': 0, 'Abtreibungsverbot': 0.1, 'Cannabis': 1.0, 'verbot': 0.24, 'die': 0.04, 'Rasenbetretenverbot': 0, '…': 0}",neutral,"[0.6030014, 0.3402504, 0.05674816]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,RT @TalkTaeglich: #legalisierung von #cannabis und #cannabisabgabe an #Minderjährige? Mit @m_tuena und @molinafab um 18.30 Uhr: https://t.c…,legalisierung cannabis cannabisabgabe minderjährige uhr,,,,"{'legalisierung': 0.49, 'von': 0, 'cannabis': 0.19, 'und': 0.38, 'cannabisabgabe': 0, 'an': 0, 'Minderjährige': 0.48, 'Mit': 0.43, 'um': 0, '18.30': 0, 'Uhr': 0}",neutral,"[0.97553885, 0.0055512083, 0.018909857]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,25.0,28.0,-0.15,negative,"RT @FWasserfallen: Der Vorschlag der Kommissionsmehrheit des Ständerats zur #AHV21 ist inakzeptabel. Frauenrentenalter erhöhen (+1,5 Mrd.),…",vorschlag kommissionsmehrheit ständerats ahv21 inakzeptabel frauenrentenalter erhöhen mrd,,,,,,,"{'Der': 0.03, 'Vorschlag': 0.32, 'der': 0.03, 'Kommissionsmehrheit': 0.08499999999999999, 'des': 0, 'Ständerats': 0.0875, 'zur': 0.03, 'AHV21': 0.22, 'ist': 0.17, 'inakzeptabel': 0.78, 'Frauenrentenalter': 0.6425000000000001, 'erhöhen': 0, '+1,5': 0, 'Mrd.': 0.23, '…': 0}",negative,"[0.06610817, 0.6454211, 0.28847077]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @BaGysi: Ziemlich schräg. #Frauenrentenalter erhöhen, aber Massnahmen zur Besserstellung der Frauen vertagen. so kommt diese Reform nich…",ziemlich schräg frauenrentenalter erhöhen massnahmen besserstellung frauen vertagen kommen reform nich,,,,,,,"{'Ziemlich': 0, 'schräg': 0, 'Frauenrentenalter': 0.6025, 'erhöhen': 0, 'aber': 0.62, 'Massnahmen': 0.2, 'zur': 0.105, 'Besserstellung': 0, 'der': 0.09, 'Frauen': 0.07, 'vertagen': 0, 'so': 0, 'kommt': 0.12, 'diese': 0.15, 'Reform': 0.18, 'nich': 0, '…': 0}",positive,"[0.19524926, 0.29666716, 0.5080836]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,25.0,28.0,-0.15,neutral,Philipp Müller fordert die Abschaffung des Rentenalters. Das wäre die grösste Rentenkürzung in der Geschichte der Schweiz. Die @FDP_Liberalen bestätigt die schlimmsten Befürchtungen: Sie will unsere #AHV kaputt machen und die Menschen bis ins Grab arbeiten lassen! #DarumStarkeSP,philipp müller fordern abschaffung rentenalters grösste rentenkürzung geschichte schweiz bestätigen schlimm befürchtungen ahv kaputt menschen grab arbeiten lassen darumstarkesp,,,,,,,"{'Philipp': 0.16, 'Müller': 0, 'fordert': 0.49, 'die': 0.05, 'Abschaffung': 0, 'des': 0, 'Rentenalters': 0.5, 'Das': 0.05, 'wäre': 0.08, 'grösste': 0, 'Rentenkürzung': 0.2, 'in': 0.07, 'der': 0.05, 'Geschichte': 0, 'Schweiz': 0.2, 'Die': 0.05, 'bestätigt': 0, 'schlimmsten': 0.23, 'Befürchtungen': 0.12, 'Sie': 0, 'will': 0, 'unsere': 0.07, 'AHV': 0.19, 'kaputt': 0, 'machen': 0, 'und': 0.06, 'Menschen': 0.06, 'bis': 0, 'ins': 0, 'Grab': 0, 'arbeiten': 0.12, 'lassen': 0, 'DarumStarkeSP': 0}",negative,"[0.0837815, 0.887392, 0.028826563]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
25.0,25.0,28.0,-0.3333333333333333,neutral,"Die @NZZaS warnt, dass im neuen Parlament eine Mehrheit für Rentenalter 67 bestehen könnte. Das müssen wir am 20. Oktober verhindern! Ein höheres Rentenalter verschärft Probleme auf dem Arbeitsmarkt und ist eine Respektlosigkeit für die Lebensleistung der Menschen! #DarumStarkeSP",warnen neu parlament mehrheit rentenalter bestehen müssen oktober verhindern hoch rentenalter verschärfen probleme arbeitsmarkt respektlosigkeit lebensleistung menschen darumstarkesp,,,,,,,"{'Die': 0.08, 'warnt': 0.08, 'dass': 0.06, 'im': 0, 'neuen': 0.04, 'Parlament': 0.05, 'eine': 0, 'Mehrheit': 0.06, 'für': 0.06, 'Rentenalter': 0.6799999999999999, '67': 0, 'bestehen': 0, 'könnte': 0.04, 'Das': 0.08, 'müssen': 0.05, 'wir': 0, 'am': 0, '20.': 0, 'Oktober': 0.09, 'verhindern': 0, 'Ein': 0.68, 'höheres': 1.0, 'verschärft': 0, 'Probleme': 0.29, 'auf': 0.07, 'dem': 0.065, 'Arbeitsmarkt': 0.17, 'und': 0.12, 'ist': 0.13, 'Respektlosigkeit': 0.24, 'die': 0.08, 'Lebensleistung': 0.11, 'der': 0.08, 'Menschen': 0.05, 'DarumStarkeSP': 0}",negative,"[0.030962437, 0.8843039, 0.084733605]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,25.0,28.0,-0.15,neutral,"Im Moment läuft ein Frontalangriff auf das #Rentenalter der Frauen.

Warum uns das allen schadet und absolut nichts mit Gleichstellung zu tun hat, habe ich für die Mitgliederzeitung der @spschweiz kurz notiert: https://t.co/yo3AzmvPq8",moment laufen frontalangriff rentenalter frauen warum schaden absolut gleichstellung tun mitgliederzeitung kurz notieren,,,,,,,"{'Im': 0, 'Moment': 0.06, 'läuft': 0, 'ein': 0, 'Frontalangriff': 0.25, 'auf': 0.31, 'das': 0, 'Rentenalter': 0.97, 'der': 0.05, 'Frauen': 0.27, 'Warum': 0.08, 'uns': 0.04, 'allen': 0, 'schadet': 0.1, 'und': 0.04, 'absolut': 0.05, 'nichts': 0.04, 'mit': 0.02, 'Gleichstellung': 0.11, 'zu': 0.02, 'tun': 0.025, 'hat': 0, 'habe': 0, 'ich': 0.03, 'für': 0.04, 'die': 0.05, 'Mitgliederzeitung': 0.1, 'kurz': 0, 'notiert': 0}",neutral,"[0.7660844, 0.17693867, 0.05697694]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
75.0,75.0,86.0,0.4666666666666666,neutral,"RT @spschweiz: Während die Rechten von GLP bis SVP das Rentenalter erhöhen wollen, sorgen wir uns dafür, dass Menschen über 55 überhaupt no…",recht glp svp rentenalter erhöhen sorgen dafür menschen überhaupt no,,,,,,,"{'Während': 0.27, 'die': 0.49, 'Rechten': 0.32, 'von': 0.11, 'GLP': 0.13, 'bis': 0, 'SVP': 0, 'das': 0.07, 'Rentenalter': 0.705, 'erhöhen': 0, 'wollen': 0.53, 'sorgen': 0.41, 'wir': 0, 'uns': 0, 'dafür': 0, 'dass': 0.07, 'Menschen': 0.07, 'über': 0.07, '55': 0, 'überhaupt': 0, 'no': 0, '…': 0}",positive,"[0.36134055, 0.117445685, 0.52121377]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,negative,"Mit Verlaub, aber es gibt viele Alternativen zu Rentenalter-Erhöhungen. Nur weil #SVP, #FDP und #GLP #Rentenalter67 wollen, dürfen wir nicht einknicken! Wir müssen für Mehrheiten kämpfen, die endlich anständige Renten für alle ermöglichen. Auch gegen den #Bundesrat. @spschweiz",verlaub geben alternativ rentenalter erhöhungen svp fdp glp rentenalter67 dürfen einknicken müssen mehrheiten kämpfen endlich anständig renten all ermöglichen bundesrat,,,,,,,"{'Mit': 0.09, 'Verlaub': 0, 'aber': 0, 'es': 0, 'gibt': 0.21, 'viele': 0, 'Alternativen': 0.59, 'zu': 0.02, 'Rentenalter-Erhöhungen': 0.875, 'Nur': 0.09, 'weil': 0.08, 'SVP': 0, 'FDP': 0.05, 'und': 0.07, 'GLP': 0.05, 'Rentenalter67': 0.5, 'wollen': 0.04, 'dürfen': 0, 'wir': 0, 'nicht': 0, 'einknicken': 0, 'Wir': 0.03, 'müssen': 0.03, 'für': 0.03, 'Mehrheiten': 0.06, 'kämpfen': 0, 'die': 0.08, 'endlich': 0, 'anständige': 0.03, 'Renten': 0.05, 'alle': 0.03, 'ermöglichen': 0, 'Auch': 0.03, 'gegen': 0.09, 'den': 0.08, 'Bundesrat': 0}",negative,"[0.119803675, 0.5885006, 0.29169568]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @jGruene_jVertEs: Bei #AV2020 Nein ist klar: Neue Reform muss ohne Rentenaltererhöhungen auskommen!,av2020 nein klaren neue reform rentenaltererhöhungen auskommen,,,,,,,"{'Bei': 0, 'AV2020': 0.13, 'Nein': 0.12, 'ist': 0.06, 'klar': 0.2, 'Neue': 0.08, 'Reform': 0.24, 'muss': 0, 'ohne': 1.0, 'Rentenaltererhöhungen': 0.605, 'auskommen': 0.13}",positive,"[0.33058694, 0.2402852, 0.42912784]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @spschweiz: Smartvote entlarvt: 81% der FDP/SVP-Parlamentarier wollen Rentenalter 67. Wer das nicht will, stimmt JA zu #AV2020. https://…",smartvote entlarven fdp svp parlamentarier rentenalter wer stimmen ja av2020,,,,,,,"{'Smartvote': 0.12, 'entlarvt': 0, '81': 0, 'der': 0, 'FDP': 0.07, 'SVP-Parlamentarier': 0.35000000000000003, 'wollen': 0.2, 'Rentenalter': 0.845, '67.': 0, 'Wer': 0.09, 'das': 0.18, 'nicht': 0.06, 'will': 0, 'stimmt': 0, 'JA': 0, 'zu': 0.06, 'AV2020.': 0}",positive,"[0.40697965, 0.014970656, 0.57804966]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,Bittere Pillen der Ständeratskommission bei der #Altersvorsorge2020. Höheres Rentenalter und Senkung beim Umwandlungssatz sind #Rentenklau.,bitter pillen ständeratskommission altersvorsorge2020 hoch rentenalter senkung beim umwandlungssatz rentenklau,,,,,,,"{'Bittere': 0.13, 'Pillen': 0.08, 'der': 0.09, 'Ständeratskommission': 0.06875, 'bei': 0.06, 'Altersvorsorge2020.': 0.66, 'Höheres': 1.0, 'Rentenalter': 0.67, 'und': 0.38, 'Senkung': 0, 'beim': 0.075, 'Umwandlungssatz': 0.285, 'sind': 0.24, 'Rentenklau': 0}",negative,"[0.011085797, 0.9264633, 0.062450856]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
