answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3416,absa_sentiment_3416,absa_scores_3416,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3429,absa_sentiment_3429,absa_scores_3429,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3439,absa_sentiment_3439,absa_scores_3439,absa_token_weights_3452,absa_sentiment_3452,absa_scores_3452,absa_token_weights_3455,absa_sentiment_3455,absa_scores_3455,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,sentiment_tb
50.0,75.0,57.0,0.0,neutral,Debatte zur Kinderbetreuung im Gemeinderat #grzh - und hier die Fraktionserklärung der Grünen dzau https://t.co/ZulMYTukoG @GrueneZuerich,debatte kinderbetreuung gemeinderat grzh fraktionserklärung grün dzau,"{'Debatte': 1.0, 'zur': 0.05, 'Kinderbetreuung': 0.73, 'im': 0, 'Gemeinderat': 0.065, 'grzh': 0.05, 'und': 0.14, 'hier': 0.13, 'die': 0.05, 'Fraktionserklärung': 0.095, 'der': 0.05, 'Grünen': 0.03, 'dzau': 0.06}",neutral,"[0.9895168, 0.004694808, 0.0057883863]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,. @marcelbuehrig die CVP-Familienpartei will Postulat für Pensumreduktion zur Kinderbetreuung auch nicht unterstützen... Sachen gibts #grzh,cvp familienpartei postulat pensumreduktion kinderbetreuung unterstützen sachen gibts grzh,"{'die': 0.22, 'CVP-Familienpartei': 0, 'will': 0, 'Postulat': 0.22, 'für': 0.12, 'Pensumreduktion': 0.17, 'zur': 0.19, 'Kinderbetreuung': 1.0, 'auch': 0, 'nicht': 1.0, 'unterstützen': 0.55, '...': 0, 'Sachen': 0.18, 'gibts': 0.1, 'grzh': 0.11}",negative,"[0.09989938, 0.8362192, 0.06388139]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,Kinderbetreuungsvorlage angenommen - gegen Stimmen der Grünen und AL. Damit gibts ab 2014 weniger Subventionen. #grzh,kinderbetreuungsvorlage annehmen stimmen grün al gibts ab wenig subventionen grzh,"{'Kinderbetreuungsvorlage': 0.79, 'angenommen': 1.0, 'gegen': 0.67, 'Stimmen': 0, 'der': 0.07, 'Grünen': 0.1, 'und': 0.11, 'AL': 0.06, 'Damit': 0, 'gibts': 0.06, 'ab': 0, '2014': 0, 'weniger': 0.07, 'Subventionen': 0.17, 'grzh': 0.1}",neutral,"[0.5968755, 0.09778008, 0.30534443]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @GrueneZuerich: +++BREAKING+++ Bundesgericht legalisiert den Besitz von bis zu 10 Gramm #Cannabis!
https://t.co/NTpitoG53K",breaking bundesgericht legalisieren besitzen gramm cannabis,,,,"{'BREAKING+++': 0, 'Bundesgericht': 0.155, 'legalisiert': 0, 'den': 0.1, 'Besitz': 0.26, 'von': 0, 'bis': 0, 'zu': 0.12, '10': 0, 'Gramm': 0, 'Cannabis': 1.0}",neutral,"[0.74467945, 0.021064145, 0.23425637]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @GrueneZuerich: Offener Brief an Stadtrat Dr. Wolff: Handeln Sie! Stoppen Sie die Kriminalisierung von Kleinstmengen #Cannabis.
https://…",offen brief stadtrat dr wolff handeln stoppen kriminalisierung kleinstmengen cannabis,,,,"{'Offener': 0.03, 'Brief': 0, 'an': 0, 'Stadtrat': 0.04, 'Dr.': 0, 'Wolff': 0.07, 'Handeln': 0, 'Sie': 0, 'Stoppen': 0.12, 'die': 0.1, 'Kriminalisierung': 0.25, 'von': 0, 'Kleinstmengen': 0, 'Cannabis': 1.0}",neutral,"[0.7072595, 0.16249032, 0.13025029]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,14.0,-0.7,neutral,"RT @GrueneZuerich: Cannabis: @StadtpolizeiZH hält trotz Gerichtsurteil an Verzeigungspraxis fest! #Cannabis #grzh
https://t.co/Jxvw3dL1Z3",cannabis halten trotzen gerichtsurteil verzeigungspraxis fest cannabis grzh,,,,"{'Cannabis': 0.04, 'hält': 0, 'trotz': 0.095, 'Gerichtsurteil': 0.04, 'an': 0, 'Verzeigungspraxis': 0.12, 'fest': 0, 'grzh': 0.07}",positive,"[0.08855009, 0.004895524, 0.9065544]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,Die Stadt Zürich soll #Cannabis aus medizinischen Gründen abgeben. Der Gemeinderat überweist ein Postulat der @GrueneZuerich,stadt zürich cannabis medizinisch gründen abgeben gemeinderat überweisen postulat,,,,"{'Die': 0.15, 'Stadt': 0.3, 'Zürich': 0, 'soll': 0, 'Cannabis': 1.0, 'aus': 0, 'medizinischen': 0.42, 'Gründen': 0, 'abgeben': 0, 'Der': 0.15, 'Gemeinderat': 0.13, 'überweist': 0.23, 'ein': 0, 'Postulat': 0.2, 'der': 0.15}",neutral,"[0.77910054, 0.012401358, 0.20849817]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,Budget 2019 Stadt Zürich: Die @GrueneZuerich begrüssen den 3wöchigen Vaterschaftsurlaub und die Beiträge ans ZVV Abo für das städtische Personal. #grzh https://t.co/VsoIjEbnzr,budget stadt zürich begrüssen 3wöchigen vaterschaftsurlaub beiträge ans zvv abo städtische personal grzh,,,,,,,"{'Budget': 0.17, '2019': 0, 'Stadt': 0.04, 'Zürich': 0, 'Die': 0.09, 'begrüssen': 0, 'den': 0.09, '3wöchigen': 0.13, 'Vaterschaftsurlaub': 0.45999999999999996, 'und': 0.25, 'die': 0.09, 'Beiträge': 0.38, 'ans': 0, 'ZVV': 0.11, 'Abo': 0.27, 'für': 0.12, 'das': 0, 'städtische': 0, 'Personal': 0, 'grzh': 0.07}",positive,"[0.0027446947, 0.0012145784, 0.9960407]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"Ich wüsste noch weitere sinnvolle Möglichkeiten, um 1 Mia Fr. auszugeben. Aber Vaterschaftsurlaub gehört auch zu meinen Favoriten. #PapiZeit https://t.co/NI2TlQpNGR",wüsste weit sinnvoll möglichkeiten mia fr ausgeben vaterschaftsurlaub hören favoriten papizeit,,,,,,,"{'Ich': 0.03, 'wüsste': 0, 'noch': 0, 'weitere': 0, 'sinnvolle': 0, 'Möglichkeiten': 0, 'um': 0, '1': 0, 'Mia': 0.33, 'Fr.': 0, 'auszugeben': 0.05500000000000001, 'Aber': 0.34, 'Vaterschaftsurlaub': 0.8300000000000001, 'gehört': 0, 'auch': 0.7, 'zu': 0.04, 'meinen': 0.04, 'Favoriten': 1.0, 'PapiZeit': 0.28}",positive,"[0.002106188, 0.0011437868, 0.99675]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Nein-Parole der @GrueneZuerich zur Aufhebung der Sozialhilfeleistungen für vorläufig Aufgenommene, mit Kantonsrätin Kathy Steiner #mvgpzh https://t.co/ZtrnovbPoC",nein parole aufhebung sozialhilfeleistungen vorläufig aufgenommen kantonsrätin kathy steiner mvgpzh,,,,,,,,,,"{'Nein-Parole': 1.0, 'der': 0.11, 'zur': 0.11, 'Aufhebung': 0, 'Sozialhilfeleistungen': 0.0675, 'für': 0.06, 'vorläufig': 0, 'Aufgenommene': 0, 'mit': 0.14, 'Kantonsrätin': 0, 'Kathy': 0.02, 'Steiner': 0.02, 'mvgpzh': 0.07}",neutral,"[0.425439, 0.20677052, 0.3677905]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
