answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,sentiment_tb
50.0,75.0,57.0,0.0,neutral,RT @kantonzuerich: Eine kantonale Abstimmungsvorlage am 25. September 2016: Kantonale Volksinitiative: «Bezahlbare Kinderbetreuung für alle…,kantonale abstimmungsvorlage september kantonale volksinitiative bezahlbare kinderbetreuung all,"{'Eine': 0, 'kantonale': 0.12, 'Abstimmungsvorlage': 0, 'am': 0, '25.': 0, 'September': 0.06, '2016': 0, 'Kantonale': 0.12, 'Volksinitiative': 0.175, '«': 0, 'Bezahlbare': 0, 'Kinderbetreuung': 0, 'für': 0, 'alle': 0, '…': 0}",positive,"[0.00066485984, 0.0009257615, 0.99840945]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @spzuerich: Die SP sagt Ja zur Volksinitiative «Bezahlbare Kinderbetreuung für alle» - https://t.co/apNSWZ000h,sp sagen ja volksinitiative bezahlbare kinderbetreuung all,"{'Die': 0.09, 'SP': 0.04, 'sagt': 0.05, 'Ja': 0, 'zur': 0.08, 'Volksinitiative': 0.25, '«': 0, 'Bezahlbare': 0, 'Kinderbetreuung': 0, 'für': 0, 'alle': 0, '»': 0}",positive,"[0.0006002895, 0.0010468182, 0.9983529]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,RT @dani_graf: Vaterschaftsurlaub: in 24h Zusage 150 Unterschriften-SammlerInnen für Initiative https://t.co/DiwU3rbOnu #Wahl15CH http://t.…,vaterschaftsurlaub 24h zusagen unterschriften sammlerinnen initiative wahl15ch,,,,"{'Vaterschaftsurlaub': 0.88, 'in': 0, '24h': 0, 'Zusage': 0, '150': 0, 'Unterschriften-SammlerInnen': 0.155, 'für': 0.12, 'Initiative': 0.16, 'Wahl15CH': 0.26}",neutral,"[0.5882814, 0.030343046, 0.38137552]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,Kinder sind nur einmal klein - Vaterschaftsurlaub! Children are only young once - Paternity leave ! http://t.co/byaYAUlQOO,kinder klein vaterschaftsurlaub children are only young once paternity leave,,,,"{'Kinder': 0.43, 'sind': 0.21, 'nur': 0.29, 'einmal': 0.19, 'klein': 0, 'Vaterschaftsurlaub': 0.315, 'Children': 0.43, 'are': 0.21, 'only': 0.29, 'young': 0.12, 'once': 0.19, 'Paternity': 0.18, 'leave': 0.45}",positive,"[0.17325416, 0.3686589, 0.458087]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Kinder sind nur einmal klein - Vaterschaftsurlaub! Children are only young once - Paternity leave ! http://t.co/N1l59nDKP9,kinder klein vaterschaftsurlaub children are only young once paternity leave,,,,"{'Kinder': 0.43, 'sind': 0.21, 'nur': 0.29, 'einmal': 0.19, 'klein': 0, 'Vaterschaftsurlaub': 0.315, 'Children': 0.43, 'are': 0.21, 'only': 0.29, 'young': 0.12, 'once': 0.19, 'Paternity': 0.18, 'leave': 0.45}",positive,"[0.17325416, 0.3686589, 0.458087]",,,,,,,,,,,,,,,,neutral
50.0,25.0,28.0,-0.15,negative,"Swiss Naturalisation for dummies ! 

Schweizer Einbürgerung für Dumme Leute...einfach erklärt ..... https://t.co/WxU9pXGkj2",swiss naturalisation for dummies schweizer einbürgerung dumme leute einfach erklären,,,,,,,"{'Swiss': 0.06, 'Naturalisation': 0, 'for': 0.09, 'dummies': 0.11, 'Schweizer': 0.06, 'Einbürgerung': 0.11, 'für': 0.09, 'Dumme': 0.35, 'Leute': 0.06, '...': 0, 'einfach': 0, 'erklärt': 1.0, '.....': 0}",positive,"[0.020052468, 0.0062309685, 0.97371656]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @MigrantinnenZh: Reger Austausch in den Arbeitsgruppen zur Einbürgerungskampagne an der  1. DV MigrantInnen @spschweiz in Bern. #spmigra…,reger austausch arbeitsgruppen einbürgerungskampagne dv migrantinnen bern spmigra,,,,,,,"{'Reger': 0, 'Austausch': 0.13, 'in': 0.09, 'den': 0.1, 'Arbeitsgruppen': 0.135, 'zur': 0.1, 'Einbürgerungskampagne': 1.0, 'an': 0, 'der': 0.1, '1.': 0, 'DV': 0.13, 'MigrantInnen': 0.2, 'Bern': 0.12, 'spmigra': 0.11, '…': 0}",positive,"[0.07641962, 0.009240474, 0.9143399]",,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"Ja, zu Erleichterte Einbürgerung der 3.Generation!",ja erleichtern einbürgerung generation,,,,,,,"{'Ja': 0, 'zu': 0.4, 'Erleichterte': 0, 'Einbürgerung': 1.0, 'der': 0.14, '3.Generation': 0}",positive,"[0.0083534755, 0.0120082, 0.97963834]",,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"Was hat die Erleichterte Einbürgerung der 3 Generation, Islamisten und Burka ??? Ich verstehe der zusammenhang nicht ! https://t.co/kN2xYzEgkV",erleichtern einbürgerung generation islamisten burka verstehen zusammenhang,,,,,,,"{'Was': 0, 'hat': 0, 'die': 0.05, 'Erleichterte': 0, 'Einbürgerung': 0.87, 'der': 0.05, '3': 0, 'Generation': 0.06, 'Islamisten': 0.09, 'und': 0.08, 'Burka': 0, 'Ich': 0.05, 'verstehe': 0.18, 'zusammenhang': 0, 'nicht': 0}",negative,"[0.046583984, 0.9233524, 0.03006361]",,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,RT @MigrantinnenZh: Die Plakatkampagne kommt gut. #einbürgerung Ja am 12.2. https://t.co/uEh4nZEPwM,plakatkampagne kommen gut einbürgerung ja,,,,,,,"{'Die': 0.13, 'Plakatkampagne': 0.225, 'kommt': 0, 'gut': 0, 'einbürgerung': 0.89, 'Ja': 0, 'am': 0, '12.2.': 0}",positive,"[0.13500398, 0.0041577076, 0.86083835]",,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"Aus der gestrigen Medienkonferenz in Bundeshaus zum 'Erleichtern Einbürgerung der dritten Generation', mein... https://t.co/CNLaQuywhV",gestrig medienkonferenz bundeshaus erleichtern einbürgerung dritt generation,,,,,,,"{'Aus': 0, 'der': 0.06, 'gestrigen': 0.03, 'Medienkonferenz': 0.12000000000000001, 'in': 0.03, 'Bundeshaus': 0, 'zum': 0.06, 'Erleichtern': 0, 'Einbürgerung': 1.0, 'dritten': 0.05, 'Generation': 0.06, 'mein': 0.04, '...': 0}",positive,"[0.26536846, 0.011178583, 0.723453]",,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"Ja, zu Erleichtern Einbürgerung der dritten Generation. #medienkonferenz #pressconference #3GenerationNaturalisation #JaZur3Generation https://t.co/UtsWHPfL8g",ja erleichtern einbürgerung dritt generation medienkonferenz pressconference 3generationnaturalisation jazur3generation,,,,,,,"{'Ja': 0, 'zu': 1.0, 'Erleichtern': 1.0, 'Einbürgerung': 0.87, 'der': 0, 'dritten': 0.46, 'Generation': 0.37, 'medienkonferenz': 0, 'pressconference': 0.21, '3GenerationNaturalisation': 0, 'JaZur3Generation': 0.3}",positive,"[0.033907246, 0.0025705367, 0.96352214]",,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,Bei der Einbürgerung gibt es Probleme bei Sonderzeichen &amp; viele müsste die Schreibweise ihres Names ändern.https://t.co/d8SkcuTEaN,einbürgerung geben probleme sonderzeichen amp müsste schreibweise names ändern,,,,,,,"{'Bei': 0, 'der': 0.1, 'Einbürgerung': 0, 'gibt': 0.69, 'es': 0, 'Probleme': 1.0, 'bei': 0, 'Sonderzeichen': 0.47, 'amp': 0.3, 'viele': 0, 'müsste': 0.1525, 'die': 0.1, 'Schreibweise': 0, 'ihres': 0, 'Names': 0.24, 'ändern': 0.155}",negative,"[0.010162415, 0.9772191, 0.012618416]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Einer SVP-Ortspartei verteilte ein Flugblatt gegen ein Einbürgerungsgesuch #Femmwiss #SPMigrantInnen https://t.co/zsgv44CUmn,svp ortspartei verteilen flugblatt einbürgerungsgesuch femmwiss spmigrantinnen,,,,,,,"{'Einer': 0, 'SVP-Ortspartei': 0, 'verteilte': 0.2, 'ein': 0, 'Flugblatt': 0.38, 'gegen': 0.74, 'Einbürgerungsgesuch': 0.9025, 'Femmwiss': 0.23, 'SPMigrantInnen': 0}",neutral,"[0.94901216, 0.006243421, 0.04474439]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @bglaettli: #Bürgerrechtsgesetz-Schlussrunde: Grüne lehnen Verschärfungen ab. WIr rufen Papierli-Ausländer auf, rasch ein Einbürgerungsg…",bürgerrechtsgesetz schlussrunde grüne lehnen verschärfungen ab rufen papierli ausländer rasch einbürgerungsg,,,,,,,"{'Bürgerrechtsgesetz-Schlussrunde': 0.0675, 'Grüne': 0, 'lehnen': 0, 'Verschärfungen': 0.06, 'ab': 0, 'WIr': 0, 'rufen': 0.15, 'Papierli-Ausländer': 0.165, 'auf': 0.08, 'rasch': 0, 'ein': 0, 'Einbürgerungsg': 1.0, '…': 0}",neutral,"[0.748415, 0.0054937545, 0.24609122]",,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,Frauen sind die Hälfte des Himmels - Lohngleichheit! Women make up half the sky - Equal pay! http://t.co/rnUxP2nFUJ,frauen hälfte himmels lohngleichheit women make up helfen the sky equal pay,,,,,,,,,,"{'Frauen': 0.18, 'sind': 0.47, 'die': 0.16, 'Hälfte': 0.23, 'des': 0, 'Himmels': 1.0, 'Lohngleichheit': 0.2, 'Women': 0.18, 'make': 0.12, 'up': 0.1, 'half': 0.23, 'the': 0.16, 'sky': 0.23, 'Equal': 0.15, 'pay': 0.25}",positive,"[0.001085217, 0.0011551833, 0.9977596]",,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,Frauen sind die Hälfte des Himmels - Lohngleichheit!  Women make up half the sky - Equal pay! http://t.co/wZO9MdGQlE,frauen hälfte himmels lohngleichheit women make up helfen the sky equal pay,,,,,,,,,,"{'Frauen': 0.18, 'sind': 0.47, 'die': 0.16, 'Hälfte': 0.23, 'des': 0, 'Himmels': 1.0, 'Lohngleichheit': 0.2, 'Women': 0.18, 'make': 0.12, 'up': 0.1, 'half': 0.23, 'the': 0.16, 'sky': 0.23, 'Equal': 0.15, 'pay': 0.25}",positive,"[0.001085217, 0.0011551833, 0.9977596]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @spschweiz: Marktversagen erkannt: Bundesrat startet Prozess für gleiche Löhne für Frauen und Männer #Lohngleichheit http://t.co/ik6jrXp…,marktversagen erkennen bundesrat starten prozess gleich löhnen frauen männer lohngleichheit,,,,,,,,,,"{'Marktversagen': 0.04, 'erkannt': 0.12, 'Bundesrat': 0.18, 'startet': 0, 'Prozess': 0.73, 'für': 0.17, 'gleiche': 0, 'Löhne': 0.06, 'Frauen': 0.08, 'und': 0.1, 'Männer': 0.04, 'Lohngleichheit': 1.0}",positive,"[0.060899295, 0.0062057143, 0.932895]",,,,,,,,,,neutral
100.0,100.0,86.0,0.7,negative,"RT @martinsteiger: Im Ausland leben, aber in der Schweiz mitbestimmen wollen – und dafür mit E-Voting die Demokratie zerstören: https://t.c…",ausland leben schweiz mitbestimmen dafür e voting demokratie zerstören,,,,,,,,,,,,,"{'Im': 0, 'Ausland': 0.16, 'leben': 0, 'aber': 0.24, 'in': 0.06, 'der': 0, 'Schweiz': 0.12, 'mitbestimmen': 0, 'wollen': 0.41, '–': 0, 'und': 0, 'dafür': 0, 'mit': 0, 'E-Voting': 0, 'die': 0, 'Demokratie': 0, 'zerstören': 0}",negative,"[0.44345176, 0.4828674, 0.07368083]",,,,,,,positive
