answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
0.0,0.0,14.0,-0.7,negative,"@federspitz @beatflach Titel haben wir leider nicht aussuchen können :)

ALV geht nicht, weil man darauf nur Anspruch hat, wenn man effektiv arbeitslos wird. AHV erhält jeder, der das Rentenalter erreicht, egal, ob man noch Arbeit hätte oder nicht. Daher das passendere Gefäss dafür.",titel leider aussuchen alv gehen darauf anspruch effektiv arbeitslos ahv erhalten jed rentenalter erreichen egal arbeit daher passendere gefäss dafür,"{'Titel': 0.07, 'haben': 0.065, 'wir': 0, 'leider': 0.05, 'nicht': 0.05, 'aussuchen': 0.08, 'können': 0.04, 'ALV': 0, 'geht': 0, 'weil': 0.03, 'man': 0, 'darauf': 0, 'nur': 0.04, 'Anspruch': 0, 'hat': 0, 'wenn': 0.09, 'effektiv': 0, 'arbeitslos': 0.22, 'wird': 0, 'AHV': 0.16, 'erhält': 0.51, 'jeder': 0.77, 'der': 0.06, 'das': 0, 'Rentenalter': 0.9650000000000001, 'erreicht': 0, 'egal': 0, 'ob': 0, 'noch': 0.09, 'Arbeit': 0.06, 'hätte': 0, 'oder': 0.04, 'Daher': 0.07, 'passendere': 0.04, 'Gefäss': 0.09, 'dafür': 0}",positive,"[0.017352859, 0.0028312479, 0.97981596]",,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"Durfte mit einem super Team des @glplab Vision für neuen #Generationenvertrag entwerfen: Alle Familienmodelle gleich behandeln, Chancen für junge und alte Menschen auf dem Arbeitsmarkt, eigenes Rentenalter selbst bestimmen, #AHV auch für Weiterbildung &amp; Care-Arbeit einsetzen💪 https://t.co/s3oH3sW79r",dürfen super team vision neu generationenvertrag entwerfen all familienmodelle gleichen behandeln chancen junge alt menschen arbeitsmarkt eigen rentenalter bestimmen ahv weiterbildung amp care arbeit einsetzen,"{'Durfte': 0, 'mit': 0.05, 'einem': 0, 'super': 0, 'Team': 0.08, 'des': 0, 'Vision': 0.08, 'für': 0.27, 'neuen': 0.06, 'Generationenvertrag': 0, 'entwerfen': 0.12, 'Alle': 0.09, 'Familienmodelle': 0.085, 'gleich': 0, 'behandeln': 0.18, 'Chancen': 0.35, 'junge': 0, 'und': 0.08, 'alte': 0, 'Menschen': 0.07, 'auf': 0.08, 'dem': 0.11, 'Arbeitsmarkt': 0.26, 'eigenes': 0.56, 'Rentenalter': 0.935, 'selbst': 0, 'bestimmen': 1.0, 'AHV': 0.1, 'auch': 0.22, 'Weiterbildung': 0, 'amp': 0.08, 'Care-Arbeit': 0.07500000000000001, 'einsetzen': 0}",neutral,"[0.9292481, 0.010572141, 0.06017978]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @NZZaS: Es war Pascal Couchepin, der das Rentenalter 67 im Jahr 2003 aufs Tapet brachte. Seither poppt die Idee bei jeder Diskussion wie…",pascal couchepin rentenalter jahr aufs tapet bringen seither poppen idee jed diskussion,"{'Es': 0, 'war': 0, 'Pascal': 0.06, 'Couchepin': 0.11, 'der': 0.12, 'das': 0, 'Rentenalter': 0.22000000000000003, '67': 0, 'im': 0, 'Jahr': 0, '2003': 0, 'aufs': 0, 'Tapet': 0, 'brachte': 0.2, 'Seither': 0.17, 'poppt': 0, 'die': 0.12, 'Idee': 0, 'bei': 0, 'jeder': 0, 'Diskussion': 0.36, 'wie': 0, '…': 0}",neutral,"[0.6206765, 0.030083189, 0.34924027]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @FWiedemeier: Mit der Weigerung, das #Frauenrentenalter anzupassen, zementiert man nur die Ungleichheit zwischen Mann und Frau! Und hind…",weigerung frauenrentenalter anpassen zementieren ungleichheit mann frau hind,"{'Mit': 0.22, 'der': 0.09, 'Weigerung': 0.93, 'das': 0, 'Frauenrentenalter': 0.6075, 'anzupassen': 0, 'zementiert': 0, 'man': 0, 'nur': 0.14, 'die': 0.09, 'Ungleichheit': 0.36, 'zwischen': 0.09, 'Mann': 0, 'und': 0.05, 'Frau': 0, 'Und': 0.05, 'hind': 0.09, '…': 0}",neutral,"[0.49445057, 0.32781893, 0.1777305]",,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @kathrinbertschy: „(...) Statt das Rentenalter der Frauen durch alle Böden zu verteidigen, sollte man unser patriarchales Vorsorgesystem…",statt rentenalter frauen all böden verteidigen sollen patriarchales vorsorgesystem,"{'„': 0, '...': 0, 'Statt': 0, 'das': 0, 'Rentenalter': 0, 'der': 0, 'Frauen': 0, 'durch': 0, 'alle': 0, 'Böden': 0, 'zu': 0, 'verteidigen': 0, 'sollte': 0, 'man': 0, 'unser': 0, 'patriarchales': 0, 'Vorsorgesystem': 0, '…': 0}",neutral,"[0.5399372, 0.23570952, 0.22435327]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Heute für @jglpCH bei BR Bersets AV2020-Aussprache: Wir fordern Rentenalter anpassen, Koordinationsabzug streichen, #Weitsicht &amp; #Innovation https://t.co/D6ffZa8fcU",heute br bersets av2020 aussprache fordern rentenalter anpassen koordinationsabzug streichen weitsicht amp innovation,"{'Heute': 0.25, 'für': 0.64, 'bei': 0.05, 'BR': 0.04, 'Bersets': 0.09, 'AV2020-Aussprache': 0.185, 'Wir': 0.8, 'fordern': 0, 'Rentenalter': 0.475, 'anpassen': 0, 'Koordinationsabzug': 0.085, 'streichen': 0.36, 'Weitsicht': 0, 'amp': 0.04, 'Innovation': 0.11}",neutral,"[0.95765746, 0.033289704, 0.009052861]",,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,@LuciaDoebeli @jglpCH Einverstanden! Wie funktioniert flexibles Rentenalter bei @swisslife_group genau? Wieviele nutzen's &amp; bis wie alt?@NZZ,einverstanden funktionieren flexibel rentenalter genau wieviele nutzen s amp alt,"{'Einverstanden': 0.22, 'Wie': 0, 'funktioniert': 0, 'flexibles': 1.0, 'Rentenalter': 0.95, 'bei': 0.19, 'genau': 0, 'Wieviele': 0.125, ""nutzen's"": 0.235, 'amp': 0.26, 'bis': 0.14, 'wie': 0.09, 'alt': 0}",positive,"[0.342776, 0.03518444, 0.62203956]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Spaziergang zum Stadthaus:✓
NEIN zur unvernüftigen #Milchkuh und klar JA zu #AsylG und Fortpflanzungsmedizin eingelegt @PID_Ja",spaziergang stadthaus nein unvernüftigen milchkuh klaren ja asylg fortpflanzungsmedizin einlegen,,,,"{'Spaziergang': 0.08, 'zum': 0.175, 'Stadthaus': 0, 'NEIN': 0.09, 'zur': 0.175, 'unvernüftigen': 0.06, 'Milchkuh': 0.06, 'und': 1.0, 'klar': 0, 'JA': 1.0, 'zu': 0.29, 'AsylG': 0.51, 'Fortpflanzungsmedizin': 0.8300000000000001, 'eingelegt': 0}",positive,"[0.0029395418, 0.0011379747, 0.99592245]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @jglpCH: Wie bringen wir Junge an die Urne in Zeiten der Digitalisierung? Warum E-Voting nicht das Patentrezept ist, erklärt @PVuichard…",bringen junge urne zeiten digitalisierung warum e voting patentrezept erklären,,,,,,,"{'Wie': 0, 'bringen': 0, 'wir': 0, 'Junge': 0.27, 'an': 0, 'die': 0.06, 'Urne': 0, 'in': 0.18, 'Zeiten': 0, 'der': 0.06, 'Digitalisierung': 0.16, 'Warum': 0.34, 'E-Voting': 0, 'nicht': 0.08, 'das': 0, 'Patentrezept': 0, 'ist': 0.06, 'erklärt': 0, '…': 0}",neutral,"[0.7653557, 0.11538623, 0.11925799]","{'Wie': 0, 'bringen': 0, 'wir': 0, 'Junge': 0.28, 'an': 0, 'die': 0.04, 'Urne': 0, 'in': 0.43, 'Zeiten': 0, 'der': 0.04, 'Digitalisierung': 1.0, 'Warum': 0.06, 'E-Voting': 0, 'nicht': 0.04, 'das': 0, 'Patentrezept': 0, 'ist': 0.03, 'erklärt': 0, '…': 0}",positive,"[0.19776571, 0.10078764, 0.70144665]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @judithbellaiche: «Wir haben eine Digitalisierungskrise. Bei manchen essenziellen Prozessen ist der Staat digital nicht einmal in der St…,digitalisierungskrise manch essenziell prozessen staat digital st,,,,,,,,,,"{'«': 0, 'Wir': 0, 'haben': 0, 'eine': 0, 'Digitalisierungskrise': 0, 'Bei': 0, 'manchen': 0, 'essenziellen': 0, 'Prozessen': 0, 'ist': 0, 'der': 0, 'Staat': 0, 'digital': 0, 'nicht': 0, 'einmal': 0, 'in': 0, 'St': 0, '…': 0}",negative,"[0.002962816, 0.9836731, 0.013364117]",,,,,,,neutral
