answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3391,absa_sentiment_3391,absa_scores_3391,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3435,absa_sentiment_3435,absa_scores_3435,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,negative,Damit es Mal wieder gesagt ist. #Ehefüralle #Hebamme #Kinderbetreuung https://t.co/k5kLnIDH5O,mal sagen ehefüralle hebamme kinderbetreuung,"{'Damit': 0, 'es': 0.04, 'Mal': 0, 'wieder': 0.07, 'gesagt': 0.07, 'ist': 0.04, 'Ehefüralle': 0, 'Hebamme': 0.46, 'Kinderbetreuung': 0.75}",neutral,"[0.8781275, 0.019392747, 0.102479696]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,14.0,-0.7,negative,Wie immer Abstimmen nicht vergessen! #GrüneWirtschaftJA #NDGnein #KinderbetreuungJA @greeneconomy_ch @NDGnein https://t.co/UlIkgzlYxh,immer abstimmen vergessen grünewirtschaftja ndgnein kinderbetreuungja,"{'Wie': 0.02, 'immer': 0.04, 'Abstimmen': 0.06, 'nicht': 0, 'vergessen': 0.02, 'GrüneWirtschaftJA': 0, 'NDGnein': 0.23, 'KinderbetreuungJA': 0}",positive,"[0.046594016, 0.015267478, 0.9381385]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,negative,"Fällt das eine aus, gibt es sicher noch anderes zu besuchen. #KinderbetreuungZH https://t.co/IhesxTOzqb",fällen geben sichern besuchen kinderbetreuungzh,"{'Fällt': 0, 'das': 0, 'eine': 0.03, 'aus': 0, 'gibt': 0, 'es': 0.03, 'sicher': 0, 'noch': 0, 'anderes': 0, 'zu': 0.04, 'besuchen': 0.05, 'KinderbetreuungZH': 1.0}",positive,"[0.037018217, 0.024575265, 0.93840647]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,negative,RT @CHiltbrunner: @aendu Ganz ehrlich? Das Problem aller berufstätigen und politisch engagierten Frauen hierzulande: Die Kinderbetreuung!,ganz ehrlich problem all berufstätig politisch engagieren frauen hierzulande kinderbetreuung,"{'Ganz': 0.21, 'ehrlich': 0, 'Das': 0.39, 'Problem': 1.0, 'aller': 0, 'berufstätigen': 0.23, 'und': 0.16, 'politisch': 0.24, 'engagierten': 0, 'Frauen': 0.31, 'hierzulande': 0.14500000000000002, 'Die': 0.39, 'Kinderbetreuung': 0.44}",positive,"[0.044469204, 0.099829316, 0.8557015]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.7999999999999999,neutral,"RT @ETH: #Einbürgerung erleichtert #Integration: Wenn Ausländer den Schweizer Pass erhalten, integrieren sie sich hierzulande besser – das…",einbürgerung erleichtern integration ausländer schweizer pass erhalten integrieren hierzulande gut,,,,"{'Einbürgerung': 0.11, 'erleichtert': 0, 'Integration': 0.18, 'Wenn': 1.0, 'Ausländer': 1.0, 'den': 0, 'Schweizer': 0.08, 'Pass': 0, 'erhalten': 0.76, 'integrieren': 0.19, 'sie': 0, 'sich': 0, 'hierzulande': 0.0625, 'besser': 0.37, '–': 0, 'das': 0, '…': 0}",positive,"[0.07646339, 0.0042555043, 0.91928107]",,,,,,,,,,,,,,,,"{'Einbürgerung': 1.0, 'erleichtert': 0, 'Integration': 0.75, 'Wenn': 0.12, 'Ausländer': 0.13, 'den': 0, 'Schweizer': 0.12, 'Pass': 0, 'erhalten': 0.09, 'integrieren': 0.2, 'sie': 0, 'sich': 0, 'hierzulande': 0.08750000000000001, 'besser': 0.12, '–': 0, 'das': 0, '…': 0}",positive,"[0.026368067, 0.0052998415, 0.9683321]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.85,neutral,RT @SecondosPlusZH: Die aktive Kontaktaufnahme von Gemeinden bei zugezogenen #AusländerInnen fördert deren #Integration. https://t.co/GRNcA…,aktive kontaktaufnahme gemeinden zugezogen ausländerinnen fördern integration,,,,"{'Die': 0.11, 'aktive': 0.13, 'Kontaktaufnahme': 0.14, 'von': 0, 'Gemeinden': 0, 'bei': 0, 'zugezogenen': 0, 'AusländerInnen': 1.0, 'fördert': 0.35, 'deren': 0, 'Integration': 0.17}",neutral,"[0.63585275, 0.02414866, 0.3399986]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,RT @RegulaRytz: Bundesrat sagt JA zum Experimentier-Artikel für #Cannabisversuche! Schöner Erfolg für eine überparteiliche Zusammenarbeit!…,bundesrat sagen ja experimentier artikel cannabisversuche schön erfolg überparteilich zusammenarbeit,,,,,,,"{'Bundesrat': 0.12, 'sagt': 0.11, 'JA': 0, 'zum': 0.10500000000000001, 'Experimentier-Artikel': 0.31, 'für': 0.06, 'Cannabisversuche': 1.0, 'Schöner': 0, 'Erfolg': 0.12, 'eine': 0, 'überparteiliche': 0, 'Zusammenarbeit': 0.15, '…': 0}",positive,"[0.010146724, 0.0023008923, 0.9875524]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Hey @repfe, dass ist eher Zielführend, als eine Kriminalisierung. #cannabis @jglpZH https://t.co/19QgYgq935",hey eher zielführend kriminalisierung cannabis,,,,,,,"{'Hey': 0.14, 'dass': 0.09, 'ist': 0, 'eher': 0, 'Zielführend': 0, 'als': 0, 'eine': 0, 'Kriminalisierung': 0.34, 'cannabis': 1.0}",positive,"[0.14613111, 0.0059199934, 0.84794897]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,.@ruediloeffel Sag das die Person die die Diskussion zu #Cannabis lanciert? Ernsthaft?! @familienmann,sag person diskussion cannabis lanciert ernsthaft,,,,,,,"{'Sag': 0, 'das': 0.06, 'die': 0.13, 'Person': 0.13, 'Diskussion': 0.36, 'zu': 0, 'Cannabis': 1.0, 'lanciert': 0, 'Ernsthaft': 0.18}",neutral,"[0.9713098, 0.012041482, 0.016648788]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"#Cannabis soll für die therap. Anwendungen möglich sein! Weniger Polemik, mehr Wissen heisst die Devise. http://t.co/ZjDuFuerur #Gesundheit",cannabis therap anwendungen möglich wenig polemik mehr wissen heisst devise gesundheit,,,,,,,"{'Cannabis': 1.0, 'soll': 0, 'für': 0.67, 'die': 0.07, 'therap': 0.24, 'Anwendungen': 0.19, 'möglich': 0.22, 'sein': 0, 'Weniger': 0, 'Polemik': 0, 'mehr': 0.06, 'Wissen': 0.24, 'heisst': 0.06, 'Devise': 0, 'Gesundheit': 0.175}",positive,"[0.095405854, 0.010406446, 0.8941877]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
