answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3444,absa_sentiment_3444,absa_scores_3444,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @papizeit: Jetzt ist es amtlich: Ab dem 1. Januar 2021 erhalten alle frischgebackenen Väter in der Schweiz einen #Vaterschaftsurlaub!
Al…",amtlich ab januar erhalten all frischgebackenen väter schweiz vaterschaftsurlaub al,"{'Jetzt': 0.04, 'ist': 0.04, 'es': 0.04, 'amtlich': 0.1, 'Ab': 0, 'dem': 0, '1.': 0, 'Januar': 0.04, '2021': 0, 'erhalten': 0.64, 'alle': 0, 'frischgebackenen': 0, 'Väter': 0.1, 'in': 0.07, 'der': 0, 'Schweiz': 0.13, 'einen': 0, 'Vaterschaftsurlaub': 0.64, 'Al': 0.15, '…': 0}",positive,"[0.0051404806, 0.0017804162, 0.9930791]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @GrueneCH: Die deutliche Annahme des Vaterschaftsurlaubs ist erfreulich. Die Stimmbevölkerung und die Kantone haben gezeigt, dass sie si…",deutlich annahme vaterschaftsurlaubs erfreulich stimmbevölkerung kantone zeigen si,"{'Die': 0.05, 'deutliche': 0, 'Annahme': 0, 'des': 0, 'Vaterschaftsurlaubs': 0.735, 'ist': 0.69, 'erfreulich': 0, 'Stimmbevölkerung': 0, 'und': 0.07, 'die': 0.05, 'Kantone': 0.17, 'haben': 0.07, 'gezeigt': 0.17, 'dass': 0.06, 'sie': 0, 'si': 0.07, '…': 0}",positive,"[0.0033927525, 0.0014244483, 0.9951828]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.85,neutral,Im wahrsten Sinne ein #SuperSonntag : hohe Stimmbeteiligung #BGINein #VaterschaftsurlaubJA #KinderabzugsbschissNein und ✊🏽für #JagdgesetzNein und hoffentlich ein historisches #KampfjetsNein - #Kampfjets hat die Jungen mobilisiert 💪🏽 gut so!,wahrsten sinne supersonntag hoch stimmbeteiligung bginein vaterschaftsurlaubja kinderabzugsbschissnein jagdgesetznein hoffentlich historisch kampfjetsnein kampfjets jung mobilisieren gut,"{'Im': 0, 'wahrsten': 0.03, 'Sinne': 0, 'ein': 0, 'SuperSonntag': 0, 'hohe': 0, 'Stimmbeteiligung': 0.04, 'BGINein': 0.17, 'VaterschaftsurlaubJA': 0, 'KinderabzugsbschissNein': 0, 'und': 0.02, 'für': 0.02, 'JagdgesetzNein': 0.04, 'hoffentlich': 0.02, 'historisches': 0, 'KampfjetsNein': 0, 'Kampfjets': 0.04, 'hat': 0, 'die': 0.02, 'Jungen': 0.03, 'mobilisiert': 0.02, 'gut': 0, 'so': 0}",positive,"[0.05677272, 0.03992147, 0.90330577]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,Erfreulicher Trend @Kanton_BL #JagdgesetzNein #KinderabzügeNein #VaterschaftsurlaubJa #BGINein #Abst20 #voteCH,erfreulich trend jagdgesetznein kinderabzügenein vaterschaftsurlaubja bginein abst20 votech,"{'Erfreulicher': 0, 'Trend': 0.03, 'JagdgesetzNein': 0.065, 'KinderabzügeNein': 0, 'VaterschaftsurlaubJa': 0, 'BGINein': 0.09, 'Abst20': 0.07, 'voteCH': 0.06}",positive,"[0.014691961, 0.007302844, 0.97800523]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"Die Zeit ist reif - weshalb ich mich für einen #Vaterschaftsurlaub engagiere @GrueneCH
https://t.co/9GNN9cRUrY",zeit reif weshalb vaterschaftsurlaub engagieren,"{'Die': 0.08, 'Zeit': 0.07, 'ist': 0.08, 'reif': 0.13, 'weshalb': 0, 'ich': 0.13, 'mich': 0, 'für': 0, 'einen': 0, 'Vaterschaftsurlaub': 0.53, 'engagiere': 0}",positive,"[0.0018005754, 0.0013351003, 0.99686426]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @GrueneCH: -&gt; @flobrenzikofer  erklärt im Greenfo, weshalb es am 27. September unbedingt ein Ja zum Vaterschaftsurlaub braucht. https://…",gt erklären greenfo weshalb september unbedingt ja vaterschaftsurlaub brauchen,"{'-&gt': 0, 'erklärt': 0, 'im': 0, 'Greenfo': 0.07, 'weshalb': 0, 'es': 0.06, 'am': 0, '27.': 0, 'September': 0.13, 'unbedingt': 0, 'ein': 0, 'Ja': 0, 'zum': 0.525, 'Vaterschaftsurlaub': 0.8, 'braucht': 0}",neutral,"[0.9179926, 0.0072812666, 0.07472619]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,RT @ruediloeffel: Schämt euch! 1 Milliarde für ein paar Tage Doping-Schau - nichts für Familien. #Vaterschaftsurlaub https://t.co/NMeXTHCYg…,schämen milliarde paar tage doping schau familien vaterschaftsurlaub,"{'Schämt': 0, 'euch': 0.05, '1': 0, 'Milliarde': 0.06, 'für': 0.07, 'ein': 0, 'paar': 0, 'Tage': 0.03, 'Doping-Schau': 0.105, 'nichts': 0.1, 'Familien': 0, 'Vaterschaftsurlaub': 0.76}",positive,"[0.03021943, 0.010033489, 0.9597471]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,RT @GrueneCH: Initiative für #Vaterschaftsurlaub eingereicht - Grüne packen mit an! @anderageru @nr_mayagraf und @vanVulpenB https://t.co/Q…,initiative vaterschaftsurlaub einreichen grüne packen,"{'Initiative': 0.32, 'für': 0.57, 'Vaterschaftsurlaub': 0.47, 'eingereicht': 0.27, 'Grüne': 0, 'packen': 0, 'mit': 0, 'an': 0, 'und': 0.18}",positive,"[0.0062203635, 0.004326964, 0.9894526]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @PeterSigerist: #Vaterschaftsurlaub Einreichung der VI mit @nr_mayagraf @papizeit @GrueneCH https://t.co/wXCALDc72p,vaterschaftsurlaub einreichung vi,"{'Vaterschaftsurlaub': 0.73, 'Einreichung': 0, 'der': 0.1, 'VI': 0, 'mit': 0.14}",positive,"[0.3577234, 0.02372409, 0.61855257]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,«Man stelle sich vor: Ein Bundesrat im Vaterschaftsurlaub!» https://t.co/1882dEXYFT via @tagesanzeiger @papizeit,stelle bundesrat vaterschaftsurlaub via,"{'«': 0, 'Man': 0, 'stelle': 0, 'sich': 0, 'vor': 0, 'Ein': 0, 'Bundesrat': 0, 'im': 0, 'Vaterschaftsurlaub': 0, '»': 0, 'via': 0}",neutral,"[0.86201453, 0.01732484, 0.120660685]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @papizeit: Liebe Blick-Papis, ihr habt den #Vaterschaftsurlaub mehr als verdient :-) @blickamabend https://t.co/VWrTar7F4e https://t.co/…",lieb blick papis vaterschaftsurlaub mehr verdienen,"{'Liebe': 0, 'Blick-Papis': 0.16, 'ihr': 0, 'habt': 0.08, 'den': 0.53, 'Vaterschaftsurlaub': 0.87, 'mehr': 0.07, 'als': 0, 'verdient': 0.53}",positive,"[0.0010259467, 0.0016067964, 0.9973673]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,@Markus_Schmid_ @nr_mayagraf @OttAnna_ @RegulaRytz @maennerch @travailsuisse 20 Tage Vaterschaftsurlaub #vaterschaftsurlaubjetzt,tage vaterschaftsurlaub vaterschaftsurlaubjetzt,"{'20': 0, 'Tage': 0.2, 'Vaterschaftsurlaub': 0.51, 'vaterschaftsurlaubjetzt': 0.445}",neutral,"[0.5817207, 0.21279982, 0.2054795]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @OttAnna_: Wir kämpfen für den Vaterschaftsurlaub und eine progressive Familienpolitik! @flobrenzikofer am #1Mai2016 @grueneBL https://t…,kämpfen vaterschaftsurlaub progressive familienpolitik 1mai2016,"{'Wir': 0.62, 'kämpfen': 0, 'für': 1.0, 'den': 0, 'Vaterschaftsurlaub': 0.7849999999999999, 'und': 0.29, 'eine': 0, 'progressive': 0.41, 'Familienpolitik': 0.415, 'am': 0, '1Mai2016': 0}",positive,"[0.045374576, 0.005842938, 0.94878244]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @FrickerJonas: Mein Votum pro #Vaterschaftsurlaub in der Legislaturplanungsdebatte. @MargritStamm @GrueneCH @flobrenzikofer https://t.co…,votum pro vaterschaftsurlaub legislaturplanungsdebatte,"{'Mein': 0.19, 'Votum': 0.88, 'pro': 0, 'Vaterschaftsurlaub': 0.66, 'in': 0.28, 'der': 0.16, 'Legislaturplanungsdebatte': 0}",positive,"[0.004546973, 0.0017433702, 0.9937097]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
