answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3430,absa_sentiment_3430,absa_scores_3430,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,sentiment_tb
50.0,75.0,57.0,0.0,negative,"RT @Tamarafuniciell: 650 millionen für Profisport.
65 Millionen für Profikinderbetreuung.
Finde den Fehler.

@EKdM20 @FemmesSPFrauen",millionen profisport millionen profikinderbetreuung finden fehler,"{'650': 0, 'millionen': 0, 'für': 0.21, 'Profisport': 0.56, '65': 0, 'Millionen': 0, 'Profikinderbetreuung': 0, 'Finde': 0.11, 'den': 0.04, 'Fehler': 0}",positive,"[0.0013281972, 0.009137516, 0.9895343]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@stein_til @gaeggsnaase @nette_wolke Reiche leben übrigens im Schnitt ca. 8 Jahre länger als Arme. Wir könnten auch dort ansetzen, wenn wir es schon von Lebenserwartungen haben... Aber bin gerne dabei bei allgemein tieferem Rentenalter.",reichen leben übrigens schneiden ca jahre lang arme ansetzen schon lebenserwartungen gerne dabei allgemein tief rentenalter,,,,"{'Reiche': 0.06, 'leben': 0.06, 'übrigens': 0.16, 'im': 0, 'Schnitt': 0, 'ca.': 0, '8': 0, 'Jahre': 0.06, 'länger': 0.06, 'als': 0, 'Arme': 0, 'Wir': 0.04, 'könnten': 0.04, 'auch': 0.12, 'dort': 0.14, 'ansetzen': 0, 'wenn': 0.53, 'wir': 0, 'es': 0.49, 'schon': 0, 'von': 0.05, 'Lebenserwartungen': 0.1, 'haben': 0.045, '...': 0, 'Aber': 0.07, 'bin': 0, 'gerne': 0, 'dabei': 0, 'bei': 0, 'allgemein': 0, 'tieferem': 0, 'Rentenalter': 0.71}",positive,"[0.3645154, 0.15641658, 0.47906798]",,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-0.85,negative,"@gaeggsnaase @nette_wolke Keine Rentenalter-Erhöhung für Frauen, solange massive Diskriminierungen in Erwerbs- und unbezahlter Arbeit nicht behoben sind. Geld dort holen, wo es vorhanden ist: Kapitaleinkommen endlich gerecht besteuern, Schluss mit Steuergeschenken für Konzerne, die unsere AHV schröpfen.",rentenalter erhöhung frauen solange massiv diskriminierungen erwerbs unbezahlt arbeit beheben geld holen vorhanden kapitaleinkommen endlich gerecht besteuern schluss steuergeschenken konzerne ahv schröpfen,,,,"{'Keine': 0, 'Rentenalter-Erhöhung': 0.5900000000000001, 'für': 0.02, 'Frauen': 0.11, 'solange': 0, 'massive': 0.1, 'Diskriminierungen': 0.2, 'in': 0.05, 'Erwerbs-': 0.08, 'und': 0.03, 'unbezahlter': 0.09, 'Arbeit': 0.05, 'nicht': 0.09, 'behoben': 0, 'sind': 0.02, 'Geld': 0.05, 'dort': 0, 'holen': 0, 'wo': 0.04, 'es': 0.02, 'vorhanden': 0, 'ist': 0.02, 'Kapitaleinkommen': 0.035, 'endlich': 0, 'gerecht': 0, 'besteuern': 0.03, 'Schluss': 0, 'mit': 0, 'Steuergeschenken': 0.035, 'Konzerne': 0.03, 'die': 0.16, 'unsere': 0.03, 'AHV': 0.03, 'schröpfen': 0.03}",positive,"[0.033653665, 0.021040803, 0.9453055]",,,,,,,,,,,,,,,,,,,negative
0.0,0.0,0.0,-0.85,neutral,"1 Mrd. Stunden unbezahlte Care-Arbeit/Jahr, 28h pro Frau/Woche, 19% Lohnunterschied, 30% tiefere Renten, jede 10. Frau bezieht Ergänzungsleistungen im Rentenalter, Medianrente unter 3000 Franken.

Und nun sollen ausgerechnet die Frauen für die AHV-Revision bezahlen... #ParlCH",mrd stunden unbezahlt care arbeit jahr 28h pro frau woche lohnunterschied tief renten jed frau beziehen ergänzungsleistungen rentenalter medianrente franken sollen ausrechnen frauen ahv revision bezahlen parlch,,,,"{'1': 0, 'Mrd.': 0.02, 'Stunden': 0.03, 'unbezahlte': 0.04, 'Care-Arbeit': 0.03, 'Jahr': 0.02, '28h': 0, 'pro': 0, 'Frau': 0, 'Woche': 0.02, '19': 0, 'Lohnunterschied': 0.02, '30': 0, 'tiefere': 0, 'Renten': 0.05, 'jede': 0.16, '10.': 0, 'bezieht': 0, 'Ergänzungsleistungen': 0.42, 'im': 0, 'Rentenalter': 0.995, 'Medianrente': 0, 'unter': 0, '3000': 0, 'Franken': 0, 'Und': 0.07, 'nun': 0, 'sollen': 0.04, 'ausgerechnet': 0.03, 'die': 0.04, 'Frauen': 0.04, 'für': 0.04, 'AHV-Revision': 0, 'bezahlen': 0.04, '...': 0, 'ParlCH': 0.04}",neutral,"[0.77553666, 0.06714034, 0.15732299]",,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,"Rechte: Wir sind gegen das #Adoptionsrecht für Homosexuelle, ein Kind muss mit einem Vater und einer Mutter aufwachsen.

Auch Rechte: Vaterschaftsurlaub? Elternzeit? Näa. Reicht ja, wenn sich die Mutter ums Kind kümmert.",rechte adoptionsrecht homosexuell kind vater mutter aufwachsen rechte vaterschaftsurlaub elternzeit näa reichen ja mutter ums kind kümmern,,,,,,,"{'Rechte': 0.03, 'Wir': 0.04, 'sind': 0.05, 'gegen': 0.06, 'das': 0.16, 'Adoptionsrecht': 0, 'für': 0.03, 'Homosexuelle': 0.05, 'ein': 0, 'Kind': 0, 'muss': 0.03, 'mit': 0.04, 'einem': 0, 'Vater': 0.03, 'und': 0.04, 'einer': 0, 'Mutter': 0.04, 'aufwachsen': 0.035, 'Auch': 0, 'Vaterschaftsurlaub': 0.545, 'Elternzeit': 0.46, 'Näa': 0, 'Reicht': 0, 'ja': 0.04, 'wenn': 0.12, 'sich': 0, 'die': 0.04, 'ums': 0, 'kümmert': 0.055}",neutral,"[0.8356419, 0.021061765, 0.14329636]",,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"RT @cedricwermuth: Lustig, wenns um Flüchtlinge und Asylrecht geht gibt's den #Klimawandel also doch. Ja, was denn jetzt liebe @SVPch? @Koe…",lustig wenns flüchtlinge asylrecht gehen geben s klimawandel ja lieb,,,,,,,,,,"{'Lustig': 0, 'wenns': 0, 'um': 0, 'Flüchtlinge': 0.94, 'und': 1.0, 'Asylrecht': 0.9199999999999999, 'geht': 0, ""gibt's"": 0, 'den': 0, 'Klimawandel': 0.085, 'also': 0, 'doch': 0, 'Ja': 1.0, 'was': 0, 'denn': 0, 'jetzt': 0.07, 'liebe': 0.17, '…': 0}",positive,"[0.025788425, 0.001613501, 0.9725981]",,,,,,,,,,,,,positive
0.0,0.0,14.0,-0.7,negative,"RT @sacovo: Peinlich, der Präsident der @jungesvp glaubt die Demokratie in der Schweiz sei 700 Jahre alt. Beim Einbürgerungstest wäre er wo…",peinlich präsident glauben demokratie schweiz jahre alt beim einbürgerungstest,,,,,,,,,,,,,"{'Peinlich': 0, 'der': 0.24, 'Präsident': 0.19, 'glaubt': 0.06, 'die': 0.24, 'Demokratie': 0.28, 'in': 0.33, 'Schweiz': 0.11, 'sei': 0.11, '700': 0, 'Jahre': 0.05, 'alt': 0, 'Beim': 0.24, 'Einbürgerungstest': 1.0, 'wäre': 0.1, 'er': 0.03, 'wo': 0.17, '…': 0}",neutral,"[0.9678342, 0.012654877, 0.019510867]",,,,,,,,,,negative
100.0,100.0,100.0,1.0,neutral,"Nachdem die @jfstadtbern mit ihren Zoom-Kenntnissen brillierten, habe ich mal nachgeschaut, was dieses @digital_liberal sonst noch zu bieten hat. Besonders auffallend sind die grafischen Höchstleistungen der Digitalisierungs-Profis. 😍 https://t.co/6tEw2Vq3Ot",nachdem zoom kenntnissen brillieren mal nachschauen bieten besonders auffallen grafischen höchstleistungen digitalisierungs profis,,,,,,,,,,,,,,,,"{'Nachdem': 0.07, 'die': 0.16, 'mit': 0.04, 'ihren': 0, 'Zoom-Kenntnissen': 0.2, 'brillierten': 0, 'habe': 0, 'ich': 0.03, 'mal': 0, 'nachgeschaut': 0, 'was': 0, 'dieses': 0.05, 'sonst': 0, 'noch': 0, 'zu': 0.05, 'bieten': 0.1, 'hat': 0, 'Besonders': 0, 'auffallend': 1.0, 'sind': 0.57, 'grafischen': 0.47, 'Höchstleistungen': 0.28, 'der': 0.16, 'Digitalisierungs-Profis': 0.55}",positive,"[0.008646041, 0.0058932686, 0.9854607]",,,,,,,positive
0.0,0.0,0.0,-1.0,negative,@Megafon_RS_Bern @PoliceBern Fühl mich ja bereits ab euren Tweets gefährdet. Die Gefahren der linksautonomen Digitalisierung.,fühl ja bereits ab tweets gefährden gefahren linksautonomen digitalisierung,,,,,,,,,,,,,,,,"{'Fühl': 0.16, 'mich': 0, 'ja': 0, 'bereits': 0.08, 'ab': 0, 'euren': 0, 'Tweets': 0.21, 'gefährdet': 0, 'Die': 0.38, 'Gefahren': 0, 'der': 0.38, 'linksautonomen': 0.14, 'Digitalisierung': 0}",negative,"[0.0012869077, 0.93281454, 0.06589852]",,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"Was die #SVP mit der #Kuendigungsinitiative verspricht: Umweltschutz, weniger Autos, Schutz von Arbeiter*innen und eine Prise (rassistischer) Feminismus.

SVP-Politik: Gegen die Umwelt, Autos statt ÖV, gegen Arbeiter*innenrechte und viel Sexismus.

NEIN am 27. September! https://t.co/YlBulKy4rr",svp kuendigungsinitiative versprechen umweltschutz wenig autos schutz arbeiter innen prise rassistisch feminismus svp politik umwelt autos statt öv arbeiter innenrechte sexismus nein september,,,,,,,,,,,,,,,,,,,"{'Was': 0, 'die': 0.09, 'SVP': 0, 'mit': 0.11, 'der': 0.09, 'Kuendigungsinitiative': 0, 'verspricht': 0.15, 'Umweltschutz': 0.51, 'weniger': 1.0, 'Autos': 0, 'Schutz': 0.77, 'von': 0, 'Arbeiter*innen': 0.05, 'und': 0.06, 'eine': 0, 'Prise': 0, 'rassistischer': 0.25, 'Feminismus': 0.19, 'SVP-Politik': 0, 'Gegen': 0.27, 'Umwelt': 0.05, 'statt': 0.09, 'ÖV': 0, 'gegen': 0.27, 'Arbeiter*innenrechte': 0.1, 'viel': 0.05, 'Sexismus': 0.1, 'NEIN': 0.05, 'am': 0, '27.': 0, 'September': 0.06}",positive,"[0.019337641, 0.059009403, 0.921653]",,,,neutral
