answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3430,absa_sentiment_3430,absa_scores_3430,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3435,absa_sentiment_3435,absa_scores_3435,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,positive,"Kinderbetreuung, Steuergeschenke https://t.co/pBzQuv13i0",kinderbetreuung steuergeschenke,"{'Kinderbetreuung': 0, 'Steuergeschenke': 0.905}",positive,"[0.0012546038, 0.0008265049, 0.9979189]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"5. Januar: Präsidiumswahl, familienergänzende Kinderbetreuung https://t.co/WF9leSdaNG",januar präsidiumswahl familienergänzende kinderbetreuung,"{'5.': 0, 'Januar': 0.16, 'Präsidiumswahl': 0.23125, 'familienergänzende': 0.08, 'Kinderbetreuung': 1.0}",neutral,"[0.7112372, 0.01082599, 0.27793685]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @DinuGautier: Ich verfüge im Fall über ""konkrete Hinweise"", dass im Polizeiposten Waisenhaus grössere Mengen Cannabis und anderer Dro ...",verfügen fall konkrete hinweise polizeiposten waisenhaus grössere mengen cannabis dro,,,,"{'Ich': 0.09, 'verfüge': 0.1, 'im': 0, 'Fall': 0, 'über': 0, 'konkrete': 0.15, 'Hinweise': 0, 'dass': 0.29, 'Polizeiposten': 0, 'Waisenhaus': 0.29, 'grössere': 0, 'Mengen': 0, 'Cannabis': 1.0, 'und': 1.0, 'anderer': 0, 'Dro': 0, '...': 0}",neutral,"[0.83155507, 0.12417435, 0.044270538]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @jonas_steiner: Hast du wie @blickamabend keine Argumente gegen einen Vaterschaftsurlaub? Sign here:

https://t.co/kJGqiMX8A5 https://t.…",argumente vaterschaftsurlaub sign here,,,,,,,"{'Hast': 0, 'du': 0, 'wie': 0, 'keine': 0, 'Argumente': 1.0, 'gegen': 1.0, 'einen': 0, 'Vaterschaftsurlaub': 0.525, 'Sign': 0.21, 'here': 0.07}",neutral,"[0.9050959, 0.06519021, 0.029713828]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @tageswoche: «Geisterbahn Nationalrat»: Der Kommentar von @Renato_Beck zur Verschärfung des Asylrechts durch den Nationalrat. http:// ...,geisterbahn nationalrat kommentar verschärfung asylrechts nationalrat http,,,,,,,,,,"{'«': 0, 'Geisterbahn': 0, 'Nationalrat': 0, '»': 0, 'Der': 0, 'Kommentar': 0, 'von': 0, 'zur': 0, 'Verschärfung': 0, 'des': 0, 'Asylrechts': 0, 'durch': 0, 'den': 0, 'http': 0, ':/': 0, '...': 0}",neutral,"[0.7699868, 0.019330991, 0.21068226]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
75.0,75.0,71.0,0.35,neutral,Ganz einfach: Einbürgerungen werden zum Verwaltungsakt und haben nix mehr mit Politik zu tun. https://t.co/BuLQa5rJJh https://t.co/9J7A5JVtfp,ganz einfach einbürgerungen verwaltungsakt nix mehr politik tun,,,,,,,,,,,,,"{'Ganz': 0, 'einfach': 0, 'Einbürgerungen': 1.0, 'werden': 0, 'zum': 0.03, 'Verwaltungsakt': 0.16999999999999998, 'und': 0.1, 'haben': 0.08, 'nix': 0, 'mehr': 0, 'mit': 0.05, 'Politik': 0, 'zu': 0.03, 'tun': 0.045}",positive,"[0.33057377, 0.31081077, 0.3586154]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"SVP/FDP/CVP sind schuld an Nichteinbürgerung von Buchs, sie wollen Willkür mit ihren Gesetzen. Guckt euch jüngste Grossratsdebatten an...",svp fdp cvp schuld nichteinbürgerung buchs willkür gesetzen gucken jüngste grossratsdebatten,,,,,,,,,,,,,"{'SVP': 0, 'FDP': 0.03, 'CVP': 0.03, 'sind': 0.04, 'schuld': 0.19, 'an': 0, 'Nichteinbürgerung': 0, 'von': 0, 'Buchs': 0, 'sie': 0, 'wollen': 0.07, 'Willkür': 0, 'mit': 0, 'ihren': 0, 'Gesetzen': 0.06, 'Guckt': 0.02, 'euch': 0, 'jüngste': 0, 'Grossratsdebatten': 0.0225, '...': 0}",negative,"[0.0033707705, 0.9833317, 0.013297627]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
25.0,0.0,14.0,-0.575,neutral,"RT @viktorgiacobbo: Beunruhigend! Der Herrgott hat die Kantone, die die erleichterte Einbürgerung ablehnten, mit einem Erdbeben bestraft! T…",beunruhigen herrgott kantone erleichtern einbürgerung ablehnen erdbeben bestrafen t,,,,,,,,,,,,,"{'Beunruhigend': 0, 'Der': 0.32, 'Herrgott': 0.085, 'hat': 0, 'die': 0.32, 'Kantone': 0.18, 'erleichterte': 0, 'Einbürgerung': 1.0, 'ablehnten': 0, 'mit': 0.13, 'einem': 0, 'Erdbeben': 0.21, 'bestraft': 0, 'T': 0.04, '…': 0}",negative,"[0.065213546, 0.86083525, 0.073951244]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,FINDERLOHN! 2000 Fr für eine einbürgerungsfähige Burkaträgerin. 😂😂😂 @ada_marra https://t.co/xatntx8L5F,finderlohn fr einbürgerungsfähige burkaträgerin,,,,,,,,,,,,,"{'FINDERLOHN': 0, '2000': 0, 'Fr': 0.64, 'für': 1.0, 'eine': 0, 'einbürgerungsfähige': 0, 'Burkaträgerin': 0}",neutral,"[0.56478167, 0.055382717, 0.37983564]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @spschweiz: Die erleichterte Einbürgerung der dritten Generation kommt vors Volk! https://t.co/vYGoXo16K2,erleichtern einbürgerung dritt generation kommen vors volk,,,,,,,,,,,,,"{'Die': 0.16, 'erleichterte': 0, 'Einbürgerung': 0.96, 'der': 0.16, 'dritten': 0.12, 'Generation': 0.15, 'kommt': 0.7, 'vors': 0, 'Volk': 0.15}",neutral,"[0.4854009, 0.05786211, 0.456737]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,Einbürgerungen sollten sowieso eine Verwaltungsangelegenheit sein.  https://t.co/KKQDegS0lq,einbürgerungen sollen sowieso verwaltungsangelegenheit,,,,,,,,,,,,,"{'Einbürgerungen': 1.0, 'sollten': 0.22, 'sowieso': 0.11, 'eine': 0, 'Verwaltungsangelegenheit': 0.19, 'sein': 0}",neutral,"[0.9238507, 0.03644252, 0.039706726]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,Erklärendes Gespräch des Amtsleiter: Als Mitglied der Einbürgerungskommission muss ich nun Einzelfälle prüfen &amp; mitentscheiden. #achaargau,erklärend gespräch amtsleiter mitglied einbürgerungskommission einzelfälle prüfen amp mitentscheiden achaargau,,,,,,,,,,,,,"{'Erklärendes': 0.11, 'Gespräch': 0.05, 'des': 0, 'Amtsleiter': 0.12, 'Als': 0, 'Mitglied': 0.26, 'der': 0.22, 'Einbürgerungskommission': 1.0, 'muss': 0.03, 'ich': 0.05, 'nun': 0, 'Einzelfälle': 0.05, 'prüfen': 0.05, 'amp': 0.04, 'mitentscheiden': 0, 'achaargau': 0.11}",neutral,"[0.8493979, 0.0080603, 0.14254177]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @anundfuereuch: @ADSangines @LucaMaggiJG Einbürgerungen/Nationalitäten streichen! Jeder Mensch soll auf jedem Platz dieser Erde die g ...,einbürgerungen nationalitäten streichen jed mensch jed platz erde g,,,,,,,,,,,,,"{'Einbürgerungen': 0.74, 'Nationalitäten': 0.39, 'streichen': 0, 'Jeder': 0, 'Mensch': 0, 'soll': 0, 'auf': 0.13, 'jedem': 0, 'Platz': 0.2, 'dieser': 0, 'Erde': 0.33, 'die': 1.0, 'g': 0, '...': 0}",positive,"[0.0029226649, 0.0013520453, 0.9957253]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"... Traktandum Einbürgerungen: ""... Der Kandidat tanzt Salsa. Der Gemeinderat beantragt, dem Kandidat das Gemeindebürgerrecht zuzusichern.""",traktandum einbürgerungen kandidat tanzen salsa gemeinderat beantragen kandidat gemeindebürgerrecht zusichern,,,,,,,,,,,,,"{'...': 0, 'Traktandum': 0, 'Einbürgerungen': 0.94, 'Der': 0.03, 'Kandidat': 0.05, 'tanzt': 0.07, 'Salsa': 0.06, 'Gemeinderat': 0.07, 'beantragt': 0, 'dem': 0.03, 'das': 0.03, 'Gemeindebürgerrecht': 0.05, 'zuzusichern': 0}",neutral,"[0.8911609, 0.018841539, 0.08999749]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,neutral,Lehrerinnen sind im Kampf gegen strukturelle Diskriminierung vorerst gescheitert. Darum ist der politische Kampf für Lohngleichheit nötig. https://t.co/dDI616VOun,lehrerinnen kampf strukturell diskriminierung vorerst scheitern darum politische kampf lohngleichheit nötigen,,,,,,,,,,,,,,,,"{'Lehrerinnen': 0.11, 'sind': 0, 'im': 0, 'Kampf': 0, 'gegen': 0.1, 'strukturelle': 0.1, 'Diskriminierung': 0.18, 'vorerst': 0.10375, 'gescheitert': 0.06, 'Darum': 0, 'ist': 0.2, 'der': 0.16, 'politische': 0.19, 'für': 0.45, 'Lohngleichheit': 1.0, 'nötig': 0.22}",positive,"[0.2873027, 0.045087863, 0.66760945]",,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,RT @VivianeHoesli: #GRAG lehnt SP-Postulat @flovolution für #Lohngleichheit im Beschaffungswesen ab. Nur @SP_Aargau und @gruene_aargau dafü…,grag lehnen sp postulat lohngleichheit beschaffungswesen ab dafü,,,,,,,,,,,,,,,,"{'GRAG': 0.19, 'lehnt': 0.23, 'SP-Postulat': 0, 'für': 0.76, 'Lohngleichheit': 0.755, 'im': 0, 'Beschaffungswesen': 0.3, 'ab': 0, 'Nur': 0.13, 'und': 0.13, 'dafü': 0, '…': 0}",positive,"[0.03194713, 0.007100755, 0.96095204]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @this_wachter: Mitgliederzustrom bei der Sterbehilfeorganisation Exit. #srf4news @srfnews http://t.co/Hzo3NNfMiN http://t.co/PAx3PwhWRD,mitgliederzustrom sterbehilfeorganisation exit srf4news,,,,,,,,,,,,,,,,,,,"{'Mitgliederzustrom': 0.5025, 'bei': 0.19, 'der': 0.14, 'Sterbehilfeorganisation': 0.285, 'Exit': 0.36, 'srf4news': 0.36}",neutral,"[0.776406, 0.015257949, 0.20833609]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Ich bin froh, positionieren sich alle Aargauer Gewerkschaften und Verbände deutlich: Keine neuen Steuersenkungen. Diese Vorlage schafft Profiteure, wo es nicht nötig ist. https://t.co/e5gj6z8KU2",froh positionieren all aargauer gewerkschaften verbände deutlich neu steuersenkungen vorlage schaffen profiteure nötigen,,,,,,,,,,,,,,,,,,,,,,"{'Ich': 0.03, 'bin': 0, 'froh': 0, 'positionieren': 0, 'sich': 0, 'alle': 0, 'Aargauer': 0, 'Gewerkschaften': 0.04, 'und': 0.03, 'Verbände': 0.04, 'deutlich': 0, 'Keine': 0, 'neuen': 0.68, 'Steuersenkungen': 0.48000000000000004, 'Diese': 0.22, 'Vorlage': 0.13, 'schafft': 0.16, 'Profiteure': 0.07, 'wo': 0.04, 'es': 0.02, 'nicht': 0.04, 'nötig': 0.08, 'ist': 0.02}",neutral,"[0.53032184, 0.16686405, 0.30281413]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @AargauerZeitung: Mindestlohn-Kampagne: Zahlt Arbeitgeber zu wenig, muss Steuerzahler einspringen http://t.co/IWgMYECBQC",mindestlohn kampagne zahlen arbeitgeber wenig steuerzahler einspringen,,,,,,,,,,,,,,,,,,,,,,,,,"{'Mindestlohn-Kampagne': 0.7875, 'Zahlt': 0.16, 'Arbeitgeber': 0.36, 'zu': 0.06, 'wenig': 0.1, 'muss': 0.06, 'Steuerzahler': 0, 'einspringen': 0.10500000000000001}",neutral,"[0.8004782, 0.056167256, 0.14335461]",,,,,,,,,,,,,,,,,,,neutral
