answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,86.0,0.7,neutral,RT @jglpZH: Am Montag wurde das Bürgerrechtsgesetz im #krzh beraten. Es präzisiert nationale Vorgaben und vereinheitlicht Einbürgerungschan…,montag bürgerrechtsgesetz krzh beraten präzisieren national vorgaben vereinheitlichen einbürgerungschan,"{'Am': 0, 'Montag': 0.04, 'wurde': 0, 'das': 0, 'Bürgerrechtsgesetz': 0.060000000000000005, 'im': 0, 'krzh': 0.08, 'beraten': 0, 'Es': 0, 'präzisiert': 0, 'nationale': 0.2, 'Vorgaben': 0.19, 'und': 0.28, 'vereinheitlicht': 0, 'Einbürgerungschan': 0.54, '…': 0}",positive,"[0.4817432, 0.0045459378, 0.51371086]",,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,negative,"RT @DinaPomeranz: Solche arbiträre Entscheide von einzelnen Gemeinden sind des Schweizer Passes unwürdig.

Es braucht Einbürgerungspraxis,…",arbiträre entscheide einzeln gemeinden schweizer passes unwürdig brauchen einbürgerungspraxis,"{'Solche': 0.09, 'arbiträre': 0.39, 'Entscheide': 0, 'von': 0, 'einzelnen': 0.08, 'Gemeinden': 0.08, 'sind': 0.17, 'des': 0, 'Schweizer': 0.05, 'Passes': 0, 'unwürdig': 0.24, 'Es': 0, 'braucht': 0, 'Einbürgerungspraxis': 0.9650000000000001, '…': 0}",positive,"[0.0077422205, 0.0015147926, 0.990743]",,,,,,,,,,,,,,,,,,,negative
50.0,75.0,71.0,0.1333333333333333,neutral,"Auffällig viele erleichterte Einbürgerungen erfolgen in Kantonen mit restriktiven Einbürgerungen. Also AG oder BL, Kantone mit absurden Ablehnungsbegründungen.

Das Stimmvolk hat zugestimmt. Der Bund sollte keine unmöglichen Bedingungen festsetzen!

https://t.co/FRFIjChysY",auffällig erleichtern einbürgerungen erfolgen kantonen restriktiven einbürgerungen ag bl kantone absurd ablehnungsbegründungen stimmvolk zustimmen bund sollen unmöglich bedingungen festsetzen,"{'Auffällig': 0, 'viele': 0, 'erleichterte': 0, 'Einbürgerungen': 1.0, 'erfolgen': 0, 'in': 0.17, 'Kantonen': 0.06, 'mit': 0.03, 'restriktiven': 1.0, 'Also': 0, 'AG': 0.04, 'oder': 0.04, 'BL': 0.04, 'Kantone': 0.06, 'absurden': 0.06, 'Ablehnungsbegründungen': 0.0475, 'Das': 0.03, 'Stimmvolk': 0.05, 'hat': 0, 'zugestimmt': 0, 'Der': 0.03, 'Bund': 0, 'sollte': 0.02, 'keine': 0, 'unmöglichen': 0.04, 'Bedingungen': 0.04, 'festsetzen': 0}",negative,"[0.0712406, 0.6126396, 0.3161199]",,,,,,,,,,,,,,,,,,,neutral
25.0,0.0,14.0,-0.575,negative,"@severinbrungger @Fuss_Florian @jglpZH Freie Marktwirtschaft funktioniert schlechter, wenn sich Pflegefachkräfte nur schwer organisieren können. Wie gesagt eine Berufsgruppe mit Scheiss Lohn und miserablen Arbeitsbedingungen. Wettbewerb inexistent.",freie marktwirtschaft funktionieren schlecht pflegefachkräfte schwer organisieren sagen berufsgruppe scheiss lohn miserabel arbeitsbedingungen wettbewerb inexistent,,,,"{'Freie': 1.0, 'Marktwirtschaft': 0.7, 'funktioniert': 0.035, 'schlechter': 0.27, 'wenn': 0, 'sich': 0, 'Pflegefachkräfte': 0.1, 'nur': 0, 'schwer': 0, 'organisieren': 0.07, 'können': 0, 'Wie': 0.03, 'gesagt': 0.03, 'eine': 0, 'Berufsgruppe': 0.09, 'mit': 0.03, 'Scheiss': 0, 'Lohn': 0, 'und': 0.03, 'miserablen': 0.08, 'Arbeitsbedingungen': 0.07, 'Wettbewerb': 0, 'inexistent': 0}",positive,"[0.0027043722, 0.003343418, 0.9939522]",,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.1,negative,@severinbrungger @Fuss_Florian @jglpZH Status Quo ist imfall nicht mehr Marktwirtschaft. Wir haben ein deutliches Marktversagen. Nichts tun wird es nur verschlimmern. Aber alles auf dem Rücken der Pflegefachkräfte und das nach einer Pandemie. Ich möchte das nicht verantworten,status quo imfall mehr marktwirtschaft deutlich marktversagen tun verschlimmern rücken pflegefachkräfte pandemie mögen verantworten,,,,"{'Status': 0.09, 'Quo': 0.37, 'ist': 0.46, 'imfall': 0.065, 'nicht': 0, 'mehr': 0, 'Marktwirtschaft': 0.49, 'Wir': 0.12, 'haben': 0.115, 'ein': 0, 'deutliches': 0, 'Marktversagen': 0.06, 'Nichts': 0.05, 'tun': 0.01, 'wird': 0.04, 'es': 0.46, 'nur': 0.03, 'verschlimmern': 0, 'Aber': 0.03, 'alles': 0, 'auf': 0.02, 'dem': 0.015, 'Rücken': 0, 'der': 0.02, 'Pflegefachkräfte': 0.03, 'und': 0.03, 'das': 0.03, 'nach': 0.03, 'einer': 0, 'Pandemie': 0.05, 'Ich': 0.02, 'möchte': 0, 'verantworten': 0}",negative,"[0.15265475, 0.44545415, 0.40189108]",,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.1,negative,@AskASwiss @UZH_ch @VSUZH @vauz_uzh @m_schaepman Ich habe schon 2 Jahre vergeudet. Ich will und sollte endlich den MA machen. Will nicht noch mehr Zeit verlieren. Der MA ist sowieso kleiner und vieles via Podcast erhältlich. Ist halt nicht Ius. Die WWF war was Digitalisierung angeht eher vorbildlich.,schon jahre vergeuden sollen endlich ma mehr zeit verlieren ma sowieso klein via podcast erhältlich halt ius wwf digitalisierung angehen eher vorbildlich,,,,,,,"{'Ich': 0.02, 'habe': 0, 'schon': 0, '2': 0, 'Jahre': 0.06, 'vergeudet': 0.15, 'will': 0, 'und': 0.05, 'sollte': 0.05, 'endlich': 0, 'den': 0.39, 'MA': 0.13, 'machen': 0.04, 'Will': 0, 'nicht': 0.12, 'noch': 0, 'mehr': 0.04, 'Zeit': 0.05, 'verlieren': 0, 'Der': 0.39, 'ist': 0.03, 'sowieso': 0.1, 'kleiner': 0.12, 'vieles': 0.055, 'via': 0.06, 'Podcast': 0.08, 'erhältlich': 0.06, 'Ist': 0.03, 'halt': 0, 'Ius': 0, 'Die': 0.39, 'WWF': 0.56, 'war': 0, 'was': 0.9, 'Digitalisierung': 0, 'angeht': 0, 'eher': 0, 'vorbildlich': 1.0}",positive,"[0.0068301773, 0.0017036267, 0.99146616]",,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,"@pkuehni Das Anstellungs-Argument war Digitalisierung. Naja Blick TV und von Digitalisierung zu sprechen, sind 2 paar verschiedene Schuhe.

Plus wie erwähnt. Keine Blatterfahrung. Man hätte ihm ja auch eine Ressortleitung geben können. 

Inkompetent ist er nicht. Aber passgenau?",anstellungs argument digitalisierung naja blick tv digitalisierung sprechen paar verschieden schuhe plus erwähnen blatterfahrung ja ressortleitung geben inkompetent passgenau,,,,,,,"{'Das': 0.05, 'Anstellungs-Argument': 0.08, 'war': 0, 'Digitalisierung': 0, 'Naja': 0.04, 'Blick': 0, 'TV': 0.02, 'und': 0.01, 'von': 0, 'zu': 0, 'sprechen': 0, 'sind': 0.05, '2': 0, 'paar': 0, 'verschiedene': 0.03, 'Schuhe': 0, 'Plus': 0.2, 'wie': 0, 'erwähnt': 0.04, 'Keine': 0, 'Blatterfahrung': 0.025, 'Man': 0, 'hätte': 0, 'ihm': 0.03, 'ja': 0.01, 'auch': 0, 'eine': 0, 'Ressortleitung': 0.02, 'geben': 0, 'können': 0, 'Inkompetent': 0.07, 'ist': 0, 'er': 0, 'nicht': 0.03, 'Aber': 0.44, 'passgenau': 0}",neutral,"[0.92780554, 0.025399586, 0.04679492]",,,,,,,,,,,,,negative
100.0,100.0,100.0,0.85,negative,@DidiWeidmann @zueriost @glpzh Wär wirklich schön. Greifensee war schon immer sehr glp-nahe im Abszimmungsverhalten und ihn Greifensee gewichtet man den Umweltschutz hoch.,wär wirklich schön greifensee schon immer glp nahe abszimmungsverhalten greifensee gewichten umweltschutz hoch,,,,,,,,,,"{'Wär': 0.03, 'wirklich': 0.04, 'schön': 0.06, 'Greifensee': 0.14, 'war': 0, 'schon': 0, 'immer': 0.02, 'sehr': 0.07, 'glp-nahe': 0, 'im': 0, 'Abszimmungsverhalten': 0.07, 'und': 0.2, 'ihn': 0, 'gewichtet': 0, 'man': 0, 'den': 0, 'Umweltschutz': 0.725, 'hoch': 0}",positive,"[0.0010202655, 0.0013467146, 0.997633]",,,,,,,,,,positive
100.0,100.0,100.0,0.875,negative,"@fisnikzyberi Ich werde nicht aufhören, genauso wenig mit meiner überzeugten aktiven Umweltpolitik. Was ich durchaus auch aus religiöser Erzeugung mache. Auch der Umweltschutz ist ein jahrzehntelanger Marathonlauf.

Komisch? Inwiefern? Der Dachverband empfiehlt die Impfung wie auch Impfbusse.",aufhören genauso wenig überzeugt aktiv umweltpolitik durchaus religiös erzeugung umweltschutz jahrzehntelang marathonlauf komisch inwiefern dachverband empfehlen impfung impfbusse,,,,,,,,,,"{'Ich': 0.03, 'werde': 0, 'nicht': 0.11, 'aufhören': 0.05, 'genauso': 0, 'wenig': 0, 'mit': 0.04, 'meiner': 0, 'überzeugten': 0, 'aktiven': 0.05, 'Umweltpolitik': 0.075, 'Was': 0, 'ich': 0.03, 'durchaus': 0, 'auch': 1.0, 'aus': 0, 'religiöser': 0.05, 'Erzeugung': 0, 'mache': 0, 'Auch': 1.0, 'der': 0.07, 'Umweltschutz': 0.56, 'ist': 0.48, 'ein': 0, 'jahrzehntelanger': 0, 'Marathonlauf': 0.49, 'Komisch': 0.43, 'Inwiefern': 0.0825, 'Der': 0.07, 'Dachverband': 0.045, 'empfiehlt': 0.13, 'die': 0.07, 'Impfung': 0.07, 'wie': 0, 'Impfbusse': 0.060000000000000005}",negative,"[0.17219208, 0.6118066, 0.21600139]",,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"@AlainS1991 @SFrei94 @stadi1988 @Co2GesetzNein @SVPch @CamilleLotheZH Also jene JSVP ZH? Moll da bin ich zuversichtlich mit dem Umweltschutz😂

unter https://t.co/YOeTcBBdjY https://t.co/pyu3B5tEly",jen jsvp zh moll zuversichtlich umweltschutz,,,,,,,,,,"{'Also': 0, 'jene': 0, 'JSVP': 0.12, 'ZH': 0.07, 'Moll': 0, 'da': 0, 'bin': 0, 'ich': 0.08, 'zuversichtlich': 0, 'mit': 0, 'dem': 0, 'Umweltschutz': 0.64, 'unter': 1.0}",positive,"[0.001797449, 0.0011612747, 0.9970413]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"@ineichen_jonas Darauf würde ich nicht zählen. Die bekämpfen jede Umweltvorlage. Für mehr Umweltschutz haben die bisher nicht beigetragen. Auf die ist kein Verlass.

Darum aufstehen, Krone richten, weiterkämpfen.",darauf zählen bekämpfen jed umweltvorlage mehr umweltschutz bisher beitragen verlass darum aufstehen krone richten weiterkämpfen,,,,,,,,,,"{'Darauf': 0, 'würde': 0, 'ich': 0.03, 'nicht': 1.0, 'zählen': 0, 'Die': 0.02, 'bekämpfen': 0.17, 'jede': 0.12, 'Umweltvorlage': 0.07, 'Für': 0, 'mehr': 0.6, 'Umweltschutz': 0.37, 'haben': 0.385, 'die': 0.02, 'bisher': 0, 'beigetragen': 1.0, 'Auf': 0.02, 'ist': 0, 'kein': 0, 'Verlass': 0, 'Darum': 0, 'aufstehen': 0.03, 'Krone': 0, 'richten': 0, 'weiterkämpfen': 0.07}",positive,"[0.35132265, 0.22735862, 0.4213187]",,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"@frau_johann Ja immer. Wenn man aber zu den kernigsten Themen diametral regelmässig anders denkt, sollte man sich fragen, ob die Partei die richtige ist.

Bei uns bspw Umweltschutz &amp; Wirtschaftspolitik/Aussenpoltik und liberale Gesellschaft.",ja immer kernig themen diametral regelmässig denken sollen fragen partei richtige bspw umweltschutz amp wirtschaftspolitik aussenpoltik liberale gesellschaft,,,,,,,,,,"{'Ja': 0.51, 'immer': 0.01, 'Wenn': 0, 'man': 0, 'aber': 0.04, 'zu': 0, 'den': 0.02, 'kernigsten': 0, 'Themen': 0, 'diametral': 0, 'regelmässig': 0.03, 'anders': 0, 'denkt': 0, 'sollte': 0.02, 'sich': 0, 'fragen': 0, 'ob': 0, 'die': 0.02, 'Partei': 0.06, 'richtige': 0.03, 'ist': 0.03, 'Bei': 0, 'uns': 0.12, 'bspw': 0, 'Umweltschutz': 0.685, 'amp': 0.42, 'Wirtschaftspolitik': 0.10500000000000001, 'Aussenpoltik': 0.07500000000000001, 'und': 0.51, 'liberale': 0.13, 'Gesellschaft': 0.16}",positive,"[0.008828128, 0.001801041, 0.9893708]",,,,,,,,,,positive
