answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"Dank den Jungfreisinnigen kann die Politik bei den Renten nicht länger um den Brei herumreden. Am Freitag haben sie ihre Initiative eingereicht, die das Rentenalter an die Lebenserwartung knüpfen will. 

https://t.co/WafCqEyGSa",danken jungfreisinnigen politik renten lang brei herumreden freitag initiative einreichen rentenalter lebenserwartung knüpfen,"{'Dank': 0.5, 'den': 0.04, 'Jungfreisinnigen': 0.08, 'kann': 0.08, 'die': 0.04, 'Politik': 0, 'bei': 0, 'Renten': 0.1, 'nicht': 0, 'länger': 0.04, 'um': 0, 'Brei': 0, 'herumreden': 0.05, 'Am': 0, 'Freitag': 0.11, 'haben': 0.91, 'sie': 0, 'ihre': 0.16, 'Initiative': 0.6, 'eingereicht': 0.39, 'das': 0, 'Rentenalter': 0.885, 'an': 0, 'Lebenserwartung': 0.265, 'knüpfen': 0, 'will': 0}",neutral,"[0.9849722, 0.0038964315, 0.01113139]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
75.0,75.0,86.0,0.4666666666666666,neutral,"@meyer_mattea @spschweiz Ohne höheres Rentenalter wird eine Person mit Medianlohn jährlich 1'000 CHF weniger im Portemonnaie haben. Mit ihrer Politik fördern Sie Armut, Frau Meyer!",hoch rentenalter person medianlohn jährlich chf wenig portemonnaie politik fördern armut frau meyer,"{'Ohne': 1.0, 'höheres': 0.69, 'Rentenalter': 0.94, 'wird': 0.38, 'eine': 0, 'Person': 0.29, 'mit': 0.07, 'Medianlohn': 0, 'jährlich': 0, ""1'000"": 0, 'CHF': 0.05, 'weniger': 0, 'im': 0, 'Portemonnaie': 0.06, 'haben': 0.11, 'Mit': 0.07, 'ihrer': 0.03, 'Politik': 0, 'fördern': 0, 'Sie': 0, 'Armut': 0.1, 'Frau': 0, 'Meyer': 0.02}",neutral,"[0.5598069, 0.20507339, 0.23511972]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,RT @RentenVI: Wir haben das diesjährige Wunsch-Schloss mit unserer Idee gewonnen: „Netto 0 bis 2050: #Rentenalter jährlich um Faktor 0.8 de…,diesjährig wunsch schloss idee gewinnen netto rentenalter jährlich faktor de,"{'Wir': 0.03, 'haben': 0, 'das': 0, 'diesjährige': 0.045, 'Wunsch-Schloss': 0.09, 'mit': 0.05, 'unserer': 0.04, 'Idee': 0, 'gewonnen': 0.1, '„': 0, 'Netto': 0, '0': 0, 'bis': 0, '2050': 0, 'Rentenalter': 0, 'jährlich': 0, 'um': 0, 'Faktor': 0, '0.8': 0, 'de': 0, '…': 0}",positive,"[0.26397285, 0.0155380005, 0.7204892]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"Das Rentenalter der Frauen wird auf 65 angeglichen. Dafür bekommen die Frauen über neun Jahre hinweg Kompensationen, was maximal 420 Millionen pro Jahr kosten wird. (2/5)",rentenalter frauen angleichen dafür bekommen frauen neun jahre hinweg kompensationen maximal millionen pro jahr kosten,"{'Das': 0.16, 'Rentenalter': 0.715, 'der': 0.16, 'Frauen': 0.31, 'wird': 0.09, 'auf': 0, '65': 0, 'angeglichen': 1.0, 'Dafür': 0, 'bekommen': 1.0, 'die': 0.16, 'über': 0.09, 'neun': 0.06, 'Jahre': 0.1, 'hinweg': 0, 'Kompensationen': 0.25, 'was': 0, 'maximal': 0, '420': 0, 'Millionen': 0, 'pro': 0, 'Jahr': 0.11, 'kosten': 0, '2': 0, '5': 0}",neutral,"[0.6985586, 0.12970197, 0.1717394]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @Damian_Mueller_: Die AHV ist in ihrer jetzigen Form nicht zukunftsfähig. Mit der Kopplung des Rentenalters an die Lebenserwartung könne…,ahv jetzig form zukunftsfähig kopplung rentenalters lebenserwartung,"{'Die': 0.73, 'AHV': 0.16, 'ist': 0.17, 'in': 0.07, 'ihrer': 0, 'jetzigen': 0, 'Form': 0.16, 'nicht': 0.27, 'zukunftsfähig': 0.27, 'Mit': 0, 'der': 0.73, 'Kopplung': 1.0, 'des': 0, 'Rentenalters': 0.45999999999999996, 'an': 0, 'die': 0.73, 'Lebenserwartung': 0.245, 'könne': 0, '…': 0}",positive,"[0.2403642, 0.015332256, 0.7443036]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,@retolipp Zeit für ein höheres Rentenalter: https://t.co/z0L98WZzKe,zeit hoch rentenalter,"{'Zeit': 0.83, 'für': 0.84, 'ein': 0, 'höheres': 1.0, 'Rentenalter': 0.925}",positive,"[0.2953306, 0.06330199, 0.6413674]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @RentenVI: Wissenschaftler stellen fest: Schweiz ist bereit für ein höheres Rentenalter: https://t.co/dyiTl5EgBy

#Renteninitiative unte…",wissenschaftler stellen fest schweiz bereiten hoch rentenalter renteninitiative unte,"{'Wissenschaftler': 0, 'stellen': 0, 'fest': 0, 'Schweiz': 0.15, 'ist': 0.09, 'bereit': 0.35, 'für': 0.49, 'ein': 0, 'höheres': 1.0, 'Rentenalter': 1.0, 'Renteninitiative': 0.135, 'unte': 0, '…': 0}",positive,"[0.18086688, 0.019494535, 0.7996385]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"Da tut sich was beim Rentenalter. @RentenVI 
https://t.co/c1rSD65xqR",tun beim rentenalter,"{'Da': 0, 'tut': 0, 'sich': 0, 'was': 0, 'beim': 1.0, 'Rentenalter': 0.935}",positive,"[0.2649568, 0.18230568, 0.5527375]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,@spschweiz @FDP_Liberalen @Jungfreisinnige @ChristaMarkwald Wo Argumente fehlen wird auf die Person geschossen. Rentenalter 66+ hilft die Altersarmut zu vermeiden. Scheinbar kein Anliegen der @spschweiz.,argumente fehlen person schießen rentenalter helfen altersarmut vermeiden scheinbar anliegen,"{'Wo': 0.05, 'Argumente': 0.06, 'fehlen': 0, 'wird': 0, 'auf': 0, 'die': 0.06, 'Person': 0.08, 'geschossen': 0.08, 'Rentenalter': 0.33499999999999996, '66': 0, 'hilft': 1.0, 'Altersarmut': 0.11, 'zu': 0.35, 'vermeiden': 0.66, 'Scheinbar': 0, 'kein': 0.06, 'Anliegen': 0, 'der': 0.06}",positive,"[0.020981004, 0.009026829, 0.9699922]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,14.0,-0.675,negative,"@4pfelmu5 @LuisDeplazes @Jungfreisinnige Wir haben uns noch nie ernsthaft die Frage gestellt. Die Politik redet seit Jahren die Rentenaltererhöhung schlecht. Wenn man jedoch Transparent aufzeigen würde, dass die Alternativen Steuererhöhungen von 6% oder Rentenkürzungen sind, dan würde die Situation anders aussehen.",nie ernsthaft fragen stellen politik reden seit jahren rentenaltererhöhung schlecht jedoch transparent aufzeigen alternativ steuererhöhungen rentenkürzungen dan situation aussehen,"{'Wir': 0.03, 'haben': 0.08, 'uns': 0, 'noch': 0, 'nie': 0, 'ernsthaft': 0, 'die': 0.02, 'Frage': 0, 'gestellt': 0, 'Die': 0.02, 'Politik': 0, 'redet': 0, 'seit': 0, 'Jahren': 0.11, 'Rentenaltererhöhung': 0.4675, 'schlecht': 1.0, 'Wenn': 0, 'man': 0, 'jedoch': 0.19, 'Transparent': 0, 'aufzeigen': 0, 'würde': 0.02, 'dass': 0.03, 'Alternativen': 0.04, 'Steuererhöhungen': 0.03, 'von': 0, '6': 0, 'oder': 0.02, 'Rentenkürzungen': 0.035, 'sind': 0.02, 'dan': 0, 'Situation': 0.06, 'anders': 0.05, 'aussehen': 0}",negative,"[0.0063193366, 0.9673976, 0.02628314]",,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
