answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3452,absa_sentiment_3452,absa_scores_3452,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,negative,"RT @mrs_greditsch: Ich sehe nicht ein, wieso wir Frauen weniger lang arbeiten können - darum gleiches Rentenalter für alle. #Gleichberechti…",sehen wieso frauen wenig langen arbeiten darum gleich rentenalter all gleichberechti,"{'Ich': 0.06, 'sehe': 0.07, 'nicht': 0, 'ein': 0, 'wieso': 0, 'wir': 0, 'Frauen': 0.14, 'weniger': 0, 'lang': 0, 'arbeiten': 0.16, 'können': 0, 'darum': 0.94, 'gleiches': 1.0, 'Rentenalter': 0.7, 'für': 1.0, 'alle': 0.6, 'Gleichberechti': 0, '…': 0}",neutral,"[0.49245983, 0.0468829, 0.4606572]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"@maya_tharian @benjigautschi @Vivi_Kaegi @michaelzeugin Natürlich. Immer in Deiner Argumentationslinie: 
Ein Offizier fehlt allenfalls 30 Wochen in einem Jahr, wo er Vaterschaftsurlaub einzieht. Wieso sollte ich denn einen vaterfähigen Offizier einstellen?",natürlich immer argumentationslinie offizier fehlen allenfalls wochen jahr vaterschaftsurlaub einziehen wieso sollen vaterfähigen offizier einstellen,,,,"{'Natürlich': 0.03, 'Immer': 0.03, 'in': 0.03, 'Deiner': 0, 'Argumentationslinie': 0.04, 'Ein': 0.04, 'Offizier': 0.11, 'fehlt': 0.13, 'allenfalls': 0.025, '30': 0, 'Wochen': 0.05, 'einem': 0, 'Jahr': 0.05, 'wo': 0, 'er': 0.13, 'Vaterschaftsurlaub': 0.81, 'einzieht': 0.03, 'Wieso': 0, 'sollte': 0.02, 'ich': 0.02, 'denn': 0, 'einen': 0.04, 'vaterfähigen': 0, 'einstellen': 0}",neutral,"[0.9552204, 0.039279718, 0.005499842]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @4Senna: Der Kommentar zur Volksinitiative für einen Vaterschaftsurlaub: Wenn schon, dann ein Elternurlaub https://t.co/RCPln0AEKT via @…",kommentar volksinitiative vaterschaftsurlaub schon elternurlaub via,,,,"{'Der': 0.04, 'Kommentar': 0.13, 'zur': 0.04, 'Volksinitiative': 0.095, 'für': 0.07, 'einen': 0, 'Vaterschaftsurlaub': 0.34, 'Wenn': 0, 'schon': 0, 'dann': 1.0, 'ein': 0, 'Elternurlaub': 0.53, 'via': 0.29, '…': 0}",positive,"[0.10353055, 0.008696311, 0.8877731]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"@flluethi Erst ein Ja zur #MEI und jetzt ein Ja zum #Mindestlohn? Von rechts nach links - alle, wie's scheint, wollen CH als Insel...",erst ja mei ja mindestlohn rechts links all s scheinen ch insel,,,,,,,"{'Erst': 0.25, 'ein': 0, 'Ja': 0.19, 'zur': 0.215, 'MEI': 0, 'und': 0.19, 'jetzt': 0.41, 'zum': 0.215, 'Mindestlohn': 0.635, 'Von': 0.37, 'rechts': 0.22, 'nach': 0, 'links': 0, 'alle': 0.18, ""wie's"": 0.09, 'scheint': 0.14, 'wollen': 0, 'CH': 0.04, 'als': 0.07, 'Insel': 0.09, '...': 0}",positive,"[0.06403975, 0.0076907743, 0.9282695]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @effizienz_ch: Die drei E's, die die Energiewende vorantreibt
🌞 Energie einsparen
🌞 Erneuerbare Energien
🌞 Energieeffizienz",drei e s energiewende vorantreibt energie einsparen erneuerbare energien energieeffizienz,,,,,,,,,,"{'Die': 0.25, 'drei': 0.32, ""E's"": 0, 'die': 0.25, 'Energiewende': 0.5599999999999999, 'vorantreibt': 0, 'Energie': 0.3, 'einsparen': 1.0, 'Erneuerbare': 0.62, 'Energien': 0, 'Energieeffizienz': 0.65}",positive,"[0.0035950267, 0.014333999, 0.982071]",,,,,,,,,,,,,,,,,,,,,,neutral
75.0,75.0,71.0,0.35,negative,Nicht-erneuerbare Energie ist zu günstig. Wir haben wenig Anreiz das Verschleudern dieser Ressourcen zu stoppen. #viesm hilft,erneuerbare energie günstig wenig anreiz verschleudern ressourcen stoppen viesm helfen,,,,,,,,,,"{'Nicht-erneuerbare': 0, 'Energie': 0.18, 'ist': 0.21, 'zu': 0.06, 'günstig': 0.16, 'Wir': 0.1, 'haben': 0.095, 'wenig': 0.29, 'Anreiz': 0, 'das': 0, 'Verschleudern': 0, 'dieser': 0, 'Ressourcen': 0.19, 'stoppen': 0.08, 'viesm': 0.9, 'hilft': 1.0}",positive,"[0.2273195, 0.35489318, 0.41778728]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Klasse. Wobmann (#SVP, NR) ist auch für eine #Benzinpreiserhöhung! #Roadpricing #Mobilitätskosten #Lenkungsabgaben https://t.co/kngDz95FmI",klasse wobmann svp nr benzinpreiserhöhung roadpricing mobilitätskosten lenkungsabgaben,,,,,,,,,,,,,"{'Klasse': 0.07, 'Wobmann': 0.13, 'SVP': 0, 'NR': 0, 'ist': 0.09, 'auch': 0.22, 'für': 0.31, 'eine': 0, 'Benzinpreiserhöhung': 0.63, 'Roadpricing': 0.21, 'Mobilitätskosten': 0.085, 'Lenkungsabgaben': 0.09}",negative,"[0.0029731821, 0.9901878, 0.0068390295]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"@VSohne @Thomas_Egger_NR Der Vorschlag, damit der Tourismus im Wallis nicht stirbt:
1) Entweder alle sind einverstanden, oder wir schiessen den Wolf sowieso
2) Der Tourismus wird über das nicht-marktwirtschaftliche Hobby der Nebenverdienst-Bauern finanziert
Habe ich es richtig verstanden?",vorschlag tourismus wallis sterben entweder all einverstanden schiessen wolf sowieso tourismus marktwirtschaftliche hobby nebenverdienst bauern finanzieren richtig verstehen,,,,,,,,,,,,,,,,"{'Der': 0.11, 'Vorschlag': 0, 'damit': 0.03, 'der': 0.11, 'Tourismus': 0.06, 'im': 0, 'Wallis': 0, 'nicht': 0.06, 'stirbt': 0, '1': 0, 'Entweder': 0.04, 'alle': 0.04, 'sind': 0, 'einverstanden': 0.04, 'oder': 0.03, 'wir': 0, 'schiessen': 0.04, 'den': 0.11, 'Wolf': 0.03, 'sowieso': 0.04, '2': 0, 'wird': 0.03, 'über': 0, 'das': 0.04, 'nicht-marktwirtschaftliche': 0.63, 'Hobby': 0.35, 'Nebenverdienst-Bauern': 0.13, 'finanziert': 0.2, 'Habe': 0, 'ich': 0.04, 'es': 0.09, 'richtig': 0, 'verstanden': 0.04}",neutral,"[0.60909253, 0.33909076, 0.051816687]",,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"Dr Rutz von der @Avenir_Suisse und @Martin_Baeumle zeigen auf, wo 
wir die Abgrenzung #Service_Plublic zur freien #Marktwirtschaft dezidiert schärfen können. Ein Thema wie gemacht für die liberale, fortschrittliche #glp. #DVglpCH",dr rutz zeigen abgrenzung service_plublic frei marktwirtschaft dezidieren schärfen thema liberale fortschrittliche glp dvglpch,,,,,,,,,,,,,,,,"{'Dr': 0.03, 'Rutz': 0.08, 'von': 0, 'der': 0.08, 'und': 0.34, 'zeigen': 0.09, 'auf': 0, 'wo': 0.03, 'wir': 0, 'die': 0.08, 'Abgrenzung': 0, 'Service_Plublic': 0, 'zur': 0.08, 'freien': 1.0, 'Marktwirtschaft': 0.9450000000000001, 'dezidiert': 0, 'schärfen': 0.11, 'können': 0, 'Ein': 0.13, 'Thema': 0, 'wie': 0, 'gemacht': 0, 'für': 0.06, 'liberale': 0.25, 'fortschrittliche': 0.13, 'glp': 0.14, 'DVglpCH': 0.18}",positive,"[0.0023574168, 0.0012236709, 0.99641895]",,,,,,,,,,,,,,,,positive
50.0,75.0,71.0,0.1333333333333333,neutral,Richtig und wichtig! Die #liberale #Marktwirtschaft gilt es wo effizienter vorzuziehen. Stete Wachsamkeit ist nötig http://t.co/rXvHAE5Eqh,richtig wichtig liberale marktwirtschaft gelten effizient vorziehen stete wachsamkeit nötigen,,,,,,,,,,,,,,,,"{'Richtig': 0, 'und': 0.09, 'wichtig': 0.22, 'Die': 1.0, 'liberale': 0.47, 'Marktwirtschaft': 0.7949999999999999, 'gilt': 0, 'es': 0.07, 'wo': 0.22, 'effizienter': 0.24000000000000002, 'vorzuziehen': 0, 'Stete': 0, 'Wachsamkeit': 0, 'ist': 0.07, 'nötig': 0.1}",positive,"[0.0027361426, 0.0040539713, 0.9932099]",,,,,,,,,,,,,,,,neutral
