answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @cvpluzern: Die Parolen der #CVP Kanton Luzern:

✅ #Jagdgesetz
❌ #Kündigungsinitiative
✅ #Kinderabzüge
✅ #Vaterschaftsurlaub
✅ #Kampfflu…",parolen cvp kanton luzern jagdgesetz kündigungsinitiative kinderabzüge vaterschaftsurlaub kampfflu,"{'Die': 0.03, 'Parolen': 0.27, 'der': 0.03, 'CVP': 0.05, 'Kanton': 0.03, 'Luzern': 0, 'Jagdgesetz': 0.060000000000000005, 'Kündigungsinitiative': 0.11, 'Kinderabzüge': 0.63, 'Vaterschaftsurlaub': 1.0, 'Kampfflu': 0.12, '…': 0}",neutral,"[0.7926174, 0.0632714, 0.14411125]",,,,,,,,,,,,,neutral
50.0,75.0,71.0,0.1333333333333333,negative,"RT @CVP_PDC: Nachdem der Nationalrat zwei Wochen bezahltem Vaterschaftsurlaub zugestimmt hat, entlastet das Parlament heute mit der Erhöhun…",nachdem nationalrat zwei wochen bezahlt vaterschaftsurlaub zustimmen entlasten parlament heute erhöhun,"{'Nachdem': 0.2, 'der': 0.07, 'Nationalrat': 0.13, 'zwei': 0.17, 'Wochen': 0.55, 'bezahltem': 1.0, 'Vaterschaftsurlaub': 0.94, 'zugestimmt': 0, 'hat': 0, 'entlastet': 0, 'das': 0, 'Parlament': 0.18, 'heute': 0.12, 'mit': 0.06, 'Erhöhun': 0.21, '…': 0}",neutral,"[0.8691269, 0.054654684, 0.07621843]",,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"#Siedungsgebiet #Kulturlandschaft #Biodiversität #Freilandhaltung #Pastoralismus #Habituierung #Herdenschutz #Muttertiere #Angriffe #Schäden #Entnahme #Regulierung  #ÖffentlicheSicherheit #Nachtpferch
#KleinerHundebandwurm
#EchinococcusGranulosus https://t.co/YfDFAodnjq",siedungsgebiet kulturlandschaft biodiversität freilandhaltung pastoralismus habituierung herdenschutz muttertiere angriffe schäden entnahme regulierung öffentlichesicherheit nachtpferch kleinerhundebandwurm echinococcusgranulosus,,,,"{'Siedungsgebiet': 0.02, 'Kulturlandschaft': 0.02, 'Biodiversität': 0.03, 'Freilandhaltung': 0.04, 'Pastoralismus': 0, 'Habituierung': 0, 'Herdenschutz': 0, 'Muttertiere': 0, 'Angriffe': 0.03, 'Schäden': 0.04, 'Entnahme': 0, 'Regulierung': 0.12, 'ÖffentlicheSicherheit': 1.0, 'Nachtpferch': 0, 'KleinerHundebandwurm': 0.045, 'EchinococcusGranulosus': 0.18}",positive,"[0.031556305, 0.0069160103, 0.9615277]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Genau so!

#Wallis: Wir wollen #Eringerkühe auf den #Alpen, keine #Wölfe

#Valais: Nous voulons des #vaches #Eringer dans les #alpes, pas des #loups

#Haustiere 
#Angriffe 
#grossraubtiereschweiz #herdenschutzhund #Herdenschutz #regulierung #Öffentlichesicherheit https://t.co/tMxiwsexRR",genau wallis eringerkühe alpen wölfe valais nous voulons vaches eringer dans les alpes pas loups haustiere angriffe grossraubtiereschweiz herdenschutzhund herdenschutz regulierung öffentlichesicherheit,,,,"{'Genau': 0, 'so': 0, 'Wallis': 0.02, 'Wir': 0.01, 'wollen': 0.02, 'Eringerkühe': 0, 'auf': 0, 'den': 0.01, 'Alpen': 0.02, 'keine': 0, 'Wölfe': 0.02, 'Valais': 0.02, 'Nous': 0.01, 'voulons': 0.02, 'des': 0, 'vaches': 0.02, 'Eringer': 0.01, 'dans': 0.01, 'les': 0.01, 'alpes': 0.02, 'pas': 0.02, 'loups': 0.02, 'Haustiere': 0.03, 'Angriffe': 0.02, 'grossraubtiereschweiz': 0, 'herdenschutzhund': 0, 'Herdenschutz': 0.08, 'regulierung': 0.15, 'Öffentlichesicherheit': 1.0}",positive,"[0.04896604, 0.017490584, 0.9335434]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"#Wölfe, #Bären, #Luchse und #Goldschakale in seinem #Siedlungsgebiet, #Weideland und #Erholungsraum haben oder nicht? 
Erfahre dies über Situation im Bergkanton #Wallis, die topografische Lage mit dem #Herdenschutz konfrontiert ist und Rolle #Kantons bei #ÖffentlicherSicherheit https://t.co/FUyRzUZcyy https://t.co/4v83nCHX71",wölfe bären luchse goldschakale siedlungsgebiet weideland erholungsraum erfahren situation bergkanton wallis topografische lage herdenschutz konfrontieren rolle kantons öffentlichersicherheit,,,,"{'Wölfe': 0.03, 'Bären': 0.02, 'Luchse': 0, 'und': 0.07, 'Goldschakale': 0.02, 'in': 0.09, 'seinem': 0.03, 'Siedlungsgebiet': 0.04, 'Weideland': 0.07, 'Erholungsraum': 0.03, 'haben': 0.08, 'oder': 0.07, 'nicht': 0.04, 'Erfahre': 0, 'dies': 0, 'über': 0, 'Situation': 0.12, 'im': 0, 'Bergkanton': 0.045, 'Wallis': 0.03, 'die': 0.07, 'topografische': 0, 'Lage': 0, 'mit': 0.09, 'dem': 0.07, 'Herdenschutz': 0.06, 'konfrontiert': 0, 'ist': 0, 'Rolle': 0.12, 'Kantons': 0.08, 'bei': 0, 'ÖffentlicherSicherheit': 0}",negative,"[0.46125498, 0.5008313, 0.037913643]",,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"Hilf mit, es geht um viel, 
jeder noch so kleine Betrag 
DANKE

#JaJagdgesetz
#Haustiere
#Weidetiere
#GepflegteKulturlabdschaft
#Landwirtschaft
#Forst
#Menschen
#ÖffentlicheSicherheit
#Pastoralistmus
#Alpaufzug
#Bewegungsfreiheit
#GutesTun
#SpendeJagdgesetz
#JaJSG_am27Sep2020 https://t.co/GTDyIfsO4N",helfen gehen jed kleine betrag danke jajagdgesetz haustiere weidetiere gepflegtekulturlabdschaft landwirtschaft forst menschen öffentlichesicherheit pastoralistmus alpaufzug bewegungsfreiheit gutestun spendejagdgesetz jajsg_am27sep2020,,,,"{'Hilf': 0.02, 'mit': 0, 'es': 0, 'geht': 0, 'um': 0.01, 'viel': 0.01, 'jeder': 0, 'noch': 0, 'so': 0, 'kleine': 0.02, 'Betrag': 0.01, 'DANKE': 0.02, 'JaJagdgesetz': 0, 'Haustiere': 0.03, 'Weidetiere': 0.035, 'GepflegteKulturlabdschaft': 0.03, 'Landwirtschaft': 0.07, 'Forst': 0, 'Menschen': 0.09, 'ÖffentlicheSicherheit': 1.0, 'Pastoralistmus': 0, 'Alpaufzug': 0, 'Bewegungsfreiheit': 0.0225, 'GutesTun': 0.01, 'SpendeJagdgesetz': 0.0325, 'JaJSG_am27Sep2020': 0}",positive,"[0.07234072, 0.032085802, 0.89557344]",,,,,,,"{'Hilf': 0.01, 'mit': 0, 'es': 0, 'geht': 0, 'um': 0.01, 'viel': 0.01, 'jeder': 0, 'noch': 0, 'so': 0, 'kleine': 0.01, 'Betrag': 0.02, 'DANKE': 0.01, 'JaJagdgesetz': 0, 'Haustiere': 0.02, 'Weidetiere': 0.025, 'GepflegteKulturlabdschaft': 0.02, 'Landwirtschaft': 0.04, 'Forst': 0, 'Menschen': 0.02, 'ÖffentlicheSicherheit': 0.03, 'Pastoralistmus': 0, 'Alpaufzug': 0, 'Bewegungsfreiheit': 0.037500000000000006, 'GutesTun': 0.015, 'SpendeJagdgesetz': 0.05, 'JaJSG_am27Sep2020': 0}",positive,"[0.120151274, 0.020036485, 0.8598122]",positive
50.0,75.0,57.0,0.0,neutral,"RT @RiederBeat: 12.09.2016 Staenderat bewilligt zusätzlich 395 Mio Sfr. mehr fuer Bildung Forschung und Innovation
Darunter 100... https://…",staenderat bewilligen zusätzlich mio sfr mehr fuer bildung forschung innovation darunter,,,,,,,"{'12.09.2016': 0, 'Staenderat': 0.05, 'bewilligt': 0, 'zusätzlich': 0, '395': 0, 'Mio': 0, 'Sfr': 0, 'mehr': 0.28, 'fuer': 0.3, 'Bildung': 1.0, 'Forschung': 0.45, 'und': 0.65, 'Innovation': 0.49, 'Darunter': 0, '100': 0, '...': 0}",positive,"[0.004741958, 0.0020306339, 0.9932274]",,,,,,,neutral
75.0,75.0,71.0,0.35,neutral,"Über 1'000 Mitarbeitende stehen allein bei den SBB Tag für Tag und Nacht für Nacht im unermüdlichen Einsatz, damit die Züge im Öffentlichen Verkehr gereinigt wieder ihre Kunden transportieren. Danke, weil Sauberkeit liegt ihnen am Herzen. PS: Abfälle auf Perron entsorgen, hilft. https://t.co/qV758YXd20",mitarbeitend stehen allein sbb tag tag nacht nacht unermüdlich einsatz züge öffentlich verkehr reinigen kunden transportieren danke sauberkeit liegen herzen ps abfälle perron entsorgen helfen,,,,,,,,,,"{'Über': 0.03, ""1'000"": 0, 'Mitarbeitende': 0.03, 'stehen': 0, 'allein': 0.02, 'bei': 0.02, 'den': 0.2, 'SBB': 0.03, 'Tag': 0, 'für': 0, 'und': 0.01, 'Nacht': 0.02, 'im': 0, 'unermüdlichen': 0, 'Einsatz': 0, 'damit': 0.035, 'die': 0.2, 'Züge': 0.05, 'Öffentlichen': 0.04, 'Verkehr': 0, 'gereinigt': 0, 'wieder': 0, 'ihre': 0.03, 'Kunden': 0.03, 'transportieren': 0.05, 'Danke': 0.075, 'weil': 0.08, 'Sauberkeit': 0.11, 'liegt': 0, 'ihnen': 0.06, 'am': 0, 'Herzen': 0, 'PS': 0.3, 'Abfälle': 0.29, 'auf': 0.16, 'Perron': 0, 'entsorgen': 0.03, 'hilft': 1.0}",neutral,"[0.4301414, 0.31435835, 0.2555002]",,,,positive
100.0,100.0,86.0,0.7,neutral,"#Biodiversität ist Vielfalt der Lebensräume, Arten und Gene. Die Landwirtschaft beeinflusst die Biodiversität &amp; #fördert sie schon deshalb, weil sie #Flächen #offen #hält und eine #Vielfalt an #Nutztierrassen hält und #Pflanzensorten kultiviert.

https://t.co/qfzeGhQso9 https://t.co/hSzVGlqXwj",biodiversität vielfalt lebensräume arten gene landwirtschaft beeinflusst biodiversität amp fördern schon deshalb flächen offen halten vielfalt nutztierrassen halten pflanzensorten kultivieren,,,,,,,,,,,,,"{'Biodiversität': 0.57, 'ist': 0.1, 'Vielfalt': 0.16, 'der': 0.11, 'Lebensräume': 0.11, 'Arten': 0.08, 'und': 0.03, 'Gene': 0, 'Die': 0.11, 'Landwirtschaft': 1.0, 'beeinflusst': 0, 'die': 0.11, 'amp': 0.27, 'fördert': 0, 'sie': 0, 'schon': 0, 'deshalb': 0, 'weil': 0.08, 'Flächen': 0, 'offen': 0.04, 'hält': 0, 'eine': 0, 'an': 0, 'Nutztierrassen': 0, 'Pflanzensorten': 0.05, 'kultiviert': 0}",positive,"[0.004489121, 0.0039631375, 0.99154776]",positive
100.0,100.0,86.0,0.7,neutral,"Das sind die Ziele von IUCN, LCIE, WWF, Natura 2000, NGOs, denen ihr grosse Raubtiere im Siedlungsgebiet zu verdanken habt, reiche Organisationen, die mit immer neuen Auflagen und Forderungen für die Landwirtschaft kommen, mit den FFH-Richtlinien udgl. die Politik unterwandern... https://t.co/tZ1EVXBg74",ziele iucn lcie wwf natura ngos grosse raubtiere siedlungsgebiet verdanken reichen organisationen immer neu auflagen forderungen landwirtschaft kommen ffh richtlinien udgl politik unterwandern,,,,,,,,,,,,,"{'Das': 0.03, 'sind': 0.04, 'die': 0.03, 'Ziele': 0.09, 'von': 0, 'IUCN': 0.1, 'LCIE': 0.06, 'WWF': 0.08, 'Natura': 0, '2000': 0, 'NGOs': 0.07, 'denen': 0, 'ihr': 0, 'grosse': 0, 'Raubtiere': 0.08, 'im': 0, 'Siedlungsgebiet': 0.05, 'zu': 0.03, 'verdanken': 0.08, 'habt': 0, 'reiche': 0.07, 'Organisationen': 0.2, 'mit': 0.1, 'immer': 0, 'neuen': 0.22, 'Auflagen': 0, 'und': 0.05, 'Forderungen': 1.0, 'für': 0.41, 'Landwirtschaft': 1.0, 'kommen': 0, 'den': 0.03, 'FFH-Richtlinien': 0.1, 'udgl': 0, 'Politik': 0, 'unterwandern': 0.06, '...': 0}",positive,"[0.44618168, 0.08013489, 0.4736834]",positive
