answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3430,absa_sentiment_3430,absa_scores_3430,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3471,absa_sentiment_3471,absa_scores_3471,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @SchmidFederer: Der BR lehnt den #Vaterschaftsurlaub ab. Er misst dem ""Ausbau familienergänzender Kinderbetreuungsangebote prioritäre Be…",br lehnen vaterschaftsurlaub ab misst ausbau familienergänzender kinderbetreuungsangebote prioritäre be,"{'Der': 0.07, 'BR': 0.02, 'lehnt': 0.07, 'den': 0.07, 'Vaterschaftsurlaub': 0.04, 'ab': 0, 'Er': 0, 'misst': 0.06, 'dem': 0.07, 'Ausbau': 0.25, 'familienergänzender': 0.62, 'Kinderbetreuungsangebote': 1.0, 'prioritäre': 0.15, 'Be': 0, '…': 0}",positive,"[0.0013265198, 0.0018459792, 0.9968274]",,,,"{'Der': 0.06, 'BR': 0.23, 'lehnt': 0.67, 'den': 0.06, 'Vaterschaftsurlaub': 0.64, 'ab': 0, 'Er': 0, 'misst': 0.21, 'dem': 0.06, 'Ausbau': 0.15, 'familienergänzender': 0.1, 'Kinderbetreuungsangebote': 0.1, 'prioritäre': 0.08, 'Be': 0, '…': 0}",positive,"[0.002182246, 0.0021701516, 0.9956476]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"niemand spricht von Rentenalter 67/67... aber ""Am geschlossensten für die Erhöhung des Rentenalters sind die FDP und die GLP. Die FDP sagt mit 91,1 Prozent «Ja» oder «eher Ja» zu einem höheren Rentenalter, die grünliberalen mit 89,1 Prozent.""

https://t.co/dn6Aksc5t4

#SRFArena",niemand sprechen rentenalter geschlossen erhöhung rentenalters fdp glp fdp sagen prozent ja eher ja hoch rentenalter grünliberalen prozent srfarena,,,,"{'niemand': 0.07, 'spricht': 0.05, 'von': 0, 'Rentenalter': 0, '67': 0, '...': 0, 'aber': 0.07, 'Am': 0, 'geschlossensten': 0.16, 'für': 0, 'die': 0, 'Erhöhung': 0, 'des': 0, 'Rentenalters': 0.095, 'sind': 0.18, 'FDP': 0.07, 'und': 0.09, 'GLP': 0.14, 'Die': 0.07, 'sagt': 0.11, 'mit': 0, '91,1': 0, 'Prozent': 0, '«': 0, 'Ja': 0, '»': 0, 'oder': 0, 'eher': 0, 'zu': 0, 'einem': 0, 'höheren': 0, 'grünliberalen': 0, '89,1': 0, 'SRFArena': 0}",positive,"[0.2299486, 0.07110297, 0.69894844]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"RT @StrebelLuca: Verdrehter geht es nicht: Gegner von #AV2020, die höheres Rentenalter wollen, werfen Befürwortern genau das (fälschlicherw…",verdreht gehen gegner av2020 hoch rentenalter werfen befürwortern genau fälschlicherw,,,,"{'Verdrehter': 0.06, 'geht': 0, 'es': 0, 'nicht': 0, 'Gegner': 0, 'von': 0, 'AV2020': 0.17, 'die': 0, 'höheres': 1.0, 'Rentenalter': 0.9, 'wollen': 0.61, 'werfen': 0.47, 'Befürwortern': 0, 'genau': 0, 'das': 0.16, 'fälschlicherw': 0.09, '…': 0}",neutral,"[0.516835, 0.08399995, 0.39916515]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"@manuelmauch @20min Das heisst, du garantierst mir, dass bei einem Nein das Rentenalter so bleibt wie es jetzt ist?",heisst garantieren nein rentenalter bleiben,,,,"{'Das': 0.36, 'heisst': 0.33, 'du': 0, 'garantierst': 0.22999999999999998, 'mir': 0.13, 'dass': 0.42, 'bei': 0, 'einem': 0, 'Nein': 0.58, 'das': 0.42, 'Rentenalter': 0.41500000000000004, 'so': 0, 'bleibt': 0, 'wie': 0, 'es': 0.33, 'jetzt': 0.75, 'ist': 0.33}",neutral,"[0.7514109, 0.06504141, 0.18354768]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
75.0,100.0,86.0,0.5,positive,"RT @thomas_ley: Sehr gut. Nächste Version: keine 70 Stutz, Rentenalter 67, noch weniger Rente. Ich glaub, darauf wartet das Volk.. 🙄
https:…",gut nächst version stutz rentenalter wenig rente glaub darauf warten volk https,,,,"{'Sehr': 0.15, 'gut': 0, 'Nächste': 0.27, 'Version': 0.51, 'keine': 0, '70': 0, 'Stutz': 0.45, 'Rentenalter': 0.615, '67': 0, 'noch': 0, 'weniger': 0, 'Rente': 0, 'Ich': 0.08, 'glaub': 0, 'darauf': 0, 'wartet': 0.09, 'das': 0.09, 'Volk': 0.07, '..': 0, 'https': 0.34, '…': 0}",positive,"[0.21656884, 0.030218136, 0.7532129]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @ZimmermannT: Frauenverbände sagen Ja zu  #AV2020! Obwohl Frauen mit Rentenalter 65 grossen Preis  zahlen. Das ist #grösse. Wie schon Re…,frauenverbände sagen ja av2020 obwohl frauen rentenalter grossen preis zahlen grösse schon re,,,,"{'Frauenverbände': 0.04, 'sagen': 0.055, 'Ja': 0, 'zu': 0.05, 'AV2020': 0.18, 'Obwohl': 0, 'Frauen': 0.09, 'mit': 0, 'Rentenalter': 0.08, '65': 0, 'grossen': 0, 'Preis': 0.08, 'zahlen': 0, 'Das': 0.04, 'ist': 0.14, 'grösse': 0.23, 'Wie': 0, 'schon': 0, 'Re': 1.0, '…': 0}",neutral,"[0.5265793, 0.1796658, 0.29375485]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"@AlainS1991 @DTschuempi @pensionskassen Senkung des UWS, Erhöhung des Frauenrentenalters, Erhöhung der MWST oder die höheren Arbeitnehmerbeiträge sind für dich also Pseudolösungen?",senkung uws erhöhung frauenrentenalters erhöhung mwst hoch arbeitnehmerbeiträge pseudolösungen,,,,"{'Senkung': 0.53, 'des': 0, 'UWS': 0.14, 'Erhöhung': 0, 'Frauenrentenalters': 0.71, 'der': 0.07, 'MWST': 0.15, 'oder': 0.09, 'die': 0.07, 'höheren': 0.06, 'Arbeitnehmerbeiträge': 0.08499999999999999, 'sind': 0.12, 'für': 0.05, 'dich': 0.07, 'also': 0, 'Pseudolösungen': 0}",neutral,"[0.49820793, 0.19300038, 0.30879167]",,,,"{'Senkung': 0.21, 'des': 0, 'UWS': 0.16, 'Erhöhung': 0, 'Frauenrentenalters': 0.08, 'der': 0.19, 'MWST': 0.11, 'oder': 0.35, 'die': 0.19, 'höheren': 0.12, 'Arbeitnehmerbeiträge': 0.295, 'sind': 0.79, 'für': 0.53, 'dich': 0.79, 'also': 0, 'Pseudolösungen': 0}",negative,"[0.4692002, 0.48941973, 0.041380063]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Rentenalter an Lebeserwartung binden &amp; Leistungserhalt fordern, bedeutet Rentenalter 70 für Frauen... #chamemache https://t.co/bDvjPg1jsp",rentenalter lebeserwartung binden amp leistungserhalt fordern bedeuten rentenalter frauen chamemache,,,,"{'Rentenalter': 0.07, 'an': 0, 'Lebeserwartung': 0, 'binden': 0, 'amp': 0.12, 'Leistungserhalt': 0, 'fordern': 0, 'bedeutet': 0.16, '70': 0, 'für': 0.07, 'Frauen': 0.08, '...': 0, 'chamemache': 0}",neutral,"[0.74511045, 0.028262839, 0.22662665]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"@Patrick_Eugster @AlainS1991 @PhilippBuechner @andrisilbi_ Naja.. Anbindung Rentenalter an Lebenserwartung, heisst bei Frauen ohne Leistungseinbuse beim BVG, mind. arbeiten bis 70 Jahre",naja anbindung rentenalter lebenserwartung heisst frauen leistungseinbuse beim bvg mind arbeiten jahre,,,,"{'Naja': 0.22, '..': 0, 'Anbindung': 0, 'Rentenalter': 0.32, 'an': 0, 'Lebenserwartung': 0.27, 'heisst': 0, 'bei': 0.06, 'Frauen': 0.26, 'ohne': 0.52, 'Leistungseinbuse': 0.1575, 'beim': 0.06, 'BVG': 0.12, 'mind.': 0, 'arbeiten': 0.08, 'bis': 0, '70': 0, 'Jahre': 0.14}",positive,"[0.03499925, 0.0075734826, 0.95742726]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,negative,@AlainS1991 @PhilippBuechner @andrisilbi_ Du sagst dem Alternativen? Frauenrentenalter auf 70 erhöhen??? #superSach,sagen alternativ frauenrentenalter erhöhen supersach,,,,"{'Du': 0, 'sagst': 0, 'dem': 0.505, 'Alternativen': 0, 'Frauenrentenalter': 0.8025, 'auf': 0, '70': 0, 'erhöhen': 1.0, 'superSach': 0}",neutral,"[0.8580066, 0.04356363, 0.09842982]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
