answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3455,absa_sentiment_3455,absa_scores_3455,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3471,absa_sentiment_3471,absa_scores_3471,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,negative,"@swissinfo_de @StojanovicNenad Werden die Leute dafür entschädigt, oder wird es ein Elitenprojekt, weil man es sich halt leisten können muss? Es sich leisten können muss die Zeit und Energie aufzubringen, die Kinderbetreuung zu organisieren, etc, für 4 Tage?",leute dafür entschädigen elitenprojekt halt leisten leisten zeit energie aufbringen kinderbetreuung organisieren etc tage,"{'Werden': 0.01, 'die': 0.06, 'Leute': 0.04, 'dafür': 0, 'entschädigt': 0.04, 'oder': 0.02, 'wird': 0.01, 'es': 0, 'ein': 0, 'Elitenprojekt': 0.11499999999999999, 'weil': 0.02, 'man': 0, 'sich': 0, 'halt': 0, 'leisten': 0.1, 'können': 0.05500000000000001, 'muss': 0.28, 'Es': 0, 'Zeit': 0.11, 'und': 0.04, 'Energie': 0.28, 'aufzubringen': 0.28, 'Kinderbetreuung': 1.0, 'zu': 0.28, 'organisieren': 0.64, 'etc': 0.12, 'für': 0.16, '4': 0, 'Tage': 0.13}",neutral,"[0.98245037, 0.008027531, 0.009522098]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @Elternzeit_CH: #Vaterschaftsurlaub war erst der Anfang – die Bevölkerung will bereits mehr! Gemäss einer ersten repräsentativen Demosco…,vaterschaftsurlaub erst anfang bevölkerung bereits mehr gemäss erst repräsentativ demosco,,,,"{'Vaterschaftsurlaub': 0.66, 'war': 0, 'erst': 0.04, 'der': 0.05, 'Anfang': 0.12, '–': 0, 'die': 0, 'Bevölkerung': 0, 'will': 0, 'bereits': 0, 'mehr': 0, 'Gemäss': 0, 'einer': 0, 'ersten': 0, 'repräsentativen': 0, 'Demosco': 0, '…': 0}",neutral,"[0.65008575, 0.07659774, 0.2733165]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @papizeit: Die Schweiz hat bis anhin KEINEN gesetzlichen #Vaterschaftsurlaub. Gemeinsam können wir das am 27. September 2020 ändern! Ja…,schweiz anhin gesetzlich vaterschaftsurlaub gemeinsam september ändern ja,,,,"{'Die': 0, 'Schweiz': 0.15, 'hat': 0, 'bis': 0, 'anhin': 0, 'KEINEN': 0, 'gesetzlichen': 0, 'Vaterschaftsurlaub': 1.0, 'Gemeinsam': 0.16, 'können': 0, 'wir': 0, 'das': 0.07, 'am': 0, '27.': 0, 'September': 0.06, '2020': 0, 'ändern': 0.08499999999999999, 'Ja': 0, '…': 0}",neutral,"[0.71190256, 0.17623386, 0.111863576]",,,,,,,,,,,,,,,,,,,neutral
50.0,25.0,28.0,-0.15,neutral,"Fertig mit Steinzeit, her mit der Elternzeit! 

Heute 15h auf dem Helvetiaplatz in Zürich: grosse #Kinderwagendemo für den Vaterschaftsurlaub! Mamas, Papas, Omas, Opas, Kind und Kegel: kommt alle!
 
Und macht mich nicht nervös, erste Demoschlussrede..

https://t.co/6cPLkxAlrH https://t.co/7QMlhw4Gg6",fertigen steinzeit her elternzeit heute 15h helvetiaplatz zürich grosse kinderwagendemo vaterschaftsurlaub mamas papas omas opas kind kegel kommen all nervös erste demoschlussrede,,,,"{'Fertig': 0, 'mit': 0.04, 'Steinzeit': 0.02, 'her': 0, 'der': 0.04, 'Elternzeit': 0.46, 'Heute': 0.08, '15h': 0.02, 'auf': 0.09, 'dem': 0.04, 'Helvetiaplatz': 0.13, 'in': 0.06, 'Zürich': 0, 'grosse': 0, 'Kinderwagendemo': 0.04, 'für': 1.0, 'den': 0.04, 'Vaterschaftsurlaub': 0.94, 'Mamas': 0, 'Papas': 0, 'Omas': 0.05, 'Opas': 0, 'Kind': 0, 'und': 0.03, 'Kegel': 0, 'kommt': 0.09, 'alle': 0.09, 'Und': 0.03, 'macht': 0, 'mich': 0.03, 'nicht': 0, 'nervös': 0.05, 'erste': 0.04, 'Demoschlussrede': 0, '..': 0}",neutral,"[0.7577091, 0.034050554, 0.20824039]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @jdstrub: ""Genau deshalb, weil es sich nicht alle Firmen leisten können, muss der Vaterschaftsurlaub kollektiv finanziert werden."" Unter…",genau deshalb all firmen leisten vaterschaftsurlaub kollektiv finanzieren,,,,"{'Genau': 0, 'deshalb': 0, 'weil': 0.19, 'es': 0, 'sich': 0, 'nicht': 0.13, 'alle': 0, 'Firmen': 0.14, 'leisten': 0.15, 'können': 0.1, 'muss': 0.1, 'der': 0, 'Vaterschaftsurlaub': 0.24, 'kollektiv': 0, 'finanziert': 0.48, 'werden': 0, 'Unter': 1.0, '…': 0}",negative,"[0.12055226, 0.82119876, 0.058248986]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"Wen je wieder jemand aus den Parteien, die nun die Minimallösung für den Vaterschaftsurlaub torpedieren damit kommt, dass man für Familien und deren Wert einstehe wisst ihr: keinen Pfifferling ist's ihnen wert, keinen.

https://t.co/P7ZqTzwx3x #ShameOnYou",wer je jemand parteien minimallösung vaterschaftsurlaub torpedieren kommen familien wert einstehen wisst pfifferling s wert shameonyou,,,,"{'Wen': 0, 'je': 0.03, 'wieder': 0, 'jemand': 0, 'aus': 0, 'den': 0.02, 'Parteien': 0.02, 'die': 0.02, 'nun': 0, 'Minimallösung': 0, 'für': 0.02, 'Vaterschaftsurlaub': 0.125, 'torpedieren': 0, 'damit': 0.03, 'kommt': 0.01, 'dass': 0.01, 'man': 0, 'Familien': 0, 'und': 0.02, 'deren': 0, 'Wert': 0.03, 'einstehe': 0, 'wisst': 0.02, 'ihr': 0, 'keinen': 0.05, 'Pfifferling': 0, ""ist's"": 0.025, 'ihnen': 0.02, 'wert': 0.03, 'ShameOnYou': 1.0}",neutral,"[0.3843982, 0.24490081, 0.370701]",,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,negative,"In unserer Firma geben wir seit langem 4 Wochen Vaterschaftsurlaub. Lohnt sich, für Väter, Mütter, Kinder und die Firma. Im Nationalrat wird über lausige 2 Wochen debattiert, wie wenn's ein Luxus wäre. Es ist kein Luxus, es ist essentiell. Es gibt nur eins: eine echte Elternzeit! https://t.co/62vuypEELo",firma geben seit lang wochen vaterschaftsurlaub lohnen väter mütter kinder firma nationalrat lausig wochen debattieren s luxus luxus essentiell geben eins echte elternzeit,,,,"{'In': 0.01, 'unserer': 0.01, 'Firma': 0.02, 'geben': 0, 'wir': 0, 'seit': 0, 'langem': 0.01, '4': 0, 'Wochen': 0.03, 'Vaterschaftsurlaub': 0.535, 'Lohnt': 0.035, 'sich': 0, 'für': 0.02, 'Väter': 0.01, 'Mütter': 0.01, 'Kinder': 0.03, 'und': 0.01, 'die': 0.02, 'Im': 0, 'Nationalrat': 0.035, 'wird': 0, 'über': 0, 'lausige': 0.03, '2': 0, 'debattiert': 0, 'wie': 0, ""wenn's"": 0.03, 'ein': 0.09, 'Luxus': 0.15, 'wäre': 0, 'Es': 0.08, 'ist': 0.08, 'kein': 0, 'es': 0.08, 'essentiell': 0.08, 'gibt': 0, 'nur': 0.16, 'eins': 0.03, 'eine': 0.09, 'echte': 1.0, 'Elternzeit': 0.81}",positive,"[0.054961693, 0.09033032, 0.854708]",,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,negative,"@spschweiz @papizeit Als Mitgründer eines Unternehmens, das seit über zehn Jahren vier Wochen #Vaterschaftsurlaub gibt,  darf ich sagen, ganz empirisch: zwei Wochen sind nicht genug, lieber Ständerat. Und ja: auch vier Wochen sind nur ein Puzzlestein, aber einen um den sich echt viel bauen lässt.",mitgründer unternehmens seit zehn jahren vier wochen vaterschaftsurlaub geben dürfen sagen ganz empirisch zwei wochen genug lieb ständerat ja vier wochen puzzlestein echt bauen lässt,,,,"{'Als': 0, 'Mitgründer': 0, 'eines': 0.01, 'Unternehmens': 0.14, 'das': 0.07, 'seit': 0, 'über': 0.05, 'zehn': 0.06, 'Jahren': 0.08, 'vier': 0.07, 'Wochen': 0.03, 'Vaterschaftsurlaub': 0.44, 'gibt': 0.03, 'darf': 0, 'ich': 0.05, 'sagen': 0.04, 'ganz': 0, 'empirisch': 0.08, 'zwei': 0.02, 'sind': 0.03, 'nicht': 0.1, 'genug': 0.02, 'lieber': 0, 'Ständerat': 0.04, 'Und': 0.06, 'ja': 0.06, 'auch': 0, 'nur': 0, 'ein': 0.01, 'Puzzlestein': 0, 'aber': 0.01, 'einen': 0.01, 'um': 0.01, 'den': 0.02, 'sich': 0, 'echt': 0, 'viel': 0.015, 'bauen': 0, 'lässt': 0}",neutral,"[0.7663369, 0.043089885, 0.19057319]",,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"🐮+💰+🤠: Die Direktzahlungen in die Landwirtschaft müssen endlich voll transparent werden. #Opendata, fertig. Wir hätten mehr, bessere Analysen, klarere Bilder über was da geht und eine echte Debatte. Falls das wer wollte. 

https://t.co/e1xRNefSr3, https://t.co/niYYcCSFA2 https://t.co/NUUMD6auE1",direktzahlungen landwirtschaft müssen endlich voll transparent opendata fertigen mehr gut analysen klar bilder gehen echte debatte falls wer,,,,,,,"{'🤠': 0, 'Die': 0, 'Direktzahlungen': 0, 'in': 0, 'die': 0, 'Landwirtschaft': 0, 'müssen': 0, 'endlich': 0, 'voll': 0, 'transparent': 0, 'werden': 0, 'Opendata': 0, 'fertig': 0, 'Wir': 0, 'hätten': 0, 'mehr': 0, 'bessere': 0, 'Analysen': 0, 'klarere': 0, 'Bilder': 0, 'über': 0, 'was': 0, 'da': 0, 'geht': 0, 'und': 0, 'eine': 0, 'echte': 0, 'Debatte': 0, 'Falls': 0, 'das': 0, 'wer': 0, 'wollte': 0}",positive,"[0.2549645, 0.33947143, 0.40556407]",,,,,,,,,,,,,"{'🤠': 0, 'Die': 0, 'Direktzahlungen': 0, 'in': 0, 'die': 0, 'Landwirtschaft': 0, 'müssen': 0, 'endlich': 0, 'voll': 0, 'transparent': 0, 'werden': 0, 'Opendata': 0, 'fertig': 0, 'Wir': 0, 'hätten': 0, 'mehr': 0, 'bessere': 0, 'Analysen': 0, 'klarere': 0, 'Bilder': 0, 'über': 0, 'was': 0, 'da': 0, 'geht': 0, 'und': 0, 'eine': 0, 'echte': 0, 'Debatte': 0, 'Falls': 0, 'das': 0, 'wer': 0, 'wollte': 0}",neutral,"[0.5195501, 0.053591967, 0.426858]",positive
0.0,0.0,14.0,-0.7,neutral,"Strategische Instrumente der digitalen Souveränität gehören nicht in die Hand aufgeblasener ""Einhörner"". Zurück auf Feld 1 also beim E-Voting. https://t.co/UD48IXHN2Q",strategische instrumente digital souveränität gehören hand aufgeblasen einhörner zurück feld beim e voting,,,,,,,,,,"{'Strategische': 0.17, 'Instrumente': 0.11, 'der': 0.16, 'digitalen': 0.17, 'Souveränität': 0.09, 'gehören': 0.08, 'nicht': 0.08, 'in': 0.27, 'die': 0.16, 'Hand': 0, 'aufgeblasener': 0.08, 'Einhörner': 0.14, 'Zurück': 1.0, 'auf': 0, 'Feld': 0.54, '1': 0, 'also': 0, 'beim': 0.16, 'E-Voting': 0}",neutral,"[0.81634206, 0.025376601, 0.15828133]",,,,,,,,,,,,,negative
