answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @silvan_amberg: @alex_baur @kinettehuber Mit welchem Recht sollte jemand den Konsum anderer Leute von überhaupt irgendwas (Cannabis, Alk…",welch recht sollen jemand konsum leute überhaupt irgendwas cannabis alk,"{'Mit': 0.06, 'welchem': 0, 'Recht': 0, 'sollte': 0.07, 'jemand': 0.08, 'den': 0, 'Konsum': 0, 'anderer': 0, 'Leute': 0.1, 'von': 0.23, 'überhaupt': 0, 'irgendwas': 0.52, 'Cannabis': 1.0, 'Alk': 0, '…': 0}",neutral,"[0.9822957, 0.005139962, 0.012564363]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
75.0,75.0,71.0,0.2333333333333333,neutral,"Unterstützt die #Generationeninitiative! https://t.co/gXvZCp9yb1
1. Rentenalter abhängig von Lebenserwartung
2. Keine Umverteilung in der zweiten Säule #BVG
3. flexibles Rentenalter",unterstützen generationeninitiative rentenalter abhängig lebenserwartung umverteilung zweit säule bvg flexibel rentenalter,,,,"{'Unterstützt': 0, 'die': 0.06, 'Generationeninitiative': 0, '1.': 0, 'Rentenalter': 0.09, 'abhängig': 0, 'von': 0, 'Lebenserwartung': 0.65, '2.': 0, 'Keine': 0, 'Umverteilung': 0.16, 'in': 0.08, 'der': 0.06, 'zweiten': 0.06, 'Säule': 0.08, 'BVG': 0.12, '3.': 0, 'flexibles': 0.27}",positive,"[0.30144608, 0.02936875, 0.6691852]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @ThorstenPolleit: Liegt der Mindestlohn über dem markträumenden Lohn, ist Arbeitslosigkeit das Ergebnis. Liegt er unter dem markträumend…",liegen mindestlohn markträumenden lohn arbeitslosigkeit ergebnis liegen markträumend,,,,,,,"{'Liegt': 0, 'der': 0.13, 'Mindestlohn': 0.05, 'über': 0, 'dem': 0.13, 'markträumenden': 0.11000000000000001, 'Lohn': 0, 'ist': 1.0, 'Arbeitslosigkeit': 0.22, 'das': 0, 'Ergebnis': 0.47, 'er': 1.0, 'unter': 0, 'markträumend': 0.12250000000000001, '…': 0}",negative,"[0.3801447, 0.4224973, 0.19735797]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Die Bewegungen für erneuerbare Energien und Umwelt bilden eine Religion. @ShellenbergerMD,bewegungen erneuerbare energien umwelt bilden religion,,,,,,,,,,"{'Die': 1.0, 'Bewegungen': 0.61, 'für': 0, 'erneuerbare': 1.0, 'Energien': 0, 'und': 0.19, 'Umwelt': 0, 'bilden': 1.0, 'eine': 0, 'Religion': 0.35}",positive,"[0.001043886, 0.0009633792, 0.99799275]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,25.0,28.0,-0.15,neutral,"@MDenzlinger Habe ich auch schon gehört. Doch ist es nicht eher umgekehrt: Freiheit ist die Grundlage für Marktwirtschaft. Innerhalb der Marktwirtschaft kann ich arbeiten was ich will, doch bin von meinem Arbeitgeber oder meinen Kunden abhängig.

Anders, wenn ich finanziell unabhängig bin.",schon hören eher umkehren freiheit grundlage marktwirtschaft innerhalb marktwirtschaft arbeiten arbeitgeber kunden abhängig finanziell unabhängig,,,,,,,,,,,,,"{'Habe': 0, 'ich': 0.04, 'auch': 0, 'schon': 0, 'gehört': 0.05, 'Doch': 0.05, 'ist': 0.17, 'es': 0.17, 'nicht': 0.07, 'eher': 0, 'umgekehrt': 0, 'Freiheit': 0.3, 'die': 0.05, 'Grundlage': 0.87, 'für': 0.56, 'Marktwirtschaft': 0.05, 'Innerhalb': 0, 'der': 0.05, 'kann': 0.11, 'arbeiten': 0.1, 'was': 0, 'will': 0, 'doch': 0, 'bin': 0, 'von': 0, 'meinem': 0.03, 'Arbeitgeber': 0.05, 'oder': 0.05, 'meinen': 0, 'Kunden': 0.04, 'abhängig': 0.15, 'Anders': 0.15, 'wenn': 0, 'finanziell': 0.06, 'unabhängig': 0.09}",positive,"[0.015049173, 0.0026968843, 0.98225397]",,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.85,neutral,"@DailyTalk Die ganze Marktwirtschaft baut auf der Gunst des andern auf. Sieger ist, wer die Bedürfnisse des anderen am besten erkennt und befriedigen kann. Der Markt basiert auf Win-Win-Situationen.",ganze marktwirtschaft bauen gunst sieger wer bedürfnisse gut erkennen befriedigen markt basieren win win situationen,,,,,,,,,,,,,"{'Die': 0.12, 'ganze': 1.0, 'Marktwirtschaft': 0.5349999999999999, 'baut': 0, 'auf': 0.08, 'der': 0.12, 'Gunst': 0.25, 'des': 0, 'andern': 0, 'Sieger': 0.37, 'ist': 0.14, 'wer': 0, 'die': 0.12, 'Bedürfnisse': 0.1, 'anderen': 0, 'am': 0, 'besten': 0.12, 'erkennt': 0.16, 'und': 0.07, 'befriedigen': 0.17, 'kann': 0.06, 'Der': 0.12, 'Markt': 0.25, 'basiert': 0.18, 'Win-Win-Situationen': 0.09}",positive,"[0.095169015, 0.011189032, 0.89364195]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,25.0,28.0,-0.15,neutral,"@JPBreuleux Wenn er der See ihm gehört: nichts.

Das Schreckensszenario eines konkurrenzlosen Monopolisten ist in einer lebendigen Marktwirtschaft unwahrscheinlich. Und als worstcase-Szenario entspricht es der heutigen dominanten staatlichen Realität.",see hören schreckensszenario konkurrenzlos monopolisten lebendig marktwirtschaft unwahrscheinlich worstcase szenario entsprechen heutig dominant staatlich realität,,,,,,,,,,,,,"{'Wenn': 0, 'er': 0.05, 'der': 0.04, 'See': 0, 'ihm': 0, 'gehört': 0, 'nichts': 0.02, 'Das': 0.04, 'Schreckensszenario': 0.065, 'eines': 0, 'konkurrenzlosen': 0.14, 'Monopolisten': 0, 'ist': 0.05, 'in': 0.37, 'einer': 0, 'lebendigen': 0, 'Marktwirtschaft': 0.81, 'unwahrscheinlich': 0.22, 'Und': 0.04, 'als': 0.04, 'worstcase-Szenario': 0.06, 'entspricht': 0.045, 'es': 0.05, 'heutigen': 0.08, 'dominanten': 0.07, 'staatlichen': 0.05, 'Realität': 0.08}",positive,"[0.013974293, 0.008701443, 0.9773243]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,RT @anna_p_neumann: Seit Einführung von marktwirtschaftlichen Systemen hat sich weltweit extreme Armut um über 80 % reduziert. Gleichzeitig…,seit einführung marktwirtschaftlichen systemen weltweit extreme armut reduzieren gleichzeitig,,,,,,,,,,,,,"{'Seit': 0.57, 'Einführung': 0.13, 'von': 0, 'marktwirtschaftlichen': 0.11, 'Systemen': 0.1, 'hat': 0, 'sich': 0, 'weltweit': 0.08, 'extreme': 0.07, 'Armut': 0.1, 'um': 0, 'über': 0.04, '80': 0, 'reduziert': 0.06, 'Gleichzeitig': 0.14, '…': 0}",positive,"[0.16498601, 0.1084948, 0.7265192]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @lib_inst: Der Mix aus #Marktwirtschaft, #Eigenverantwortung und #Solidarität wäre auch im Bereich der Altersvorsorge einem kollektivist…",mix marktwirtschaft eigenverantwortung solidarität bereich altersvorsorge kollektivist,,,,,,,,,,,,,"{'Der': 0.06, 'Mix': 0.54, 'aus': 0, 'Marktwirtschaft': 0.78, 'Eigenverantwortung': 0.12, 'und': 0.16, 'Solidarität': 0.2, 'wäre': 0.24, 'auch': 0.11, 'im': 0, 'Bereich': 0.07, 'der': 0.06, 'Altersvorsorge': 0.09, 'einem': 0, 'kollektivist': 0.29, '…': 0}",neutral,"[0.7732868, 0.050342683, 0.1763705]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Gefahren:
- Geld- und Kreditflut durch die Notenbanken
- überbordende Verschuldung der Staaten
- wachsende Kluft zwischen Währungen und Realwirtschaft

Lösungen:
- Digitalisierung
- Blockchain-Technologie

(Karl Reichmuth) https://t.co/JYKsL69Flc",gefahren geld kreditflut notenbanken überbordende verschuldung staaten wachsend kluft währungen realwirtschaft lösungen digitalisierung blockchain technologie karl reichmuth,,,,,,,,,,,,,,,,"{'Gefahren': 0.09, 'Geld-': 0, 'und': 0.03, 'Kreditflut': 0.06, 'durch': 0, 'die': 0.04, 'Notenbanken': 0.055, 'überbordende': 0, 'Verschuldung': 0.08, 'der': 0.04, 'Staaten': 0.04, 'wachsende': 0.04, 'Kluft': 0.07, 'zwischen': 0.04, 'Währungen': 0.15, 'Realwirtschaft': 0.055, 'Lösungen': 0.2, 'Digitalisierung': 1.0, 'Blockchain-Technologie': 0.275, 'Karl': 0.05, 'Reichmuth': 0.12}",positive,"[0.04077879, 0.14568177, 0.8135394]",,,,,,,,,,,,,,,,,,,neutral
