answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3391,absa_sentiment_3391,absa_scores_3391,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3444,absa_sentiment_3444,absa_scores_3444,absa_token_weights_3446,absa_sentiment_3446,absa_scores_3446,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3469,absa_sentiment_3469,absa_scores_3469,absa_token_weights_3470,absa_sentiment_3470,absa_scores_3470,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,RT @FDP_Liberalen: Ausgerechnet @spschweiz und @GrueneCH stellen sich gegen die Erhöhung der Steuerabzüge für die Kinderbetreuung. Unverstä…,ausrechnen stellen erhöhung steuerabzüge kinderbetreuung unverstä,"{'Ausgerechnet': 0.0325, 'und': 0.05, 'stellen': 0, 'sich': 0, 'gegen': 0, 'die': 0.07, 'Erhöhung': 0.08, 'der': 0.07, 'Steuerabzüge': 0.08, 'für': 0.04, 'Kinderbetreuung': 0.17, 'Unverstä': 1.0, '…': 0}",negative,"[0.03576483, 0.801048, 0.16318718]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,".@fdp_zh macht Nägel mit Köpfe bei der Vereinbarkeit von Familie und
Beruf: Müssen sich Krippen mit weniger Auflagen herumschlagen, haben sie mehr Zeit und Geld für ihre eigentliche Aufgabe, die Kinderbetreuung.
https://t.co/bXhGoRqe52",nägel köpfe vereinbarkeit familie beruf müssen krippen wenig auflagen herumschlagen mehr zeit geld eigentlich aufgabe kinderbetreuung,"{'macht': 0, 'Nägel': 0, 'mit': 0.07, 'Köpfe': 0, 'bei': 0, 'der': 0, 'Vereinbarkeit': 0, 'von': 0, 'Familie': 0.03, 'und': 0.18, 'Beruf': 0.06, 'Müssen': 0.05, 'sich': 0, 'Krippen': 0, 'weniger': 0.06, 'Auflagen': 0, 'herumschlagen': 0, 'haben': 0.05, 'sie': 0, 'mehr': 0.12, 'Zeit': 0.06, 'Geld': 0.11, 'für': 0.27, 'ihre': 0.26, 'eigentliche': 0.36, 'Aufgabe': 0.61, 'die': 0, 'Kinderbetreuung': 1.0}",neutral,"[0.81574136, 0.06906884, 0.11518971]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Wir müssen mit Tagesschulen etc. die Rahmenbedingungen setzen, damit jede Familie selbst entscheiden kann, wie sie die Kinderbetreuung organisiert. Hingegen ist es nicht Aufgabe des Staates, anstelle der Eltern die Erziehung zu übernehmen.
https://t.co/Ng5gXbxWXm",müssen tagesschulen etc rahmenbedingungen setzen jed familie entscheiden kinderbetreuung organisieren hingegen aufgabe staates anstellen eltern erziehung übernehmen,"{'Wir': 0.02, 'müssen': 0.035, 'mit': 0.03, 'Tagesschulen': 0.035, 'etc.': 0, 'die': 0.02, 'Rahmenbedingungen': 0.05, 'setzen': 0.04, 'damit': 0.05, 'jede': 0, 'Familie': 0.1, 'selbst': 0, 'entscheiden': 0.14, 'kann': 0.06, 'wie': 0.4, 'sie': 0, 'Kinderbetreuung': 1.0, 'organisiert': 0, 'Hingegen': 0, 'ist': 0.02, 'es': 0.02, 'nicht': 0.05, 'Aufgabe': 0, 'des': 0, 'Staates': 0.08, 'anstelle': 0.04, 'der': 0.02, 'Eltern': 0.08, 'Erziehung': 0.04, 'zu': 0.05, 'übernehmen': 0.045}",neutral,"[0.9537551, 0.04188947, 0.004355483]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,14.0,-0.7,neutral,"RT @fdp_zh: Neu können die #Kinderbetreuungskosten bis zu 25'000.- von den Steuern abgezogen werden.
Die Umsetzung dieser langjährigen Ford…",neu kinderbetreuungskosten steuern abziehen umsetzung langjährig ford,"{'Neu': 0, 'können': 0.07, 'die': 1.0, 'Kinderbetreuungskosten': 0.14500000000000002, 'bis': 0, 'zu': 0.05, ""25'000.-"": 0, 'von': 0.05, 'den': 1.0, 'Steuern': 0, 'abgezogen': 0.08, 'werden': 0, 'Die': 1.0, 'Umsetzung': 0.58, 'dieser': 0.26, 'langjährigen': 0, 'Ford': 0.45, '…': 0}",neutral,"[0.6283172, 0.21628143, 0.15540145]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,1.0,neutral,"RT @fdp_zh: Für die FDP Fraktion ist klar: Das Stimmrecht soll erst nach erfolgreicher Integration gewährt werden. 
#krzh #ausländerstimmre…",fdp fraktion klaren stimmrecht erst erfolgreich integration währen krzh ausländerstimmre,,,,"{'Für': 0.15, 'die': 0.13, 'FDP': 0.17, 'Fraktion': 0, 'ist': 0.13, 'klar': 0.18, 'Das': 0.13, 'Stimmrecht': 0.1325, 'soll': 0, 'erst': 0, 'nach': 0.54, 'erfolgreicher': 0.49, 'Integration': 0.81, 'gewährt': 0.29, 'werden': 0, 'krzh': 0.67, 'ausländerstimmre': 0.16, '…': 0}",neutral,"[0.6365881, 0.26147914, 0.10193278]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"Dem stimme ich zu 100% zu:

«Meiner Ansicht nach sollte Cannabis legalisiert werden. Gleichzeitig sollte man Produktion und Handel regulieren. Damit kann der skrupellose Schwarzmarkt ausgetrocknet werden.»
https://t.co/LyEes8wysA",stimme ansicht sollen cannabis legalisieren gleichzeitig sollen produktion handel regulieren skrupellose schwarzmarkt austrocknen,,,,,,,"{'Dem': 0.05, 'stimme': 0, 'ich': 0.03, 'zu': 0, '100': 0, '«': 0, 'Meiner': 0, 'Ansicht': 0, 'nach': 0, 'sollte': 0, 'Cannabis': 0, 'legalisiert': 0, 'werden': 0, 'Gleichzeitig': 0, 'man': 0, 'Produktion': 0, 'und': 0, 'Handel': 0, 'regulieren': 0, 'Damit': 0, 'kann': 0, 'der': 0, 'skrupellose': 0, 'Schwarzmarkt': 0, 'ausgetrocknet': 0, '»': 0}",neutral,"[0.50884753, 0.050684992, 0.4404674]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"Selbstverständlich getrauen wir uns, Rentenalter 66 zu unterstützen. Ich habe bereits unterschrieben. Denn nur so lässt sich unsere Altersvorsorge nachhaltig sanieren. @NZZ @FabianSchaefer1 
https://t.co/7G40NSmPlP",selbstverständlich getrauen rentenalter unterstützen bereits unterschreiben lässt altersvorsorge nachhaltig sanieren,,,,,,,,,,"{'Selbstverständlich': 0.04, 'getrauen': 0, 'wir': 0, 'uns': 0, 'Rentenalter': 0.1, '66': 0, 'zu': 0.23, 'unterstützen': 0.09, 'Ich': 0.02, 'habe': 0, 'bereits': 0.04, 'unterschrieben': 0.1, 'Denn': 0, 'nur': 0.19, 'so': 0, 'lässt': 0, 'sich': 0, 'unsere': 0.19, 'Altersvorsorge': 0.12, 'nachhaltig': 0, 'sanieren': 0.83}",positive,"[0.0337813, 0.028743234, 0.93747544]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @FDP_Liberalen: Die Diskussion übers #Rentenalter darf kein Tabu sein - die @spschweiz ist realitätsfern. Die Volksinitiative der @Jungf…,diskussion übers rentenalter dürfen tabu realitätsfern volksinitiative,,,,,,,,,,"{'Die': 0.12, 'Diskussion': 0.49, 'übers': 0, 'Rentenalter': 0.905, 'darf': 0, 'kein': 0, 'Tabu': 0, 'sein': 0, 'die': 0.12, 'ist': 0, 'realitätsfern': 0.44, 'Volksinitiative': 0.195, 'der': 0.12, '…': 0}",positive,"[0.16071719, 0.015510595, 0.8237722]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"@HealthBells Das gehört natürlich dazu: Mit Bildung mein ich auch Weiterbildung, damit Ü50 auch das können, was gesucht ist. Und höheres Rentenalter führt dazu, dass Ü50 nicht zum alten Eisen gehören, sondern sich Einarbeiten, Weiterbilden etc. für eine Firma lohnt.",hören natürlich bildung weiterbildung ü50 suchen hoch rentenalter führen ü50 alt eisen gehören einarbeiten weiterbilden etc firma lohnen,,,,,,,,,,"{'Das': 0.05, 'gehört': 0, 'natürlich': 0, 'dazu': 0.04, 'Mit': 0, 'Bildung': 0.31, 'mein': 0, 'ich': 0.02, 'auch': 0.03, 'Weiterbildung': 0.31, 'damit': 0.04, 'Ü50': 0, 'das': 0.14, 'können': 0, 'was': 0, 'gesucht': 0, 'ist': 0.04, 'Und': 0.46, 'höheres': 1.0, 'Rentenalter': 0.7949999999999999, 'führt': 0, 'dass': 0.14, 'nicht': 0.14, 'zum': 0.045, 'alten': 0, 'Eisen': 0.04, 'gehören': 0.08, 'sondern': 0.1, 'sich': 0, 'Einarbeiten': 0, 'Weiterbilden': 0.1, 'etc.': 0, 'für': 0.06, 'eine': 0, 'Firma': 0.14, 'lohnt': 0.02}",negative,"[0.08088337, 0.85977554, 0.059341148]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.74,neutral,"Mit guten Bildungsangeboten, mit einer besseren Vereinbarkeit von Familie und Beruf und mit einem höheren Rentenalter ist es möglich, das Arbeitskräfte-Potenzial in der Schweiz besser zu nutzen und weniger auf Zuwanderung angewiesen zu sein.
https://t.co/iOx0SMgO8B",gut bildungsangeboten gut vereinbarkeit familie beruf hoch rentenalter möglich arbeitskräfte potenzial schweiz gut nutzen wenig zuwanderung anweisen,,,,,,,,,,"{'Mit': 0.18, 'guten': 0.19, 'Bildungsangeboten': 0.25, 'mit': 0.18, 'einer': 0, 'besseren': 0.06, 'Vereinbarkeit': 0, 'von': 0, 'Familie': 0, 'und': 0.05, 'Beruf': 0, 'einem': 0, 'höheren': 1.0, 'Rentenalter': 0.95, 'ist': 0.05, 'es': 0.05, 'möglich': 0.1, 'das': 0, 'Arbeitskräfte-Potenzial': 0.09, 'in': 0.04, 'der': 0.07, 'Schweiz': 0.1, 'besser': 0.06, 'zu': 0.03, 'nutzen': 0.045, 'weniger': 0, 'auf': 0.04, 'Zuwanderung': 0.08, 'angewiesen': 0, 'sein': 0}",positive,"[0.0033914985, 0.0022758297, 0.9943327]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
