answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3446,absa_sentiment_3446,absa_scores_3446,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3473,absa_sentiment_3473,absa_scores_3473,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,86.0,0.7,neutral,RT @srfnews: Bundesrat: Der Steuerabzug für die Kinderbetreuung soll deutlich erhöht – und schweizweit harmonisiert werden. https://t.co/0D…,bundesrat steuerabzug kinderbetreuung deutlich erhöhen schweizweit harmonisieren,"{'Bundesrat': 0.175, 'Der': 0.28, 'Steuerabzug': 0.575, 'für': 0.26, 'die': 0.28, 'Kinderbetreuung': 0.7, 'soll': 0, 'deutlich': 0, 'erhöht': 0, '–': 0, 'und': 0, 'schweizweit': 0, 'harmonisiert': 0, 'werden': 0}",negative,"[0.24025068, 0.6930839, 0.06666537]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @grunliberale: Die @jglpCH wollen Cannabis legalisieren und analog zu Alkohol und Tabak besteuern. https://t.co/ZyAWlOiX6y,cannabis legalisieren analog alkohol tabak besteuern,,,,"{'Die': 0.05, 'wollen': 1.0, 'Cannabis': 0.29, 'legalisieren': 0.99, 'und': 0.07, 'analog': 0, 'zu': 0.7, 'Alkohol': 0.07, 'Tabak': 0.09, 'besteuern': 0.38}",neutral,"[0.913563, 0.058742, 0.02769487]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @rudolf_mohler: Im Gegensatz zur Schweiz hat Deutschland eine Erhöhung des Rentenalters auf 67 längst eingeleitet. Gleichwohl sind weite…,gegensatz schweiz deutschland erhöhung rentenalters längst einleiten gleichwohl weit,,,,,,,"{'Im': 0, 'Gegensatz': 0.26, 'zur': 0.07, 'Schweiz': 0.06, 'hat': 0, 'Deutschland': 0.11, 'eine': 0, 'Erhöhung': 0.26, 'des': 0, 'Rentenalters': 0.125, 'auf': 0, '67': 0, 'längst': 0.06, 'eingeleitet': 0.11, 'Gleichwohl': 0.46, 'sind': 0, 'weite': 0, '…': 0}",positive,"[0.30156884, 0.1249017, 0.57352954]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,RT @grunliberale: Grünliberale Politik ist #enkeltauglich. «Das Rentenalter muss sich den jeweiligen demografischen Realitäten anpassen. Da…,grünliberale politik enkeltauglich rentenalter jeweilig demografischen realitäten anpassen,,,,,,,"{'Grünliberale': 0.1, 'Politik': 0, 'ist': 0, 'enkeltauglich': 0, '«': 0, 'Das': 0, 'Rentenalter': 0, 'muss': 0, 'sich': 0, 'den': 0, 'jeweiligen': 0, 'demografischen': 0, 'Realitäten': 0, 'anpassen': 0, 'Da': 0, '…': 0}",positive,"[0.041907907, 0.01157359, 0.9465185]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @Pietro_Imhof: @demokratie_ch Rentenalter 66 für beide Geschlechter #AHV21 !
Durch schrittweises erhöhen bei den Frauen um zwei Monate,…",rentenalter beid geschlechter ahv21 schrittweise erhöhen frauen zwei monate,,,,,,,"{'Rentenalter': 0.81, '66': 0, 'für': 0.05, 'beide': 0.08, 'Geschlechter': 0, 'AHV21': 0.27, 'Durch': 0, 'schrittweises': 0, 'erhöhen': 0, 'bei': 0, 'den': 0, 'Frauen': 0.08, 'um': 0, 'zwei': 0.03, 'Monate': 0.06, '…': 0}",positive,"[0.43633783, 0.07588283, 0.4877793]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"RT @kathrinbertschy: „(...) Statt das Rentenalter der Frauen durch alle Böden zu verteidigen, sollte man unser patriarchales Vorsorgesystem…",statt rentenalter frauen all böden verteidigen sollen patriarchales vorsorgesystem,,,,,,,"{'„': 0, '...': 0, 'Statt': 0, 'das': 0, 'Rentenalter': 0, 'der': 0, 'Frauen': 0, 'durch': 0, 'alle': 0, 'Böden': 0, 'zu': 0, 'verteidigen': 0, 'sollte': 0, 'man': 0, 'unser': 0, 'patriarchales': 0, 'Vorsorgesystem': 0, '…': 0}",neutral,"[0.5399372, 0.23570952, 0.22435327]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @fionabonina: Heute für @jglpCH bei BR Bersets AV2020-Aussprache: Wir fordern Rentenalter anpassen, Koordinationsabzug streichen, #Weits…",heute br bersets av2020 aussprache fordern rentenalter anpassen koordinationsabzug streichen weits,,,,,,,"{'Heute': 0.24, 'für': 0.66, 'bei': 0, 'BR': 0.06, 'Bersets': 0.11, 'AV2020-Aussprache': 0.19, 'Wir': 0.86, 'fordern': 0, 'Rentenalter': 0.51, 'anpassen': 0, 'Koordinationsabzug': 0.125, 'streichen': 0.39, 'Weits': 0, '…': 0}",neutral,"[0.93697995, 0.055183686, 0.007836395]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @grunliberale: #Vaterschaftsurlaub wird von den Delegierten klar angenommen. 
128 Ja
9 Nein
1 Enthaltung

#grunliberale #DVglpCH #DVglp…",vaterschaftsurlaub delegieren klaren annehmen ja nein enthaltung grunliberale dvglpch dvglp,,,,,,,,,,"{'Vaterschaftsurlaub': 1.0, 'wird': 0, 'von': 0, 'den': 0.09, 'Delegierten': 0.16, 'klar': 0, 'angenommen': 0.44, '128': 0, 'Ja': 0, '9': 0, 'Nein': 0.05, '1': 0, 'Enthaltung': 0.09, 'grunliberale': 0.14, 'DVglpCH': 0.14, 'DVglp': 0.11, '…': 0}",positive,"[0.0063913274, 0.0015381746, 0.9920705]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @hpkennel: 2 x Ja zur Rentenreform @glp_SZ @grunliberale @FS_Kuessnacht @bote_online @srfnews @RolaFir @esther_flu @pensionskassen @Piet…,x ja rentenreform,,,,,,,,,,,,,"{'2': 0, 'x': 0.14, 'Ja': 0, 'zur': 0.36, 'Rentenreform': 1.0, '…': 0}",negative,"[0.15902634, 0.5304299, 0.31054375]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,2 x Ja zur Rentenreform @glp_SZ @grunliberale @FS_Kuessnacht @bote_online @srfnews @RolaFir @esther_flu @pensionskassen @Pietro_Imhof @ https://t.co/JNxTCGoWn5,x ja rentenreform,,,,,,,,,,,,,"{'2': 0, 'x': 0.26, 'Ja': 0, 'zur': 0.44, 'Rentenreform': 1.0}",negative,"[0.1703465, 0.42027202, 0.40938142]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
