answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,sentiment_tb
0.0,0.0,14.0,-0.7,neutral,RT @saschasschmid: Der St.Galler Kantonsrat lehnt unsere Motion für ein E-Voting-Moratorium mit 43:66 Stimmen ab und verkennt damit die Gef…,st galler kantonsrat lehnen motion e voting moratorium stimmen ab verkennen gef,"{'Der': 0.86, 'St.': 0, 'Galler': 0, 'Kantonsrat': 0.105, 'lehnt': 0.21, 'unsere': 0.07, 'Motion': 0.1, 'für': 0.06, 'ein': 0, 'E-Voting-Moratorium': 0, 'mit': 0.14, '43:66': 0, 'Stimmen': 0, 'ab': 0, 'und': 0.3, 'verkennt': 0.81, 'damit': 0, 'die': 0.86, 'Gef': 0, '…': 0}",negative,"[0.35855058, 0.4771176, 0.16433188]",,,,negative
50.0,75.0,57.0,0.0,neutral,"RT @kantonsg: @marcel_baur @ivanlouisch @saschasschmid Die Medienmitteilung ist nun online: ""Umstieg auf E-Voting-System der Post geplant""…",medienmitteilung online umsteigen e voting system post planen,"{'Die': 0.05, 'Medienmitteilung': 0.11, 'ist': 0.07, 'nun': 0, 'online': 0.21, 'Umstieg': 0, 'auf': 0, 'E-Voting-System': 0, 'der': 0.05, 'Post': 0.05, 'geplant': 0.16, '…': 0}",neutral,"[0.5798369, 0.3976718, 0.022491263]",,,,neutral
0.0,0.0,14.0,-0.7,neutral,RT @Marcel_Dobler: Der Kanton Genf zieht e-Voting den Stecker! https://t.co/d0pc69DSG4,kanton genf ziehen e voting stecker,"{'Der': 0.15, 'Kanton': 0.16, 'Genf': 0.25, 'zieht': 0.36, 'e-Voting': 0, 'den': 0.15, 'Stecker': 0.27}",neutral,"[0.59414613, 0.11343579, 0.2924181]",,,,negative
100.0,100.0,100.0,1.0,neutral,RT @zuberbuehlerSG: E-Collecting und E-Voting im Kanton St.Gallen: Demokratiefreundlich oder -feindlich? Gute Diskussion über die digitale…,e collecting e voting kanton st gallen demokratiefreundlich feindlich gut diskussion digitale,"{'E-Collecting': 0, 'und': 0.09, 'E-Voting': 0, 'im': 0, 'Kanton': 0.06, 'St.': 0, 'Gallen': 0.1, 'Demokratiefreundlich': 0, 'oder': 0.59, '-feindlich': 0, 'Gute': 0, 'Diskussion': 0.36, 'über': 0, 'die': 0.12, 'digitale': 0.2, '…': 0}",neutral,"[0.53887063, 0.04898866, 0.41214076]",,,,positive
100.0,100.0,100.0,1.0,negative,"RT @NZZaS: E-Voting? Übung abbrechen! Es könnte zum Todesstoss für die bis anhin erfolgreiche Demokratie in der Schweiz werden. Alles, was…",e voting übung abbrechen todesstoss anhin erfolgreich demokratie schweiz,"{'E-Voting': 0, 'Übung': 0.11, 'abbrechen': 0, 'Es': 0, 'könnte': 0.11, 'zum': 0.15, 'Todesstoss': 0, 'für': 0.15, 'die': 0.15, 'bis': 0, 'anhin': 0, 'erfolgreiche': 0.24, 'Demokratie': 0.34, 'in': 0.18, 'der': 0.15, 'Schweiz': 0.14, 'werden': 0, 'Alles': 0, 'was': 0, '…': 0}",neutral,"[0.63026386, 0.023718543, 0.34601757]",,,,positive
50.0,75.0,57.0,0.0,neutral,"Passend zur aktuellen Diskussion um #evoting: Bereits etwas ältere Gedanken zur Situation in #Estland. https://t.co/xfBYDhO2Fd 
Ich bin der Überzeugung, dass wir die (direkte) Demokratie digitalisieren sollten, aber nicht mit E-Voting beginnen dürfen. #estonia #digitalisierung",passen aktuell diskussion evoting bereits alt gedanken situation estland überzeugung direkt demokratie digitalisieren sollen e voting beginnen dürfen estonia digitalisierung,"{'Passend': 0, 'zur': 0.03, 'aktuellen': 0.04, 'Diskussion': 0.09, 'um': 0, 'evoting': 0, 'Bereits': 0.05, 'etwas': 0, 'ältere': 0.06, 'Gedanken': 0.08, 'Situation': 0.06, 'in': 0.07, 'Estland': 0.07, 'Ich': 0.28, 'bin': 0, 'der': 0.03, 'Überzeugung': 0, 'dass': 0.39, 'wir': 0, 'die': 0.03, 'direkte': 0.1, 'Demokratie': 0.46, 'digitalisieren': 0.59, 'sollten': 1.0, 'aber': 0.17, 'nicht': 0.24, 'mit': 0.04, 'E-Voting': 0, 'beginnen': 0.08, 'dürfen': 0, 'estonia': 0.07, 'digitalisierung': 0}",negative,"[0.30275458, 0.65066695, 0.046578385]","{'Passend': 0, 'zur': 0.03, 'aktuellen': 0.03, 'Diskussion': 0.06, 'um': 0, 'evoting': 0, 'Bereits': 0.02, 'etwas': 0, 'ältere': 0.04, 'Gedanken': 0.04, 'Situation': 0.05, 'in': 0.04, 'Estland': 0.59, 'Ich': 0.04, 'bin': 0, 'der': 0.03, 'Überzeugung': 0, 'dass': 0.06, 'wir': 0, 'die': 0.03, 'direkte': 0.05, 'Demokratie': 0.08, 'digitalisieren': 0.12, 'sollten': 0.07, 'aber': 0.06, 'nicht': 0.06, 'mit': 0.08, 'E-Voting': 0, 'beginnen': 0.09, 'dürfen': 0, 'estonia': 0.59, 'digitalisierung': 0}",neutral,"[0.60937196, 0.10036835, 0.29025963]",neutral
50.0,75.0,57.0,0.0,neutral,RT @dani_graf: 👉 Volksinitiative gegen E-Voting? Gespannt auf die Medienmitteilung des Chaos Computer Club Schweiz! https://t.co/mBRbtnKtxH,volksinitiative e voting spannen medienmitteilung chaos computer club schweiz,"{'Volksinitiative': 0.575, 'gegen': 0.54, 'E-Voting': 0, 'Gespannt': 0, 'auf': 0, 'die': 0.13, 'Medienmitteilung': 0.24, 'des': 0.16, 'Chaos': 0.1, 'Computer': 0.09, 'Club': 0.11, 'Schweiz': 0.22}",neutral,"[0.44625688, 0.24784134, 0.30590183]",,,,neutral
50.0,75.0,57.0,0.0,neutral,Die Brauerei St. Johann sucht die 2. Toggenburger Bierprinzessin. Online-Voting unter https://t.co/KXnR36XGEw #bier #toggenburg,brauerei st johann suchen toggenburger bierprinzessin online voting bier toggenburg,"{'Die': 0.09, 'Brauerei': 0, 'St.': 0, 'Johann': 0.04, 'sucht': 0, 'die': 0.09, '2.': 0, 'Toggenburger': 0, 'Bierprinzessin': 0.125, 'Online-Voting': 0, 'unter': 0.68, 'bier': 0.11, 'toggenburg': 0.28}",neutral,"[0.88332313, 0.031384166, 0.08529269]",,,,neutral
75.0,75.0,86.0,0.4666666666666666,neutral,Heute Nachmittag hat der #KRSG eine Motion von @saschasschmid und mir zur Einführung von #ecollecting im @kantonsg gutgeheissen. Digitalisierung der direkten Demokratie mit weniger Risiken als #evoting. #eGovernment,heute nachmittag krsg motion einführung ecollecting gutgeheissen digitalisierung direkt demokratie wenig risiken evoting egovernment,,,,"{'Heute': 0, 'Nachmittag': 0.04, 'hat': 0, 'der': 0.05, 'KRSG': 0.08, 'eine': 0, 'Motion': 0.11, 'von': 0.02, 'und': 0.03, 'mir': 0.03, 'zur': 0.045, 'Einführung': 0, 'ecollecting': 0.21, 'im': 0, 'gutgeheissen': 0.06, 'Digitalisierung': 0, 'direkten': 0.08, 'Demokratie': 0.3, 'mit': 0.19, 'weniger': 0.13, 'Risiken': 0.12, 'als': 0, 'evoting': 0, 'eGovernment': 0.18}",positive,"[0.033748582, 0.0036713409, 0.9625801]",positive
50.0,75.0,57.0,0.0,neutral,Die neuste Ausgabe von @DieOstschweiz ist online. Und damit auch ein Beitrag von mir zum Thema #ECollecting. https://t.co/e2FEvJ5NFT #evoting #digitaledemokratie #Digitalisierung #krsg,neuste ausgabe online beitrag thema ecollecting evoting digitaledemokratie digitalisierung krsg,,,,"{'Die': 0.03, 'neuste': 0, 'Ausgabe': 0, 'von': 0.02, 'ist': 0.02, 'online': 0.06, 'Und': 0.03, 'damit': 0, 'auch': 0.03, 'ein': 0, 'Beitrag': 0.05, 'mir': 0.02, 'zum': 0.03, 'Thema': 0, 'ECollecting': 0.09, 'evoting': 0, 'digitaledemokratie': 0, 'Digitalisierung': 0, 'krsg': 0.43}",neutral,"[0.90047866, 0.01604444, 0.083476886]",neutral
