answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @PascalPfister: Kinderbetreuung ist essentiell für unsere Gesellschaft, also soll sie auch gesamtgesellschaftlich organisiert und solida…",kinderbetreuung essentiell gesellschaft gesamtgesellschaftlich organisieren solida,"{'Kinderbetreuung': 1.0, 'ist': 0.41, 'essentiell': 1.0, 'für': 0.08, 'unsere': 0.13, 'Gesellschaft': 0.07, 'also': 0.11, 'soll': 0, 'sie': 0, 'auch': 0.11, 'gesamtgesellschaftlich': 0.044375000000000005, 'organisiert': 0.13, 'und': 0.05, 'solida': 0.08, '…': 0}",positive,"[0.0012584027, 0.0012117242, 0.9975299]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
75.0,100.0,86.0,0.5666666666666667,negative,"RT @SamiraMarti: Lieber @SandroBrotz / #srfarena: Bei SIEBEN Gästen lediglich EINE Frau einzuladen, geht gar nicht. Wenn‘s ums Rentenalter…",lieb srfarena sieben gästen lediglich frau einladen gehen gar s ums rentenalter,,,,"{'Lieber': 0.05, 'srfarena': 0.09, 'Bei': 0, 'SIEBEN': 0.06, 'Gästen': 0.13, 'lediglich': 0.04, 'EINE': 0.05, 'Frau': 0, 'einzuladen': 0.24, 'geht': 0, 'gar': 0, 'nicht': 0.07, 'Wenn': 0.21, '‘': 0, 's': 0, 'ums': 0, 'Rentenalter': 0, '…': 0}",neutral,"[0.7704656, 0.0058003035, 0.2237341]",,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"RT @ClaudeBuehler: @j_brandenburger:""Das Rentenalter 67 ist kein Thema solange die Leute mit 50 rausgeschmissen werden"". #SonntagsTalk live…",rentenalter thema solange leute rausgeschmissen sonntagstalk live,,,,"{'Das': 1.0, 'Rentenalter': 0.945, 'ist': 0.52, 'kein': 0, 'Thema': 0, 'solange': 0, 'die': 1.0, 'Leute': 0.16, 'mit': 0, 'rausgeschmissen': 0.05, 'werden': 0, 'SonntagsTalk': 0, 'live': 0.08, '…': 0}",positive,"[0.21032204, 0.013691997, 0.775986]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @ClaudeBuehler: @j_brandenburger:""Ich finde das Rentenalter 65 für Frauen eine Sauerei."" - #SonntagsTalk live @Telebasel",finden rentenalter frauen sauerei sonntagstalk live,,,,"{'Ich': 0.05, 'finde': 0, 'das': 0, 'Rentenalter': 0.66, 'für': 0.32, 'Frauen': 0.18, 'eine': 0, 'Sauerei': 1.0, 'SonntagsTalk': 0, 'live': 0.08}",negative,"[0.0045322236, 0.98192155, 0.013546258]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @ClaudeBuehler: Heute #SonntagsTalk 18.40 @j_brandenburger, Patrick Huber, Michael Hug: 1. Lies-Stände, 2. Rentenalter 65 Frauen, 3. Böx…",heute sonntagstalk patrick huber michael hug lesen stände rentenalter frauen böx,,,,"{'Heute': 0.11, 'SonntagsTalk': 0, '18.40': 0, 'Patrick': 0.04, 'Huber': 0.04, 'Michael': 0.05, 'Hug': 0.32, '1.': 0, 'Lies-Stände': 1.0, '2.': 0, 'Rentenalter': 0.37, 'Frauen': 0.2, '3.': 0, 'Böx': 0.12, '…': 0}",neutral,"[0.6298652, 0.033788513, 0.3363462]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @NataschaWey: Auswandern, auf Kinder verzichten oder reich heiraten! Tolle Tipps für Frauen zu #Rentenalter65 von @20min! https://t.co/8…",auswandern kinder verzichten reichen heiraten toll tipps frauen rentenalter65,,,,"{'Auswandern': 0.1, 'auf': 0, 'Kinder': 0.04, 'verzichten': 0, 'oder': 0.05, 'reich': 0, 'heiraten': 0, 'Tolle': 0.15, 'Tipps': 0.19, 'für': 0.11, 'Frauen': 0.17, 'zu': 0, 'Rentenalter65': 0, 'von': 0}",negative,"[0.27921087, 0.4608054, 0.25998366]",,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,14.0,-0.7,neutral,"RT @mirjamkohler: Arbeiten bis zum Umfallen: Rentenalter 67 soll Wirklichkeit werden, währenddem Menschen ü50 schon Probleme haben, Arbeit…",arbeiten umfallen rentenalter wirklichkeit währenddem menschen ü50 schon probleme arbeit,,,,"{'Arbeiten': 0.1, 'bis': 0.11, 'zum': 0, 'Umfallen': 0.06, 'Rentenalter': 0.8300000000000001, 'soll': 0, 'Wirklichkeit': 0.39, 'werden': 0, 'währenddem': 0, 'Menschen': 0.11, 'ü50': 0, 'schon': 0, 'Probleme': 0.06, 'haben': 0.04, 'Arbeit': 0.1, '…': 0}",positive,"[0.20660613, 0.03742109, 0.75597274]",,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,"RT @BaselStadt: Der Grosse Rat will, dass Ratsmitglieder während des gesetzlichen Mutter- resp. Vaterschaftsurlaubs virtuell an Grossratssi…",grosse rat ratsmitglieder gesetzlich mutter resp vaterschaftsurlaubs virtuell grossratssi,,,,,,,"{'Der': 0.16, 'Grosse': 0, 'Rat': 0, 'will': 0, 'dass': 0, 'Ratsmitglieder': 0.14500000000000002, 'während': 0, 'des': 0, 'gesetzlichen': 0.18, 'Mutter-': 0, 'resp': 0, 'Vaterschaftsurlaubs': 0.78, 'virtuell': 1.0, 'an': 0, 'Grossratssi': 0.37, '…': 0}",neutral,"[0.8540342, 0.03910568, 0.10686015]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @jonas_steiner: Hast du wie @blickamabend keine Argumente gegen einen Vaterschaftsurlaub? Sign here:

https://t.co/kJGqiMX8A5 https://t.…",argumente vaterschaftsurlaub sign here,,,,,,,"{'Hast': 0, 'du': 0, 'wie': 0, 'keine': 0, 'Argumente': 1.0, 'gegen': 1.0, 'einen': 0, 'Vaterschaftsurlaub': 0.525, 'Sign': 0.21, 'here': 0.07}",neutral,"[0.9050959, 0.06519021, 0.029713828]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @eviallemann: Jetzt die die Initiative für 4 Wochen #Vaterschaftsurlaub unterschreiben: https://t.co/slOWAj57Ss,initiative wochen vaterschaftsurlaub unterschreiben,,,,,,,"{'Jetzt': 0.12, 'die': 0.1, 'Initiative': 0.18, 'für': 0.18, 'Wochen': 0.42, 'Vaterschaftsurlaub': 0.59, 'unterschreiben': 0.18}",positive,"[0.35586634, 0.015543858, 0.6285898]",,,,,,,,,,,,,,,,,,,,,,neutral
