answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,RT @FDP_Liberalen: Erhöhung der Steuerabzüge für externe #Kinderbetreuung 🍼🧸: Die Pa. Iv. unserer NR @ChristaMarkwald wurde in beiden Kommi…,erhöhung steuerabzüge externe kinderbetreuung pa iv nr beid kommi,"{'Erhöhung': 0.48, 'der': 0.09, 'Steuerabzüge': 0.325, 'für': 0.49, 'externe': 1.0, 'Kinderbetreuung': 1.0, '🧸': 0, 'Die': 0, 'Pa': 0, 'Iv': 0, 'unserer': 0, 'NR': 0, 'wurde': 0, 'in': 0, 'beiden': 0, 'Kommi': 0, '…': 0}",neutral,"[0.8913845, 0.057530224, 0.051085357]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @FDP_BS: Heute ist Vatertag - und die Schweiz diskutiert über den Vaterschaftsurlaub. In unserem Blog erläutert @MisterMoesch das flexib…,heute vatertag schweiz diskutieren vaterschaftsurlaub blog erläutern flexib,,,,"{'Heute': 0.14, 'ist': 0.61, 'Vatertag': 0.11, 'und': 0.23, 'die': 0, 'Schweiz': 0.2, 'diskutiert': 0, 'über': 0, 'den': 0, 'Vaterschaftsurlaub': 0.88, 'In': 0.23, 'unserem': 0.15, 'Blog': 0.41, 'erläutert': 0, 'das': 0, 'flexib': 0, '…': 0}",neutral,"[0.9978849, 0.0010750958, 0.0010399185]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @NZZ: Annehmlichkeiten wie ein gesetzlicher #Vaterschaftsurlaub oder subventionierte #Kinderkrippen gelten zusehends als selbstverständl…,annehmlichkeiten gesetzlich vaterschaftsurlaub subventionierte kinderkrippen gelten zusehends selbstverständl,,,,"{'Annehmlichkeiten': 0, 'wie': 0, 'ein': 0, 'gesetzlicher': 0, 'Vaterschaftsurlaub': 0.72, 'oder': 0.6, 'subventionierte': 0.49, 'Kinderkrippen': 0, 'gelten': 0, 'zusehends': 0, 'als': 0.12, 'selbstverständl': 0, '…': 0}",positive,"[0.25459895, 0.097437635, 0.64796346]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @reat_ch: #Organspende - #Zustimmung oder #Widerspruch? 

Spannende Diskussionsveranstaltung zur #Volksinitiative ""Organspende fördern -…",organspende zustimmung widerspruch spannend diskussionsveranstaltung volksinitiative organspende fördern,,,,,,,"{'Organspende': 0.55, 'Zustimmung': 0.15, 'oder': 0.08, 'Widerspruch': 0.07, 'Spannende': 0.27, 'Diskussionsveranstaltung': 0.3, 'zur': 0.37, 'Volksinitiative': 0, 'fördern': 0, '…': 0}",positive,"[0.01571254, 0.0021647208, 0.9821228]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,neutral,"@Molossoidea Wie kann ein dreifacher Vater so etwas unmenschliches machen?! 
Es ging mir nicht um die Einbürgerung, falls du das gemeint hast. ☺️",dreifach vater unmenschliches gehen einbürgerung falls,,,,,,,,,,"{'Wie': 0, 'kann': 0.1, 'ein': 0, 'dreifacher': 0, 'Vater': 0.03, 'so': 0.07, 'etwas': 0.04, 'unmenschliches': 0.06, 'machen': 0.04, 'Es': 0, 'ging': 0, 'mir': 0, 'nicht': 0, 'um': 0.02, 'die': 0, 'Einbürgerung': 0.54, 'falls': 0, 'du': 0, 'das': 0.06, 'gemeint': 0.11, 'hast': 0, '️': 0}",neutral,"[0.97890466, 0.017266372, 0.0038290024]",,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,negative,"RT @narimoldi: Heute im #10vor10:

«Die Zeit für #eVoting ist heute noch nicht da...E-Voting bringt keinen Nutzen...Nicht mehr Junge gehen…",heute 10vor10 zeit evoting heute e voting bringen nutzen mehr junge gehen,,,,,,,,,,,,,"{'Heute': 0.12, 'im': 0, '10vor10': 0.08, '«': 0, 'Die': 0, 'Zeit': 0, 'für': 0, 'eVoting': 0, 'ist': 0, 'heute': 0, 'noch': 0, 'nicht': 0, 'da': 0, '...': 0, 'E-Voting': 0, 'bringt': 0, 'keinen': 0, 'Nutzen': 0, 'Nicht': 0, 'mehr': 0, 'Junge': 0, 'gehen': 0, '…': 0}",negative,"[0.17239016, 0.80672276, 0.020887073]",,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,14.0,-0.7,neutral,"Der Bundesrat zieht die Konsequenzen aus der Kritik am E-Voting… 

@narimoldi &amp; @zac1967 👏🏻👏🏻

https://t.co/IsMPfuV4QH",bundesrat ziehen konsequenzen kritik e voting amp,,,,,,,,,,,,,"{'Der': 0.09, 'Bundesrat': 0.11, 'zieht': 0, 'die': 0.09, 'Konsequenzen': 0, 'aus': 0, 'der': 0.09, 'Kritik': 0.19, 'am': 0, 'E-Voting': 0, '…': 0, 'amp': 0}",neutral,"[0.50457656, 0.053394325, 0.44202912]",,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,negative,"RT @TA_Politik: E-Voting wurde 15 Jahre lang getestet, und das ist noch nicht genug. https://t.co/ANhwhsEvs6",e voting jahre langen testen genug,,,,,,,,,,,,,"{'E-Voting': 0, 'wurde': 0, 'Jahre': 0.27, 'lang': 0, 'getestet': 0.35, 'und': 1.0, 'das': 0.54, 'ist': 0, 'noch': 0, 'nicht': 1.0, 'genug': 0.32}",negative,"[0.022509111, 0.97138613, 0.006104724]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @zac1967: E-Voting zerstört das Vertrauen in die Demokratie: https://t.co/siRo3AsZbt via @SVPch,e voting zerstören vertrauen demokratie via,,,,,,,,,,,,,"{'E-Voting': 0, 'zerstört': 0, 'das': 0, 'Vertrauen': 1.0, 'in': 0.29, 'die': 0, 'Demokratie': 0.5, 'via': 0.25}",positive,"[0.049140528, 0.036513917, 0.9143455]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @zac1967: Das verbissene Festhalten der Verwaltung an E-Voting lässt nichts Gutes erahnen.
 https://t.co/oG1iCRmifM",verbissen festhalten verwaltung e voting lässt gutes erahnen,,,,,,,,,,,,,"{'Das': 0.07, 'verbissene': 0, 'Festhalten': 0, 'der': 0.07, 'Verwaltung': 0.15, 'an': 0, 'E-Voting': 0, 'lässt': 0, 'nichts': 0, 'Gutes': 0.15, 'erahnen': 0}",negative,"[0.083658874, 0.8868398, 0.029501323]",,,,,,,,,,,,,,,,,,,,,,neutral
