answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3430,absa_sentiment_3430,absa_scores_3430,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3435,absa_sentiment_3435,absa_scores_3435,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3473,absa_sentiment_3473,absa_scores_3473,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
100.0,100.0,100.0,1.0,neutral,"RT @grunliberale: #Kinderbetreuung für erwerbstätige Eltern ist zentral für die Vereinbarkeit von Familie und Beruf. Es ist richtig, dass e…",kinderbetreuung erwerbstätige eltern zentral vereinbarkeit familie beruf richtig e,"{'Kinderbetreuung': 1.0, 'für': 0.28, 'erwerbstätige': 0, 'Eltern': 0.1, 'ist': 0.05, 'zentral': 0.17, 'die': 0.05, 'Vereinbarkeit': 0.06, 'von': 0, 'Familie': 0.06, 'und': 0.05, 'Beruf': 0, 'Es': 0.05, 'richtig': 0.12, 'dass': 0.08, 'e': 0.13, '…': 0}",positive,"[0.034637228, 0.0047497135, 0.960613]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @glpzh: ""...von der Stärkung der ausserfamiliären Kinderbetreuung bis zum Naturschutz. Sie haben sich auch die finanzpolitische Nachhalt…",stärkung ausserfamiliären kinderbetreuung naturschutz finanzpolitische nachhalt,"{'...': 0, 'von': 0.45, 'der': 0.1, 'Stärkung': 1.0, 'ausserfamiliären': 0, 'Kinderbetreuung': 1.0, 'bis': 0, 'zum': 0.14, 'Naturschutz': 0, 'Sie': 0, 'haben': 0.11499999999999999, 'sich': 0, 'auch': 0.05, 'die': 0.1, 'finanzpolitische': 0, 'Nachhalt': 0.12, '…': 0}",positive,"[0.0006691018, 0.0012605594, 0.9980704]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,71.0,0.15,neutral,RT @glpzh: glp &amp; Ratsmehrheit lehnen VI «bezahlbare Kinderbetreuung für alle ab». Ein schöner Titel allein reicht nicht! #KRZH https://t.co…,glp amp ratsmehrheit lehnen vi bezahlbare kinderbetreuung all ab schön titel allein reichen krzh,"{'glp': 0.05, 'amp': 0.02, 'Ratsmehrheit': 0.065, 'lehnen': 0, 'VI': 0, '«': 0, 'bezahlbare': 0, 'Kinderbetreuung': 0, 'für': 0, 'alle': 0, 'ab': 0, '»': 0, 'Ein': 0, 'schöner': 0, 'Titel': 0, 'allein': 0, 'reicht': 0, 'nicht': 0, 'KRZH': 0}",positive,"[0.00056494994, 0.0018729164, 0.99756217]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.85,neutral,"RT @grunliberale: Wir freuen uns, dass der Nationalrat heute der Änderung des Betäubungsmittelgesetzes zugestimmt hat. Wer auf #Cannabis-Ar…",freuen nationalrat heute änderung betäubungsmittelgesetzes zustimmen wer cannabis ar,,,,"{'Wir': 0.11, 'freuen': 0, 'uns': 0, 'dass': 0.11, 'der': 0.06, 'Nationalrat': 0.07, 'heute': 0.09, 'Änderung': 0, 'des': 0, 'Betäubungsmittelgesetzes': 0.095, 'zugestimmt': 0, 'hat': 0, 'Wer': 0.99, 'auf': 0.89, 'Cannabis-Ar': 0, '…': 0}",neutral,"[0.9460334, 0.018658772, 0.035307743]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @ParlCH: SGK-N: Einfacherer Zugang zu Cannabisarzneimitteln https://t.co/whF9dRURTW,sgk n einfach zugang cannabisarzneimitteln,,,,"{'SGK-N': 0, 'Einfacherer': 0, 'Zugang': 1.0, 'zu': 0.33, 'Cannabisarzneimitteln': 0}",positive,"[0.007343136, 0.0013929813, 0.99126387]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,Langsam aber stetig geht es auch in der Schweiz im Thema #Cannabis vorwärts. Der #Nationalrat bereinigt die letzte Differenz zum #Ständerat https://t.co/aHCEUqgNlJ https://t.co/Hzlgxjbfay,langsam stetig gehen schweiz thema cannabis vorwärts nationalrat bereinigen letzte differenz ständerat,,,,"{'Langsam': 0, 'aber': 0.06, 'stetig': 0.1, 'geht': 0, 'es': 0.09, 'auch': 0.07, 'in': 0.04, 'der': 0.08, 'Schweiz': 0.08, 'im': 0, 'Thema': 0, 'Cannabis': 0.1, 'vorwärts': 0, 'Der': 0.08, 'Nationalrat': 0.135, 'bereinigt': 0, 'die': 0.08, 'letzte': 0.4, 'Differenz': 0.49, 'zum': 0.165, 'Ständerat': 0.10250000000000001}",positive,"[0.052784137, 0.0078242915, 0.93939155]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"Unsere Bevölkerung kann mit Alkohol umgehen. Warum sollte es mit #Cannabis nicht auch gehen? Deshalb unterstütze ich Pilotversuche, um den Wissensgraben zuzuschütten. Mein heutiges Votum im #Nationalrat
https://t.co/hJTPEuh5Ap
#legalizeit",bevölkerung alkohol umgehen warum sollen cannabis gehen deshalb unterstützen pilotversuche wissensgraben zuschütten heutig votum nationalrat legalizeit,,,,"{'Unsere': 0.06, 'Bevölkerung': 0.09, 'kann': 0.05, 'mit': 0, 'Alkohol': 0.08, 'umgehen': 0, 'Warum': 0.11, 'sollte': 0, 'es': 0.1, 'Cannabis': 0.11, 'nicht': 0, 'auch': 0.07, 'gehen': 0, 'Deshalb': 0, 'unterstütze': 0.26, 'ich': 0.1, 'Pilotversuche': 0.12000000000000001, 'um': 0, 'den': 0.29, 'Wissensgraben': 0.15, 'zuzuschütten': 0.17, 'Mein': 1.0, 'heutiges': 0, 'Votum': 1.0, 'im': 0, 'Nationalrat': 0.45499999999999996, 'legalizeit': 0}",neutral,"[0.5973999, 0.01536145, 0.3872387]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.9,neutral,"Die einen lieben es, die anderen sehen es als Teufelszeug: #Cannabis. Wir wollen eine sachliche Diskussion und unterstützen deshalb nach wie vor Forschungsstudien mit kontrollierter Abgabe. https://t.co/BGCGAmwqOv @grunliberale https://t.co/HkPkVuNpj4",lieb sehen teufelszeug cannabis sachlich diskussion unterstützen deshalb forschungsstudien kontrolliert abgabe,,,,"{'Die': 0.09, 'einen': 0, 'lieben': 0.16, 'es': 0, 'die': 0.09, 'anderen': 0.12, 'sehen': 0.09, 'als': 0.12, 'Teufelszeug': 0.2, 'Cannabis': 1.0, 'Wir': 0.14, 'wollen': 0.13, 'eine': 0, 'sachliche': 0, 'Diskussion': 0.17, 'und': 0.05, 'unterstützen': 0.1, 'deshalb': 0, 'nach': 0, 'wie': 0, 'vor': 0, 'Forschungsstudien': 0.11499999999999999, 'mit': 0.04, 'kontrollierter': 0.08, 'Abgabe': 0}",positive,"[0.08735952, 0.011235918, 0.90140456]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @doppel_m: Heute in der Kommission: AHV für künftige Generationen sichern.

- Rentenaltererhöhung, aber nur mit Halbierung Koordinations…",heute kommission ahv künftig generationen sichern rentenaltererhöhung halbierung koordinations,,,,,,,"{'Heute': 0.08, 'in': 0.04, 'der': 0.21, 'Kommission': 0.13, 'AHV': 0.1, 'für': 0.1, 'künftige': 0.08, 'Generationen': 0.11, 'sichern': 0, 'Rentenaltererhöhung': 0.905, 'aber': 0.29, 'nur': 0.7, 'mit': 0.21, 'Halbierung': 0.19, 'Koordinations': 0.19, '…': 0}",negative,"[0.047148246, 0.507981, 0.44487077]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,positive,"Bin sehr zufrieden mit #Abst20. #Kampfjets Krimi entsprach meinem eigenen Entscheidungsprozess. Jetzt anpacken: sinnvolles #Jagdgesetz, Individualbesteuerung, Elternzeit &amp; bessere Beziehungen zur EU.  #CHvote #Kündigungsinitiative  #Vaterschaftsurlaub #Kinderabzüge,",zufrieden abst20 kampfjets krimi entsprechen eigen entscheidungsprozess anpacken sinnvoll jagdgesetz individualbesteuerung elternzeit amp gut beziehungen eu chvote kündigungsinitiative vaterschaftsurlaub kinderabzüge,,,,,,,,,,"{'Bin': 0, 'sehr': 0.12, 'zufrieden': 0.11, 'mit': 0.04, 'Abst20.': 0, 'Kampfjets': 0.03, 'Krimi': 0, 'entsprach': 0.11, 'meinem': 0.02, 'eigenen': 0.04, 'Entscheidungsprozess': 0.035, 'Jetzt': 0.09, 'anpacken': 0, 'sinnvolles': 0, 'Jagdgesetz': 0.06, 'Individualbesteuerung': 0.045, 'Elternzeit': 0.245, 'amp': 0.08, 'bessere': 0.03, 'Beziehungen': 0, 'zur': 0.045, 'EU': 0.06, 'CHvote': 0.2, 'Kündigungsinitiative': 0.17, 'Vaterschaftsurlaub': 0.43, 'Kinderabzüge': 0}",neutral,"[0.55633456, 0.0423872, 0.40127823]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @grunliberale: Das Ja zum #Vaterschaftsurlaub ist ein wichtiger Schritt in die richtige Richtung. Wir verlangen eine #Elternzeit von 14…,ja vaterschaftsurlaub wichtig schritt richtige richtung verlangen elternzeit,,,,,,,,,,"{'Das': 0.04, 'Ja': 0, 'zum': 0.05, 'Vaterschaftsurlaub': 1.0, 'ist': 0.1, 'ein': 0, 'wichtiger': 0.11, 'Schritt': 0.1, 'in': 0.05, 'die': 0.04, 'richtige': 0.09, 'Richtung': 0.08, 'Wir': 0.73, 'verlangen': 0.06, 'eine': 0, 'Elternzeit': 0.61, 'von': 0, '…': 0}",neutral,"[0.6096362, 0.04763521, 0.34272856]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
