answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3435,absa_sentiment_3435,absa_scores_3435,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3476,absa_sentiment_3476,absa_scores_3476,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,@huberfe Aufgepasst! Cannabis ist kein Broccoli!,aufgepasst cannabis broccoli,"{'Aufgepasst': 0.175, 'Cannabis': 0.54, 'ist': 0.58, 'kein': 0, 'Broccoli': 1.0}",neutral,"[0.7961905, 0.17512953, 0.028679969]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-0.7999999999999999,neutral,"@Doc_57 @MAStrackZi Warum sollen sich Konsument:innen Cannabis aus dem kriminellen Milleu kaufen, wenn sie es legal in Läden kaufen können?",warum sollen konsument innen cannabis kriminell milleu kaufen legal läden kaufen,"{'Warum': 1.0, 'sollen': 1.0, 'sich': 0, 'Konsument': 0, 'innen': 0, 'Cannabis': 0.22, 'aus': 0, 'dem': 0.06, 'kriminellen': 0.16, 'Milleu': 0.11, 'kaufen': 0.04, 'wenn': 0, 'sie': 0, 'es': 0, 'legal': 0, 'in': 0.03, 'Läden': 0.03, 'können': 0}",neutral,"[0.6281852, 0.3554849, 0.016329873]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"@Doc_57 @MAStrackZi Hä? Wenn Cannabis legal wird, wird doch das tatsächlich weniger",hä cannabis legal tatsächlich wenig,"{'Hä': 0, 'Wenn': 0.39, 'Cannabis': 0.47, 'legal': 0.44, 'wird': 1.0, 'doch': 0, 'das': 0, 'tatsächlich': 0, 'weniger': 0}",neutral,"[0.73282814, 0.19585404, 0.071317814]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
75.0,75.0,71.0,0.3333333333333333,negative,"@jonasstreule Habe ich nicht gesagt. Du musst nicht gendern. 

Aber *wenn* du genderst, was ich gut fände, dann musst du das auch nur dort, wo es auch Sinn macht.

Burka-, Minarett-, Cannabisverbot schon vergessen? Da steht die SVP klar dahinter.",sagen musst gendern genderst gut finden musst sinn burka minarett cannabisverbot schon vergessen stehen svp klaren dahinter,"{'Habe': 0.02, 'ich': 0.05, 'nicht': 0.01, 'gesagt': 0, 'Du': 0, 'musst': 0.025, 'gendern': 0, 'Aber': 0.04, 'wenn': 0.1, 'du': 0, 'genderst': 0, 'was': 0, 'gut': 0, 'fände': 0, 'dann': 0.17, 'das': 0.02, 'auch': 0, 'nur': 0.05, 'dort': 0, 'wo': 0.03, 'es': 0.02, 'Sinn': 0, 'macht': 0, 'Burka-': 0, 'Minarett-': 0, 'Cannabisverbot': 1.0, 'schon': 0, 'vergessen': 0, 'Da': 0, 'steht': 0, 'die': 0.03, 'SVP': 0, 'klar': 0, 'dahinter': 0.04}",neutral,"[0.8174308, 0.023572626, 0.15899657]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"@WohlgensingerN @MFrauchigerSVP Von mir aus, aber ich würde  behaupten, dass ein Cannabisverbot fast genau so wenig sozialadäquat ist wie ein Alkoholverbot",behaupten cannabisverbot fast genau wenig sozialadäquat alkoholverbot,"{'Von': 0, 'mir': 0.1, 'aus': 0, 'aber': 0.16, 'ich': 0.06, 'würde': 0.1, 'behaupten': 0, 'dass': 0.16, 'ein': 0, 'Cannabisverbot': 1.0, 'fast': 0, 'genau': 0.06, 'so': 0, 'wenig': 0, 'sozialadäquat': 0.22, 'ist': 0.28, 'wie': 0, 'Alkoholverbot': 0.325}",neutral,"[0.5501062, 0.08259702, 0.36729676]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"@MFrauchigerSVP Bei der Betreuungsarbeit gibt es grosse Lücken zwischen Geschlechtern Kann die SP teilweise verstehen.

Bin aber für eine Rentenaltererhöhung",betreuungsarbeit geben grosse lücken geschlechtern sp teilweise verstehen rentenaltererhöhung,,,,"{'Bei': 0, 'der': 0.28, 'Betreuungsarbeit': 0.175, 'gibt': 0.07, 'es': 0, 'grosse': 0, 'Lücken': 0.24, 'zwischen': 0.13, 'Geschlechtern': 0, 'Kann': 0.05, 'die': 0.28, 'SP': 0.06, 'teilweise': 0, 'verstehen': 0.12, 'Bin': 0, 'aber': 0.19, 'für': 0, 'eine': 0, 'Rentenaltererhöhung': 0.94}",positive,"[0.018716624, 0.005608342, 0.97567505]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
75.0,75.0,71.0,0.3333333333333333,negative,"@AdrianAulbach @andreaskyriacou @MFrauchigerSVP @amadedotch @FDP_Liberalen Ich wollte damit nicht sagen, dass man den Vaterschaftsurlaub ablehnen soll mit diesem Argument, aber ich denke, dass die Elternzeit enorm besser ist als seperater Urlaub. Ob 8 Wochen für die Frau reserviert sein müssen, naja keine Ahnung, ganz ehrlich.",sagen vaterschaftsurlaub ablehnen argument denken elternzeit enorm gut seperater urlaub wochen frau reservieren müssen naja ahnung ganz ehrlich,,,,,,,"{'Ich': 0.02, 'wollte': 0, 'damit': 0.02, 'nicht': 0, 'sagen': 0.065, 'dass': 0.04, 'man': 0, 'den': 0.03, 'Vaterschaftsurlaub': 0.525, 'ablehnen': 0, 'soll': 0, 'mit': 0.15, 'diesem': 0.11, 'Argument': 0.27, 'aber': 0.05, 'ich': 0.02, 'denke': 0.03, 'die': 0.03, 'Elternzeit': 0.05, 'enorm': 0, 'besser': 0.07, 'ist': 0.03, 'als': 0, 'seperater': 0, 'Urlaub': 0, 'Ob': 0, 'Wochen': 0.07, 'für': 0.04, 'Frau': 0, 'reserviert': 0.08, 'sein': 0, 'müssen': 0.02, 'naja': 0.02, 'keine': 0, 'Ahnung': 0.02, 'ganz': 0, 'ehrlich': 0}",neutral,"[0.44741258, 0.22664227, 0.32594517]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.85,negative,"@Globi53397640 @narimoldi Der Beitrag ist absolut relativ klein, aber es ist schon eine Prinzipienfrage, ob ein Vaterschaftsurlaub sinnvoll ist oder nicht. Ich finde ja, @narimoldi findet nein.",beitrag absolut relativ klein schon prinzipienfrage vaterschaftsurlaub sinnvoll finden ja finden nein,,,,,,,"{'Der': 0.03, 'Beitrag': 0.04, 'ist': 0.04, 'absolut': 0.03, 'relativ': 0, 'klein': 0, 'aber': 0.08, 'es': 0.04, 'schon': 0, 'eine': 0, 'Prinzipienfrage': 0.1625, 'ob': 0, 'ein': 0, 'Vaterschaftsurlaub': 0.835, 'sinnvoll': 0, 'oder': 1.0, 'nicht': 1.0, 'Ich': 0.02, 'finde': 0, 'ja': 0, 'findet': 0, 'nein': 0.05}",neutral,"[0.5924064, 0.13657635, 0.27101728]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"@AleHaeu @LeroyBaechtold @jglpCH Naja, also man könnte Vaterschaftsurlaub auch als ""Männererziehung"" umdeuten. Aber das ist nicht mein Politikverständnis",naja vaterschaftsurlaub männererziehung umdeuten politikverständnis,,,,,,,"{'Naja': 1.0, 'also': 0.41, 'man': 0, 'könnte': 0.45, 'Vaterschaftsurlaub': 0.635, 'auch': 0.41, 'als': 0.19, 'Männererziehung': 0, 'umdeuten': 0, 'Aber': 0.24, 'das': 0.08, 'ist': 0.06, 'nicht': 0.08, 'mein': 0.09, 'Politikverständnis': 0.1}",negative,"[0.43983072, 0.54151994, 0.018649336]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @thomasreiss: @JohLeut @MFrauchigerSVP Einen Vaterschaftsurlaub wollt ihr nicht, weils ein paar hundert Millionen kostet. Steuererleicht…",vaterschaftsurlaub weils paar hundert millionen kosten steuererleicht,,,,,,,"{'Einen': 0.03, 'Vaterschaftsurlaub': 0.25, 'wollt': 0.21, 'ihr': 0, 'nicht': 0, 'weils': 0.15, 'ein': 0, 'paar': 0, 'hundert': 0.06, 'Millionen': 0, 'kostet': 0.08, 'Steuererleicht': 0.15000000000000002, '…': 0}",negative,"[0.09327419, 0.8531612, 0.053564545]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
