answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3455,absa_sentiment_3455,absa_scores_3455,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
25.0,25.0,28.0,-0.2333333333333333,negative,"Nur noch peinlich! Der Bundesrat will, dass die Schweiz familienpolitisch ein Entwicklungsland bleibt. Ein Tag Vaterschaftsurlaub ist ein schlechter Witz. Richtig wäre eine Elternzeit von mindestens 24 Wochen für Mütter und... https://t.co/Uzhb1i8H1j",peinlich bundesrat schweiz familienpolitisch entwicklungsland bleiben tag vaterschaftsurlaub schlecht witz richtig elternzeit mindestens wochen mütter,"{'Nur': 0.06, 'noch': 0, 'peinlich': 0, 'Der': 0.05, 'Bundesrat': 0.04, 'will': 0, 'dass': 0, 'die': 0.05, 'Schweiz': 0.05, 'familienpolitisch': 0.08, 'ein': 0.16, 'Entwicklungsland': 0.07, 'bleibt': 0, 'Ein': 0.5, 'Tag': 0, 'Vaterschaftsurlaub': 0.52, 'ist': 0.64, 'schlechter': 0, 'Witz': 1.0, 'Richtig': 0, 'wäre': 0.07, 'eine': 0.16, 'Elternzeit': 0.17, 'von': 0, 'mindestens': 0.045, 'Wochen': 0.07, 'für': 0.07, 'Mütter': 0.06, 'und': 0.05, '...': 0}",negative,"[0.0026687756, 0.9919952, 0.0053360118]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,71.0,0.15,negative,@arnogart Reflexionen sind mir lieber als Reflexe. Aber klar: Olympia-Ja und zugleich Vaterschaftsurlaub-Nein des BR ist nur noch peinlich...,reflexionen lieb reflexe klaren olympia ja zugleich vaterschaftsurlaub nein br peinlich,"{'Reflexionen': 0.04, 'sind': 0, 'mir': 0, 'lieber': 0, 'als': 0, 'Reflexe': 0.1, 'Aber': 0.07, 'klar': 0, 'Olympia-Ja': 0, 'und': 0.09, 'zugleich': 0, 'Vaterschaftsurlaub-Nein': 1.0, 'des': 0.14, 'BR': 0.11, 'ist': 0.54, 'nur': 0, 'noch': 0, 'peinlich': 0, '...': 0}",negative,"[0.0026586885, 0.98551637, 0.011824933]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,negative,Ändere dein Facebook-Profilbild und stimme JA! zur erleichterten Einbürgerung am 12. Februar. https://t.co/hIwg0tVj5e,ändern facebook profilbild stimme ja erleichtern einbürgerung februar,,,,"{'Ändere': 0.13, 'dein': 0.09, 'Facebook-Profilbild': 0.1275, 'und': 0.06, 'stimme': 0, 'JA': 0.06, 'zur': 0.42, 'erleichterten': 0, 'Einbürgerung': 1.0, 'am': 0, '12.': 0, 'Februar': 0.17}",neutral,"[0.85980344, 0.00515807, 0.13503851]",,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,Lesenswert! Einäugige Mindestlohn-Ökonomie: http://t.co/Tm3u4nNgDS via @infosperber,lesenswert einäugige mindestlohn ökonomie via,,,,,,,"{'Lesenswert': 0.33999999999999997, 'Einäugige': 0, 'Mindestlohn-Ökonomie': 0.875, 'via': 0.5}",positive,"[0.010944848, 0.0036443966, 0.9854108]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,71.0,0.15,neutral,So ist es! Warum wir den heimlichen Schweden in uns akzeptieren und Ja zum Mindestlohn sagen sollten http://t.co/1TBhBvP55U via @watson_news,warum heimlich schweden akzeptieren ja mindestlohn sagen sollen via,,,,,,,"{'So': 0, 'ist': 0.07, 'es': 0.07, 'Warum': 0.12, 'wir': 0, 'den': 0.41, 'heimlichen': 0.31, 'Schweden': 0.18, 'in': 0.14, 'uns': 0.07, 'akzeptieren': 0.29, 'und': 0.22, 'Ja': 0.22, 'zum': 0.39, 'Mindestlohn': 0.8300000000000001, 'sagen': 0.33499999999999996, 'sollten': 0.1, 'via': 1.0}",positive,"[0.11092071, 0.0030446118, 0.8860347]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Was zur Mindestlohndebatte zu sagen ist, wird hier gesagt. Ja am 18. Mai! http://t.co/g4M9dFhAJ5",mindestlohndebatte sagen sagen ja mai,,,,,,,"{'Was': 0, 'zur': 0.42000000000000004, 'Mindestlohndebatte': 0.9475, 'zu': 0.17, 'sagen': 0.185, 'ist': 0.61, 'wird': 0, 'hier': 0.51, 'gesagt': 0.57, 'Ja': 0, 'am': 0, '18.': 0, 'Mai': 0.19}",neutral,"[0.8015784, 0.005202681, 0.1932189]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Der Mindestlohn macht Weltkarriere http://t.co/0NRQhSdKEW via @tagesanzeiger,mindestlohn weltkarriere via,,,,,,,"{'Der': 1.0, 'Mindestlohn': 0.75, 'macht': 0, 'Weltkarriere': 0.255, 'via': 0.19}",positive,"[0.0017113141, 0.000927228, 0.9973615]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@AlainS1991 Weniger Geld in ausländische, fossile Energien + mehr Geld in Effizienz und einheimische, Erneuerbare = mehr Arbeit für die CH.",wenig geld ausländische fossile energien mehr geld effizienz einheimisch erneuerbare mehr arbeit ch,,,,,,,,,,"{'Weniger': 0, 'Geld': 0.13, 'in': 0.08, 'ausländische': 0.12, 'fossile': 0.13, 'Energien': 0.21, 'mehr': 0.15, 'Effizienz': 0.21, 'und': 0.13, 'einheimische': 0, 'Erneuerbare': 0, 'Arbeit': 0.18, 'für': 0.06, 'die': 0.09, 'CH': 0.08}",positive,"[0.37217632, 0.17769596, 0.45012772]",,,,,,,,,,,,,,,,,,,neutral
25.0,25.0,14.0,-0.4333333333333333,neutral,@Asgarisana1 @phil_schenkel Doppelt falsch. 1. Die #TWI verbietet nichts. Sie schafft nur neue Voraussetzungen für den Bezug von Direktzahlungen. 2. Jede Ökologisierung der Landwirtschaft ist eine Chance für die Berglandwirtschaft - weil sie schon ökologischer ist. Eine pragmatische Umsetzung ist möglich.,doppeln falsch twi verbieten schaffen neue voraussetzungen bezug direktzahlungen jed ökologisierung landwirtschaft chance berglandwirtschaft schon ökologisch pragmatische umsetzung möglich,,,,,,,,,,,,,"{'Doppelt': 0, 'falsch': 0.04, '1.': 0, 'Die': 0.06, 'TWI': 0.04, 'verbietet': 0, 'nichts': 0, 'Sie': 0, 'schafft': 0.28, 'nur': 0.45, 'neue': 0.17, 'Voraussetzungen': 0, 'für': 0.04, 'den': 0.06, 'Bezug': 0, 'von': 0, 'Direktzahlungen': 0.99, '2.': 0, 'Jede': 0.06, 'Ökologisierung': 0.1, 'der': 0.06, 'Landwirtschaft': 0.06, 'ist': 0.04, 'eine': 0, 'Chance': 0, 'die': 0.06, 'Berglandwirtschaft': 0.04, 'weil': 0.05, 'sie': 0, 'schon': 0, 'ökologischer': 0.045, 'Eine': 0, 'pragmatische': 0.09, 'Umsetzung': 0.08, 'möglich': 0.06}",positive,"[0.18836583, 0.020462552, 0.7911716]",,,,,,,,,,,,,"{'Doppelt': 0, 'falsch': 0.08, '1.': 0, 'Die': 0.06, 'TWI': 0.03, 'verbietet': 0, 'nichts': 0, 'Sie': 0, 'schafft': 0.08, 'nur': 0.08, 'neue': 0.02, 'Voraussetzungen': 0, 'für': 0.06, 'den': 0.06, 'Bezug': 0, 'von': 0, 'Direktzahlungen': 0.03, '2.': 0, 'Jede': 0.53, 'Ökologisierung': 0.29, 'der': 0.06, 'Landwirtschaft': 0.08, 'ist': 0.06, 'eine': 0, 'Chance': 0, 'die': 0.06, 'Berglandwirtschaft': 0.12, 'weil': 0.18, 'sie': 0, 'schon': 0, 'ökologischer': 0.025, 'Eine': 0, 'pragmatische': 0.06, 'Umsetzung': 0.04, 'möglich': 0.27}",positive,"[0.14997771, 0.04678689, 0.8032354]",negative
0.0,0.0,0.0,-1.0,negative,RT @alpeninitiative: Online-Voting für #Teufelsstein 2018 startet ab sofort! Welcher dieser Transporte ist am absurdesten? Jetzt abstimmen:…,online voting teufelsstein starten ab sofort welch transporte absurd abstimmen,,,,,,,,,,,,,,,,"{'Online-Voting': 0, 'für': 0.1, 'Teufelsstein': 0, 'startet': 0, 'ab': 0, 'sofort': 0.13, 'Welcher': 0.16, 'dieser': 0, 'Transporte': 0, 'ist': 0.21, 'am': 0, 'absurdesten': 0, 'Jetzt': 1.0, 'abstimmen': 1.0, '…': 0}",neutral,"[0.5246521, 0.25548983, 0.21985802]",,,,,,,,,,,,,negative
