answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3444,absa_sentiment_3444,absa_scores_3444,absa_token_weights_3455,absa_sentiment_3455,absa_scores_3455,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @metamythos: Dringend: Lehrbetrieb gesucht!

Unser Sohn (17) sucht als FABE Kinderbetreuung fürs 3. Lehrjahr eine Kinderkrippe im Grossr…",dringen lehrbetrieb suchen sohn suchen fabe kinderbetreuung fürs lehrjahr kinderkrippe grossr,"{'Dringend': 0, 'Lehrbetrieb': 0.31, 'gesucht': 0, 'Unser': 0.47, 'Sohn': 0.44, 'sucht': 0, 'als': 0, 'FABE': 0.88, 'Kinderbetreuung': 0.82, 'fürs': 0.23, '3.': 0, 'Lehrjahr': 0.1, 'eine': 0, 'Kinderkrippe': 0.06, 'im': 0, 'Grossr': 0, '…': 0}",positive,"[0.31021392, 0.050386995, 0.6393991]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @patrick_kuenzle: In meiner Familie gibt es Ärztinnen, die auf eine gute Kinderbetreuung angewiesen sind. Daher leite ich diesen Aufruf…",familie geben ärztinnen gut kinderbetreuung anweisen daher leiten aufruf,"{'In': 0.06, 'meiner': 0, 'Familie': 0.06, 'gibt': 0.06, 'es': 0, 'Ärztinnen': 0.14, 'die': 0, 'auf': 0.42, 'eine': 0, 'gute': 0, 'Kinderbetreuung': 1.0, 'angewiesen': 0, 'sind': 0.06, 'Daher': 0, 'leite': 0, 'ich': 0.03, 'diesen': 0.06, 'Aufruf': 0.08, '…': 0}",positive,"[0.18287362, 0.030262414, 0.786864]",,,,,,,,,,,,,,,,,,,,,,,,,positive
75.0,100.0,86.0,0.5666666666666667,neutral,"Ein grosses Mischpaket mit allem, bitte. Aber ohne Rentenalter. 

#cherrypicking 
Oder: wenn der Bundesrat das Volk nicht mehr ernst nimmt https://t.co/lJnu2cksYa",grosses mischpaket bitte rentenalter cherrypicking bundesrat volk mehr ernst nehmen,,,,"{'Ein': 0.1, 'grosses': 0, 'Mischpaket': 0.16, 'mit': 0.18, 'allem': 0.15, 'bitte': 0, 'Aber': 0.64, 'ohne': 1.0, 'Rentenalter': 0.75, 'cherrypicking': 0.16, 'Oder': 0.12, 'wenn': 0.09, 'der': 0.04, 'Bundesrat': 0.03, 'das': 0, 'Volk': 0.03, 'nicht': 0, 'mehr': 0, 'ernst': 0, 'nimmt': 0.03}",neutral,"[0.65433323, 0.28184158, 0.06382517]",,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @Juerg_Grossen: Das Rentenalter muss angepasst werden - aber in einer separaten Vorlage. Getraut Euch @FDP_Liberalen, beerdigt mit uns d…",rentenalter angepasst separat vorlage trauen beerdigen d,,,,"{'Das': 0.13, 'Rentenalter': 0.615, 'muss': 0.13, 'angepasst': 0, 'werden': 0, 'aber': 0.42, 'in': 0.28, 'einer': 0, 'separaten': 0.25, 'Vorlage': 0.33, 'Getraut': 0, 'Euch': 0, 'beerdigt': 0, 'mit': 0, 'uns': 0, 'd': 0.09, '…': 0}",neutral,"[0.5268044, 0.3411579, 0.13203768]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @fljan: je höher der kündigungsschutz, desto schwerer finden ältere einen job. wieso begreifen linke diese logik und evidenz nicht? #srf…",je hoch kündigungsschutz desto schwer finden alt job wieso begreifen link logik evidenz srf,,,,,,,"{'je': 0.06, 'höher': 0.44, 'der': 0.42, 'kündigungsschutz': 0.615, 'desto': 0.27, 'schwerer': 0, 'finden': 0.16, 'ältere': 0.04, 'einen': 0.02, 'job': 0.09, 'wieso': 0, 'begreifen': 0.02, 'linke': 0, 'diese': 0.03, 'logik': 0.08, 'und': 0.05, 'evidenz': 0.08, 'nicht': 0.02, 'srf': 0.05, '…': 0}",positive,"[0.042050406, 0.3769655, 0.58098406]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @retolipp: Der Landwirtschafts-Grenzschutz kostet die Schweizer Konsumenten 3.8 Mrd Fr pro Jahr. Dazu kommen Direktzahlungen von 4.2 Mrd…,landwirtschafts grenzschutz kosten schweizer konsumenten mrd fr pro jahr kommen direktzahlungen mrd,,,,,,,,,,"{'Der': 0, 'Landwirtschafts-Grenzschutz': 0.0325, 'kostet': 0.16, 'die': 0, 'Schweizer': 0.05, 'Konsumenten': 0.06, '3.8': 0, 'Mrd': 0.28, 'Fr': 0, 'pro': 0, 'Jahr': 0.05, 'Dazu': 0.195, 'kommen': 0, 'Direktzahlungen': 0.705, 'von': 0, '4.2': 0, '…': 0}",negative,"[0.08147757, 0.8793562, 0.039166242]",,,,,,,,,,,,,"{'Der': 0, 'Landwirtschafts-Grenzschutz': 0.935, 'kostet': 0.65, 'die': 0, 'Schweizer': 0.09, 'Konsumenten': 0.2, '3.8': 0, 'Mrd': 0.07, 'Fr': 0, 'pro': 0, 'Jahr': 0.13, 'Dazu': 0.025, 'kommen': 0, 'Direktzahlungen': 0.075, 'von': 0, '4.2': 0, '…': 0}",neutral,"[0.47841904, 0.080569, 0.44101197]",neutral
50.0,75.0,57.0,0.0,neutral,@apmnc @maximilianstern @UrsLeuthard @nicolaforster @foraus @digidemokratie @michaelelsener @glpzh Es geht nicht um e-Voting sondern um Gestaltung,gehen e voting gestaltung,,,,,,,,,,,,,"{'Es': 0, 'geht': 0, 'nicht': 1.0, 'um': 0, 'e-Voting': 0, 'sondern': 0, 'Gestaltung': 0}",neutral,"[0.826028, 0.15129636, 0.022675728]",,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.85,neutral,"Spannende Podiumsdiskussion mit Mitstreiter @fgrueter: e-ID und e-Voting im Zentrum der Diskussion. Danke für die schöne, unkomplizierte Begegnung #cmifachtagung https://t.co/TeQvSoWjN2",spannend podiumsdiskussion mitstreiter e id e voting zentrum diskussion danke schöne unkomplizierte begegnung cmifachtagung,,,,,,,,,,,,,"{'Spannende': 0.06, 'Podiumsdiskussion': 0.04, 'mit': 0.02, 'Mitstreiter': 0.055, 'e-ID': 0, 'und': 0.04, 'e-Voting': 0, 'im': 0, 'Zentrum': 0.03, 'der': 0.06, 'Diskussion': 0.04, 'Danke': 0.035, 'für': 0.03, 'die': 0.06, 'schöne': 0, 'unkomplizierte': 0.19, 'Begegnung': 0.07, 'cmifachtagung': 0}",positive,"[0.07097135, 0.06982794, 0.85920066]",,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @NeuhausC: Wer das Schweizer E-Voting knackt, kassiert eine Million: https://t.co/E3YwIxATCQ",wer schweizer e voting knacken kassieren million,,,,,,,,,,,,,"{'Wer': 0.16, 'das': 0, 'Schweizer': 0.22, 'E-Voting': 0, 'knackt': 0.29, 'kassiert': 0, 'eine': 0, 'Million': 1.0}",positive,"[0.2018742, 0.12067098, 0.6774549]",,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.85,neutral,"@vecirex @Swissmedic_ @adfichter @bglaettli @minlimarti Nicht sicher, ob das sinnvoll ist. Wenn jeder unverifizierte Meldungen eingeben kann, wird das Meldewesen schnell mal getrolled und hijacked. Hat mit Digitalisierung weniger zu tun als mit der Qualität/Zuverlässigkeit der Meldungen.",sichern sinnvoll jed unverifizierte meldungen eingeben meldewesen schnellen mal getrolled hijacked digitalisierung wenig tun qualität zuverlässigkeit meldungen,,,,,,,,,,,,,,,,"{'Nicht': 0.03, 'sicher': 0, 'ob': 0, 'das': 0.03, 'sinnvoll': 0, 'ist': 0.04, 'Wenn': 0, 'jeder': 0.03, 'unverifizierte': 0.05, 'Meldungen': 0, 'eingeben': 0, 'kann': 0.02, 'wird': 0, 'Meldewesen': 0.03, 'schnell': 0, 'mal': 0, 'getrolled': 0, 'und': 0.04, 'hijacked': 0.08, 'Hat': 0, 'mit': 0.06, 'Digitalisierung': 0, 'weniger': 0, 'zu': 0.34, 'tun': 0.67, 'als': 0, 'der': 0.04, 'Qualität': 0.09, 'Zuverlässigkeit': 0.1}",neutral,"[0.6996096, 0.14954935, 0.15084112]",,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"#MondaysForFuture zum Thema Digitalisierung Staat - Wirtschaft: wo klemmt‘s? Ich freue mich auf die Diskussion mit @WThurnherr , Bea Knecht, @muellerjuerg, @SebRamspeck im @RaiffeisenForum. Join in! https://t.co/lMMP8U8dP1",mondaysforfuture thema digitalisierung staat wirtschaft klemmen s freuen diskussion bea knecht join,,,,,,,,,,,,,,,,"{'MondaysForFuture': 0.28, 'zum': 0.03, 'Thema': 0, 'Digitalisierung': 0, 'Staat': 0.33, 'Wirtschaft': 0, 'wo': 0.04, 'klemmt': 0.14, '‘': 0, 's': 0, 'Ich': 0, 'freue': 0, 'mich': 0, 'auf': 0, 'die': 0, 'Diskussion': 0, 'mit': 0, 'Bea': 0, 'Knecht': 0, 'im': 0, 'Join': 0, 'in': 0}",positive,"[0.21465676, 0.02709909, 0.75824416]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @inside_it: Geht der Schweizer Digitalisierung der Strom aus?
Nach dem Scheitern des Rahmenabkommens richten Parlamentarier einen Vorsto…",gehen schweizer digitalisierung strom scheitern rahmenabkommens richten parlamentarier vorsto,,,,,,,,,,,,,,,,"{'Geht': 0, 'der': 0.05, 'Schweizer': 0.05, 'Digitalisierung': 0, 'Strom': 0, 'aus': 0.03, 'Nach': 0, 'dem': 0.05, 'Scheitern': 0, 'des': 0, 'Rahmenabkommens': 0.12, 'richten': 0, 'Parlamentarier': 1.0, 'einen': 0, 'Vorsto': 0, '…': 0}",neutral,"[0.9420454, 0.049000055, 0.008954527]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Nun fliessen auch mehr Mittel in die Digitalisierung. Spüre ich Aufbruchstimmung in der Bundesverwaltung?
https://t.co/m5NbFOWRvm",fliessen mehr mittel digitalisierung spüren aufbruchstimmung bundesverwaltung,,,,,,,,,,,,,,,,"{'Nun': 0, 'fliessen': 0, 'auch': 0, 'mehr': 0.13, 'Mittel': 0, 'in': 0.05, 'die': 0.03, 'Digitalisierung': 0, 'Spüre': 0.05, 'ich': 0.02, 'Aufbruchstimmung': 0.11000000000000001, 'der': 0.03, 'Bundesverwaltung': 0.03}",positive,"[0.18231149, 0.010855028, 0.80683345]",,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,Der Bundesrat macht bei der Digitalisierung vorwärts. Sinnvolle Schritte bei der Steuerung und der Flexibilisierung der Beiräte: https://t.co/xix1W91zRt,bundesrat digitalisierung vorwärts sinnvoll schritte steuerung flexibilisierung beiräte,,,,,,,,,,,,,,,,"{'Der': 0.14, 'Bundesrat': 0.115, 'macht': 0, 'bei': 0, 'der': 0.14, 'Digitalisierung': 0, 'vorwärts': 0, 'Sinnvolle': 0, 'Schritte': 1.0, 'Steuerung': 0, 'und': 0.11, 'Flexibilisierung': 0, 'Beiräte': 0.18}",positive,"[0.0047508236, 0.0016896012, 0.9935596]",,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @digiges_ch: Der Wirtschaftsverband @swicoDEU hat ein 10 Punkte-Programm 
zur Digitalisierung veröffentlicht - und stellt weitgehend den…",wirtschaftsverband punkte programm digitalisierung veröffentlichen stellen weitgehend,,,,,,,,,,,,,,,,"{'Der': 0.07, 'Wirtschaftsverband': 0.13, 'hat': 0, 'ein': 0, 'Punkte-Programm': 0.65, 'zur': 0.07, 'Digitalisierung': 0, 'veröffentlicht': 0, 'und': 0.12, 'stellt': 0.17, 'weitgehend': 0.14, 'den': 0.07, '…': 0}",positive,"[0.12118139, 0.0083431145, 0.87047553]",,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @swicoDEU: 🔝 #News: Mit unserem 10-Punkte-Programm möchten wir die #Digitalisierung in der #Schweiz vorantreiben, mit dem Ziel, einen Be…",news punkte programm mögen digitalisierung schweiz vorantreiben ziel be,,,,,,,,,,,,,,,,"{'News': 0.05, 'Mit': 0.06, 'unserem': 0.04, '10-Punkte-Programm': 0.1225, 'möchten': 0, 'wir': 0, 'die': 0.05, 'Digitalisierung': 0, 'in': 0.2, 'der': 0.05, 'Schweiz': 0.13, 'vorantreiben': 0, 'mit': 0.06, 'dem': 0.065, 'Ziel': 0.12, 'einen': 0.04, 'Be': 0, '…': 0}",positive,"[0.2507076, 0.033450577, 0.7158419]",,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"RT @swicoDEU: Wir empfehlen ein JA zum #CO2Gesetz. #Digitalisierungsbranche ist dank Einsatzes innovativer Technologien in der Position, ei…",empfehlen ja co2gesetz digitalisierungsbranche danken einsatzes innovativ technologien position ei,,,,,,,,,,,,,,,,"{'Wir': 0.05, 'empfehlen': 0.08, 'ein': 0, 'JA': 0, 'zum': 0.05, 'CO2Gesetz': 0, 'Digitalisierungsbranche': 0, 'ist': 0.23, 'dank': 0.085, 'Einsatzes': 0.03, 'innovativer': 0.07, 'Technologien': 0.05, 'in': 0.08, 'der': 0.03, 'Position': 0.22, 'ei': 0, '…': 0}",positive,"[0.027166853, 0.009036302, 0.9637968]",,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,Heute mal ein paar positive Vibes aus der Digitalisierungsbranche. @swicoDEU ICT-Index macht Mut: https://t.co/WYd5tG0vtj,heute mal paar positiv vibes digitalisierungsbranche ict index mut,,,,,,,,,,,,,,,,"{'Heute': 0.16, 'mal': 0, 'ein': 0, 'paar': 0, 'positive': 0.23, 'Vibes': 0.28, 'aus': 0, 'der': 0.09, 'Digitalisierungsbranche': 0, 'ICT-Index': 0, 'macht': 0, 'Mut': 0}",positive,"[0.001628002, 0.0011393029, 0.99723274]",,,,,,,,,,positive
75.0,75.0,71.0,0.35,neutral,"@huberfe @bglaettli @joergmaeder @RuediNoser @marcelsalathe Ich bin - erfreulicherweise - einigen mehr im Parlament begegnet, die sich ernsthaft mit Digitalisierung auseinandersetzen (z.T. auch vor mir 😉)",erfreulicherweise mehr parlament begegnen ernsthaft digitalisierung auseinandersetzen z t,,,,,,,,,,,,,,,,"{'Ich': 0.09, 'bin': 0, 'erfreulicherweise': 0.13, 'einigen': 0, 'mehr': 0.08, 'im': 0, 'Parlament': 0.09, 'begegnet': 0, 'die': 0, 'sich': 0, 'ernsthaft': 0, 'mit': 0.16, 'Digitalisierung': 0, 'auseinandersetzen': 0.135, 'z.T.': 0, 'auch': 0, 'vor': 0.3, 'mir': 0.29}",neutral,"[0.83606964, 0.1104217, 0.05350871]",,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"Novität: @bafuCH ernennt Digitalisierungsspezialistin aus der Privatwirtschaft zur Vizedirektorin. Da kommt etwas Hoffnung auf ;-)
https://t.co/HE1oRSo6h5",novität ernennen digitalisierungsspezialistin privatwirtschaft vizedirektorin kommen hoffnung,,,,,,,,,,,,,,,,"{'Novität': 0.15, 'ernennt': 0.39, 'Digitalisierungsspezialistin': 0.195, 'aus': 0, 'der': 0.06, 'Privatwirtschaft': 0.1, 'zur': 0.06, 'Vizedirektorin': 0.155, 'Da': 0, 'kommt': 0, 'etwas': 0, 'Hoffnung': 1.0, 'auf': 0}",positive,"[0.31862465, 0.032853756, 0.64852166]",,,,,,,,,,positive
