answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,sentiment_tb
50.0,75.0,57.0,0.0,neutral,RT @Tamarafuniciell: Die familienergänzende Kinderbetreuung muss ein Service public werden wie die Volksschule. Unterschreibe jetzt unsere…,familienergänzende kinderbetreuung service public volksschule unterschreiben,"{'Die': 0, 'familienergänzende': 0.1, 'Kinderbetreuung': 0.35, 'muss': 0, 'ein': 0, 'Service': 0.16, 'public': 0.17, 'werden': 0, 'wie': 0, 'die': 0, 'Volksschule': 0.145, 'Unterschreibe': 1.0, 'jetzt': 0.99, 'unsere': 1.0, '…': 0}",positive,"[0.42636546, 0.030932289, 0.5427022]",,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @jacquelinefehr: Es gibt auch keine Alternative zur Lohngleichheit. Deshalb: Pro 25% Reduktion der Lohndifferenz zw. Frauen und Männern…,geben alternative lohngleichheit deshalb pro reduktion lohndifferenz zw frauen männern,,,,"{'Es': 0.1, 'gibt': 0, 'auch': 0.24, 'keine': 0, 'Alternative': 0.38, 'zur': 0.33999999999999997, 'Lohngleichheit': 1.0, 'Deshalb': 0.23, 'Pro': 0, 'Reduktion': 0.14, 'der': 0.09, 'Lohndifferenz': 0.13, 'zw': 0, 'Frauen': 0.07, 'und': 0.07, 'Männern': 0.08, '…': 0}",positive,"[0.4124654, 0.09693435, 0.49060032]",,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @UrsulaMarti1: Lohngleichheit: Wo ein Wille ist, ist ein Weg. Und: Frauen befördern statt immer nur Mentoring.@k_haessig @spfrauenbern #…",lohngleichheit wille frauen befördern statt immer mentoring,,,,"{'Lohngleichheit': 0.595, 'Wo': 0.7, 'ein': 0, 'Wille': 0.28, 'ist': 0, 'Weg': 0, 'Und': 0.17, 'Frauen': 0.06, 'befördern': 0.15, 'statt': 0.065, 'immer': 0, 'nur': 0, 'Mentoring': 0.11, '…': 0}",positive,"[0.102542594, 0.013317222, 0.8841402]",,,,,,,positive
0.0,0.0,14.0,-0.7,negative,RT @alliance_F: Wieso werden Frauen wenn es um @lohngleichheit oder #Frauenquote geht eigentlich immer kopflos dargestellt 🤔? Und wieso eig…,wieso frauen frauenquote gehen eigentlich immer kopflos darstellen wieso eig,,,,"{'Wieso': 0, 'werden': 0, 'Frauen': 0.07, 'wenn': 0, 'es': 0, 'um': 0, 'oder': 0.07, 'Frauenquote': 0.07, 'geht': 0, 'eigentlich': 0, 'immer': 0.14, 'kopflos': 0.16, 'dargestellt': 0, '🤔': 0, 'Und': 0, 'wieso': 0, 'eig': 0, '…': 0}",negative,"[0.13297188, 0.8431059, 0.023922127]",,,,,,,negative
50.0,75.0,57.0,0.0,negative,"RT @spkantonbern: «Unternehmenssteuersenkungen liegen schlicht nicht drin – nach diesen neuesten Informationen noch viel weniger», sagt SP-…",unternehmenssteuersenkungen liegen schleichen drin neuesten informationen wenig sagen sp,,,,,,,"{'«': 0, 'Unternehmenssteuersenkungen': 0, 'liegen': 0, 'schlicht': 0, 'nicht': 0, 'drin': 0, '–': 0, 'nach': 0, 'diesen': 0, 'neuesten': 0, 'Informationen': 0, 'noch': 0, 'viel': 0, 'weniger': 0, '»': 0, 'sagt': 0, 'SP-': 0, '…': 0}",negative,"[0.13454731, 0.77828985, 0.08716291]",,,,neutral
50.0,25.0,57.0,-0.1,negative,"RT @spkantonbern: Wir wehren uns gegen Steuersenkungen, die nur einigen wenige zugute kommen und der grossen Mehrheit nichts bringen. https…",wehren steuersenkungen wenig zugute kommen grossen mehrheit bringen https,,,,,,,"{'Wir': 0.41, 'wehren': 0, 'uns': 0, 'gegen': 0, 'Steuersenkungen': 0.395, 'die': 0.07, 'nur': 0.43, 'einigen': 0, 'wenige': 0.14, 'zugute': 0.28, 'kommen': 0, 'und': 0.17, 'der': 0.07, 'grossen': 0, 'Mehrheit': 0.1, 'nichts': 0, 'bringen': 0, 'https': 0.24, '…': 0}",negative,"[0.12357172, 0.67089576, 0.20553249]",,,,neutral
50.0,75.0,57.0,0.0,neutral,"Da bin ich voll dagegen! Im Zeitalter der Klimaerwärmung muss ein Kanton in erneuerbare Energien und nicht in Flughäfen investieren!!! Wie wär’s mit einem Solarpark?? Oder Windpark...
Von Kopfschütteln bis Erleichterung #srf #srfnews https://t.co/YMYud8rnrR via @srfnews",voll dagegen zeitalter klimaerwärmung kanton erneuerbare energien flughäfen investieren wär s solarpark windpark kopfschütteln erleichterung srf srfnews via,,,,,,,,,,"{'Da': 0, 'bin': 0, 'ich': 0.02, 'voll': 0, 'dagegen': 0.02, 'Im': 0, 'Zeitalter': 0.08, 'der': 0.02, 'Klimaerwärmung': 0.12, 'muss': 0.01, 'ein': 0, 'Kanton': 0.11, 'in': 0.07, 'erneuerbare': 1.0, 'Energien': 1.0, 'und': 0.25, 'nicht': 0.15, 'Flughäfen': 0.13, 'investieren': 0.42, 'Wie': 0, 'wär': 0, '’s': 0, 'mit': 0, 'einem': 0, 'Solarpark': 0, 'Oder': 0.03, 'Windpark': 0.11, '...': 0, 'Von': 0.02, 'Kopfschütteln': 0.02, 'bis': 0, 'Erleichterung': 0.04, 'srf': 0.03, 'srfnews': 0.06, 'via': 0.02}",positive,"[0.058179054, 0.06020158, 0.88161933]",neutral
0.0,0.0,0.0,-1.0,neutral,"Genau das muss jetzt diskutiert werden: ein Moratorium für Strassenbau, es sind nämlich nun neue Ideen und Wege gefragt! Wer ist hier weltfremd? Geld in erneuerbare Energien investieren anstatt in Strassen verlochen! #Klimaschutz https://t.co/zk7Hpu8q2J",genau diskutieren moratorium strassenbau nämlich neue ideen wege fragen wer weltfremd geld erneuerbare energien investieren anstatt strassen verlochen klimaschutz,,,,,,,,,,"{'Genau': 0, 'das': 0, 'muss': 0.02, 'jetzt': 0.65, 'diskutiert': 0.11, 'werden': 0, 'ein': 0, 'Moratorium': 0.19, 'für': 0, 'Strassenbau': 0.07, 'es': 0.2, 'sind': 0.19, 'nämlich': 0, 'nun': 0, 'neue': 0.22, 'Ideen': 0.25, 'und': 0.12, 'Wege': 0.26, 'gefragt': 0, 'Wer': 0.79, 'ist': 0.2, 'hier': 0.41, 'weltfremd': 0.46, 'Geld': 0.11, 'in': 0.04, 'erneuerbare': 0.54, 'Energien': 0.08, 'investieren': 0.21, 'anstatt': 0.065, 'Strassen': 0, 'verlochen': 0.04, 'Klimaschutz': 0.09}",neutral,"[0.64534307, 0.23792641, 0.116730526]",negative
50.0,25.0,28.0,-0.15,negative,"Schade, das knappe Nein zum Berner #Energiegesetz tut weh! Jetzt ist der HEV gefordert zu zeigen, dass     Ölheizungen auch freiwillig durch erneuerbare Technologien ersetzt werden und dass auf Neubauten auch freiwillig Strom produziert wird...lasst uns träumen!",schaden knapp nein berner energiegesetz tun weh hev fordern zeigen ölheizungen freiwillig erneuerbare technologien ersetzen neubauten freiwillig strom produzieren lasst träumen,,,,,,,,,,"{'Schade': 0, 'das': 0.16, 'knappe': 0, 'Nein': 0.04, 'zum': 0.515, 'Berner': 0, 'Energiegesetz': 0.07500000000000001, 'tut': 0, 'weh': 0, 'Jetzt': 0.15, 'ist': 0.07, 'der': 0.19, 'HEV': 0.38, 'gefordert': 0, 'zu': 0.84, 'zeigen': 1.0, 'dass': 0.16, 'Ölheizungen': 0.47, 'auch': 0.07, 'freiwillig': 0.14, 'durch': 0, 'erneuerbare': 0.33, 'Technologien': 0.14, 'ersetzt': 0.19, 'werden': 0, 'und': 0.16, 'auf': 0, 'Neubauten': 0.065, 'Strom': 0, 'produziert': 0.11, 'wird': 0, '...': 0, 'lasst': 0, 'uns': 0, 'träumen': 0.45}",neutral,"[0.61678094, 0.124257654, 0.2589614]",neutral
50.0,75.0,57.0,0.0,neutral,RT @nmasshardt: Breit abgestütztes Frauenkomitee fürs Berner Energiegesetz. Wir sagen am 10. Februar mit Überzeugung JA. #Erneuerbare #Ener…,breit abgestützt frauenkomitee fürs berner energiegesetz sagen februar überzeugung ja erneuerbare ener,,,,,,,,,,"{'Breit': 0, 'abgestütztes': 0.22, 'Frauenkomitee': 0.16, 'fürs': 0.09, 'Berner': 0, 'Energiegesetz': 0.11, 'Wir': 0.1, 'sagen': 0.09, 'am': 0, '10.': 0, 'Februar': 0.15, 'mit': 0.1, 'Überzeugung': 0.17, 'JA': 0, 'Erneuerbare': 0.98, 'Ener': 0.54, '…': 0}",positive,"[0.038909882, 0.009833982, 0.9512562]",neutral
