answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3391,absa_sentiment_3391,absa_scores_3391,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3430,absa_sentiment_3430,absa_scores_3430,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3432,absa_sentiment_3432,absa_scores_3432,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,Aber der #grossratag dreht noch eine Ehrenrunde mit der Kinderbetreuung. Das KANN er ja und da machen dann auch die Gemeinden gerne mit ...,grossratag drehen ehrenrunde kinderbetreuung ja gemeinden gerne,"{'Aber': 0.1, 'der': 0.03, 'grossratag': 0, 'dreht': 0, 'noch': 0.3, 'eine': 0, 'Ehrenrunde': 0.3, 'mit': 1.0, 'Kinderbetreuung': 1.0, 'Das': 0.03, 'KANN': 0.08, 'er': 0.09, 'ja': 0.03, 'und': 0.03, 'da': 0, 'machen': 0.07, 'dann': 0, 'auch': 0, 'die': 0.03, 'Gemeinden': 0, 'gerne': 0, '...': 0}",positive,"[0.39264345, 0.1637981, 0.44355837]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"Wenn alle Gemeinden nur ""können"" wenn es um Kinderbetreuung geht, dann können Eltern ihre Kinder nicht fremdbetreuen lassen #grossratAG",all gemeinden kinderbetreuung gehen eltern kinder fremdbetreuen lassen grossratag,"{'Wenn': 0.03, 'alle': 0, 'Gemeinden': 0.06, 'nur': 0.03, 'können': 0, 'wenn': 0.06, 'es': 0, 'um': 0, 'Kinderbetreuung': 0.16, 'geht': 0, 'dann': 0.05, 'Eltern': 0.06, 'ihre': 0.07, 'Kinder': 0.21, 'nicht': 0, 'fremdbetreuen': 0.09, 'lassen': 0, 'grossratAG': 1.0}",neutral,"[0.5729791, 0.3405414, 0.086479485]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.85,neutral,"Gesunder Menschenverstand? es war schon einmal die FDP, welche das Kinderbetreuungsgesetz ausgehölt hat mit dramatischen Folgen! #grossratAG",gesund menschenverstand schon fdp welch kinderbetreuungsgesetz ausgehölt dramatisch folgen grossratag,"{'Gesunder': 0, 'Menschenverstand': 0.04, 'es': 0, 'war': 0, 'schon': 0, 'einmal': 0, 'die': 0.04, 'FDP': 0.08, 'welche': 0, 'das': 0.03, 'Kinderbetreuungsgesetz': 0.1, 'ausgehölt': 0.035, 'hat': 0, 'mit': 0.03, 'dramatischen': 0.06, 'Folgen': 0, 'grossratAG': 1.0}",negative,"[0.042919822, 0.9371963, 0.019883964]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.85,positive,@TheDudeLebovski 1:12 wäre mehr als fair. Ein würdiger Mindestlohn hat jede_r verdient und für Kinderbetreuung is es im AG höchste Zeit,mehr fair würdiger mindestlohn jede_r verdienen kinderbetreuung is ag hoch zeit,"{'1:12': 0, 'wäre': 0.03, 'mehr': 0.04, 'als': 0, 'fair': 0.07, 'Ein': 0.05, 'würdiger': 0, 'Mindestlohn': 0.12, 'hat': 0, 'jede_r': 0, 'verdient': 0, 'und': 0.15, 'für': 0.24, 'Kinderbetreuung': 1.0, 'is': 0.19, 'es': 0.19, 'im': 0, 'AG': 0.05, 'höchste': 0, 'Zeit': 0.68}",positive,"[0.0012736436, 0.0010915723, 0.99763477]",,,,,,,,,,,,,,,,,,,,,,"{'1:12': 0, 'wäre': 0.06, 'mehr': 0.09, 'als': 0, 'fair': 0.13, 'Ein': 0.28, 'würdiger': 0, 'Mindestlohn': 0.9450000000000001, 'hat': 0, 'jede_r': 0, 'verdient': 0, 'und': 0.3, 'für': 0.05, 'Kinderbetreuung': 0.16, 'is': 0.08, 'es': 0.08, 'im': 0, 'AG': 0.04, 'höchste': 0, 'Zeit': 0.08}",positive,"[0.004721941, 0.0013524265, 0.99392563]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Soll der Kanton Ausländer über Einbürgerungs-Deadline informieren? Ja, #Integration ist auch Sache des @kantonaargau https://t.co/UXEmP1qpr4",kanton ausländer einbürgerungs deadline informieren ja integration sache,,,,"{'Soll': 0.85, 'der': 0.29, 'Kanton': 0.43, 'Ausländer': 0.88, 'über': 0, 'Einbürgerungs-Deadline': 0.345, 'informieren': 1.0, 'Ja': 0, 'Integration': 0.2, 'ist': 0.12, 'auch': 0.13, 'Sache': 0.13, 'des': 0}",neutral,"[0.9822843, 0.0046395883, 0.013075976]",,,,,,,,,,"{'Soll': 1.0, 'der': 0.13, 'Kanton': 0.11, 'Ausländer': 0.22, 'über': 0, 'Einbürgerungs-Deadline': 0.31000000000000005, 'informieren': 0.18, 'Ja': 0, 'Integration': 0.19, 'ist': 0.18, 'auch': 0.18, 'Sache': 0.08, 'des': 0}",neutral,"[0.95061284, 0.0068441997, 0.042542994]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @GrueneCH: Keine Erhöhung des Rentenalters, bevor die Rentenlücke der Frauen nicht geschlossen ist, sagt @KaelinIrene. #Frauenjahr2019…",erhöhung rentenalters bevor rentenlücke frauen schließen sagen frauenjahr2019,,,,,,,"{'Keine': 0, 'Erhöhung': 0, 'des': 0, 'Rentenalters': 0.32999999999999996, 'bevor': 0, 'die': 0.05, 'Rentenlücke': 0.06, 'der': 0.05, 'Frauen': 0.05, 'nicht': 1.0, 'geschlossen': 0.08, 'ist': 0.09, 'sagt': 0.2, 'Frauenjahr2019': 0, '…': 0}",negative,"[0.15941836, 0.8141834, 0.026398273]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,@Dede71Mueller @roger_ruegg Keine Rentenaltererhöhung!,rentenaltererhöhung,,,,,,,"{'Keine': 0, 'Rentenaltererhöhung': 0.56}",positive,"[0.007475337, 0.0025734042, 0.9899512]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.85,neutral,"@semjoschka Lieber Simon, in der Tat bin ich für einen Zivildienst für alle, Witwenrenten auch für Witwer, #Vaterschafsurlaub oder noch bessern #Elternzeit und am Tag, an welchem die #Lohngleichheit Realität ist, bin ich auch für die Angleichung des Rentenalters.",lieb simon tun zivildienst all witwenrenten witwer vaterschafsurlaub bessern elternzeit tag welch lohngleichheit realität angleichung rentenalters,,,,,,,"{'Lieber': 0.06, 'Simon': 0.04, 'in': 0.08, 'der': 0.35, 'Tat': 0, 'bin': 0, 'ich': 0.13, 'für': 0.05, 'einen': 0.05, 'Zivildienst': 0.05, 'alle': 0.04, 'Witwenrenten': 0.09, 'auch': 0.14, 'Witwer': 0, 'Vaterschafsurlaub': 0.05, 'oder': 0.04, 'noch': 0, 'bessern': 0, 'Elternzeit': 0.060000000000000005, 'und': 0.04, 'am': 0.12, 'Tag': 0, 'an': 0, 'welchem': 0.04, 'die': 0.35, 'Lohngleichheit': 0, 'Realität': 0.08, 'ist': 0.07, 'Angleichung': 0, 'des': 0, 'Rentenalters': 0.78}",positive,"[0.045333788, 0.013312951, 0.94135326]",,,,,,,,,,,,,"{'Lieber': 0.1, 'Simon': 0.05, 'in': 0.49, 'der': 0.1, 'Tat': 0, 'bin': 0, 'ich': 0.39, 'für': 0.06, 'einen': 0.05, 'Zivildienst': 0.035, 'alle': 0.03, 'Witwenrenten': 0.07, 'auch': 0.49, 'Witwer': 0, 'Vaterschafsurlaub': 0.04, 'oder': 0.05, 'noch': 0, 'bessern': 0, 'Elternzeit': 0.04, 'und': 0.05, 'am': 0.39, 'Tag': 0, 'an': 0, 'welchem': 0.03, 'die': 0.1, 'Lohngleichheit': 0, 'Realität': 0.15, 'ist': 0.07, 'Angleichung': 0, 'des': 0, 'Rentenalters': 0.08}",positive,"[0.2657809, 0.15828311, 0.575936]",,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"#Milliarden in #Strassen buttern, aber für eine #Rentenreform ohne #Frauenrentenaltererhöhung hatte man kein Geld und am #Bahnhof #Lenzburg ist auch immer noch an jedem Morgen #Stau! https://t.co/5V6gRPWjf8",milliarden strassen buttern rentenreform frauenrentenaltererhöhung geld bahnhof lenzburg immer jed morgen stau,,,,,,,"{'Milliarden': 0.04, 'in': 0.15, 'Strassen': 0, 'buttern': 0, 'aber': 0.04, 'für': 0.04, 'eine': 0, 'Rentenreform': 0.5700000000000001, 'ohne': 0.05, 'Frauenrentenaltererhöhung': 0.32375000000000004, 'hatte': 0.07, 'man': 0, 'kein': 0.04, 'Geld': 0.08, 'und': 0.05, 'am': 0, 'Bahnhof': 0, 'Lenzburg': 0.12, 'ist': 0.03, 'auch': 0, 'immer': 0, 'noch': 0.03, 'an': 0, 'jedem': 0, 'Morgen': 0, 'Stau': 0}",negative,"[0.094932534, 0.82429415, 0.08077334]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,#LMV: #Unia-Bauarbeitern sagen: Hände weg vom Rentenalter 60 auf dem Bau! https://t.co/9UVAUuaNbh,lmv unia bauarbeitern sagen hände rentenalter bau,,,,,,,"{'LMV': 0.08, 'Unia-Bauarbeitern': 0.2025, 'sagen': 0.31, 'Hände': 0.73, 'weg': 0, 'vom': 1.0, 'Rentenalter': 0.89, 'auf': 0, 'dem': 1.0, 'Bau': 0}",positive,"[0.008402521, 0.0029480367, 0.98864937]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
