answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3417,absa_sentiment_3417,absa_scores_3417,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3421,absa_sentiment_3421,absa_scores_3421,absa_token_weights_3430,absa_sentiment_3430,absa_scores_3430,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,sentiment_tb
50.0,75.0,57.0,0.0,neutral,RT @UniaSchweiz: USR III heisst: Die Kantone müssen sparen. Dies passiert zum Beispiel bei der Kinderbetreuung. NEIN zur  #USR3! https://t.…,usr iii heisst kantone müssen sparen passieren beispiel kinderbetreuung nein usr3,"{'USR': 0, 'III': 0.03, 'heisst': 0, 'Die': 0.09, 'Kantone': 0.08, 'müssen': 0.08, 'sparen': 0.1, 'Dies': 0, 'passiert': 0.46, 'zum': 0.08499999999999999, 'Beispiel': 0.36, 'bei': 0, 'der': 0.09, 'Kinderbetreuung': 1.0, 'NEIN': 0.16, 'zur': 0.08499999999999999, 'USR3': 0.07}",positive,"[0.10404196, 0.008876813, 0.8870813]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"RT @UniaSchweiz: Hat jemand noch Zweifel daran, weshalb eine Erhöhung des Frauenrentenalters ein No-Go ist? Schaut euch das gestrige Talk t…",jemand zweifel daran weshalb erhöhung frauenrentenalters no go schauen gestrig talk t,,,,"{'Hat': 0, 'jemand': 0, 'noch': 0.09, 'Zweifel': 0, 'daran': 0.08, 'weshalb': 0, 'eine': 0, 'Erhöhung': 0, 'des': 0, 'Frauenrentenalters': 0.645, 'ein': 0, 'No-Go': 0, 'ist': 0.85, 'Schaut': 0, 'euch': 0, 'das': 0, 'gestrige': 0.05, 'Talk': 0.05, 't': 0.03, '…': 0}",neutral,"[0.5038667, 0.41221106, 0.08392235]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @UniaSchweiz: Für eine verdiente Lohnerhöhung im Baugewerbe und gegen die Erhöhung des Rentenalters 60! Alle an die Demo am 23. Juni, um…",verdienen lohnerhöhung baugewerbe erhöhung rentenalters all demo juni,,,,"{'Für': 0.17, 'eine': 0, 'verdiente': 0.11, 'Lohnerhöhung': 0.26, 'im': 0, 'Baugewerbe': 0.16, 'und': 0.19, 'gegen': 0.93, 'die': 0.06, 'Erhöhung': 0.26, 'des': 0, 'Rentenalters': 0.7949999999999999, 'Alle': 0, 'an': 0, 'Demo': 0.09, 'am': 0, '23.': 0, 'Juni': 0.03, 'um': 0.09, '…': 0}",neutral,"[0.65324265, 0.18139061, 0.16536662]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,RT @AHVplus: Renten-Massaker! Die NR-Kommission will massive  Rentensenkungen bei den Pensionskassen und Rentenalter 67 für alle. https://t…,renten massaker nr kommission massiv rentensenkungen pensionskassen rentenalter all,,,,"{'Renten-Massaker': 0.565, 'Die': 0.08, 'NR-Kommission': 0.16999999999999998, 'will': 0, 'massive': 0.13, 'Rentensenkungen': 0.13, 'bei': 0, 'den': 0.08, 'Pensionskassen': 0.11, 'und': 0.11, 'Rentenalter': 0.15000000000000002, 'für': 0.08, 'alle': 0.07}",negative,"[0.08509493, 0.5571029, 0.35780215]",,,,"{'Renten-Massaker': 0.555, 'Die': 0.07, 'NR-Kommission': 0.16, 'will': 0, 'massive': 0.13, 'Rentensenkungen': 0.11, 'bei': 0, 'den': 0.07, 'Pensionskassen': 0.1, 'und': 0.1, 'Rentenalter': 0.095, 'für': 0.08, 'alle': 0.06}",negative,"[0.007764182, 0.9790876, 0.013148245]",,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,0.75,negative,"Ich glaube so ein schöner Abstimmungssonntag habe ich noch nie erlebt. 🥰

NEIN zur fremdenfeindlichen Kündigungsinitiative, NEIN zu Steuergeschenken für Reiche und JA zum Vaterschaftsurlaub! 🎉✊🏽#Abst20 #BGInein https://t.co/F08Is5y4EE",glauben schön abstimmungssonntag nie erleben nein fremdenfeindlichen kündigungsinitiative nein steuergeschenken reichen ja vaterschaftsurlaub abst20 bginein,,,,,,,"{'Ich': 0.02, 'glaube': 0, 'so': 0, 'ein': 0, 'schöner': 0.09, 'Abstimmungssonntag': 0.05, 'habe': 0, 'ich': 0.02, 'noch': 0, 'nie': 0.84, 'erlebt': 0, '🥰': 0, 'NEIN': 0, 'zur': 0, 'fremdenfeindlichen': 0, 'Kündigungsinitiative': 0, 'zu': 0, 'Steuergeschenken': 0, 'für': 0, 'Reiche': 0, 'und': 0, 'JA': 0, 'zum': 0, 'Vaterschaftsurlaub': 0, 'Abst20': 0, 'BGInein': 0}",positive,"[0.005207135, 0.0014935326, 0.99329937]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
25.0,25.0,28.0,-0.2333333333333333,neutral,"@pi_fossil Vaterschaftsurlaub ist Arbeitszeit, nicht Ferien. Es handelt sich um intensive Arbeit in der Familie und soll die Belastung gleichwertiger verteilen. Es ist ein erster Schritt in Richtung fairer Aufteilung von bezahlter und unbezahlter (Care-)Arbeit.",vaterschaftsurlaub arbeitszeit ferien handeln intensive arbeit familie belastung gleichwertig verteilen erst schritt richtung fair aufteilung bezahlt unbezahlt care arbeit,,,,,,,"{'Vaterschaftsurlaub': 0.775, 'ist': 0.12, 'Arbeitszeit': 0.68, 'nicht': 0.67, 'Ferien': 0, 'Es': 0.12, 'handelt': 0, 'sich': 0, 'um': 0.04, 'intensive': 0.11, 'Arbeit': 0.02, 'in': 0.04, 'der': 0.04, 'Familie': 0.04, 'und': 0.02, 'soll': 0, 'die': 0.04, 'Belastung': 0, 'gleichwertiger': 0, 'verteilen': 0.06, 'ein': 0, 'erster': 0.02, 'Schritt': 0.05, 'Richtung': 0, 'fairer': 0, 'Aufteilung': 0.05, 'von': 0, 'bezahlter': 0.02, 'unbezahlter': 0.03, 'Care-)Arbeit': 0.02}",neutral,"[0.47514322, 0.39287257, 0.13198413]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"Mein Couvert ist bereis verschickt. Und deines? ☝🏽 #abst20 @SP_Stadt_Bern @spkantonbern

Meine Empfehlungen:

👉 NEIN zu den Kampfjet-Milliarden!
👉 NEIN zur Begrenzungsinitiative!
👉 NEIN zum Jagdgesetz!
👉 NEIN zum Kinderabzugs-Bschiss!
👉 JA zum Vaterschaftsurlaub! https://t.co/kJ99dy5nx2",couvert bereis verschicken abst20 empfehlungen nein kampfjet milliarden nein begrenzungsinitiative nein jagdgesetz nein kinderabzugs bschiss ja vaterschaftsurlaub,,,,,,,"{'Mein': 0.04, 'Couvert': 0, 'ist': 0, 'bereis': 0, 'verschickt': 0.06, 'Und': 0.03, 'deines': 0.07, 'abst20': 0.09, 'Meine': 0.04, 'Empfehlungen': 0.24, 'NEIN': 0.42, 'zu': 1.0, 'den': 0.04, 'Kampfjet-Milliarden': 0.0425, 'zur': 0.52, 'Begrenzungsinitiative': 0.03, 'zum': 0.52, 'Jagdgesetz': 0.04, 'Kinderabzugs-Bschiss': 0.08, 'JA': 0.03, 'Vaterschaftsurlaub': 0.46499999999999997}",positive,"[0.0058742296, 0.0014147001, 0.99271107]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,negative,RT @AHVplus: Renten-Massaker! Die NR-Kommission will massive  Rentensenkungen bei den Pensionskassen und Rentenalter 67 für alle. https://t…,renten massaker nr kommission massiv rentensenkungen pensionskassen rentenalter all,,,,"{'Renten-Massaker': 0.565, 'Die': 0.08, 'NR-Kommission': 0.16999999999999998, 'will': 0, 'massive': 0.13, 'Rentensenkungen': 0.13, 'bei': 0, 'den': 0.08, 'Pensionskassen': 0.11, 'und': 0.11, 'Rentenalter': 0.15000000000000002, 'für': 0.08, 'alle': 0.07}",negative,"[0.08509493, 0.5571029, 0.35780215]",,,,"{'Renten-Massaker': 0.555, 'Die': 0.07, 'NR-Kommission': 0.16, 'will': 0, 'massive': 0.13, 'Rentensenkungen': 0.11, 'bei': 0, 'den': 0.07, 'Pensionskassen': 0.1, 'und': 0.1, 'Rentenalter': 0.095, 'für': 0.08, 'alle': 0.06}",negative,"[0.007764182, 0.9790876, 0.013148245]",,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,RT @JUSOStadtBern: In Bern fehlt es an günstigem Wohnraum. Die JUSO setzt sich für einen geminnützigen und sozialen Wohnungsbau ein! https:…,bern fehlen günstig wohnraum juso setzen geminnützigen sozial wohnungsbau https,,,,,,,,,,,,,"{'In': 0.14, 'Bern': 0.08, 'fehlt': 0.06, 'es': 0.06, 'an': 0, 'günstigem': 1.0, 'Wohnraum': 0, 'Die': 0, 'JUSO': 0.08, 'setzt': 0, 'sich': 0, 'für': 0, 'einen': 0.11, 'geminnützigen': 0, 'und': 0.04, 'sozialen': 0.07, 'Wohnungsbau': 0.07, 'ein': 0, 'https': 0.05, '…': 0}",negative,"[0.014704165, 0.64375657, 0.34153917]",,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,Organspender oder nicht? Das Smartphone weiss die Antwort #srf http://t.co/NJDNroWuXF,organspender smartphone weiss antwort srf,,,,,,,,,,,,,,,,"{'Organspender': 0.665, 'oder': 0.86, 'nicht': 0.38, 'Das': 0.12, 'Smartphone': 0.29, 'weiss': 0, 'die': 0.12, 'Antwort': 0, 'srf': 0.26}",neutral,"[0.98027873, 0.0063727144, 0.013348544]",,,,,,,,,,,,,,,,,,,,,,neutral
