answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3419,absa_sentiment_3419,absa_scores_3419,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
25.0,25.0,28.0,-0.35,negative,"Kinderbetreuungskosten von den Steuern absetzen wollen, obwohl die Kinder gar nicht fremdbetreut werden, ist etwa wie Pendlerkosten abziehen, obwohl man im Homeoffice arbeitet. #srfarena #Kinderabzüge",kinderbetreuungskosten steuern absetzen obwohl kinder gar fremdbetreut etwa pendlerkosten abziehen obwohl homeoffice arbeiten srfarena kinderabzüge,"{'Kinderbetreuungskosten': 0.24000000000000002, 'von': 0.04, 'den': 0.12, 'Steuern': 0, 'absetzen': 0, 'wollen': 0, 'obwohl': 0, 'die': 0.12, 'Kinder': 0.04, 'gar': 0, 'nicht': 0.1, 'fremdbetreut': 0.060000000000000005, 'werden': 0, 'ist': 0.74, 'etwa': 0, 'wie': 0, 'Pendlerkosten': 0.08499999999999999, 'abziehen': 0, 'man': 0, 'im': 0, 'Homeoffice': 0, 'arbeitet': 0.74, 'srfarena': 0.11, 'Kinderabzüge': 0.06}",negative,"[0.3950591, 0.5121086, 0.09283227]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,"RT @krick68: „Vili sind jetz ufgregt und fröget sich: «Ja, wo söll das ende? Zersch wönds Cannabis legalisiere, jetz au no Kokain, i mein:…",vili jetz ufgregt fröget ja söll ende zersch wönds cannabis legalisieren jetz au no kokain i,,,,"{'„': 0, 'Vili': 0, 'sind': 0, 'jetz': 0, 'ufgregt': 0, 'und': 0, 'fröget': 0, 'sich': 0, '«': 0, 'Ja': 0, 'wo': 0, 'söll': 0, 'das': 0, 'ende': 0, 'Zersch': 0, 'wönds': 0, 'Cannabis': 0, 'legalisiere': 0, 'au': 0, 'no': 0, 'Kokain': 0, 'i': 0, 'mein': 0, '…': 0}",neutral,"[0.8720852, 0.033467412, 0.09444733]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,negative,"„Vili sind jetz ufgregt und fröget sich: «Ja, wo söll das ende? Zersch wönds Cannabis legalisiere, jetz au no Kokain, i mein: Wo isch d‘ Grenze, wo züchemer d‘ Linie?»

(Snief) «Überall», seit d‘ #FDP.“ https://t.co/WQnn7yTyLw",vili jetz ufgregt fröget ja söll ende zersch wönds cannabis legalisieren jetz au no kokain i isch d grenze züchemer d linie snief überall seit d fdp,,,,"{'„': 0, 'Vili': 0, 'sind': 0, 'jetz': 0, 'ufgregt': 0, 'und': 0, 'fröget': 0, 'sich': 0, '«': 0, 'Ja': 0, 'wo': 0, 'söll': 0, 'das': 0, 'ende': 0, 'Zersch': 0, 'wönds': 0, 'Cannabis': 0, 'legalisiere': 0, 'au': 0, 'no': 0, 'Kokain': 0, 'i': 0, 'mein': 0, 'Wo': 0, 'isch': 0, 'd': 0, '‘': 0, 'Grenze': 0, 'züchemer': 0, 'Linie': 0, '»': 0, 'Snief': 0, 'Überall': 0, 'seit': 0, 'FDP': 0, '“': 0}",neutral,"[0.8528, 0.074919224, 0.07228087]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,25.0,28.0,-0.15,neutral,Wenn die #Rentenaltererhöhung so ausweglos ist wie behauptet: Warum wird es nur für Frauen erhöht und nicht auch für Männer? https://t.co/5al3hyu9hr,rentenaltererhöhung ausweglos behaupten warum frauen erhöhen männer,,,,,,,"{'Wenn': 0, 'die': 0.17, 'Rentenaltererhöhung': 0.8075, 'so': 0, 'ausweglos': 1.0, 'ist': 0.04, 'wie': 0, 'behauptet': 0, 'Warum': 0.07, 'wird': 0, 'es': 0.04, 'nur': 0.06, 'für': 0.06, 'Frauen': 0.08, 'erhöht': 0, 'und': 0.09, 'nicht': 0.04, 'auch': 0.06, 'Männer': 0.09}",negative,"[0.006917768, 0.9779091, 0.015173114]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,0.85,neutral,Ruedi Noser möchte das Rentenalter für die Bauarbeiter wieder auf 65 erhöhen. Als Bürolist ist das leicht gesagt. #srfarena,ruedi noser mögen rentenalter bauarbeiter erhöhen bürolist leicht sagen srfarena,,,,,,,"{'Ruedi': 0.14, 'Noser': 0.23, 'möchte': 0.44, 'das': 0.05, 'Rentenalter': 0.77, 'für': 0.32, 'die': 0.33, 'Bauarbeiter': 0.17, 'wieder': 0, 'auf': 0, 'erhöhen': 1.0, 'Als': 0, 'Bürolist': 0.08499999999999999, 'ist': 0, 'leicht': 0.16, 'gesagt': 0, 'srfarena': 0.16}",positive,"[0.38527647, 0.09317678, 0.5215467]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"@travelriviera Natürlich kann gegen die Organspende sein, wer sich mit der eigenen Endlichkeit auseinandergesetzt hat – genauso wie dafür.",natürlich organspende wer eigen endlichkeit auseinandergesetzt genauso dafür,,,,,,,,,,"{'Natürlich': 0, 'kann': 0.45, 'gegen': 1.0, 'die': 0, 'Organspende': 0.57, 'sein': 0, 'wer': 0.13, 'sich': 0, 'mit': 0.16, 'der': 0, 'eigenen': 0.14, 'Endlichkeit': 0, 'auseinandergesetzt': 0.175, 'hat': 0, '–': 0, 'genauso': 0, 'wie': 0, 'dafür': 0}",negative,"[0.30375382, 0.39986706, 0.29637912]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Wer einen #Organspendeausweis hat, soll prioritär behandelt werden, falls er/sie einmal auf eine #Organspende angewiesen ist. #srfarena",wer organspendeausweis prioritär behandeln falls organspende anweisen srfarena,,,,,,,,,,"{'Wer': 0.04, 'einen': 0.66, 'Organspendeausweis': 0.4575, 'hat': 0, 'soll': 0, 'prioritär': 0.13, 'behandelt': 0, 'werden': 0, 'falls': 0, 'er': 0.14, 'sie': 0.1, 'einmal': 0, 'auf': 0.34, 'eine': 0, 'Organspende': 0.755, 'angewiesen': 0, 'ist': 0.14, 'srfarena': 0.58}",neutral,"[0.51144123, 0.02132672, 0.467232]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Der Automatismus ist ein extremer Ansatz. Vorschlag für einen goldenen Mittelweg: Wer als #Organspender registriert ist, wird prioritär behandelt. Alle übrigen kommen auf die lange Liste. #Transplantation #Organspende https://t.co/6fxoh9EVTF",automatismus extrem ansatz vorschlag golden mittelweg wer organspender registrieren prioritär behandeln all übrig kommen lang liste transplantation organspende,,,,,,,,,,"{'Der': 0.05, 'Automatismus': 0.08, 'ist': 0.02, 'ein': 0, 'extremer': 0.04, 'Ansatz': 0, 'Vorschlag': 0.06, 'für': 0.04, 'einen': 0.04, 'goldenen': 0.05, 'Mittelweg': 0, 'Wer': 0.03, 'als': 0.04, 'Organspender': 0.39, 'registriert': 0.05, 'wird': 0, 'prioritär': 0.05, 'behandelt': 0, 'Alle': 0.06, 'übrigen': 0.07, 'kommen': 0, 'auf': 0.05, 'die': 0.05, 'lange': 0.06, 'Liste': 0, 'Transplantation': 0, 'Organspende': 0.5549999999999999}",positive,"[0.39907464, 0.01617267, 0.58475274]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,Noch schärfer als Schweizermacher sind #Schwyz​ermacher – und die grimmigsten unter ihnen sind die Einbürgerungsbehörden von #Arth. https://t.co/alCtMzShhk https://t.co/OgaNrGE2dN,scharf schweizermacher schwyz ermacher grimmig einbürgerungsbehörden arth,,,,,,,,,,,,,"{'Noch': 0, 'schärfer': 0.08, 'als': 0, 'Schweizermacher': 0.07, 'sind': 0, 'Schwyz\u200bermacher': 0.135, '–': 0, 'und': 0, 'die': 0, 'grimmigsten': 0, 'unter': 0, 'ihnen': 0, 'Einbürgerungsbehörden': 0, 'von': 0, 'Arth': 0}",positive,"[0.0010139191, 0.0010470296, 0.99793905]",,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,"RT @ruthmueri: Armut darf kein Hinderungsgrund für eine Einbürgerung sein! Der #GRAG will, dass die Wartefrist nach Bezug von Sozialhilfe 1…",armut dürfen hinderungsgrund einbürgerung grag wartefrist bezug sozialhilfe,,,,,,,,,,,,,"{'Armut': 0.16, 'darf': 0, 'kein': 0, 'Hinderungsgrund': 0, 'für': 0, 'eine': 0, 'Einbürgerung': 0.16, 'sein': 0, 'Der': 0.14, 'GRAG': 0.11, 'will': 0, 'dass': 0, 'die': 0.14, 'Wartefrist': 0.185, 'nach': 0.33, 'Bezug': 0, 'von': 0, 'Sozialhilfe': 0.12, '…': 0}",positive,"[0.01558729, 0.0032588341, 0.9811539]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
