answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
75.0,75.0,71.0,0.2333333333333333,neutral,"Eine Analyse der @OECD bestätigt es (und auch die grünliberale Position): Es besteht dringender Handlungsbedarf bei der #Altersvorsorge, mit höherem Rentenalter (mit Flexibilität), tieferem Umwandlungsatz und Förderung der Erwerbstätigkeit im Alter. Link👉
https://t.co/NLmdEU1xzW",analyse bestätigen grünliberale position bestehen dringend handlungsbedarf altersvorsorge hoch rentenalter flexibilität tief umwandlungsatz förderung erwerbstätigkeit altern link,"{'Eine': 0, 'Analyse': 0, 'der': 0.05, 'bestätigt': 0, 'es': 0.16, 'und': 0.07, 'auch': 0.05, 'die': 0.05, 'grünliberale': 0.06, 'Position': 0.07, '):': 0, 'Es': 0.16, 'besteht': 0, 'dringender': 0.12, 'Handlungsbedarf': 0.07250000000000001, 'bei': 0, 'Altersvorsorge': 0.12000000000000001, 'mit': 0.05, 'höherem': 0.16, 'Rentenalter': 0.185, 'Flexibilität': 0.08, 'tieferem': 0, 'Umwandlungsatz': 0.08499999999999999, 'Förderung': 0, 'Erwerbstätigkeit': 0.1, 'im': 0, 'Alter': 0, 'Link': 1.0}",positive,"[0.15095446, 0.2815265, 0.56751907]",,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,"Die Umverteilung von Jungen zu Alten muss aufhören. Das Rentenalter sollte mit der Lebenserwartung automatisch steigen, mit Ausnahmen für körperlich belastende Berufe. #EsistZeit https://t.co/1PRPSBqu1e",umverteilung jung alt aufhören rentenalter sollen lebenserwartung automatisch steigen ausnahmen körperlich belastend berufe esistzeit,"{'Die': 0.23, 'Umverteilung': 0.1, 'von': 0.07, 'Jungen': 0, 'zu': 0.04, 'Alten': 0.04, 'muss': 0.04, 'aufhören': 0.11, 'Das': 0.23, 'Rentenalter': 0.7250000000000001, 'sollte': 1.0, 'mit': 0.13, 'der': 0.23, 'Lebenserwartung': 0.16999999999999998, 'automatisch': 1.0, 'steigen': 0, 'Ausnahmen': 0.53, 'für': 0.07, 'körperlich': 0.06, 'belastende': 0, 'Berufe': 0.07, 'EsistZeit': 0}",negative,"[0.004795859, 0.9826707, 0.0125334365]",,,,,,,,,,negative
100.0,100.0,100.0,1.0,neutral,"RT @grunliberale: Statt mit Verknüpfungen wieder neue Ungerechtigkeiten zu schaffen, sei es sinnvoller, die Erhöhung des Rentenalters mit e…",statt verknüpfungen neue ungerechtigkeiten schaffen sinnvoll erhöhung rentenalters e,"{'Statt': 0.155, 'mit': 0.48, 'Verknüpfungen': 0, 'wieder': 0, 'neue': 0.16, 'Ungerechtigkeiten': 0.33, 'zu': 0.5, 'schaffen': 0, 'sei': 0, 'es': 0, 'sinnvoller': 0.64, 'die': 0.56, 'Erhöhung': 1.0, 'des': 0, 'Rentenalters': 0.75, 'e': 0.24, '…': 0}",positive,"[0.03823117, 0.007823488, 0.95394534]",,,,,,,,,,positive
100.0,100.0,100.0,1.0,positive,"""Erneuerbare Energie wird Ästhetik"" - inspirierend! Toll, dass man das
Potenzial der erneuerbaren Energie für die Gestaltung der Architektur erkennt. Weiter so! 👏 #EsistZeit
https://t.co/2rXJAX38wS",erneuerbare energie ästhetik inspirieren tollen potenzial erneuerbaren energie gestaltung architektur erkennen weit esistzeit,,,,"{'Erneuerbare': 1.0, 'Energie': 0.24, 'wird': 0, 'Ästhetik': 0.08, 'inspirierend': 0.07, 'Toll': 0, 'dass': 0.04, 'man': 0, 'das': 0.04, 'Potenzial': 1.0, 'der': 0.05, 'erneuerbaren': 1.0, 'für': 0.15, 'die': 0.05, 'Gestaltung': 0, 'Architektur': 0.11, 'erkennt': 0.4, 'Weiter': 0, 'so': 0, 'EsistZeit': 0}",positive,"[0.0011265862, 0.0012248656, 0.99764854]",,,,,,,positive
100.0,100.0,100.0,1.0,neutral,RT @phossli: Digitalisierung lässt sich am Recycling-Gut zeigen. Online-Shopping (Kartonsammlung) und Zeitung lesen (Papiersammlung). https…,digitalisierung lässt recycling gut zeigen online shopping kartonsammlung zeitung lesen papiersammlung https,,,,,,,"{'Digitalisierung': 0, 'lässt': 0, 'sich': 0, 'am': 0, 'Recycling-Gut': 0, 'zeigen': 0, 'Online-Shopping': 0, 'Kartonsammlung': 0.07500000000000001, 'und': 0.12, 'Zeitung': 0.08, 'lesen': 0, 'Papiersammlung': 0.07, 'https': 0.22, '…': 0}",neutral,"[0.64549977, 0.006898242, 0.34760198]",,,,positive
100.0,100.0,86.0,0.7,neutral,"Margrethe Vestager, die einflussreiche EU-Kommissarin, spricht bei #ALDECongress über die Herausforderungen der Digitalisierung: Infrastruktur (5G!), Bildung und - für CH eine Herausforderung - Steuerreform. Markig: ""You do not unleash your dog when you cannot control it."" https://t.co/LQQEm2fNPa",margrethe vestager einflussreiche eu kommissarin sprechen aldecongress herausforderungen digitalisierung infrastruktur g bildung ch herausforderung steuerreform markig you do not unleash your dog when you cannot control it,,,,,,,"{'Margrethe': 0.16, 'Vestager': 0.16, 'die': 0.6, 'einflussreiche': 0.18, 'EU-Kommissarin': 0.13, 'spricht': 0.24, 'bei': 0.09, 'ALDECongress': 0.42, 'über': 0, 'Herausforderungen': 1.0, 'der': 0.6, 'Digitalisierung': 0, 'Infrastruktur': 0.31, 'G': 0, 'Bildung': 0.28, 'und': 0.08, 'für': 0.09, 'CH': 0.04, 'eine': 0, 'Herausforderung': 0.74, 'Steuerreform': 0.14, 'Markig': 0.15, 'You': 0.06, 'do': 0.06, 'not': 0.1, 'unleash': 0.16, 'your': 0.08, 'dog': 0.11, 'when': 0.06, 'you': 0.06, 'cannot': 0.08, 'control': 0.14, 'it': 0.06}",positive,"[0.032915, 0.18503357, 0.7820515]",,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @grunliberale: ""Der Bund gibt viel Geld aus für die #Landwirtschaft. Die pflanzliche Produktion erzeugt pro Fläche mehr Kalo­rien als di…",bund geben geld landwirtschaft pflanzliche produktion erzeugen pro fläche mehr kalo rien di,,,,,,,,,,"{'Der': 0.07, 'Bund': 0, 'gibt': 0, 'viel': 0.125, 'Geld': 0.19, 'aus': 0, 'für': 0, 'die': 0.07, 'Landwirtschaft': 1.0, 'Die': 0.07, 'pflanzliche': 0, 'Produktion': 0.14, 'erzeugt': 0, 'pro': 0, 'Fläche': 0, 'mehr': 0.05, 'Kalo\xadrien': 0, 'als': 0, 'di': 0, '…': 0}",neutral,"[0.85649127, 0.031741433, 0.11176738]",neutral
100.0,100.0,100.0,0.85,neutral,"Da läuft etwas komplett schief: ""Angesichts dieser Zahlen erstaunt es nicht weiter, dass in den allermeisten Kantonen die Ausgaben der öffentlichen Hand höher sind als die Nettowertschöpfung der Landwirtschaft."" https://t.co/JNv4YPoNQ3",laufen komplett schief angesichts zahlen erstaunen weit allermeisten kantonen ausgaben öffentlich hand hoch nettowertschöpfung landwirtschaft,,,,,,,,,,"{'Da': 0, 'läuft': 0, 'etwas': 0.11, 'komplett': 0.06, 'schief': 0, 'Angesichts': 0, 'dieser': 0, 'Zahlen': 0, 'erstaunt': 0, 'es': 0.17, 'nicht': 0, 'weiter': 0, 'dass': 0.09, 'in': 0.13, 'den': 0.29, 'allermeisten': 0.47, 'Kantonen': 0.61, 'die': 0.29, 'Ausgaben': 0, 'der': 0.29, 'öffentlichen': 0.31, 'Hand': 0, 'höher': 0.25, 'sind': 0, 'als': 0, 'Nettowertschöpfung': 0, 'Landwirtschaft': 1.0}",neutral,"[0.48114443, 0.41625854, 0.10259703]",positive
50.0,75.0,57.0,0.0,neutral,"Und wieder ein unnötiger Subventionstopf für die Landwirtschaft. Es braucht mehr Markt, nicht mehr Staatsgelder.

PS. Staatsgelder für Mehrkonsum von (weichen) Drogen...
 https://t.co/zkfUHHIb9a",unnötig subventionstopf landwirtschaft brauchen mehr markt mehr staatsgelder ps staatsgelder mehrkonsum weich drogen,,,,,,,,,,"{'Und': 0.18, 'wieder': 0.45, 'ein': 0, 'unnötiger': 1.0, 'Subventionstopf': 0, 'für': 0.06, 'die': 0, 'Landwirtschaft': 1.0, 'Es': 0.06, 'braucht': 0, 'mehr': 0.05, 'Markt': 0.07, 'nicht': 0.22, 'Staatsgelder': 0.05, 'PS': 0.09, 'Mehrkonsum': 0.04, 'von': 0, 'weichen': 0, 'Drogen': 0.04, '...': 0}",negative,"[0.026483279, 0.76161796, 0.2118988]",neutral
100.0,100.0,100.0,1.0,neutral,"RT @Juerg_Grossen: Klare Worte von Nicolas Stern im @handelsblatt Das Internet der Dinge macht Mobilität, Infrastruktur und Landwirtschaft…",klaren worte nicolas stern internet dinge mobilität infrastruktur landwirtschaft,,,,,,,,,,"{'Klare': 0, 'Worte': 0.42, 'von': 0.25, 'Nicolas': 0.25, 'Stern': 0.17, 'im': 0, 'Das': 0.14, 'Internet': 0.45, 'der': 0.14, 'Dinge': 0.51, 'macht': 0, 'Mobilität': 0.6, 'Infrastruktur': 0.44, 'und': 0.4, 'Landwirtschaft': 0.75, '…': 0}",positive,"[0.0048240647, 0.0017626361, 0.99341327]",positive
