answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3471,absa_sentiment_3471,absa_scores_3471,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @CVP_PDC: Die CVP-Fraktion entscheidet in ihrer Sitzung einstimmig, der Anschubfinanzierung für familienergänzende Kinderbetreuung zuzus…",cvp fraktion entscheiden sitzung einstimmig anschubfinanzierung familienergänzende kinderbetreuung zuzus,"{'Die': 0.15, 'CVP-Fraktion': 0, 'entscheidet': 0.12, 'in': 0.04, 'ihrer': 0, 'Sitzung': 0.08, 'einstimmig': 0.11, 'der': 0.15, 'Anschubfinanzierung': 0.99, 'für': 1.0, 'familienergänzende': 0.17, 'Kinderbetreuung': 1.0, 'zuzus': 0, '…': 0}",positive,"[0.45608345, 0.02946567, 0.5144509]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
75.0,75.0,71.0,0.35,neutral,@TomCBerger @spschweiz @NeinzurAV2020 Weil auch er/sie mehr einzahlt. Höhere MwSt zahlt. Er/sie tieferen UWS hat. Sie Rentenalter 65 hat.,mehr einzahlen hoch mwst zahlen tief uws rentenalter,,,,"{'Weil': 0.28, 'auch': 0, 'er': 0, 'sie': 0.8, 'mehr': 0.08, 'einzahlt': 0.07, 'Höhere': 0.06, 'MwSt': 0.06, 'zahlt': 0.07, 'Er': 0, 'tieferen': 0.13, 'UWS': 0.1, 'hat': 0, 'Sie': 0.8, 'Rentenalter': 0.94}",neutral,"[0.7451409, 0.016191626, 0.23866749]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"@LuciaDoebeli @RentenreformJa Heute ist eine Lückenfüllung mit Beiträgen, welche nach Erreichen des Rentenalters entrichtet werden, nicht möglich. Dank #AV2020 neu schon.",heute lückenfüllung beiträgen welch erreichen rentenalters entrichten möglich danken av2020 neu schon,,,,"{'Heute': 0.08, 'ist': 0.03, 'eine': 0, 'Lückenfüllung': 0.16, 'mit': 0.11, 'Beiträgen': 0.22, 'welche': 0, 'nach': 1.0, 'Erreichen': 0, 'des': 0, 'Rentenalters': 0.9, 'entrichtet': 0.31, 'werden': 0, 'nicht': 0.05, 'möglich': 0.05, 'Dank': 0.065, 'AV2020': 0.1, 'neu': 0.09, 'schon': 0}",neutral,"[0.72064716, 0.06261313, 0.21673968]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @Blickch: Trotz höherem Rentenalter: Frauendachverbände sagen Ja zur Rentenreform https://t.co/z1Bs0d21yl https://t.co/JfmtAa9eIk,trotzen hoch rentenalter frauendachverbände sagen ja rentenreform,,,,"{'Trotz': 0, 'höherem': 1.0, 'Rentenalter': 0.7949999999999999, 'Frauendachverbände': 0.06, 'sagen': 0.055, 'Ja': 0, 'zur': 0.05, 'Rentenreform': 0.07}",positive,"[0.19794974, 0.1602754, 0.6417749]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,Übersetzung:Lieber hohen UWS &amp; Belastung junger Erwerbstätigen als Verbesserungen für Teilzeitarbeit &amp; Rentenalterflexibilisierung #srfarena https://t.co/owJVuNFLq2,übersetzung lieb hoch uws amp belastung jung erwerbstätig verbesserungen teilzeitarbeit amp rentenalterflexibilisierung srfarena,,,,"{'Übersetzung': 0.4, 'Lieber': 0.62, 'hohen': 0.1, 'UWS': 0.08, 'amp': 0.59, 'Belastung': 0, 'junger': 0, 'Erwerbstätigen': 0, 'als': 0.3, 'Verbesserungen': 0.17, 'für': 0, 'Teilzeitarbeit': 0.1, 'Rentenalterflexibilisierung': 0.63, 'srfarena': 0.32}",positive,"[0.036716342, 0.006531851, 0.95675176]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,"@schuler_marcel @PhilippBuechner @AlainS1991 @andrisilbi_ Aber die Senkung des UWS, Flexibilisierung des Rentenalters und die Anpassung auf 65/65 ist richtig. Das kriegen wir mit der #AV2020",senkung uws flexibilisierung rentenalters anpassung richtig kriegen av2020,,,,"{'Aber': 0.17, 'die': 0.06, 'Senkung': 0.18, 'des': 0, 'UWS': 0.18, 'Flexibilisierung': 0, 'Rentenalters': 0.515, 'und': 0.36, 'Anpassung': 0, 'auf': 0, 'ist': 0.21, 'richtig': 0.2, 'Das': 0.06, 'kriegen': 0, 'wir': 0, 'mit': 0.04, 'der': 0.06, 'AV2020': 0.15}",positive,"[0.12272558, 0.018779142, 0.8584953]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @SchmidFederer: Rentenalter 67 oder wie man diese Reform scheitern lässt.... nicht zu fassen, was SVP, FDP und GLP hier tun. @CVP_PDC #A…",rentenalter reform scheitern lässt fassen svp fdp glp tun a,,,,"{'Rentenalter': 0.845, 'oder': 0.63, 'wie': 0.33, 'man': 0, 'diese': 0.1, 'Reform': 0.18, 'scheitern': 0.16, 'lässt': 0, '....': 0, 'nicht': 0, 'zu': 0.12, 'fassen': 0, 'was': 0, 'SVP': 0, 'FDP': 0.08, 'und': 0.1, 'GLP': 0.12, 'hier': 0.08, 'tun': 0.12, 'A': 0.08, '…': 0}",neutral,"[0.6303404, 0.02816346, 0.34149617]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,@Karin_andreaS Und dass sie gegen jeglichen Vaterschaftsurlaub ist...,jeglich vaterschaftsurlaub,,,,,,,"{'Und': 0.3, 'dass': 0.56, 'sie': 0.41, 'gegen': 1.0, 'jeglichen': 0.88, 'Vaterschaftsurlaub': 0.855, 'ist': 0.9, '...': 0}",negative,"[0.327189, 0.6288429, 0.043968122]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @JCVPSchweiz: Heute diskutiert der Nationalrat über den #Vaterschaftsurlaub. Wir hoffen, dass er mit dem Vorschlag der @CVP_PDC einem zw…",heute diskutieren nationalrat vaterschaftsurlaub hoffen vorschlag zw,,,,,,,"{'Heute': 0.16, 'diskutiert': 0, 'der': 0.06, 'Nationalrat': 0.22, 'über': 0, 'den': 0.06, 'Vaterschaftsurlaub': 0.51, 'Wir': 0.11, 'hoffen': 0.15, 'dass': 0.11, 'er': 0.13, 'mit': 0.05, 'dem': 0.06, 'Vorschlag': 0.23, 'einem': 0.05, 'zw': 0, '…': 0}",neutral,"[0.9058202, 0.012259392, 0.08192037]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,25.0,28.0,-0.2,neutral,"Liebe ultra-Linke: Jene Unternehmen, welche ihr so unglaublich hoch besteuern wollt (und teilweise mehr Steuern bezahlen müssen nach der #STAF) sind imfall jene, die bei der #Elternzeit Vorreiter sind! Denkt daran! #Vaterschaftsurlaub #Abst19 https://t.co/q5uwQYaRSa",lieb ultra link jen unternehmen welch unglaublich hoch besteuern teilweise mehr steuern bezahlen müssen staf imfall jen elternzeit vorreiter denken daran vaterschaftsurlaub abst19,,,,,,,"{'Liebe': 0, 'ultra-Linke': 0, 'Jene': 0.05, 'Unternehmen': 0, 'welche': 0, 'ihr': 0, 'so': 0.03, 'unglaublich': 0, 'hoch': 0.05, 'besteuern': 0.09, 'wollt': 0.02, 'und': 0.03, 'teilweise': 0, 'mehr': 0.07, 'Steuern': 0, 'bezahlen': 0.04, 'müssen': 0.03, 'nach': 0, 'der': 0.06, 'STAF': 0, 'sind': 0.07, 'imfall': 0.22, 'jene': 0.05, 'die': 0.06, 'bei': 0, 'Elternzeit': 0.28, 'Vorreiter': 0, 'Denkt': 0, 'daran': 0.04, 'Vaterschaftsurlaub': 0.07, 'Abst19': 0.16}",positive,"[0.17417794, 0.038193434, 0.78762853]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
