answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3471,absa_sentiment_3471,absa_scores_3471,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @FrickerJonas: Wieso werde ich als Nationalrat &amp; Vater nicht gefragt, wie ich die Kinderbetreuung organisiere, sondern was ich noch arbe…",wieso nationalrat amp vater fragen kinderbetreuung organisieren arbe,"{'Wieso': 0.29, 'werde': 0.04, 'ich': 0.04, 'als': 0, 'Nationalrat': 0.04, 'amp': 0.04, 'Vater': 0.07, 'nicht': 0.26, 'gefragt': 0, 'wie': 0.29, 'die': 0.03, 'Kinderbetreuung': 1.0, 'organisiere': 1.0, 'sondern': 0.18, 'was': 0, 'noch': 0.11, 'arbe': 0, '…': 0}",neutral,"[0.9577752, 0.040881254, 0.0013435218]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Also wie hat er es jetzt genau mit dem Cannabis? @Blickch #fürabejoint https://t.co/Fs79XFWtmR,genau cannabis fürabejoint,,,,"{'Also': 0, 'wie': 0, 'hat': 0, 'er': 0.17, 'es': 0.17, 'jetzt': 0.57, 'genau': 0, 'mit': 0.93, 'dem': 0, 'Cannabis': 1.0, 'fürabejoint': 0}",neutral,"[0.9944009, 0.0036041096, 0.0019949982]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @mnlmchl: Männer verdienen in der Schweiz immer noch 20 Prozent mehr. Frauen hätten also Anrecht auf Rentenalter 56! #AHV https://t.co/9…,männer verdienen schweiz immer prozent mehr frauen anrecht rentenalter ahv,,,,,,,"{'Männer': 0.13, 'verdienen': 0.15, 'in': 0.06, 'der': 0, 'Schweiz': 0.12, 'immer': 0, 'noch': 0.17, 'Prozent': 0.11, 'mehr': 0.08, 'Frauen': 0.37, 'hätten': 0.27, 'also': 0, 'Anrecht': 0, 'auf': 0, 'Rentenalter': 0.69, 'AHV': 0.11}",positive,"[0.06173426, 0.0044793435, 0.93378645]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"RT @phcarpintero: AHV-Gegner lassen die Masken fallen: Rentenalter 67, Rentensenkungen, EL-Kürzungen. Die beste Antwort darauf ist @AHVplus…",ahv gegner lassen masken fallen rentenalter rentensenkungen el kürzungen gut antwort darauf,,,,,,,"{'AHV-Gegner': 0.09, 'lassen': 0, 'die': 0.15, 'Masken': 0.06, 'fallen': 0, 'Rentenalter': 0.115, 'Rentensenkungen': 0.060000000000000005, 'EL-Kürzungen': 0.060000000000000005, 'Die': 0.15, 'beste': 0, 'Antwort': 0, 'darauf': 0, 'ist': 0.69, '…': 0}",positive,"[0.008674216, 0.0020378209, 0.989288]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @jGruene_jVertEs: ""Unsere"" Zukunft? @andrisilbi_ wird zum Spielball der alten reichen Herren und fordert Rentenalter 67. #AHV https://t.…",zukunft spielball alt reich herren fordern rentenalter ahv,,,,,,,"{'Unsere': 0.04, 'Zukunft': 0.05, 'wird': 0, 'zum': 0.03, 'Spielball': 0, 'der': 0.03, 'alten': 0.04, 'reichen': 0, 'Herren': 0, 'und': 0.04, 'fordert': 0.09, 'Rentenalter': 0.1, '67.': 0, 'AHV': 1.0}",positive,"[0.32402593, 0.012066325, 0.66390777]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @fljan: mit dem Steuerprivileg für Bauern, das #Nationalrat heute beschliessen wird, hätte man #Vaterschaftsurlaub gleich doppelt finanz…",steuerprivileg bauern nationalrat heute beschliessen vaterschaftsurlaub gleichen doppeln finanz,,,,,,,,,,"{'mit': 0.02, 'dem': 0.03, 'Steuerprivileg': 0.035, 'für': 0.02, 'Bauern': 0.04, 'das': 0, 'Nationalrat': 0.045, 'heute': 0.06, 'beschliessen': 0.03, 'wird': 0.02, 'hätte': 0, 'man': 0, 'Vaterschaftsurlaub': 0.44, 'gleich': 0, 'doppelt': 0, 'finanz': 0, '…': 0}",negative,"[0.008388803, 0.9542274, 0.03738386]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @UniaSchweiz: 20'000 Menschen haben genug davon, dass der Verfassungsauftrag der Lohngleichheit seit 37 Jahren mit Füssen getreten wird…",menschen genug davon verfassungsauftrag lohngleichheit seit jahren füssen treten,,,,,,,,,,,,,"{""20'000"": 0, 'Menschen': 0.07, 'haben': 0.06, 'genug': 0.06, 'davon': 0.21000000000000002, 'dass': 0.09, 'der': 0.16, 'Verfassungsauftrag': 0.33, 'Lohngleichheit': 1.0, 'seit': 0, 'Jahren': 0.1, 'mit': 0, 'Füssen': 0, 'getreten': 0, 'wird': 0, '…': 0}",positive,"[0.10160536, 0.01632214, 0.88207245]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,RT @natalieimboden: Lohngleichheit ist auch Dein Bier 🍻 🍺! Faire Frauenlöhne jetzt. Für Grüne selbstverständlich. https://t.co/3XjCkt491z #…,lohngleichheit bier faire frauenlöhne grüne selbstverständlich,,,,,,,,,,,,,"{'Lohngleichheit': 1.0, 'ist': 0.32, 'auch': 0, 'Dein': 0.22, 'Bier': 0.31, 'Faire': 0, 'Frauenlöhne': 0.10500000000000001, 'jetzt': 0.09, 'Für': 0.06, 'Grüne': 0, 'selbstverständlich': 0.04, '…': 0}",positive,"[0.02021767, 0.0023496824, 0.9774326]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @fteuscher: 1. Mai in Lengnau / Grenchen zusammen mit Lena Frank, Unia - Frauenpower für Lohngleichheit. Punkt. Schluss  @GrueneCH @Grue…",mai lengnau grenchen zusammen lena frank unia frauenpower lohngleichheit punkt schluss,,,,,,,,,,,,,"{'1.': 0, 'Mai': 0.07, 'in': 0.09, 'Lengnau': 0.07, 'Grenchen': 0.08, 'zusammen': 0.17, 'mit': 0.25, 'Lena': 0.08, 'Frank': 0.05, 'Unia': 0, 'Frauenpower': 1.0, 'für': 1.0, 'Lohngleichheit': 0.95, 'Punkt': 0, 'Schluss': 0.25, '…': 0}",positive,"[0.002453068, 0.0009906958, 0.9965563]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"Die Stadt @BielBienne_off ist sich ihrer Vorbildrolle bewusst und unterzeichnet die Charta der Lohngleichheit. Ein wichtiger Schritt! 
Zu den noch zu verbessernden Punkte haben wir Vorstösse in Planung #gleichstellung #womenpower @Gruene_Bienne @jusojsbiel https://t.co/lz6ZF0iDiT",stadt vorbildrolle bewusst unterzeichnen charta lohngleichheit wichtig schritt verbessernd punkte vorstösse planung gleichstellung womenpower,,,,,,,,,,,,,"{'Die': 0.05, 'Stadt': 0.18, 'ist': 0.06, 'sich': 0, 'ihrer': 0.44, 'Vorbildrolle': 0.12000000000000001, 'bewusst': 0, 'und': 0.08, 'unterzeichnet': 0, 'die': 0.05, 'Charta': 0.44, 'der': 0.05, 'Lohngleichheit': 1.0, 'Ein': 0, 'wichtiger': 0.1, 'Schritt': 0.11, 'Zu': 0.04, 'den': 0.05, 'noch': 0.05, 'zu': 0.04, 'verbessernden': 0, 'Punkte': 0.07, 'haben': 0.04, 'wir': 0, 'Vorstösse': 0, 'in': 0, 'Planung': 0.06, 'gleichstellung': 0.25, 'womenpower': 0.23}",positive,"[0.008127214, 0.001799946, 0.99007285]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Meme zum Tag...
#Lohngleichheit #Lohndiskriminierung #esreicht https://t.co/KGGTpiX3vo",meme tag lohngleichheit lohndiskriminierung esreicht,,,,,,,,,,,,,"{'Meme': 0.16, 'zum': 0.05, 'Tag': 0, '...': 0, 'Lohngleichheit': 0.405, 'Lohndiskriminierung': 0.56, 'esreicht': 0}",negative,"[0.16003071, 0.6340966, 0.20587271]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,"Die, die sich über fehlende Gleichstellung von Mann und Frau im Islam beklagen und heute die Revision des Gleichstellungsgesetzes bekämpft haben, sind die selben, oder? #Lohngleichheit #scheinheilig #imfau #equality #EqualPay @SVPch",fehlend gleichstellung mann frau islam beklagen heute revision gleichstellungsgesetzes bekämpfen selben lohngleichheit scheinheilig imfau equality equalpay,,,,,,,,,,,,,"{'Die': 0.02, 'die': 0.02, 'sich': 0, 'über': 0, 'fehlende': 0, 'Gleichstellung': 0.05, 'von': 0, 'Mann': 0, 'und': 0.08, 'Frau': 0, 'im': 0, 'Islam': 0.06, 'beklagen': 0.22, 'heute': 0.02, 'Revision': 0.02, 'des': 0, 'Gleichstellungsgesetzes': 0.03, 'bekämpft': 0, 'haben': 0.04, 'sind': 0.06, 'selben': 0.04, 'oder': 0, 'Lohngleichheit': 0.04, 'scheinheilig': 0, 'imfau': 0.03, 'equality': 0.05, 'EqualPay': 0.07}",negative,"[0.25011256, 0.62786716, 0.122020304]",,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,RT @nr_mayagraf: Nationalrat streicht Botschaft für Lohngleichheit aus dem #Legislaturprogramm mit 91 zu 89 Stimmen. Ohrfeige für jede erwe…,nationalrat streichen botschaft lohngleichheit legislaturprogramm stimmen ohrfeigen jed erwe,,,,,,,,,,,,,"{'Nationalrat': 0.23500000000000001, 'streicht': 0, 'Botschaft': 0, 'für': 0.18, 'Lohngleichheit': 0.73, 'aus': 0, 'dem': 0.045, 'Legislaturprogramm': 0, 'mit': 0.14, 'zu': 0.06, 'Stimmen': 0, 'Ohrfeige': 0.2, 'jede': 0, 'erwe': 0, '…': 0}",positive,"[0.036409024, 0.0039227805, 0.95966816]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,RT @RegulaRytz: Rechtsrutsch-Zwischenbilanz vom 26.4.16: Verbesserung des Kinderschutzes und Durchsetzung Lohngleichheit abgelehnt. Trauers…,rechtsrutsch zwischenbilanz verbesserung kinderschutzes durchsetzung lohngleichheit ablehnen trauers,,,,,,,,,,,,,"{'Rechtsrutsch-Zwischenbilanz': 0.1575, 'vom': 0.11, '26.4.16': 0, 'Verbesserung': 0.37, 'des': 0.11, 'Kinderschutzes': 0.14, 'und': 0.21, 'Durchsetzung': 0.52, 'Lohngleichheit': 0.585, 'abgelehnt': 0, 'Trauers': 0.39, '…': 0}",negative,"[0.030622257, 0.8009525, 0.16842523]",,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
