answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3430,absa_sentiment_3430,absa_scores_3430,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3468,absa_sentiment_3468,absa_scores_3468,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
75.0,100.0,86.0,0.5,negative,"@domzscho Ich habe NIE für härtere Strafen gegen Cannabis gestimmt, sondern immer nur für Erleichterungen! Und das bleibt so!",nie hart strafen cannabis stimmen immer erleichterungen bleiben,"{'Ich': 0.18, 'habe': 0.16, 'NIE': 0, 'für': 0.22, 'härtere': 0, 'Strafen': 0, 'gegen': 0.9, 'Cannabis': 1.0, 'gestimmt': 0, 'sondern': 0, 'immer': 0, 'nur': 0.2, 'Erleichterungen': 0.71, 'Und': 0.22, 'das': 0.09, 'bleibt': 0, 'so': 0}",positive,"[0.037237894, 0.0056800437, 0.9570821]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,negative,"Diese Woche war ich zu Gast bei @tvo_online. Themen waren das Rentenalter, Kampfjets &amp; der Klimawandel. Viele sind sich nicht bewusst, dass Aufforstung der effektivste Klimaschutz ist. Mit dem Projekt ACNS setze ich mich für eine CO2-neutrale Schweiz ein: https://t.co/NIliIDpbi7 https://t.co/Rxt3NvFBWm",woche gast themen rentenalter kampfjets amp klimawandel bewusst aufforstung effektivste klimaschutz projekt acns setzen co2 neutral schweiz,,,,"{'Diese': 0.12, 'Woche': 0.12, 'war': 0, 'ich': 0.02, 'zu': 0.01, 'Gast': 0.13, 'bei': 0.19, 'Themen': 0, 'waren': 0.1, 'das': 0.05, 'Rentenalter': 0.96, 'Kampfjets': 0.59, 'amp': 0.2, 'der': 0.03, 'Klimawandel': 0.07, 'Viele': 0, 'sind': 0.02, 'sich': 0, 'nicht': 0.06, 'bewusst': 0, 'dass': 0.05, 'Aufforstung': 0.09, 'effektivste': 0.10500000000000001, 'Klimaschutz': 0.045, 'ist': 0.04, 'Mit': 0.03, 'dem': 0.02, 'Projekt': 0.05, 'ACNS': 0.04, 'setze': 0, 'mich': 0, 'für': 0, 'eine': 0, 'CO2-neutrale': 0, 'Schweiz': 0.03, 'ein': 0}",positive,"[0.091964245, 0.0043680468, 0.9036677]",,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,Verknüpfung des Asylrechts mit einem neuen Enteignungstatbestand gefährlich und unverhältnismässig.https://t.co/VsmZzYV3PZ,verknüpfung asylrechts neu enteignungstatbestand gefährlich unverhältnismässig,,,,,,,"{'Verknüpfung': 0, 'des': 0, 'Asylrechts': 0.535, 'mit': 0.76, 'einem': 0, 'neuen': 0.19, 'Enteignungstatbestand': 0.21, 'gefährlich': 0.36, 'und': 0.11, 'unverhältnismässig': 0.38}",positive,"[0.18776399, 0.21336299, 0.598873]",,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,neutral,#sonntalk #sion2026 #atomabkommen #einbürgerung #svp #telezüri #live… https://t.co/Ntv1dKak9q,sonntalk sion2026 atomabkommen einbürgerung svp telezüri live,,,,,,,,,,"{'sonntalk': 0.33, 'sion2026': 0.36, 'atomabkommen': 0, 'einbürgerung': 0.29, 'svp': 0, 'telezüri': 0, 'live': 1.0, '…': 0}",positive,"[0.35516033, 0.010999648, 0.63383996]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,"Die Erteilung der Einbürgerungsbewilligung erfordert nach Bürgerrechtsgesetz, dass die Bewerberin oder der Bewerber:
a.erfolgreich integriert ist;
https://t.co/vbswEFAmGh den schweizerischen Lebensverhältnissen vertraut... https://t.co/TBxoe06kNz",erteilung einbürgerungsbewilligung erfordern bürgerrechtsgesetz bewerberin bewerber a erfolgreich integrieren schweizerisch lebensverhältnissen vertrauen,,,,,,,,,,"{'Die': 0.07, 'Erteilung': 0, 'der': 0.07, 'Einbürgerungsbewilligung': 0.08, 'erfordert': 0.14, 'nach': 0, 'Bürgerrechtsgesetz': 0.05, 'dass': 0.16, 'die': 0.07, 'Bewerberin': 0.14, 'oder': 0, 'Bewerber': 0, 'a.erfolgreich': 0, 'integriert': 0.14, 'ist': 0.46, 'den': 0.07, 'schweizerischen': 0.1, 'Lebensverhältnissen': 0.165, 'vertraut': 0, '...': 0}",neutral,"[0.8087494, 0.0146709075, 0.17657974]",,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,"RT @watson_news: Du denkst, die erleichterte Einbürgerung wird am Sonntag einfach angenommen? Dann denk nochmal... https://t.co/Ll49SGxig8",denken erleichtern einbürgerung sonntag einfach annehmen denk nochmal,,,,,,,,,,"{'Du': 0, 'denkst': 0.67, 'die': 0.14, 'erleichterte': 0, 'Einbürgerung': 0.19, 'wird': 0.11, 'am': 0, 'Sonntag': 0.09, 'einfach': 0, 'angenommen': 0.1, 'Dann': 0.26, 'denk': 0.67, 'nochmal': 0.45, '...': 0}",neutral,"[0.8067019, 0.13505602, 0.05824214]",,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,Die Fakten zu den Einbürgerungen: https://t.co/zk2d46vDYs,fakten einbürgerungen,,,,,,,,,,"{'Die': 0.47, 'Fakten': 1.0, 'zu': 0, 'den': 0.47, 'Einbürgerungen': 0.63}",positive,"[0.20632818, 0.004566884, 0.7891049]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"NAF, Einbürgerung und Steuerreform: Noch nicht alles klar bei den Abstimmungsvorlagen vom 12. Februar? Dann komm heute nach Grabs. https://t.co/wkRnXOGQoH",naf einbürgerung steuerreform klaren abstimmungsvorlagen februar komm heute grabs,,,,,,,,,,"{'NAF': 0.19, 'Einbürgerung': 1.0, 'und': 1.0, 'Steuerreform': 0.365, 'Noch': 0.1, 'nicht': 0.62, 'alles': 0.1, 'klar': 0.11, 'bei': 0, 'den': 0.04, 'Abstimmungsvorlagen': 0, 'vom': 0.04, '12.': 0, 'Februar': 0.05, 'Dann': 0.1, 'komm': 0.06, 'heute': 0.03, 'nach': 0, 'Grabs': 0.03}",neutral,"[0.5485607, 0.020929772, 0.43050954]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"RT @gfsbern: 2. SRG-Trendumfrage zur Abstimmung vom 12. Februar 2017

#abst17 #chvote #usrIII #ErleichterteEinbürgerung #NAF https://t.co/h…",srg trendumfrage abstimmung februar abst17 chvote usriii erleichterteeinbürgerung naf,,,,,,,,,,"{'2.': 0, 'SRG-Trendumfrage': 0.07500000000000001, 'zur': 0.05, 'Abstimmung': 0, 'vom': 0.05, '12.': 0, 'Februar': 0.02, 'abst17': 0.1, 'chvote': 0.12, 'usrIII': 0.19, 'ErleichterteEinbürgerung': 0.6799999999999999, 'NAF': 0.18}",neutral,"[0.85158277, 0.020248422, 0.12816885]",,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,Abstimmung über erleichterte Einbürgerung der dritten Generation: https://t.co/JvKnXKMu4v,abstimmung erleichtern einbürgerung dritt generation,,,,,,,,,,"{'Abstimmung': 0, 'über': 0, 'erleichterte': 0, 'Einbürgerung': 0.87, 'der': 0.12, 'dritten': 0.16, 'Generation': 0.12}",positive,"[0.011086827, 0.011506525, 0.9774066]",,,,,,,,,,,,,,,,,,,positive
25.0,25.0,28.0,-0.35,neutral,Nein zur erleichterten Einbürgerung: Der St.Galler Freisinn stellt sich quer: https://t.co/1XowDnVRIp,nein erleichtern einbürgerung st galler freisinn stellen quer,,,,,,,,,,"{'Nein': 0.39, 'zur': 0.3, 'erleichterten': 0, 'Einbürgerung': 1.0, 'Der': 0.15, 'St.': 0, 'Galler': 0, 'Freisinn': 0, 'stellt': 0, 'sich': 0, 'quer': 0}",positive,"[0.17929997, 0.09822017, 0.7224798]",,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,negative,RT @MarkusGilli: #SonnTalk:Einbürgerung: Burka-Phobie der SVP? Trump: US-Präsident von Putins Gnaden? China-Besuch: Business wichtiger als…,sonntalk einbürgerung burka phobie svp trump us präsident putins gnaden china besuch business wichtig,,,,,,,,,,"{'SonnTalk': 0.6, 'Einbürgerung': 1.0, 'Burka-Phobie': 0.13, 'der': 0.04, 'SVP': 0, 'Trump': 0.04, 'US-Präsident': 0.015, 'von': 0, 'Putins': 0.03, 'Gnaden': 0, 'China-Besuch': 0.04, 'Business': 0.05, 'wichtiger': 0.06, 'als': 0, '…': 0}",neutral,"[0.66821504, 0.02717289, 0.304612]",,,,,,,,,,,,,,,,,,,positive
50.0,25.0,28.0,-0.15,neutral,RT @SVPch: Die Vorlage zur erleichterten Einbürgerung ist klar abzulehnen. Edito von @lukasreimann zur Abstimmung 12. Februar: https://t.co…,vorlage erleichtern einbürgerung klaren ablehnen edito abstimmung februar,,,,,,,,,,"{'Die': 0.11, 'Vorlage': 0, 'zur': 0.11, 'erleichterten': 0, 'Einbürgerung': 1.0, 'ist': 0.19, 'klar': 0, 'abzulehnen': 0.11, 'Edito': 0, 'von': 0, 'Abstimmung': 0, '12.': 0, 'Februar': 0.07}",neutral,"[0.3828095, 0.25081185, 0.36637864]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,@stratschiatella @jonasprojer Danke! Das wollte ich hören: Einbürgerungen sind keine Geschenke!,danke hören einbürgerungen geschenke,,,,,,,,,,"{'Danke': 0.095, 'Das': 0, 'wollte': 0.08, 'ich': 0.02, 'hören': 0, 'Einbürgerungen': 0.94, 'sind': 0.49, 'keine': 0, 'Geschenke': 1.0}",neutral,"[0.5466124, 0.16877785, 0.2846098]",,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@derwahrewilli Aus dem Parteiprogramm: SVP unterstützt alle Steuersenkungen und lehnt neue oder höhere Steuern, Abgaben und Gebühren ab.",parteiprogramm svp unterstützen all steuersenkungen lehnen neue hoch steuern abgaben gebühren ab,,,,,,,,,,,,,"{'Aus': 0, 'dem': 0.11, 'Parteiprogramm': 0.22, 'SVP': 0, 'unterstützt': 1.0, 'alle': 0, 'Steuersenkungen': 0.51, 'und': 0.1, 'lehnt': 0.57, 'neue': 0.11, 'oder': 0.13, 'höhere': 0.09, 'Steuern': 0, 'Abgaben': 0.16, 'Gebühren': 0.27, 'ab': 0}",positive,"[0.023052271, 0.0033502143, 0.9735975]",,,,,,,,,,,,,,,,neutral
