answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3415,absa_sentiment_3415,absa_scores_3415,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3472,absa_sentiment_3472,absa_scores_3472,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"Wohin mit den Zuger Überschüssen?🤑 Die @AlternativeZG fordern zukunftsgerichtete Investitionen in bezahlbare Kinderbetreuung, Wohnraum und ein offensives #Klimaprogramm. Das bringt der Bevölkerung was! #KRZG @zentralplus 
https://t.co/E3sPlnPv9S",wohin zuger überschüssen fordern zukunftsgerichtete investitionen bezahlbare kinderbetreuung wohnraum offensiv klimaprogramm bringen bevölkerung krzg,"{'Wohin': 0.01, 'mit': 0.02, 'den': 0.02, 'Zuger': 0, 'Überschüssen': 0.05, '🤑': 0, 'Die': 0, 'fordern': 0, 'zukunftsgerichtete': 0, 'Investitionen': 0, 'in': 0, 'bezahlbare': 0, 'Kinderbetreuung': 0, 'Wohnraum': 0, 'und': 0, 'ein': 0, 'offensives': 0, 'Klimaprogramm': 0, 'Das': 0, 'bringt': 0, 'der': 0, 'Bevölkerung': 0, 'was': 0, 'KRZG': 0}",positive,"[0.00061326683, 0.0010696434, 0.9983171]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @VPOD_Schweiz: 💜 Tag der Kinderbetreuung: ZEIT UND STUTZ FÜR KIDS JETZT! 💜 https://t.co/0RXAmMKMTY,tag kinderbetreuung zeit stutz kids,"{'Tag': 0, 'der': 0, 'Kinderbetreuung': 0.61, 'ZEIT': 0.17, 'UND': 0.15, 'STUTZ': 0, 'FÜR': 0.08, 'KIDS': 0.1, 'JETZT': 0.21}",positive,"[0.039219856, 0.005280833, 0.9554993]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,Chemisch behandeltes #Cannabis vom Schwarzmarkt führte in Europa bereits zu 28 Toten. Es braucht endlich eine Legalisierung! #LegalizeMarijuana https://t.co/ubqZg6DfzM,chemisch behandelt cannabis schwarzmarkt führen europa bereits tot brauchen endlich legalisierung legalizemarijuana,,,,"{'Chemisch': 0.08, 'behandeltes': 0.06, 'Cannabis': 0.09, 'vom': 0.025, 'Schwarzmarkt': 0.04, 'führte': 0, 'in': 0.02, 'Europa': 0.05, 'bereits': 0.02, 'zu': 0, 'Toten': 0, 'Es': 0.04, 'braucht': 0, 'endlich': 0, 'eine': 0, 'Legalisierung': 0.21, 'LegalizeMarijuana': 1.0}",neutral,"[0.5297253, 0.4122063, 0.058068372]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,86.0,0.7,neutral,"RT @jungegruene_ch: Happy 4/20 ✌🏼🌿
Heute ist der internationale Cannabis-Tag. Es ist höchste Zeit, dass die Schweiz Marihuana legalisiert #…",happy heute internationale cannabis tag hoch zeit schweiz marihuana legalisieren,,,,"{'Happy': 0.58, 'Heute': 0.39, 'ist': 0.14, 'der': 0, 'internationale': 0.65, 'Cannabis-Tag': 0.9550000000000001, 'Es': 0.14, 'höchste': 0, 'Zeit': 0.11, 'dass': 0, 'die': 0, 'Schweiz': 0.2, 'Marihuana': 0.16, 'legalisiert': 0.19, '…': 0}",neutral,"[0.7324742, 0.00996257, 0.25756317]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @nr_mayagraf: Gleiche Regeln für Cannabis und Schnaps: Genau das fordere ich mit meiner Parl.Init. für ein Schweizer Hanfgesetz eingerei…,gleich regeln cannabis schnaps genau fordern parl init schweizer hanfgesetz eingerei,,,,"{'Gleiche': 0.54, 'Regeln': 0.25, 'für': 0.06, 'Cannabis': 1.0, 'und': 1.0, 'Schnaps': 0, 'Genau': 0.03, 'das': 0, 'fordere': 0, 'ich': 0.03, 'mit': 0.05, 'meiner': 0, 'Parl': 0.04, 'Init': 0.05, 'ein': 0, 'Schweizer': 0.04, 'Hanfgesetz': 0.07, 'eingerei': 0.11, '…': 0}",positive,"[0.028973084, 0.001644633, 0.9693823]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @Crutschi: Positionspapier verabschiedet für die Legalisierung von Cannabis! #mvjgs #legalizeit @VereinLegalize @jGruene_jVertEs,positionspapier verabschieden legalisierung cannabis mvjgs legalizeit,,,,"{'Positionspapier': 0.335, 'verabschiedet': 0.52, 'für': 0.39, 'die': 0.22, 'Legalisierung': 0.58, 'von': 0, 'Cannabis': 1.0, 'mvjgs': 0.52, 'legalizeit': 0}",positive,"[0.22015502, 0.00894649, 0.7708985]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Für Medizin und Jugendschutz: Es braucht eine staatliche Cannabisproduktion! https://t.co/iC4Cfazdv1,medizin jugendschutz brauchen staatliche cannabisproduktion,,,,"{'Für': 0.32, 'Medizin': 0.22, 'und': 0.18, 'Jugendschutz': 0.3425, 'Es': 0.87, 'braucht': 0, 'eine': 0, 'staatliche': 0.51, 'Cannabisproduktion': 0.9099999999999999}",neutral,"[0.76159036, 0.02139526, 0.21701437]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,Für Jugendschutz und gegen Schwarzmarkt: #Cannabis muss legalisiert werden! #srfarena https://t.co/fdnk07NU5W,jugendschutz schwarzmarkt cannabis legalisieren srfarena,,,,"{'Für': 0.06, 'Jugendschutz': 0.08499999999999999, 'und': 0.04, 'gegen': 0.06, 'Schwarzmarkt': 0.07, 'Cannabis': 0.26, 'muss': 0, 'legalisiert': 0.15, 'werden': 0, 'srfarena': 1.0}",positive,"[0.22328593, 0.03631221, 0.74040186]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @LaurinMurer: Mit 23:20 haben wir im #Grossstadtrat eine Teilnahme an einem Pilotprojekt zum kontrollierten Verkauf von Cannabis beschlo…,grossstadtrat teilnahme pilotprojekt kontrollieren verkauf cannabis beschlo,,,,"{'Mit': 0, '23:20': 0, 'haben': 0.06, 'wir': 0, 'im': 0, 'Grossstadtrat': 0, 'eine': 0, 'Teilnahme': 0, 'an': 0, 'einem': 0, 'Pilotprojekt': 0.235, 'zum': 0.205, 'kontrollierten': 0.59, 'Verkauf': 0.72, 'von': 0, 'Cannabis': 1.0, 'beschlo': 0.09, '…': 0}",neutral,"[0.9563556, 0.005195424, 0.038448993]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Dank Zivieinsatz in der Jugendarbeit sehe ich es umso mehr: wirksamer Jugendschutz braucht die Cannabislegalisierung.https://t.co/LFy3HWnWqR,danken zivieinsatz jugendarbeit sehen umso mehr wirksam jugendschutz brauchen cannabislegalisierung,,,,"{'Dank': 0.09, 'Zivieinsatz': 0.06, 'in': 0.04, 'der': 0.09, 'Jugendarbeit': 0.22, 'sehe': 0.14, 'ich': 0.05, 'es': 0, 'umso': 0.0925, 'mehr': 0.1, 'wirksamer': 0.265, 'Jugendschutz': 1.0, 'braucht': 1.0, 'die': 0.09, 'Cannabislegalisierung': 0.63}",positive,"[0.017188272, 0.011165779, 0.97164595]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
