answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3435,absa_sentiment_3435,absa_scores_3435,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3459,absa_sentiment_3459,absa_scores_3459,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3471,absa_sentiment_3471,absa_scores_3471,absa_token_weights_3475,absa_sentiment_3475,absa_scores_3475,absa_token_weights_3478,absa_sentiment_3478,absa_scores_3478,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,RT @researchdigisus: Und nun our very own Kerrie und Yannik und ihre interaktive #Datenvisualisierung mit Daten zur Sterbehilfe für die @bf…,our very own kerrie yannik interaktive datenvisualisierung daten sterbehilfe,"{'Und': 0.07, 'nun': 0, 'our': 0.03, 'very': 0.04, 'own': 0.05, 'Kerrie': 0.04, 'und': 0.07, 'Yannik': 0.05, 'ihre': 0.15, 'interaktive': 0.14, 'Datenvisualisierung': 0.64, 'mit': 0.51, 'Daten': 0.94, 'zur': 0.14, 'Sterbehilfe': 1.0, 'für': 0.65, 'die': 0.14, '…': 0}",neutral,"[0.9176434, 0.0032942446, 0.079062305]",,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,positive,"Sehr gut: @evppev_be stimmt einstimmig für das kantonale Energiegesetz, das eine sehr moderate Förderung von erneuerbaren Energiequellen vorsieht. Warum die Berner Wirtschaftsverbände dagegen sind, entzieht sich meinem Verständnis... #PolitikMitWeitsicht @evppev @EVPStadtBern https://t.co/PmkLBHEakc",gut stimmen einstimmig kantonale energiegesetz moderate förderung erneuerbaren energiequellen vorsehen warum berner wirtschaftsverbände dagegen entziehen verständnis politikmitweitsicht,,,,"{'Sehr': 0.57, 'gut': 0, 'stimmt': 0, 'einstimmig': 0.09, 'für': 0.26, 'das': 0, 'kantonale': 0.13, 'Energiegesetz': 0.19, 'eine': 0, 'sehr': 0.57, 'moderate': 1.0, 'Förderung': 0, 'von': 0, 'erneuerbaren': 0.48, 'Energiequellen': 0.16999999999999998, 'vorsieht': 0.37, 'Warum': 0.1, 'die': 0.06, 'Berner': 0, 'Wirtschaftsverbände': 0.09, 'dagegen': 0.06, 'sind': 0.04, 'entzieht': 0, 'sich': 0, 'meinem': 0.07, 'Verständnis': 0.11, '...': 0, 'PolitikMitWeitsicht': 0}",positive,"[0.027120618, 0.008389326, 0.96449006]",,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"Die @postschweiz lernt, bravo! #EVoting mit Zukunft ist #OpenSource -&gt; ""Offenlegung E-Voting-System: zentrale kryptografische Algorithmen als Open Source veröffentlicht"" Bin gespannt was als nächstes kommt! @parldigi @CH_Open https://t.co/nEjbT5ITCW | https://t.co/PjTqvdSIvY https://t.co/7zPzlu1eaB",lernen bravo evoting zukunft opensource gt offenlegung e voting system zentrale kryptografische algorithmen open source veröffentlichen spannen nächst kommen,,,,,,,"{'Die': 0.06, 'lernt': 0.09, 'bravo': 0.08, 'EVoting': 0.11, 'mit': 0.02, 'Zukunft': 0.04, 'ist': 0.05, 'OpenSource': 0.08, '-&gt': 0, 'Offenlegung': 0.13, 'E-Voting-System': 0, 'zentrale': 0.03, 'kryptografische': 0, 'Algorithmen': 0.05, 'als': 0.05, 'Open': 0.03, 'Source': 0.07, 'veröffentlicht': 0, 'Bin': 0, 'gespannt': 0.17, 'was': 0, 'nächstes': 0.12, 'kommt': 0.07}",positive,"[0.27888146, 0.24712694, 0.47399157]",,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,negative,"@vecirex @CCC_CH @postschweiz Du hast nichts gelesen, weil du es nicht lesen willst. Im @Netzwoche Artikel stehen ein paar Punkte drin und im Expertendialog habe ich zig Stunden investiert um eine Open Source Lizenz für E-Voting zu erwirken. Das ist halt alles noch nicht öffentlich.  PS: Bin auch Ausländer ;)",lesen lesen artikel stehen paar punkte drin expertendialog zig stunden investieren open source lizenz e voting erwirken halt öffentlich ps ausländer,,,,,,,"{'Du': 0, 'hast': 0, 'nichts': 0, 'gelesen': 0.1, 'weil': 0.1, 'du': 0, 'es': 0.08, 'nicht': 0, 'lesen': 0.1, 'willst': 0.03, 'Im': 0, 'Artikel': 0.12, 'stehen': 0, 'ein': 0, 'paar': 0, 'Punkte': 0.14, 'drin': 0, 'und': 0.06, 'im': 0, 'Expertendialog': 0, 'habe': 0, 'ich': 0.28, 'zig': 0, 'Stunden': 0.15, 'investiert': 0.14, 'um': 1.0, 'eine': 0, 'Open': 0.12, 'Source': 0.16, 'Lizenz': 0.32, 'für': 0.1, 'E-Voting': 0, 'zu': 0.07, 'erwirken': 0.17, 'Das': 0.09, 'ist': 0.08, 'halt': 0, 'alles': 0, 'noch': 0, 'öffentlich': 0, 'PS': 0.32, 'Bin': 0, 'auch': 0.58, 'Ausländer': 0}",negative,"[0.363954, 0.60383654, 0.032209404]",,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.85,neutral,"Sehr aktuelle Fragestellung -&gt; ""E-Voting: Chance oder Gefahr für die Demokratie?"" Morgen Abend diskutieren Barbara Schüpbach-Guggenbühl @avongraffenried @FranzGrueter und Wolf Linder am Anlass der Neuen Helvetischen Gesellschaft Bern - freue mich und hoffe auf faire Diskussion! https://t.co/xEeCaBUhpX",aktuell fragestellung gt e voting chance gefahr demokratie morgen abend diskutieren barbara schüpbach guggenbühl wolf linder anlass neu helvetischen gesellschaft bern freuen hoffen faire diskussion,,,,,,,"{'Sehr': 0.15, 'aktuelle': 0, 'Fragestellung': 0, '-&gt': 0, 'E-Voting': 0, 'Chance': 0, 'oder': 0.04, 'Gefahr': 0.03, 'für': 0.03, 'die': 0.07, 'Demokratie': 0.05, 'Morgen': 0.17, 'Abend': 0, 'diskutieren': 0, 'Barbara': 0.31, 'Schüpbach-Guggenbühl': 0, 'und': 0.12, 'Wolf': 0.06, 'Linder': 0.13, 'am': 0, 'Anlass': 0, 'der': 0.07, 'Neuen': 0.08, 'Helvetischen': 0.24, 'Gesellschaft': 0.12, 'Bern': 0.45, 'freue': 0, 'mich': 0, 'hoffe': 0, 'auf': 0, 'faire': 0.12, 'Diskussion': 0.43}",positive,"[0.28618827, 0.264498, 0.44931373]",,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,71.0,0.15,neutral,"@diuuk @CCC_CH @blog_fdik_org @vecirex @ppsde Ich gehe davon aus, dass sie zufrieden sind mit dem Rückzug von Genf. Allerdings habe ich das dumpfe Gefühl, dass die Post nicht so schnell aufgibt - erst recht nicht jetzt mit der Monopolstellung. Somit verbleibt einzig eine proprietäre E-Voting Lösung... #SchussGegenHinten",gehen davon zufrieden rückzug genf allerdings dumpf gefühl post schnellen aufgeben erst recht monopolstellung somit verbleiben einzig proprietäre e voting lösung schussgegenhinten,,,,,,,"{'Ich': 0.02, 'gehe': 0, 'davon': 0.01, 'aus': 0, 'dass': 0.01, 'sie': 0, 'zufrieden': 0.01, 'sind': 0.01, 'mit': 0.01, 'dem': 0.02, 'Rückzug': 0, 'von': 0.01, 'Genf': 0.02, 'Allerdings': 0.01, 'habe': 0.03, 'ich': 0.02, 'das': 0.01, 'dumpfe': 0.03, 'Gefühl': 0.04, 'die': 0.02, 'Post': 0.02, 'nicht': 0.01, 'so': 0, 'schnell': 0, 'aufgibt': 0.01, 'erst': 0, 'recht': 0, 'jetzt': 0.01, 'der': 0.02, 'Monopolstellung': 0.015, 'Somit': 0, 'verbleibt': 0.02, 'einzig': 0, 'eine': 0, 'proprietäre': 0.03, 'E-Voting': 0, 'Lösung': 0.03, '...': 0, 'SchussGegenHinten': 0}",negative,"[0.14227146, 0.8204073, 0.037321266]",,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Bravo @CCC_CH @blog_fdik_org @vecirex @ppsde etc.: Somit ist die einzige Open Source E-Voting Lösung jetzt weg vom Fenster... Ziel erreicht?? https://t.co/iAZodpCbkR,bravo etc somit einzig open source e voting lösung fenster ziel erreichen,,,,,,,"{'Bravo': 0.12, 'etc.': 0, 'Somit': 0, 'ist': 0.06, 'die': 0.03, 'einzige': 0.06, 'Open': 0.04, 'Source': 0.06, 'E-Voting': 0, 'Lösung': 0.1, 'jetzt': 0.05, 'weg': 0, 'vom': 0.03, 'Fenster': 0, '...': 0, 'Ziel': 0, 'erreicht': 0.48}",neutral,"[0.6851848, 0.0728264, 0.24198884]",,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,RT @Luciaplaen: „Der Staat als Enabler?“ -  Spannende Diskussionen rund um digitale Demokratie und E-Voting  🗳am @Swiss_IGF #SwissIGF18 @ea…,staat enabler spannend diskussionen rund digitale demokratie e voting swissigf18,,,,,,,"{'„': 0, 'Der': 0, 'Staat': 0, 'als': 0, 'Enabler': 0, '“': 0, 'Spannende': 0, 'Diskussionen': 0, 'rund': 0, 'um': 0, 'digitale': 0, 'Demokratie': 0, 'und': 0, 'E-Voting': 0, 'am': 0, 'SwissIGF18': 0, '…': 0}",positive,"[0.114813134, 0.025970304, 0.8592166]",,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.85,negative,"@vecirex @Bern_Stadt Naja, das ist etwas viel Zukunftsmusik. Ich wär schonmal froh, wenn ich die nötigen PDFs runterladen könnte. Wenn das so mit der Digitalisierung der Stadt Bern weitergeht, stellt sich die E-Voting Frage die nächsten 100 Jahren nicht ernsthaft...",naja zukunftsmusik wär schonmal froh nötig pdfs runterladen digitalisierung stadt bern weitergehen stellen e voting fragen nächst jahren ernsthaft,,,,,,,"{'Naja': 0.07, 'das': 0.06, 'ist': 0, 'etwas': 0, 'viel': 0.02, 'Zukunftsmusik': 0.03, 'Ich': 0.02, 'wär': 0.045000000000000005, 'schonmal': 0, 'froh': 0, 'wenn': 0.05, 'ich': 0.02, 'die': 0.06, 'nötigen': 0, 'PDFs': 0.11, 'runterladen': 0.05, 'könnte': 0.01, 'Wenn': 0, 'so': 0, 'mit': 0.02, 'der': 0.06, 'Digitalisierung': 0, 'Stadt': 0.02, 'Bern': 0.04, 'weitergeht': 0, 'stellt': 0, 'sich': 0, 'E-Voting': 0, 'Frage': 0, 'nächsten': 0.09, 'Jahren': 0.3, 'nicht': 0.26, 'ernsthaft': 0.16, '...': 0}",negative,"[0.22398652, 0.7283624, 0.04765103]",,,,"{'Naja': 0.01, 'das': 0.01, 'ist': 0, 'etwas': 0, 'viel': 0.01, 'Zukunftsmusik': 0.02, 'Ich': 0.01, 'wär': 0.015, 'schonmal': 0, 'froh': 0, 'wenn': 0.3, 'ich': 0.01, 'die': 0.01, 'nötigen': 0, 'PDFs': 0.06, 'runterladen': 0.07, 'könnte': 0.01, 'Wenn': 0, 'so': 0, 'mit': 1.0, 'der': 0.01, 'Digitalisierung': 0, 'Stadt': 0.07, 'Bern': 0.03, 'weitergeht': 0, 'stellt': 0, 'sich': 0, 'E-Voting': 0, 'Frage': 0, 'nächsten': 0.02, 'Jahren': 0.07, 'nicht': 0.09, 'ernsthaft': 0.04, '...': 0}",neutral,"[0.7140455, 0.12438238, 0.1615722]",,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @maemst: E-Voting, Automatisierung, Netzneutralität, Programmieren für Kinder: Meine #Grossratswahlen @smartvoteCH Antworten zur Digital…",e voting automatisierung netzneutralität programmieren kinder grossratswahlen antworten digital,,,,,,,"{'E-Voting': 0, 'Automatisierung': 0.09, 'Netzneutralität': 0.09, 'Programmieren': 0, 'für': 0.07, 'Kinder': 0.14, 'Meine': 0.23, 'Grossratswahlen': 0.77, 'Antworten': 0, 'zur': 0.175, 'Digital': 0.18, '…': 0}",positive,"[0.032875784, 0.0067228614, 0.9604013]",,,,,,,,,,,,,,,,,,,,,,neutral
