answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3392,absa_sentiment_3392,absa_scores_3392,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3433,absa_sentiment_3433,absa_scores_3433,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3451,absa_sentiment_3451,absa_scores_3451,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3463,absa_sentiment_3463,absa_scores_3463,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @BDPSchweiz: Wir wollen nicht mehr Kiffer, aber weniger Bürokratie für Schwerkranke, die durch den medizinischen Einsatz von Cannabis et…",mehr kiffer wenig bürokratie schwerkranke medizinisch einsatz cannabis et,"{'Wir': 0.06, 'wollen': 0.06, 'nicht': 0.05, 'mehr': 0.03, 'Kiffer': 0, 'aber': 0.13, 'weniger': 0, 'Bürokratie': 0.12, 'für': 0.1, 'Schwerkranke': 0.125, 'die': 0.2, 'durch': 0, 'den': 0.2, 'medizinischen': 0.27, 'Einsatz': 0, 'von': 0, 'Cannabis': 1.0, 'et': 0, '…': 0}",neutral,"[0.93910533, 0.018235473, 0.042659268]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,negative,"Ach ja, die #AHV21 wieder so ein Geschäft für bloss eine Generation. 🤦🏼‍♂️
Verknüpfung von Rentenalter an die Lebenserwartung jetzt!
#langweiligabergut 

https://t.co/BlZhP8ldjc https://t.co/WlsD5NIAO5",ach ja ahv21 geschäft bloss generation verknüpfung rentenalter lebenserwartung langweiligabergut,,,,"{'Ach': 0.13, 'ja': 0, 'die': 0, 'AHV21': 0.19, 'wieder': 0, 'so': 0, 'ein': 0.04, 'Geschäft': 0, 'für': 0.04, 'bloss': 0.04, 'eine': 0.04, 'Generation': 0.11, '🤦': 0, '\u200d️': 0, 'Verknüpfung': 0, 'von': 0, 'Rentenalter': 0, 'an': 0, 'Lebenserwartung': 0, 'jetzt': 0, 'langweiligabergut': 0}",positive,"[0.0020349806, 0.0015896701, 0.9963754]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,negative,"RT @BDPSchweiz: Die Schweiz will BDP. Langweilig, aber gut. Schön, dass sich die @FDP_Liberalen hinter unsere Rentenalter-Lösung stellt. Me…",schweiz bdp langweilig gut schön rentenalter lösung stellen me,,,,"{'Die': 0, 'Schweiz': 0.09, 'will': 0, 'BDP': 0.12, 'Langweilig': 0.13, 'aber': 0.04, 'gut': 0, 'Schön': 0, 'dass': 0.11, 'sich': 0, 'die': 0, 'hinter': 0.77, 'unsere': 0.43, 'Rentenalter-Lösung': 0.95, 'stellt': 0, 'Me': 0.1, '…': 0}",positive,"[0.0069404007, 0.0024081166, 0.9906515]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @BDPSchweiz: «@alain_berset will eine generelle Erhöhung des Rentenalters möglichst lange hinauszögern.»
Ist unsere Forderung nach autom…",generelle erhöhung rentenalters möglichst lang hinauszögern forderung autom,,,,"{'«': 0, 'will': 0, 'eine': 0, 'generelle': 0, 'Erhöhung': 0, 'des': 0, 'Rentenalters': 0, 'möglichst': 0, 'lange': 0, 'hinauszögern': 0, '»': 0, 'Ist': 0, 'unsere': 0, 'Forderung': 0, 'nach': 0, 'autom': 0, '…': 0}",neutral,"[0.5457922, 0.15659165, 0.29761612]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"Wir haben keine Zeit mehr für Schnapsideen. Es braucht jetzt eine Grundsanierung der AHV. Mit der Forderung der @BDPSchweiz, welche seit Jahren besteht und eine Verknüpfung von Lebenserwartung und Rentenalter vorsieht, sind jetzt zu forcieren. #langweiligabergut https://t.co/NiCg7pS6Wk",zeit mehr schnapsideen brauchen grundsanierung ahv forderung welch seit jahren bestehen verknüpfung lebenserwartung rentenalter vorsehen forcieren langweiligabergut,,,,"{'Wir': 0.01, 'haben': 0.01, 'keine': 0, 'Zeit': 0.01, 'mehr': 0, 'für': 0.06, 'Schnapsideen': 0.02, 'Es': 0.01, 'braucht': 0, 'jetzt': 0.14, 'eine': 0, 'Grundsanierung': 0.02, 'der': 0.07, 'AHV': 0.02, 'Mit': 0.03, 'Forderung': 0, 'welche': 0.03, 'seit': 0, 'Jahren': 0.02, 'besteht': 0, 'und': 1.0, 'Verknüpfung': 0, 'von': 0, 'Lebenserwartung': 0.215, 'Rentenalter': 0.5800000000000001, 'vorsieht': 0.04, 'sind': 0, 'zu': 0, 'forcieren': 0, 'langweiligabergut': 0.025}",neutral,"[0.5680469, 0.08113002, 0.35082301]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,negative,"RT @PhTschopp: .@Vimentis-Umfrage zeigt: Mehrheit (unabhängig ob links o. rechts) befürwortet #Rentenaltererhöhung. Indiz, dass @BDPSchweiz…",umfrage zeigen mehrheit unabhängig links o rechts befürworten rentenaltererhöhung indiz,,,,"{'.-Umfrage': 0, 'zeigt': 0, 'Mehrheit': 0.1, 'unabhängig': 0, 'ob': 0, 'links': 0, 'o.': 0, 'rechts': 0.07, 'befürwortet': 0, 'Rentenaltererhöhung': 0.88, 'Indiz': 0.14, 'dass': 0.11, '…': 0}",positive,"[0.0225048, 0.0051064324, 0.97238874]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.85,negative,"RT @PhTschopp: Die Bevölkerung wird immer älter und bleibt immer länger fit - da ist es nur logisch, wenn man Rentenalter (moderat) erhöht,…",bevölkerung immer alt bleiben immer lang fit logisch rentenalter moderat erhöhen,,,,"{'Die': 0.51, 'Bevölkerung': 0.33, 'wird': 0, 'immer': 0, 'älter': 0.11, 'und': 0.08, 'bleibt': 0, 'länger': 0.19, 'fit': 0.16, 'da': 0, 'ist': 0.12, 'es': 0.12, 'nur': 0.24, 'logisch': 0.85, 'wenn': 0, 'man': 0, 'Rentenalter': 0.78, 'moderat': 0, 'erhöht': 0, '…': 0}",positive,"[0.13038632, 0.02690733, 0.8427063]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @PhTschopp: Wie weiter nach @NeinzurAV2020? #BDP SR Luginbühl: ""Kopplung Rentenalter-Lebenserwartung brächte Stabilität."" #Rentenreform…",weit bdp sr luginbühl kopplung rentenalter lebenserwartung bringen stabilität rentenreform,,,,"{'Wie': 0, 'weiter': 0, 'nach': 0.11, 'BDP': 0.13, 'SR': 0.08, 'Luginbühl': 0, 'Kopplung': 1.0, 'Rentenalter-Lebenserwartung': 0.535, 'brächte': 0.48, 'Stabilität': 0.37, 'Rentenreform': 0.24, '…': 0}",neutral,"[0.63737816, 0.016299732, 0.34632212]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,86.0,0.7,neutral,Es sind nicht nur @FDP_Liberalen  und @SVPch für Rentenalter 67. Auch bei @CVP_PDC und @BDPSchweiz wird das unterstützt. #srfarena #AV2020,rentenalter unterstützen srfarena av2020,,,,"{'Es': 0.08, 'sind': 0, 'nicht': 0.36, 'nur': 0.6, 'und': 0.06, 'für': 1.0, 'Rentenalter': 0.8, '67.': 0, 'Auch': 0.16, 'bei': 0, 'wird': 0, 'das': 0, 'unterstützt': 0, 'srfarena': 0.1, 'AV2020': 0.09}",positive,"[0.03455511, 0.0027783948, 0.96266645]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,"RT @papizeit: Jetzt ist es amtlich: Ab dem 1. Januar 2021 erhalten alle frischgebackenen Väter in der Schweiz einen #Vaterschaftsurlaub!
Al…",amtlich ab januar erhalten all frischgebackenen väter schweiz vaterschaftsurlaub al,,,,,,,"{'Jetzt': 0.04, 'ist': 0.04, 'es': 0.04, 'amtlich': 0.1, 'Ab': 0, 'dem': 0, '1.': 0, 'Januar': 0.04, 'erhalten': 0.64, 'alle': 0, 'frischgebackenen': 0, 'Väter': 0.1, 'in': 0.07, 'der': 0, 'Schweiz': 0.13, 'einen': 0, 'Vaterschaftsurlaub': 0.64, 'Al': 0.15, '…': 0}",positive,"[0.0051404806, 0.0017804162, 0.9930791]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,"@PhTschopp @lohnabzuegeNein Phipu, ich kann dich trösten: Wenn du Vater wirst, musst du den Vaterschaftsurlaub auch nicht beziehen, wenn du ihn nicht willst. 😉
Die EO hat genügend Geld dafür und die Kosten betragen p.P. im Jahr rund 20 Franken. 
Die Familie ist unser Fundament für alle anderen Sozialwerke.",phipu trösten vater musst vaterschaftsurlaub beziehen eo genügen geld dafür kosten betragen p p jahr rund franken familie fundament all sozialwerke,,,,,,,"{'Phipu': 0.07, 'ich': 0.02, 'kann': 0.03, 'dich': 0.14, 'trösten': 0.16, 'Wenn': 0.05, 'du': 0, 'Vater': 0.09, 'wirst': 0, 'musst': 0.22, 'den': 0.04, 'Vaterschaftsurlaub': 0.915, 'auch': 0, 'nicht': 0, 'beziehen': 0, 'wenn': 0.19, 'ihn': 0, 'willst': 0.08, 'Die': 0.04, 'EO': 0.04, 'hat': 0, 'genügend': 0.14, 'Geld': 0.11, 'dafür': 0, 'und': 0.05, 'die': 0.04, 'Kosten': 0.12, 'betragen': 0, 'p.': 0, 'P.': 0, 'im': 0, 'Jahr': 0.11, 'rund': 0.08, 'Franken': 0, 'Familie': 0.08, 'ist': 0.04, 'unser': 0.04, 'Fundament': 0.11, 'für': 0.05, 'alle': 0, 'anderen': 0, 'Sozialwerke': 0.05}",neutral,"[0.62233716, 0.022789082, 0.35487372]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,86.0,0.7,neutral,RT @papizeit: Los! Geh abstimmen. Jetzt. Ja zu 2 Wochen #Vaterschaftsurlaub - Ja zur Vorlage 4. Es ist Zeit für diesen wichtigen Schritt! h…,los geh abstimmen ja wochen vaterschaftsurlaub ja vorlage zeit wichtig schritt h,,,,,,,"{'Los': 0, 'Geh': 0.06, 'abstimmen': 0.21, 'Jetzt': 0.07, 'Ja': 0, 'zu': 0.07, 'Wochen': 0.73, 'Vaterschaftsurlaub': 0.79, 'zur': 0.07, 'Vorlage': 0, '4.': 0, 'Es': 0.03, 'ist': 0.03, 'Zeit': 0.04, 'für': 0.04, 'diesen': 0.03, 'wichtigen': 0.06, 'Schritt': 0.09, 'h': 0.11, '…': 0}",positive,"[0.051079858, 0.008976754, 0.9399433]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,1.0,neutral,RT @BDPSchweiz: Klares Ja auch zum #Vaterschaftsurlaub @papizeit #BDP https://t.co/59CgrtB3yM,klar ja vaterschaftsurlaub bdp,,,,,,,"{'Klares': 0.19, 'Ja': 0, 'auch': 0, 'zum': 0.68, 'Vaterschaftsurlaub': 0.71, 'BDP': 0.28}",positive,"[0.0029405397, 0.0013537393, 0.9957058]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
50.0,75.0,57.0,0.0,neutral,RT @BDPSchweiz: Sag auch Du Ja zum Vaterschaftsurlaub am 27. September! @papizeit @LandoltMartin #abst2020 #abst20 #BDP https://t.co/1EEGjF…,sag ja vaterschaftsurlaub september abst2020 abst20 bdp,,,,,,,"{'Sag': 0, 'auch': 0, 'Du': 0, 'Ja': 0, 'zum': 1.0, 'Vaterschaftsurlaub': 0.45499999999999996, 'am': 0, '27.': 0, 'September': 0.09, 'abst2020': 0.16, 'abst20': 0.09, 'BDP': 0.08}",positive,"[0.011977215, 0.0013502808, 0.9866725]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
100.0,100.0,100.0,1.0,neutral,RT @papizeit: 63% sind nach der neusten gfs-Umfrage für den Vaterschaftsurlaub 🎉🎉🎉 Doch gewonnen haben wir damit noch lange nicht: damit er…,neu gfs umfrage vaterschaftsurlaub gewinnen lang,,,,,,,"{'sind': 0.05, 'nach': 0, 'der': 0.09, 'neusten': 0, 'gfs-Umfrage': 0.3, 'für': 0, 'den': 0.09, 'Vaterschaftsurlaub': 0.7749999999999999, 'Doch': 0.35, 'gewonnen': 0, 'haben': 0.1, 'wir': 0, 'damit': 0.55, 'noch': 0.06, 'lange': 0, 'nicht': 0, 'er': 0, '…': 0}",positive,"[0.48272672, 0.024426004, 0.49284723]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.85,neutral,RT @papizeit: @alain_berset empfiehlt ein JA zu 2 Wochen #Vaterschaftsurlaub. «Der Vaterschaftsurlaub erleichtert die Beteiligung des Vater…,empfehlen ja wochen vaterschaftsurlaub vaterschaftsurlaub erleichtern beteiligung vater,,,,,,,"{'empfiehlt': 0.35, 'ein': 0, 'JA': 0, 'zu': 0.05, 'Wochen': 0.61, 'Vaterschaftsurlaub': 0, '«': 0, 'Der': 0, 'erleichtert': 0, 'die': 0, 'Beteiligung': 0, 'des': 0, 'Vater': 0, '…': 0}",positive,"[0.0063225026, 0.0028198562, 0.99085766]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
0.0,0.0,0.0,-1.0,negative,"RT @BDPSchweiz: Langweilig, dass wir die Dringlichkeit von #Vaterschaftsurlaub in der Schweiz überhaupt noch diskutieren müssen. #langweili…",langweilig dringlichkeit vaterschaftsurlaub schweiz überhaupt diskutieren müssen langweili,,,,,,,"{'Langweilig': 1.0, 'dass': 0.2, 'wir': 0, 'die': 0.11, 'Dringlichkeit': 0.38, 'von': 0, 'Vaterschaftsurlaub': 0.44, 'in': 0.13, 'der': 0.11, 'Schweiz': 0.26, 'überhaupt': 0, 'noch': 0.11, 'diskutieren': 0, 'müssen': 0.08, 'langweili': 1.0, '…': 0}",negative,"[0.076599896, 0.59506637, 0.32833368]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
