answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3389,absa_sentiment_3389,absa_scores_3389,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3431,absa_sentiment_3431,absa_scores_3431,absa_token_weights_3436,absa_sentiment_3436,absa_scores_3436,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3450,absa_sentiment_3450,absa_scores_3450,absa_token_weights_3458,absa_sentiment_3458,absa_scores_3458,absa_token_weights_3465,absa_sentiment_3465,absa_scores_3465,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3474,absa_sentiment_3474,absa_scores_3474,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @metamythos: Dringend: Lehrbetrieb gesucht!

Unser Sohn (17) sucht als FABE Kinderbetreuung fürs 3. Lehrjahr eine Kinderkrippe im Grossr…",dringen lehrbetrieb suchen sohn suchen fabe kinderbetreuung fürs lehrjahr kinderkrippe grossr,"{'Dringend': 0, 'Lehrbetrieb': 0.31, 'gesucht': 0, 'Unser': 0.47, 'Sohn': 0.44, 'sucht': 0, 'als': 0, 'FABE': 0.88, 'Kinderbetreuung': 0.82, 'fürs': 0.23, '3.': 0, 'Lehrjahr': 0.1, 'eine': 0, 'Kinderkrippe': 0.06, 'im': 0, 'Grossr': 0, '…': 0}",positive,"[0.31021392, 0.050386995, 0.6393991]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,14.0,-0.7,neutral,@MFrauchigerSVP @SamBu95 Bei der jetztigen Zinssituation ist das Abbezahlen der Schulden wohl unsere geringste Sorge. Wieviel kostet denn der Vaterschaftsurlaub? 420 Millionen laut SRF. Das heisst mit 40 Milliarden könnten wir 95 Jahre lang 4 Wochen Vaterschaftsurlaub finanzieren.,jetztigen zinssituation abbezahlen schulden wohl gering sorge wieviel kosten vaterschaftsurlaub millionen laut srf heisst milliarden jahre langen wochen vaterschaftsurlaub finanzieren,,,,"{'Bei': 0, 'der': 0.02, 'jetztigen': 0, 'Zinssituation': 0.03, 'ist': 0.1, 'das': 0.07, 'Abbezahlen': 0.02, 'Schulden': 0, 'wohl': 0, 'unsere': 0.06, 'geringste': 0.05, 'Sorge': 0.25, 'Wieviel': 0.6950000000000001, 'kostet': 0, 'denn': 0, 'Vaterschaftsurlaub': 0.08499999999999999, 'Millionen': 0, 'laut': 0.065, 'SRF': 0.05, 'Das': 0.02, 'heisst': 0.1, 'mit': 0.05, 'Milliarden': 0, 'könnten': 0.16, 'wir': 0, 'Jahre': 0.05, 'lang': 0, 'Wochen': 0.03, 'finanzieren': 0.07}",neutral,"[0.6220217, 0.28854603, 0.08943235]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
50.0,75.0,57.0,0.0,negative,"RT @ZStadtfux: Das Resultat unmenschlicher Einwanderungspolitik. Die #SVP fordert: #Einbürgerung nur, wenn nie #Sozialhilfe beansprucht wur…",resultat unmenschlicher einwanderungspolitik svp fordern einbürgerung nie sozialhilfe beanspruchen wur,,,,,,,"{'Das': 0.13, 'Resultat': 0, 'unmenschlicher': 0, 'Einwanderungspolitik': 0.08, 'Die': 0.13, 'SVP': 0, 'fordert': 0, 'Einbürgerung': 1.0, 'nur': 0.71, 'wenn': 0.14, 'nie': 0, 'Sozialhilfe': 0.06, 'beansprucht': 0.08, 'wur': 0, '…': 0}",neutral,"[0.7151021, 0.06265295, 0.22224487]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,"@MarcoZueri Das Volk soll die Anforderungen festlegen, ausführen muss wer Anderes. Das Volk legt die Gesetze fest durchsetzen tut sie wer Anderes. In deinem System wie geht man mit Einbürgerungen um die willkürlich sind?",volk anforderungen festlegen ausfahren wer volk legen gesetze fest durchsetzen tun wer system gehen einbürgerungen willkürlich,,,,,,,"{'Das': 0.08, 'Volk': 0.12, 'soll': 0, 'die': 0.08, 'Anforderungen': 0, 'festlegen': 0.13, 'ausführen': 0.06, 'muss': 0.06, 'wer': 0, 'Anderes': 0, 'legt': 0, 'Gesetze': 0.28, 'fest': 0, 'durchsetzen': 0, 'tut': 0, 'sie': 0, 'In': 0.08, 'deinem': 0.09, 'System': 0.13, 'wie': 0.18, 'geht': 0, 'man': 0, 'mit': 0.21, 'Einbürgerungen': 1.0, 'um': 0, 'willkürlich': 0, 'sind': 0.91}",negative,"[0.14312638, 0.8499314, 0.0069421795]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral
0.0,0.0,0.0,-0.85,neutral,@MarcoZueri Ess geht doch nicht darum wie oft Unrecht passiert sondern ob und ob man das begünstigt. Einbürgerungen durch Volksentscheide sind brandgefährlich für einen Rechtsstaat. Der Willkür wird die Tür geöffnet. Deshalb müssen diese Entscheide auch anfechtbar sein.,ess gehen darum oft unrecht passieren begünstigen einbürgerungen volksentscheide brandgefährlich rechtsstaat willkür tür öffnen deshalb müssen entscheide anfechtbar,,,,,,,"{'Ess': 0, 'geht': 0, 'doch': 0, 'nicht': 0.02, 'darum': 0.04, 'wie': 0.01, 'oft': 0, 'Unrecht': 0, 'passiert': 0.02, 'sondern': 0.02, 'ob': 0, 'und': 0.01, 'man': 0, 'das': 0, 'begünstigt': 0, 'Einbürgerungen': 0, 'durch': 0.15, 'Volksentscheide': 0.33, 'sind': 0, 'brandgefährlich': 0.565, 'für': 0.14, 'einen': 0.05, 'Rechtsstaat': 0.075, 'Der': 0.03, 'Willkür': 0.05, 'wird': 0, 'die': 0.03, 'Tür': 0, 'geöffnet': 0, 'Deshalb': 0.04, 'müssen': 0.02, 'diese': 0, 'Entscheide': 0, 'auch': 0.05, 'anfechtbar': 0.03, 'sein': 0}",negative,"[0.006767072, 0.9827533, 0.010479617]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,1.0,neutral,"@MarcoZueri ... Konservative ein ding von einem anderen Planeten zu sein. Man kann eine Einbürgerung nicht der Willkür überlassen, hinter solchen Gesuchen stehen Menschen mit Rechten und Schicksalen, sie verdienen eine faire und nachvollziehbare Entscheidung.",konservative ding planeten einbürgerung willkür überlassen solch gesuchen stehen menschen recht schicksalen verdienen faire nachvollziehbar entscheidung,,,,,,,"{'...': 0, 'Konservative': 0, 'ein': 0, 'ding': 0.07, 'von': 0.05, 'einem': 0, 'anderen': 0, 'Planeten': 0, 'zu': 0.42, 'sein': 0.07, 'Man': 0, 'kann': 0, 'eine': 0, 'Einbürgerung': 0.83, 'nicht': 0, 'der': 0, 'Willkür': 0.32, 'überlassen': 1.0, 'hinter': 0.03, 'solchen': 0.07, 'Gesuchen': 0.09, 'stehen': 0.08, 'Menschen': 0.08, 'mit': 0.04, 'Rechten': 0.08, 'und': 0.04, 'Schicksalen': 0, 'sie': 0, 'verdienen': 0, 'faire': 0.42, 'nachvollziehbare': 0, 'Entscheidung': 0.07}",positive,"[0.16453229, 0.06489444, 0.7705733]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
25.0,25.0,14.0,-0.4333333333333333,neutral,"@MarcoZueri Genau damit Einbürgerungen zum absoluten Zufallsakt werden. Damit deine Einbürgerung auch einfach mal abgelehnt werden kann, weil den Dorfbewohnern deine Visage nicht passt oder weil du dich politisch auf der falschen Seite engagierst. Rechtsstaatlichkeit scheint für manch ...",genau einbürgerungen absolut zufallsakt einbürgerung einfach mal ablehnen dorfbewohnern visage passt politisch falsch seite engagieren rechtsstaatlichkeit scheinen manch,,,,,,,"{'Genau': 0, 'damit': 0.13, 'Einbürgerungen': 0.07, 'zum': 0.175, 'absoluten': 0.18, 'Zufallsakt': 0, 'werden': 0, 'Damit': 0.13, 'deine': 0.02, 'Einbürgerung': 0.05, 'auch': 0, 'einfach': 0, 'mal': 0, 'abgelehnt': 0, 'kann': 0.05, 'weil': 0.06, 'den': 0.22, 'Dorfbewohnern': 0.03, 'Visage': 0.02, 'nicht': 0, 'passt': 0, 'oder': 0.05, 'du': 0, 'dich': 0.03, 'politisch': 0.03, 'auf': 0.02, 'der': 0.22, 'falschen': 0.04, 'Seite': 0, 'engagierst': 0, 'Rechtsstaatlichkeit': 0.355, 'scheint': 0.36, 'für': 0, 'manch': 0.43, '...': 0}",neutral,"[0.42302814, 0.32198852, 0.2549834]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
100.0,100.0,100.0,1.0,neutral,"@MarcoZueri Es ist ein Verwaltungsakt kein politischer Akt. Eine Ablehnung muss gut begründet werden. Der Antragssteller hat alle Anforderungen erfüllt, ihn jetzt nicht einzubürgern ist pure Willkür. Deshalb keine Einbürgerungen via Gemeinde- oder Bürgerversammlungen.",verwaltungsakt politisch akt ablehnung gut begründen antragssteller all anforderungen erfüllen einbürgern pur willkür deshalb einbürgerungen via gemeinden bürgerversammlungen,,,,,,,"{'Es': 0.28, 'ist': 0.28, 'ein': 0, 'Verwaltungsakt': 0.015, 'kein': 0.08, 'politischer': 0.02, 'Akt': 0, 'Eine': 0, 'Ablehnung': 0, 'muss': 0, 'gut': 0, 'begründet': 0.03, 'werden': 0, 'Der': 0.05, 'Antragssteller': 0.12, 'hat': 0, 'alle': 0, 'Anforderungen': 0, 'erfüllt': 0, 'ihn': 0.15, 'jetzt': 0.26, 'nicht': 1.0, 'einzubürgern': 0, 'pure': 0.1, 'Willkür': 0.09, 'Deshalb': 0.09, 'keine': 0, 'Einbürgerungen': 0.06, 'via': 0.03, 'Gemeinde-': 0, 'oder': 0.04, 'Bürgerversammlungen': 0}",negative,"[0.32972702, 0.64888376, 0.021389283]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
75.0,75.0,71.0,0.35,negative,"1. Keine Einbürgerungen mehr durch Gemeindeversammlungen, zu oft geht das schief und ist willkürlich.
2. Wieso lese ich die Kommentare wenn ich auch genau weiss, das dort die SVP-Anhängerschaft sich trifft und gegenseitig bestärkt?
https://t.co/Pib1msCZNm",einbürgerungen mehr gemeindeversammlungen oft gehen schief willkürlich wieso lesen kommentare genau weiss svp anhängerschaft treffen gegenseitig bestärken,,,,,,,"{'1.': 0, 'Keine': 0, 'Einbürgerungen': 1.0, 'mehr': 0.8, 'durch': 0.14, 'Gemeindeversammlungen': 0.04, 'zu': 0, 'oft': 0, 'geht': 0.04, 'das': 0.03, 'schief': 0, 'und': 0.02, 'ist': 0.11, 'willkürlich': 0, '2.': 0, 'Wieso': 0, 'lese': 0.02, 'ich': 0.01, 'die': 0.02, 'Kommentare': 0.02, 'wenn': 0, 'auch': 0, 'genau': 0.01, 'weiss': 0, 'dort': 0.01, 'SVP-Anhängerschaft': 0.02, 'sich': 0, 'trifft': 0, 'gegenseitig': 0, 'bestärkt': 0}",negative,"[0.14374493, 0.53706414, 0.31919098]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
100.0,100.0,100.0,0.85,neutral,"@MFrauchigerSVP Wie gesagt erfolgreich darin die Politik zu verkaufen. Doch wie Steuersenkungen für die Reichsten und Kampf gegen Überbrückungsrenten den Arbeitern dienen soll, bleibt euch vorbehalten. Oder der Kampf gegen Mindestlöhne, flankierende Massnahmen, Papizeit, etc....",sagen erfolgreich darin politik verkaufen steuersenkungen reich kampf überbrückungsrenten arbeitern dienen bleiben vorbehalten kampf mindestlöhne flankierend massnahmen papizeit etc,,,,,,,,,,"{'Wie': 0.13, 'gesagt': 0.14, 'erfolgreich': 0.34, 'darin': 0.08, 'die': 0.03, 'Politik': 0, 'zu': 0.04, 'verkaufen': 0.04, 'Doch': 1.0, 'wie': 1.0, 'Steuersenkungen': 0.44, 'für': 0.33, 'Reichsten': 0.09, 'und': 0.26, 'Kampf': 0, 'gegen': 0.03, 'Überbrückungsrenten': 0.09, 'den': 0.03, 'Arbeitern': 0.02, 'dienen': 0.05, 'soll': 0, 'bleibt': 0, 'euch': 0.07, 'vorbehalten': 0, 'Oder': 0.11, 'der': 0.03, 'Mindestlöhne': 0.025, 'flankierende': 0, 'Massnahmen': 0.04, 'Papizeit': 0.02, 'etc': 0.04, '....': 0}",positive,"[0.09899573, 0.15712637, 0.7438779]",,,,,,,,,,,,,,,,,,,,,,,,,,,,positive
